date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-25,Albania,Europe,ALB,,,,,,,
2020-02-26,Albania,Europe,ALB,,,,,,,
2020-02-27,Albania,Europe,ALB,,,,,,,
2020-02-28,Albania,Europe,ALB,,,,,,,
2020-02-29,Albania,Europe,ALB,,,,,,,
2020-03-01,Albania,Europe,ALB,,,,,,,
2020-03-02,Albania,Europe,ALB,,,,,,,
2020-03-03,Albania,Europe,ALB,,,,,,,
2020-03-04,Albania,Europe,ALB,,,,,,,
2020-03-05,Albania,Europe,ALB,,,,,,,
2020-03-06,Albania,Europe,ALB,,,,,,,
2020-03-07,Albania,Europe,ALB,,,,,,,
2020-03-08,Albania,Europe,ALB,,,,,,,
2020-03-09,Albania,Europe,ALB,,,,,,,
2020-03-10,Albania,Europe,ALB,,,,,,,
2020-03-11,Albania,Europe,ALB,,,,,,,
2020-03-12,Albania,Europe,ALB,,,,,,,
2020-03-13,Albania,Europe,ALB,,,,,,,
2020-03-14,Albania,Europe,ALB,,,,,,,
2020-03-15,Albania,Europe,ALB,,,,,,,
2020-03-16,Albania,Europe,ALB,,,,,,,
2020-03-17,Albania,Europe,ALB,,,,,,,
2020-03-18,Albania,Europe,ALB,,,,,,,
2020-03-19,Albania,Europe,ALB,,,,,,,
2020-03-20,Albania,Europe,ALB,,,,,,,
2020-03-21,Albania,Europe,ALB,,,,,,,
2020-03-22,Albania,Europe,ALB,,,,,,,
2020-03-23,Albania,Europe,ALB,,,,,,,
2020-03-24,Albania,Europe,ALB,,,,,,,
2020-03-25,Albania,Europe,ALB,,,,,,,
2020-03-26,Albania,Europe,ALB,,,,,,,
2020-03-27,Albania,Europe,ALB,,,,,,,
2020-03-28,Albania,Europe,ALB,,,,,,,
2020-03-29,Albania,Europe,ALB,,,,,,,
2020-03-30,Albania,Europe,ALB,,,,,,,
2020-03-31,Albania,Europe,ALB,,,,,,,
2020-04-01,Albania,Europe,ALB,,,,,,,
2020-04-02,Albania,Europe,ALB,,,,,,,
2020-04-03,Albania,Europe,ALB,,,,,,,
2020-04-04,Albania,Europe,ALB,,,,,,,
2020-04-05,Albania,Europe,ALB,,,,,,,
2020-04-06,Albania,Europe,ALB,,,,,,,
2020-04-07,Albania,Europe,ALB,,,,,,,
2020-04-08,Albania,Europe,ALB,,,,,,,
2020-04-09,Albania,Europe,ALB,,,,,,,
2020-04-10,Albania,Europe,ALB,,,,,,,
2020-04-11,Albania,Europe,ALB,,,,,,,
2020-04-12,Albania,Europe,ALB,,,,,,,
2020-04-13,Albania,Europe,ALB,,,,,,,
2020-04-14,Albania,Europe,ALB,,,,,,,
2020-04-15,Albania,Europe,ALB,,,,,,,
2020-04-16,Albania,Europe,ALB,,,,,,,
2020-04-17,Albania,Europe,ALB,,,,,,,
2020-04-18,Albania,Europe,ALB,,,,,,,
2020-04-19,Albania,Europe,ALB,,,,,,,
2020-04-20,Albania,Europe,ALB,,,,,,,
2020-04-21,Albania,Europe,ALB,,,,,,,
2020-04-22,Albania,Europe,ALB,,,,,,,
2020-04-23,Albania,Europe,ALB,,,,,,,
2020-04-24,Albania,Europe,ALB,,,,,,,
2020-04-25,Albania,Europe,ALB,,,,,,,
2020-04-26,Albania,Europe,ALB,,,,,,,
2020-04-27,Albania,Europe,ALB,,,,,,,
2020-04-28,Albania,Europe,ALB,,,,,,,
2020-04-29,Albania,Europe,ALB,,,,,,,
2020-04-30,Albania,Europe,ALB,,,,,,,
2020-05-01,Albania,Europe,ALB,,,,,,,
2020-05-02,Albania,Europe,ALB,,,,,,,
2020-05-03,Albania,Europe,ALB,,,,,,,
2020-05-04,Albania,Europe,ALB,,,,,,,
2020-05-05,Albania,Europe,ALB,,,,,,,
2020-05-06,Albania,Europe,ALB,,,,,,,
2020-05-07,Albania,Europe,ALB,,,,,,,
2020-05-08,Albania,Europe,ALB,,,,,,,
2020-05-09,Albania,Europe,ALB,,,,,,,
2020-05-10,Albania,Europe,ALB,,,,,,,
2020-05-11,Albania,Europe,ALB,,,,,,,
2020-05-12,Albania,Europe,ALB,,,,,,,
2020-05-13,Albania,Europe,ALB,,,,,,,
2020-05-14,Albania,Europe,ALB,,,,,,,
2020-05-15,Albania,Europe,ALB,,,,,,,
2020-05-16,Albania,Europe,ALB,,,,,,,
2020-05-17,Albania,Europe,ALB,,,,,,,
2020-05-18,Albania,Europe,ALB,,,,,,,
2020-05-19,Albania,Europe,ALB,,,,,,,
2020-05-20,Albania,Europe,ALB,,,,,,,
2020-05-21,Albania,Europe,ALB,,,,,,,
2020-05-22,Albania,Europe,ALB,,,,,,,
2020-05-23,Albania,Europe,ALB,,,,,,,
2020-05-24,Albania,Europe,ALB,,,,,,,
2020-05-25,Albania,Europe,ALB,,,,,,,
2020-05-26,Albania,Europe,ALB,,,,,,,
2020-05-27,Albania,Europe,ALB,,,,,,,
2020-05-28,Albania,Europe,ALB,,,,,,,
2020-05-29,Albania,Europe,ALB,,,,,,,
2020-05-30,Albania,Europe,ALB,,,,,,,
2020-05-31,Albania,Europe,ALB,,,,,,,
2020-06-01,Albania,Europe,ALB,,,,,,,
2020-06-02,Albania,Europe,ALB,,,,,,,
2020-06-03,Albania,Europe,ALB,,,,,,,
2020-06-04,Albania,Europe,ALB,,,,,,,
2020-06-05,Albania,Europe,ALB,,,,,,,
2020-06-06,Albania,Europe,ALB,,,,,,,
2020-06-07,Albania,Europe,ALB,,,,,,,
2020-06-08,Albania,Europe,ALB,,,,,,,
2020-06-09,Albania,Europe,ALB,,,,,,,
2020-06-10,Albania,Europe,ALB,,,,,,,
2020-06-11,Albania,Europe,ALB,,,,,,,
2020-06-12,Albania,Europe,ALB,,,,,,,
2020-06-13,Albania,Europe,ALB,,,,,,,
2020-06-14,Albania,Europe,ALB,,,,,,,
2020-06-15,Albania,Europe,ALB,,,,,,,
