date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2/4/21,Anguilla,North America,AIA,0.0,0.0,,,0.0,0.0,
2/5/21,Anguilla,North America,AIA,,,,,,,
2/6/21,Anguilla,North America,AIA,,,,,,,
2/7/21,Anguilla,North America,AIA,,,,,,,
2/8/21,Anguilla,North America,AIA,,,,,,,
2/9/21,Anguilla,North America,AIA,,,,,,,
2/10/21,Anguilla,North America,AIA,,,,,,,
2/11/21,Anguilla,North America,AIA,,,,,,,
2/12/21,Anguilla,North America,AIA,,,,,,,
2/13/21,Anguilla,North America,AIA,1341.0,1341.0,,,8.94,8.94,
2/14/21,Anguilla,North America,AIA,2762.0,2762.0,,1421.0,18.41,18.41,
2/15/21,Anguilla,North America,AIA,,,,,,,
2/16/21,Anguilla,North America,AIA,,,,,,,
2/17/21,Anguilla,North America,AIA,,,,,,,
2/18/21,Anguilla,North America,AIA,,,,,,,
2/19/21,Anguilla,North America,AIA,,,,,,,
2/20/21,Anguilla,North America,AIA,,,,,,,
2/21/21,Anguilla,North America,AIA,,,,,,,
2/22/21,Anguilla,North America,AIA,,,,,,,
2/23/21,Anguilla,North America,AIA,,,,,,,
2/24/21,Anguilla,North America,AIA,,,,,,,
2/25/21,Anguilla,North America,AIA,,,,,,,
2/26/21,Anguilla,North America,AIA,3929.0,3929.0,,,26.19,26.19,
2/27/21,Anguilla,North America,AIA,,,,,,,
2/28/21,Anguilla,North America,AIA,,,,,,,
3/1/21,Anguilla,North America,AIA,,,,,,,
3/2/21,Anguilla,North America,AIA,,,,,,,
3/3/21,Anguilla,North America,AIA,,,,,,,
3/4/21,Anguilla,North America,AIA,,,,,,,
3/5/21,Anguilla,North America,AIA,,,,,,,
3/6/21,Anguilla,North America,AIA,,,,,,,
3/7/21,Anguilla,North America,AIA,,,,,,,
3/8/21,Anguilla,North America,AIA,,,,,,,
3/9/21,Anguilla,North America,AIA,4700.0,4700.0,,,31.33,31.33,
3/10/21,Anguilla,North America,AIA,,,,,,,
3/11/21,Anguilla,North America,AIA,,,,,,,
3/12/21,Anguilla,North America,AIA,,,,,,,
3/13/21,Anguilla,North America,AIA,5000.0,5000.0,,,33.33,33.33,
3/14/21,Anguilla,North America,AIA,,,,,,,
3/15/21,Anguilla,North America,AIA,,,,,,,
3/16/21,Anguilla,North America,AIA,,,,,,,
3/17/21,Anguilla,North America,AIA,,,,,,,
3/18/21,Anguilla,North America,AIA,,,,,,,
3/19/21,Anguilla,North America,AIA,5348.0,5348.0,,,35.65,35.65,
3/20/21,Anguilla,North America,AIA,,,,,,,
3/21/21,Anguilla,North America,AIA,,,,,,,
3/22/21,Anguilla,North America,AIA,,,,,,,
