date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/13/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/14/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/15/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/16/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/17/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/18/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/19/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/20/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/21/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/22/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/23/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/24/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/25/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/26/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/27/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/28/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/29/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/30/20,Antigua and Barbuda,North America,ATG,,,,,,,
3/31/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/1/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/2/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/3/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/4/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/5/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/6/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/7/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/8/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/9/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/10/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/11/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/12/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/13/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/14/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/15/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/16/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/17/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/18/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/19/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/20/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/21/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/22/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/23/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/24/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/25/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/26/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/27/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/28/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/29/20,Antigua and Barbuda,North America,ATG,,,,,,,
4/30/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/1/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/2/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/3/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/4/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/5/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/6/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/7/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/8/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/9/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/10/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/11/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/12/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/13/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/14/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/15/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/16/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/17/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/18/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/19/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/20/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/21/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/22/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/23/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/24/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/25/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/26/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/27/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/28/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/29/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/30/20,Antigua and Barbuda,North America,ATG,,,,,,,
5/31/20,Antigua and Barbuda,North America,ATG,,,,,,,
