date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-01-01,Argentina,South America,ARG,,,,,,,
2020-01-02,Argentina,South America,ARG,,,,,,,
2020-01-03,Argentina,South America,ARG,,,,,,,
2020-01-04,Argentina,South America,ARG,,,,,,,
2020-01-05,Argentina,South America,ARG,,,,,,,
2020-01-06,Argentina,South America,ARG,,,,,,,
2020-01-07,Argentina,South America,ARG,,,,,,,
2020-01-08,Argentina,South America,ARG,,,,,,,
2020-01-09,Argentina,South America,ARG,,,,,,,
2020-01-10,Argentina,South America,ARG,,,,,,,
2020-01-11,Argentina,South America,ARG,,,,,,,
2020-01-12,Argentina,South America,ARG,,,,,,,
2020-01-13,Argentina,South America,ARG,,,,,,,
2020-01-14,Argentina,South America,ARG,,,,,,,
2020-01-15,Argentina,South America,ARG,,,,,,,
2020-01-16,Argentina,South America,ARG,,,,,,,
2020-01-17,Argentina,South America,ARG,,,,,,,
2020-01-18,Argentina,South America,ARG,,,,,,,
2020-01-19,Argentina,South America,ARG,,,,,,,
2020-01-20,Argentina,South America,ARG,,,,,,,
2020-01-21,Argentina,South America,ARG,,,,,,,
2020-01-22,Argentina,South America,ARG,,,,,,,
2020-01-23,Argentina,South America,ARG,,,,,,,
2020-01-24,Argentina,South America,ARG,,,,,,,
2020-01-25,Argentina,South America,ARG,,,,,,,
2020-01-26,Argentina,South America,ARG,,,,,,,
2020-01-27,Argentina,South America,ARG,,,,,,,
2020-01-28,Argentina,South America,ARG,,,,,,,
2020-01-29,Argentina,South America,ARG,,,,,,,
2020-01-30,Argentina,South America,ARG,,,,,,,
2020-01-31,Argentina,South America,ARG,,,,,,,
2020-02-01,Argentina,South America,ARG,,,,,,,
2020-02-02,Argentina,South America,ARG,,,,,,,
2020-02-03,Argentina,South America,ARG,,,,,,,
2020-02-04,Argentina,South America,ARG,,,,,,,
2020-02-05,Argentina,South America,ARG,,,,,,,
2020-02-06,Argentina,South America,ARG,,,,,,,
2020-02-07,Argentina,South America,ARG,,,,,,,
2020-02-08,Argentina,South America,ARG,,,,,,,
2020-02-09,Argentina,South America,ARG,,,,,,,
2020-02-10,Argentina,South America,ARG,,,,,,,
2020-02-11,Argentina,South America,ARG,,,,,,,
2020-02-12,Argentina,South America,ARG,,,,,,,
2020-02-13,Argentina,South America,ARG,,,,,,,
2020-02-14,Argentina,South America,ARG,,,,,,,
2020-02-15,Argentina,South America,ARG,,,,,,,
2020-02-16,Argentina,South America,ARG,,,,,,,
2020-02-17,Argentina,South America,ARG,,,,,,,
2020-02-18,Argentina,South America,ARG,,,,,,,
2020-02-19,Argentina,South America,ARG,,,,,,,
2020-02-20,Argentina,South America,ARG,,,,,,,
2020-02-21,Argentina,South America,ARG,,,,,,,
2020-02-22,Argentina,South America,ARG,,,,,,,
2020-02-23,Argentina,South America,ARG,,,,,,,
2020-02-24,Argentina,South America,ARG,,,,,,,
2020-02-25,Argentina,South America,ARG,,,,,,,
2020-02-26,Argentina,South America,ARG,,,,,,,
2020-02-27,Argentina,South America,ARG,,,,,,,
2020-02-28,Argentina,South America,ARG,,,,,,,
2020-02-29,Argentina,South America,ARG,,,,,,,
2020-03-01,Argentina,South America,ARG,,,,,,,
2020-03-02,Argentina,South America,ARG,,,,,,,
2020-03-03,Argentina,South America,ARG,,,,,,,
2020-03-04,Argentina,South America,ARG,,,,,,,
2020-03-05,Argentina,South America,ARG,,,,,,,
2020-03-06,Argentina,South America,ARG,,,,,,,
2020-03-07,Argentina,South America,ARG,,,,,,,
2020-03-08,Argentina,South America,ARG,,,,,,,
2020-03-09,Argentina,South America,ARG,,,,,,,
2020-03-10,Argentina,South America,ARG,,,,,,,
2020-03-11,Argentina,South America,ARG,,,,,,,
2020-03-12,Argentina,South America,ARG,,,,,,,
2020-03-13,Argentina,South America,ARG,,,,,,,
2020-03-14,Argentina,South America,ARG,,,,,,,
2020-03-15,Argentina,South America,ARG,,,,,,,
2020-03-16,Argentina,South America,ARG,,,,,,,
2020-03-17,Argentina,South America,ARG,,,,,,,
2020-03-18,Argentina,South America,ARG,,,,,,,
2020-03-19,Argentina,South America,ARG,,,,,,,
2020-03-20,Argentina,South America,ARG,,,,,,,
2020-03-21,Argentina,South America,ARG,,,,,,,
2020-03-22,Argentina,South America,ARG,,,,,,,
2020-03-23,Argentina,South America,ARG,,,,,,,
2020-03-24,Argentina,South America,ARG,,,,,,,
2020-03-25,Argentina,South America,ARG,,,,,,,
2020-03-26,Argentina,South America,ARG,,,,,,,
2020-03-27,Argentina,South America,ARG,,,,,,,
2020-03-28,Argentina,South America,ARG,,,,,,,
2020-03-29,Argentina,South America,ARG,,,,,,,
2020-03-30,Argentina,South America,ARG,,,,,,,
2020-03-31,Argentina,South America,ARG,,,,,,,
2020-04-01,Argentina,South America,ARG,,,,,,,
2020-04-02,Argentina,South America,ARG,,,,,,,
2020-04-03,Argentina,South America,ARG,,,,,,,
2020-04-04,Argentina,South America,ARG,,,,,,,
2020-04-05,Argentina,South America,ARG,,,,,,,
2020-04-06,Argentina,South America,ARG,,,,,,,
2020-04-07,Argentina,South America,ARG,,,,,,,
2020-04-08,Argentina,South America,ARG,,,,,,,
2020-04-09,Argentina,South America,ARG,,,,,,,
2020-04-10,Argentina,South America,ARG,,,,,,,
2020-04-11,Argentina,South America,ARG,,,,,,,
2020-04-12,Argentina,South America,ARG,,,,,,,
2020-04-13,Argentina,South America,ARG,,,,,,,
2020-04-14,Argentina,South America,ARG,,,,,,,
2020-04-15,Argentina,South America,ARG,,,,,,,
2020-04-16,Argentina,South America,ARG,,,,,,,
2020-04-17,Argentina,South America,ARG,,,,,,,
2020-04-18,Argentina,South America,ARG,,,,,,,
2020-04-19,Argentina,South America,ARG,,,,,,,
2020-04-20,Argentina,South America,ARG,,,,,,,
2020-04-21,Argentina,South America,ARG,,,,,,,
2020-04-22,Argentina,South America,ARG,,,,,,,
2020-04-23,Argentina,South America,ARG,,,,,,,
2020-04-24,Argentina,South America,ARG,,,,,,,
2020-04-25,Argentina,South America,ARG,,,,,,,
2020-04-26,Argentina,South America,ARG,,,,,,,
2020-04-27,Argentina,South America,ARG,,,,,,,
2020-04-28,Argentina,South America,ARG,,,,,,,
2020-04-29,Argentina,South America,ARG,,,,,,,
2020-04-30,Argentina,South America,ARG,,,,,,,
2020-05-01,Argentina,South America,ARG,,,,,,,
2020-05-02,Argentina,South America,ARG,,,,,,,
2020-05-03,Argentina,South America,ARG,,,,,,,
2020-05-04,Argentina,South America,ARG,,,,,,,
2020-05-05,Argentina,South America,ARG,,,,,,,
2020-05-06,Argentina,South America,ARG,,,,,,,
2020-05-07,Argentina,South America,ARG,,,,,,,
2020-05-08,Argentina,South America,ARG,,,,,,,
2020-05-09,Argentina,South America,ARG,,,,,,,
2020-05-10,Argentina,South America,ARG,,,,,,,
2020-05-11,Argentina,South America,ARG,,,,,,,
2020-05-12,Argentina,South America,ARG,,,,,,,
2020-05-13,Argentina,South America,ARG,,,,,,,
2020-05-14,Argentina,South America,ARG,,,,,,,
2020-05-15,Argentina,South America,ARG,,,,,,,
2020-05-16,Argentina,South America,ARG,,,,,,,
2020-05-17,Argentina,South America,ARG,,,,,,,
2020-05-18,Argentina,South America,ARG,,,,,,,
2020-05-19,Argentina,South America,ARG,,,,,,,
2020-05-20,Argentina,South America,ARG,,,,,,,
2020-05-21,Argentina,South America,ARG,,,,,,,
2020-05-22,Argentina,South America,ARG,,,,,,,
2020-05-23,Argentina,South America,ARG,,,,,,,
2020-05-24,Argentina,South America,ARG,,,,,,,
2020-05-25,Argentina,South America,ARG,,,,,,,
2020-05-26,Argentina,South America,ARG,,,,,,,
2020-05-27,Argentina,South America,ARG,,,,,,,
2020-05-28,Argentina,South America,ARG,,,,,,,
2020-05-29,Argentina,South America,ARG,,,,,,,
2020-05-30,Argentina,South America,ARG,,,,,,,
2020-05-31,Argentina,South America,ARG,,,,,,,
2020-06-01,Argentina,South America,ARG,,,,,,,
2020-06-02,Argentina,South America,ARG,,,,,,,
2020-06-03,Argentina,South America,ARG,,,,,,,
2020-06-04,Argentina,South America,ARG,,,,,,,
2020-06-05,Argentina,South America,ARG,,,,,,,
2020-06-06,Argentina,South America,ARG,,,,,,,
2020-06-07,Argentina,South America,ARG,,,,,,,
2020-06-08,Argentina,South America,ARG,,,,,,,
2020-06-09,Argentina,South America,ARG,,,,,,,
2020-06-10,Argentina,South America,ARG,,,,,,,
2020-06-11,Argentina,South America,ARG,,,,,,,
2020-06-12,Argentina,South America,ARG,,,,,,,
2020-06-13,Argentina,South America,ARG,,,,,,,
2020-06-14,Argentina,South America,ARG,,,,,,,
2020-06-15,Argentina,South America,ARG,,,,,,,
2020-06-16,Argentina,South America,ARG,,,,,,,
2020-06-17,Argentina,South America,ARG,,,,,,,
2020-06-18,Argentina,South America,ARG,,,,,,,
2020-06-19,Argentina,South America,ARG,,,,,,,
2020-06-20,Argentina,South America,ARG,,,,,,,
2020-06-21,Argentina,South America,ARG,,,,,,,
2020-06-22,Argentina,South America,ARG,,,,,,,
2020-06-23,Argentina,South America,ARG,,,,,,,
2020-06-24,Argentina,South America,ARG,,,,,,,
2020-06-25,Argentina,South America,ARG,,,,,,,
2020-06-26,Argentina,South America,ARG,,,,,,,
2020-06-27,Argentina,South America,ARG,,,,,,,
2020-06-28,Argentina,South America,ARG,,,,,,,
2020-06-29,Argentina,South America,ARG,,,,,,,
2020-06-30,Argentina,South America,ARG,,,,,,,
2020-07-01,Argentina,South America,ARG,,,,,,,
2020-07-02,Argentina,South America,ARG,,,,,,,
2020-07-03,Argentina,South America,ARG,,,,,,,
2020-07-04,Argentina,South America,ARG,,,,,,,
2020-07-05,Argentina,South America,ARG,,,,,,,
2020-07-06,Argentina,South America,ARG,,,,,,,
2020-07-07,Argentina,South America,ARG,,,,,,,
2020-07-08,Argentina,South America,ARG,,,,,,,
2020-07-09,Argentina,South America,ARG,,,,,,,
2020-07-10,Argentina,South America,ARG,,,,,,,
2020-07-11,Argentina,South America,ARG,,,,,,,
2020-07-12,Argentina,South America,ARG,,,,,,,
2020-07-13,Argentina,South America,ARG,,,,,,,
2020-07-14,Argentina,South America,ARG,,,,,,,
2020-07-15,Argentina,South America,ARG,,,,,,,
2020-07-16,Argentina,South America,ARG,,,,,,,
2020-07-17,Argentina,South America,ARG,,,,,,,
2020-07-18,Argentina,South America,ARG,,,,,,,
2020-07-19,Argentina,South America,ARG,,,,,,,
2020-07-20,Argentina,South America,ARG,,,,,,,
2020-07-21,Argentina,South America,ARG,,,,,,,
2020-07-22,Argentina,South America,ARG,,,,,,,
2020-07-23,Argentina,South America,ARG,,,,,,,
2020-07-24,Argentina,South America,ARG,,,,,,,
2020-07-25,Argentina,South America,ARG,,,,,,,
2020-07-26,Argentina,South America,ARG,,,,,,,
2020-07-27,Argentina,South America,ARG,,,,,,,
2020-07-28,Argentina,South America,ARG,,,,,,,
2020-07-29,Argentina,South America,ARG,,,,,,,
2020-07-30,Argentina,South America,ARG,,,,,,,
2020-07-31,Argentina,South America,ARG,,,,,,,
2020-08-01,Argentina,South America,ARG,,,,,,,
2020-08-02,Argentina,South America,ARG,,,,,,,
2020-08-03,Argentina,South America,ARG,,,,,,,
2020-08-04,Argentina,South America,ARG,,,,,,,
2020-08-05,Argentina,South America,ARG,,,,,,,
2020-08-06,Argentina,South America,ARG,,,,,,,
2020-08-07,Argentina,South America,ARG,,,,,,,
2020-08-08,Argentina,South America,ARG,,,,,,,
2020-08-09,Argentina,South America,ARG,,,,,,,
2020-08-10,Argentina,South America,ARG,,,,,,,
2020-08-11,Argentina,South America,ARG,,,,,,,
2020-08-12,Argentina,South America,ARG,,,,,,,
2020-08-13,Argentina,South America,ARG,,,,,,,
2020-08-14,Argentina,South America,ARG,,,,,,,
2020-08-15,Argentina,South America,ARG,,,,,,,
2020-08-16,Argentina,South America,ARG,,,,,,,
2020-08-17,Argentina,South America,ARG,,,,,,,
2020-08-18,Argentina,South America,ARG,,,,,,,
2020-08-19,Argentina,South America,ARG,,,,,,,
2020-08-20,Argentina,South America,ARG,,,,,,,
2020-08-21,Argentina,South America,ARG,,,,,,,
2020-08-22,Argentina,South America,ARG,,,,,,,
2020-08-23,Argentina,South America,ARG,,,,,,,
2020-08-24,Argentina,South America,ARG,,,,,,,
2020-08-25,Argentina,South America,ARG,,,,,,,
2020-08-26,Argentina,South America,ARG,,,,,,,
2020-08-27,Argentina,South America,ARG,,,,,,,
2020-08-28,Argentina,South America,ARG,,,,,,,
2020-08-29,Argentina,South America,ARG,,,,,,,
2020-08-30,Argentina,South America,ARG,,,,,,,
2020-08-31,Argentina,South America,ARG,,,,,,,
2020-09-01,Argentina,South America,ARG,,,,,,,
2020-09-02,Argentina,South America,ARG,,,,,,,
2020-09-03,Argentina,South America,ARG,,,,,,,
2020-09-04,Argentina,South America,ARG,,,,,,,
2020-09-05,Argentina,South America,ARG,,,,,,,
2020-09-06,Argentina,South America,ARG,,,,,,,
2020-09-07,Argentina,South America,ARG,,,,,,,
2020-09-08,Argentina,South America,ARG,,,,,,,
2020-09-09,Argentina,South America,ARG,,,,,,,
2020-09-10,Argentina,South America,ARG,,,,,,,
2020-09-11,Argentina,South America,ARG,,,,,,,
2020-09-12,Argentina,South America,ARG,,,,,,,
2020-09-13,Argentina,South America,ARG,,,,,,,
2020-09-14,Argentina,South America,ARG,,,,,,,
2020-09-15,Argentina,South America,ARG,,,,,,,
2020-09-16,Argentina,South America,ARG,,,,,,,
2020-09-17,Argentina,South America,ARG,,,,,,,
2020-09-18,Argentina,South America,ARG,,,,,,,
2020-09-19,Argentina,South America,ARG,,,,,,,
2020-09-20,Argentina,South America,ARG,,,,,,,
2020-09-21,Argentina,South America,ARG,,,,,,,
2020-09-22,Argentina,South America,ARG,,,,,,,
2020-09-23,Argentina,South America,ARG,,,,,,,
2020-09-24,Argentina,South America,ARG,,,,,,,
2020-09-25,Argentina,South America,ARG,,,,,,,
2020-09-26,Argentina,South America,ARG,,,,,,,
2020-09-27,Argentina,South America,ARG,,,,,,,
2020-09-28,Argentina,South America,ARG,,,,,,,
2020-09-29,Argentina,South America,ARG,,,,,,,
2020-09-30,Argentina,South America,ARG,,,,,,,
2020-10-01,Argentina,South America,ARG,,,,,,,
2020-10-02,Argentina,South America,ARG,,,,,,,
2020-10-03,Argentina,South America,ARG,,,,,,,
2020-10-04,Argentina,South America,ARG,,,,,,,
2020-10-05,Argentina,South America,ARG,,,,,,,
2020-10-06,Argentina,South America,ARG,,,,,,,
2020-10-07,Argentina,South America,ARG,,,,,,,
2020-10-08,Argentina,South America,ARG,,,,,,,
2020-10-09,Argentina,South America,ARG,,,,,,,
2020-10-10,Argentina,South America,ARG,,,,,,,
2020-10-11,Argentina,South America,ARG,,,,,,,
2020-10-12,Argentina,South America,ARG,,,,,,,
2020-10-13,Argentina,South America,ARG,,,,,,,
