date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/1/20,Armenia,Asia,ARM,,,,,,,
3/2/20,Armenia,Asia,ARM,,,,,,,
3/3/20,Armenia,Asia,ARM,,,,,,,
3/4/20,Armenia,Asia,ARM,,,,,,,
3/5/20,Armenia,Asia,ARM,,,,,,,
3/6/20,Armenia,Asia,ARM,,,,,,,
3/7/20,Armenia,Asia,ARM,,,,,,,
3/8/20,Armenia,Asia,ARM,,,,,,,
3/9/20,Armenia,Asia,ARM,,,,,,,
3/10/20,Armenia,Asia,ARM,,,,,,,
3/11/20,Armenia,Asia,ARM,,,,,,,
3/12/20,Armenia,Asia,ARM,,,,,,,
3/13/20,Armenia,Asia,ARM,,,,,,,
3/14/20,Armenia,Asia,ARM,,,,,,,
3/15/20,Armenia,Asia,ARM,,,,,,,
3/16/20,Armenia,Asia,ARM,,,,,,,
3/17/20,Armenia,Asia,ARM,,,,,,,
3/18/20,Armenia,Asia,ARM,,,,,,,
3/19/20,Armenia,Asia,ARM,,,,,,,
3/20/20,Armenia,Asia,ARM,,,,,,,
3/21/20,Armenia,Asia,ARM,,,,,,,
3/22/20,Armenia,Asia,ARM,,,,,,,
3/23/20,Armenia,Asia,ARM,,,,,,,
3/24/20,Armenia,Asia,ARM,,,,,,,
3/25/20,Armenia,Asia,ARM,,,,,,,
3/26/20,Armenia,Asia,ARM,,,,,,,
3/27/20,Armenia,Asia,ARM,,,,,,,
3/28/20,Armenia,Asia,ARM,,,,,,,
3/29/20,Armenia,Asia,ARM,,,,,,,
3/30/20,Armenia,Asia,ARM,,,,,,,
3/31/20,Armenia,Asia,ARM,,,,,,,
4/1/20,Armenia,Asia,ARM,,,,,,,
4/2/20,Armenia,Asia,ARM,,,,,,,
4/3/20,Armenia,Asia,ARM,,,,,,,
4/4/20,Armenia,Asia,ARM,,,,,,,
4/5/20,Armenia,Asia,ARM,,,,,,,
4/6/20,Armenia,Asia,ARM,,,,,,,
4/7/20,Armenia,Asia,ARM,,,,,,,
4/8/20,Armenia,Asia,ARM,,,,,,,
4/9/20,Armenia,Asia,ARM,,,,,,,
4/10/20,Armenia,Asia,ARM,,,,,,,
4/11/20,Armenia,Asia,ARM,,,,,,,
4/12/20,Armenia,Asia,ARM,,,,,,,
4/13/20,Armenia,Asia,ARM,,,,,,,
4/14/20,Armenia,Asia,ARM,,,,,,,
4/15/20,Armenia,Asia,ARM,,,,,,,
4/16/20,Armenia,Asia,ARM,,,,,,,
4/17/20,Armenia,Asia,ARM,,,,,,,
4/18/20,Armenia,Asia,ARM,,,,,,,
4/19/20,Armenia,Asia,ARM,,,,,,,
4/20/20,Armenia,Asia,ARM,,,,,,,
4/21/20,Armenia,Asia,ARM,,,,,,,
4/22/20,Armenia,Asia,ARM,,,,,,,
4/23/20,Armenia,Asia,ARM,,,,,,,
4/24/20,Armenia,Asia,ARM,,,,,,,
4/25/20,Armenia,Asia,ARM,,,,,,,
4/26/20,Armenia,Asia,ARM,,,,,,,
4/27/20,Armenia,Asia,ARM,,,,,,,
4/28/20,Armenia,Asia,ARM,,,,,,,
4/29/20,Armenia,Asia,ARM,,,,,,,
4/30/20,Armenia,Asia,ARM,,,,,,,
5/1/20,Armenia,Asia,ARM,,,,,,,
5/2/20,Armenia,Asia,ARM,,,,,,,
5/3/20,Armenia,Asia,ARM,,,,,,,
5/4/20,Armenia,Asia,ARM,,,,,,,
5/5/20,Armenia,Asia,ARM,,,,,,,
5/6/20,Armenia,Asia,ARM,,,,,,,
5/7/20,Armenia,Asia,ARM,,,,,,,
5/8/20,Armenia,Asia,ARM,,,,,,,
