date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2/24/20,Bahrain,Asia,BHR,,,,,,,
2/25/20,Bahrain,Asia,BHR,,,,,,,
2/26/20,Bahrain,Asia,BHR,,,,,,,
2/27/20,Bahrain,Asia,BHR,,,,,,,
2/28/20,Bahrain,Asia,BHR,,,,,,,
2/29/20,Bahrain,Asia,BHR,,,,,,,
3/1/20,Bahrain,Asia,BHR,,,,,,,
3/2/20,Bahrain,Asia,BHR,,,,,,,
3/3/20,Bahrain,Asia,BHR,,,,,,,
3/4/20,Bahrain,Asia,BHR,,,,,,,
3/5/20,Bahrain,Asia,BHR,,,,,,,
3/6/20,Bahrain,Asia,BHR,,,,,,,
3/7/20,Bahrain,Asia,BHR,,,,,,,
3/8/20,Bahrain,Asia,BHR,,,,,,,
3/9/20,Bahrain,Asia,BHR,,,,,,,
3/10/20,Bahrain,Asia,BHR,,,,,,,
3/11/20,Bahrain,Asia,BHR,,,,,,,
3/12/20,Bahrain,Asia,BHR,,,,,,,
3/13/20,Bahrain,Asia,BHR,,,,,,,
3/14/20,Bahrain,Asia,BHR,,,,,,,
3/15/20,Bahrain,Asia,BHR,,,,,,,
3/16/20,Bahrain,Asia,BHR,,,,,,,
3/17/20,Bahrain,Asia,BHR,,,,,,,
3/18/20,Bahrain,Asia,BHR,,,,,,,
3/19/20,Bahrain,Asia,BHR,,,,,,,
3/20/20,Bahrain,Asia,BHR,,,,,,,
3/21/20,Bahrain,Asia,BHR,,,,,,,
3/22/20,Bahrain,Asia,BHR,,,,,,,
3/23/20,Bahrain,Asia,BHR,,,,,,,
3/24/20,Bahrain,Asia,BHR,,,,,,,
3/25/20,Bahrain,Asia,BHR,,,,,,,
3/26/20,Bahrain,Asia,BHR,,,,,,,
3/27/20,Bahrain,Asia,BHR,,,,,,,
3/28/20,Bahrain,Asia,BHR,,,,,,,
3/29/20,Bahrain,Asia,BHR,,,,,,,
3/30/20,Bahrain,Asia,BHR,,,,,,,
3/31/20,Bahrain,Asia,BHR,,,,,,,
4/1/20,Bahrain,Asia,BHR,,,,,,,
4/2/20,Bahrain,Asia,BHR,,,,,,,
4/3/20,Bahrain,Asia,BHR,,,,,,,
4/4/20,Bahrain,Asia,BHR,,,,,,,
4/5/20,Bahrain,Asia,BHR,,,,,,,
4/6/20,Bahrain,Asia,BHR,,,,,,,
4/7/20,Bahrain,Asia,BHR,,,,,,,
4/8/20,Bahrain,Asia,BHR,,,,,,,
4/9/20,Bahrain,Asia,BHR,,,,,,,
4/10/20,Bahrain,Asia,BHR,,,,,,,
4/11/20,Bahrain,Asia,BHR,,,,,,,
4/12/20,Bahrain,Asia,BHR,,,,,,,
4/13/20,Bahrain,Asia,BHR,,,,,,,
4/14/20,Bahrain,Asia,BHR,,,,,,,
4/15/20,Bahrain,Asia,BHR,,,,,,,
4/16/20,Bahrain,Asia,BHR,,,,,,,
4/17/20,Bahrain,Asia,BHR,,,,,,,
4/18/20,Bahrain,Asia,BHR,,,,,,,
4/19/20,Bahrain,Asia,BHR,,,,,,,
4/20/20,Bahrain,Asia,BHR,,,,,,,
4/21/20,Bahrain,Asia,BHR,,,,,,,
4/22/20,Bahrain,Asia,BHR,,,,,,,
4/23/20,Bahrain,Asia,BHR,,,,,,,
4/24/20,Bahrain,Asia,BHR,,,,,,,
4/25/20,Bahrain,Asia,BHR,,,,,,,
4/26/20,Bahrain,Asia,BHR,,,,,,,
4/27/20,Bahrain,Asia,BHR,,,,,,,
4/28/20,Bahrain,Asia,BHR,,,,,,,
4/29/20,Bahrain,Asia,BHR,,,,,,,
4/30/20,Bahrain,Asia,BHR,,,,,,,
5/1/20,Bahrain,Asia,BHR,,,,,,,
5/2/20,Bahrain,Asia,BHR,,,,,,,
5/3/20,Bahrain,Asia,BHR,,,,,,,
5/4/20,Bahrain,Asia,BHR,,,,,,,
5/5/20,Bahrain,Asia,BHR,,,,,,,
5/6/20,Bahrain,Asia,BHR,,,,,,,
5/7/20,Bahrain,Asia,BHR,,,,,,,
5/8/20,Bahrain,Asia,BHR,,,,,,,
5/9/20,Bahrain,Asia,BHR,,,,,,,
5/10/20,Bahrain,Asia,BHR,,,,,,,
5/11/20,Bahrain,Asia,BHR,,,,,,,
5/12/20,Bahrain,Asia,BHR,,,,,,,
5/13/20,Bahrain,Asia,BHR,,,,,,,
5/14/20,Bahrain,Asia,BHR,,,,,,,
5/15/20,Bahrain,Asia,BHR,,,,,,,
5/16/20,Bahrain,Asia,BHR,,,,,,,
5/17/20,Bahrain,Asia,BHR,,,,,,,
5/18/20,Bahrain,Asia,BHR,,,,,,,
5/19/20,Bahrain,Asia,BHR,,,,,,,
5/20/20,Bahrain,Asia,BHR,,,,,,,
5/21/20,Bahrain,Asia,BHR,,,,,,,
5/22/20,Bahrain,Asia,BHR,,,,,,,
5/23/20,Bahrain,Asia,BHR,,,,,,,
5/24/20,Bahrain,Asia,BHR,,,,,,,
5/25/20,Bahrain,Asia,BHR,,,,,,,
5/26/20,Bahrain,Asia,BHR,,,,,,,
5/27/20,Bahrain,Asia,BHR,,,,,,,
5/28/20,Bahrain,Asia,BHR,,,,,,,
5/29/20,Bahrain,Asia,BHR,,,,,,,
5/30/20,Bahrain,Asia,BHR,,,,,,,
5/31/20,Bahrain,Asia,BHR,,,,,,,
6/1/20,Bahrain,Asia,BHR,,,,,,,
6/2/20,Bahrain,Asia,BHR,,,,,,,
6/3/20,Bahrain,Asia,BHR,,,,,,,
6/4/20,Bahrain,Asia,BHR,,,,,,,
6/5/20,Bahrain,Asia,BHR,,,,,,,
6/6/20,Bahrain,Asia,BHR,,,,,,,
6/7/20,Bahrain,Asia,BHR,,,,,,,
6/8/20,Bahrain,Asia,BHR,,,,,,,
6/9/20,Bahrain,Asia,BHR,,,,,,,
6/10/20,Bahrain,Asia,BHR,,,,,,,
6/11/20,Bahrain,Asia,BHR,,,,,,,
6/12/20,Bahrain,Asia,BHR,,,,,,,
6/13/20,Bahrain,Asia,BHR,,,,,,,
6/14/20,Bahrain,Asia,BHR,,,,,,,
6/15/20,Bahrain,Asia,BHR,,,,,,,
6/16/20,Bahrain,Asia,BHR,,,,,,,
6/17/20,Bahrain,Asia,BHR,,,,,,,
6/18/20,Bahrain,Asia,BHR,,,,,,,
6/19/20,Bahrain,Asia,BHR,,,,,,,
6/20/20,Bahrain,Asia,BHR,,,,,,,
6/21/20,Bahrain,Asia,BHR,,,,,,,
6/22/20,Bahrain,Asia,BHR,,,,,,,
6/23/20,Bahrain,Asia,BHR,,,,,,,
6/24/20,Bahrain,Asia,BHR,,,,,,,
6/25/20,Bahrain,Asia,BHR,,,,,,,
6/26/20,Bahrain,Asia,BHR,,,,,,,
6/27/20,Bahrain,Asia,BHR,,,,,,,
6/28/20,Bahrain,Asia,BHR,,,,,,,
6/29/20,Bahrain,Asia,BHR,,,,,,,
6/30/20,Bahrain,Asia,BHR,,,,,,,
7/1/20,Bahrain,Asia,BHR,,,,,,,
7/2/20,Bahrain,Asia,BHR,,,,,,,
7/3/20,Bahrain,Asia,BHR,,,,,,,
7/4/20,Bahrain,Asia,BHR,,,,,,,
7/5/20,Bahrain,Asia,BHR,,,,,,,
7/6/20,Bahrain,Asia,BHR,,,,,,,
7/7/20,Bahrain,Asia,BHR,,,,,,,
7/8/20,Bahrain,Asia,BHR,,,,,,,
7/9/20,Bahrain,Asia,BHR,,,,,,,
7/10/20,Bahrain,Asia,BHR,,,,,,,
7/11/20,Bahrain,Asia,BHR,,,,,,,
7/12/20,Bahrain,Asia,BHR,,,,,,,
7/13/20,Bahrain,Asia,BHR,,,,,,,
7/14/20,Bahrain,Asia,BHR,,,,,,,
7/15/20,Bahrain,Asia,BHR,,,,,,,
7/16/20,Bahrain,Asia,BHR,,,,,,,
7/17/20,Bahrain,Asia,BHR,,,,,,,
7/18/20,Bahrain,Asia,BHR,,,,,,,
7/19/20,Bahrain,Asia,BHR,,,,,,,
7/20/20,Bahrain,Asia,BHR,,,,,,,
7/21/20,Bahrain,Asia,BHR,,,,,,,
7/22/20,Bahrain,Asia,BHR,,,,,,,
7/23/20,Bahrain,Asia,BHR,,,,,,,
7/24/20,Bahrain,Asia,BHR,,,,,,,
7/25/20,Bahrain,Asia,BHR,,,,,,,
7/26/20,Bahrain,Asia,BHR,,,,,,,
7/27/20,Bahrain,Asia,BHR,,,,,,,
7/28/20,Bahrain,Asia,BHR,,,,,,,
7/29/20,Bahrain,Asia,BHR,,,,,,,
7/30/20,Bahrain,Asia,BHR,,,,,,,
7/31/20,Bahrain,Asia,BHR,,,,,,,
8/1/20,Bahrain,Asia,BHR,,,,,,,
8/2/20,Bahrain,Asia,BHR,,,,,,,
8/3/20,Bahrain,Asia,BHR,,,,,,,
8/4/20,Bahrain,Asia,BHR,,,,,,,
8/5/20,Bahrain,Asia,BHR,,,,,,,
8/6/20,Bahrain,Asia,BHR,,,,,,,
8/7/20,Bahrain,Asia,BHR,,,,,,,
8/8/20,Bahrain,Asia,BHR,,,,,,,
8/9/20,Bahrain,Asia,BHR,,,,,,,
8/10/20,Bahrain,Asia,BHR,,,,,,,
8/11/20,Bahrain,Asia,BHR,,,,,,,
8/12/20,Bahrain,Asia,BHR,,,,,,,
8/13/20,Bahrain,Asia,BHR,,,,,,,
8/14/20,Bahrain,Asia,BHR,,,,,,,
8/15/20,Bahrain,Asia,BHR,,,,,,,
8/16/20,Bahrain,Asia,BHR,,,,,,,
8/17/20,Bahrain,Asia,BHR,,,,,,,
8/18/20,Bahrain,Asia,BHR,,,,,,,
8/19/20,Bahrain,Asia,BHR,,,,,,,
8/20/20,Bahrain,Asia,BHR,,,,,,,
8/21/20,Bahrain,Asia,BHR,,,,,,,
8/22/20,Bahrain,Asia,BHR,,,,,,,
8/23/20,Bahrain,Asia,BHR,,,,,,,
8/24/20,Bahrain,Asia,BHR,,,,,,,
8/25/20,Bahrain,Asia,BHR,,,,,,,
8/26/20,Bahrain,Asia,BHR,,,,,,,
8/27/20,Bahrain,Asia,BHR,,,,,,,
8/28/20,Bahrain,Asia,BHR,,,,,,,
8/29/20,Bahrain,Asia,BHR,,,,,,,
8/30/20,Bahrain,Asia,BHR,,,,,,,
8/31/20,Bahrain,Asia,BHR,,,,,,,
9/1/20,Bahrain,Asia,BHR,,,,,,,
9/2/20,Bahrain,Asia,BHR,,,,,,,
9/3/20,Bahrain,Asia,BHR,,,,,,,
9/4/20,Bahrain,Asia,BHR,,,,,,,
9/5/20,Bahrain,Asia,BHR,,,,,,,
9/6/20,Bahrain,Asia,BHR,,,,,,,
9/7/20,Bahrain,Asia,BHR,,,,,,,
9/8/20,Bahrain,Asia,BHR,,,,,,,
9/9/20,Bahrain,Asia,BHR,,,,,,,
9/10/20,Bahrain,Asia,BHR,,,,,,,
9/11/20,Bahrain,Asia,BHR,,,,,,,
9/12/20,Bahrain,Asia,BHR,,,,,,,
9/13/20,Bahrain,Asia,BHR,,,,,,,
9/14/20,Bahrain,Asia,BHR,,,,,,,
9/15/20,Bahrain,Asia,BHR,,,,,,,
9/16/20,Bahrain,Asia,BHR,,,,,,,
9/17/20,Bahrain,Asia,BHR,,,,,,,
9/18/20,Bahrain,Asia,BHR,,,,,,,
9/19/20,Bahrain,Asia,BHR,,,,,,,
9/20/20,Bahrain,Asia,BHR,,,,,,,
9/21/20,Bahrain,Asia,BHR,,,,,,,
9/22/20,Bahrain,Asia,BHR,,,,,,,
9/23/20,Bahrain,Asia,BHR,,,,,,,
9/24/20,Bahrain,Asia,BHR,,,,,,,
9/25/20,Bahrain,Asia,BHR,,,,,,,
9/26/20,Bahrain,Asia,BHR,,,,,,,
9/27/20,Bahrain,Asia,BHR,,,,,,,
9/28/20,Bahrain,Asia,BHR,,,,,,,
9/29/20,Bahrain,Asia,BHR,,,,,,,
9/30/20,Bahrain,Asia,BHR,,,,,,,
10/1/20,Bahrain,Asia,BHR,,,,,,,
10/2/20,Bahrain,Asia,BHR,,,,,,,
10/3/20,Bahrain,Asia,BHR,,,,,,,
10/4/20,Bahrain,Asia,BHR,,,,,,,
10/5/20,Bahrain,Asia,BHR,,,,,,,
10/6/20,Bahrain,Asia,BHR,,,,,,,
10/7/20,Bahrain,Asia,BHR,,,,,,,
10/8/20,Bahrain,Asia,BHR,,,,,,,
10/9/20,Bahrain,Asia,BHR,,,,,,,
10/10/20,Bahrain,Asia,BHR,,,,,,,
10/11/20,Bahrain,Asia,BHR,,,,,,,
10/12/20,Bahrain,Asia,BHR,,,,,,,
10/13/20,Bahrain,Asia,BHR,,,,,,,
10/14/20,Bahrain,Asia,BHR,,,,,,,
10/15/20,Bahrain,Asia,BHR,,,,,,,
10/16/20,Bahrain,Asia,BHR,,,,,,,
10/17/20,Bahrain,Asia,BHR,,,,,,,
10/18/20,Bahrain,Asia,BHR,,,,,,,
10/19/20,Bahrain,Asia,BHR,,,,,,,
10/20/20,Bahrain,Asia,BHR,,,,,,,
10/21/20,Bahrain,Asia,BHR,,,,,,,
10/22/20,Bahrain,Asia,BHR,,,,,,,
10/23/20,Bahrain,Asia,BHR,,,,,,,
10/24/20,Bahrain,Asia,BHR,,,,,,,
10/25/20,Bahrain,Asia,BHR,,,,,,,
10/26/20,Bahrain,Asia,BHR,,,,,,,
10/27/20,Bahrain,Asia,BHR,,,,,,,
10/28/20,Bahrain,Asia,BHR,,,,,,,
10/29/20,Bahrain,Asia,BHR,,,,,,,
10/30/20,Bahrain,Asia,BHR,,,,,,,
10/31/20,Bahrain,Asia,BHR,,,,,,,
11/1/20,Bahrain,Asia,BHR,,,,,,,
11/2/20,Bahrain,Asia,BHR,,,,,,,
11/3/20,Bahrain,Asia,BHR,,,,,,,
11/4/20,Bahrain,Asia,BHR,,,,,,,
11/5/20,Bahrain,Asia,BHR,,,,,,,
11/6/20,Bahrain,Asia,BHR,,,,,,,
11/7/20,Bahrain,Asia,BHR,,,,,,,
11/8/20,Bahrain,Asia,BHR,,,,,,,
11/9/20,Bahrain,Asia,BHR,,,,,,,
11/10/20,Bahrain,Asia,BHR,,,,,,,
11/11/20,Bahrain,Asia,BHR,,,,,,,
11/12/20,Bahrain,Asia,BHR,,,,,,,
11/13/20,Bahrain,Asia,BHR,,,,,,,
11/14/20,Bahrain,Asia,BHR,,,,,,,
11/15/20,Bahrain,Asia,BHR,,,,,,,
11/16/20,Bahrain,Asia,BHR,,,,,,,
11/17/20,Bahrain,Asia,BHR,,,,,,,
11/18/20,Bahrain,Asia,BHR,,,,,,,
11/19/20,Bahrain,Asia,BHR,,,,,,,
11/20/20,Bahrain,Asia,BHR,,,,,,,
11/21/20,Bahrain,Asia,BHR,,,,,,,
11/22/20,Bahrain,Asia,BHR,,,,,,,
11/23/20,Bahrain,Asia,BHR,,,,,,,
11/24/20,Bahrain,Asia,BHR,,,,,,,
11/25/20,Bahrain,Asia,BHR,,,,,,,
11/26/20,Bahrain,Asia,BHR,,,,,,,
11/27/20,Bahrain,Asia,BHR,,,,,,,
11/28/20,Bahrain,Asia,BHR,,,,,,,
11/29/20,Bahrain,Asia,BHR,,,,,,,
11/30/20,Bahrain,Asia,BHR,,,,,,,
12/1/20,Bahrain,Asia,BHR,,,,,,,
12/2/20,Bahrain,Asia,BHR,,,,,,,
12/3/20,Bahrain,Asia,BHR,,,,,,,
