date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-03,Bangladesh,Asia,BGD,,,,,,,
2020-03-04,Bangladesh,Asia,BGD,,,,,,,
2020-03-05,Bangladesh,Asia,BGD,,,,,,,
2020-03-06,Bangladesh,Asia,BGD,,,,,,,
2020-03-07,Bangladesh,Asia,BGD,,,,,,,
2020-03-08,Bangladesh,Asia,BGD,,,,,,,
2020-03-09,Bangladesh,Asia,BGD,,,,,,,
2020-03-10,Bangladesh,Asia,BGD,,,,,,,
2020-03-11,Bangladesh,Asia,BGD,,,,,,,
2020-03-12,Bangladesh,Asia,BGD,,,,,,,
2020-03-13,Bangladesh,Asia,BGD,,,,,,,
2020-03-14,Bangladesh,Asia,BGD,,,,,,,
2020-03-15,Bangladesh,Asia,BGD,,,,,,,
2020-03-16,Bangladesh,Asia,BGD,,,,,,,
2020-03-17,Bangladesh,Asia,BGD,,,,,,,
2020-03-18,Bangladesh,Asia,BGD,,,,,,,
2020-03-19,Bangladesh,Asia,BGD,,,,,,,
2020-03-20,Bangladesh,Asia,BGD,,,,,,,
2020-03-21,Bangladesh,Asia,BGD,,,,,,,
2020-03-22,Bangladesh,Asia,BGD,,,,,,,
2020-03-23,Bangladesh,Asia,BGD,,,,,,,
2020-03-24,Bangladesh,Asia,BGD,,,,,,,
2020-03-25,Bangladesh,Asia,BGD,,,,,,,
2020-03-26,Bangladesh,Asia,BGD,,,,,,,
2020-03-27,Bangladesh,Asia,BGD,,,,,,,
2020-03-28,Bangladesh,Asia,BGD,,,,,,,
2020-03-29,Bangladesh,Asia,BGD,,,,,,,
2020-03-30,Bangladesh,Asia,BGD,,,,,,,
2020-03-31,Bangladesh,Asia,BGD,,,,,,,
2020-04-01,Bangladesh,Asia,BGD,,,,,,,
2020-04-02,Bangladesh,Asia,BGD,,,,,,,
2020-04-03,Bangladesh,Asia,BGD,,,,,,,
2020-04-04,Bangladesh,Asia,BGD,,,,,,,
2020-04-05,Bangladesh,Asia,BGD,,,,,,,
2020-04-06,Bangladesh,Asia,BGD,,,,,,,
2020-04-07,Bangladesh,Asia,BGD,,,,,,,
2020-04-08,Bangladesh,Asia,BGD,,,,,,,
2020-04-09,Bangladesh,Asia,BGD,,,,,,,
2020-04-10,Bangladesh,Asia,BGD,,,,,,,
2020-04-11,Bangladesh,Asia,BGD,,,,,,,
2020-04-12,Bangladesh,Asia,BGD,,,,,,,
2020-04-13,Bangladesh,Asia,BGD,,,,,,,
2020-04-14,Bangladesh,Asia,BGD,,,,,,,
2020-04-15,Bangladesh,Asia,BGD,,,,,,,
2020-04-16,Bangladesh,Asia,BGD,,,,,,,
2020-04-17,Bangladesh,Asia,BGD,,,,,,,
2020-04-18,Bangladesh,Asia,BGD,,,,,,,
2020-04-19,Bangladesh,Asia,BGD,,,,,,,
2020-04-20,Bangladesh,Asia,BGD,,,,,,,
2020-04-21,Bangladesh,Asia,BGD,,,,,,,
2020-04-22,Bangladesh,Asia,BGD,,,,,,,
2020-04-23,Bangladesh,Asia,BGD,,,,,,,
2020-04-24,Bangladesh,Asia,BGD,,,,,,,
2020-04-25,Bangladesh,Asia,BGD,,,,,,,
2020-04-26,Bangladesh,Asia,BGD,,,,,,,
