date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/17/20,Barbados,North America,BRB,,,,,,,
3/18/20,Barbados,North America,BRB,,,,,,,
3/19/20,Barbados,North America,BRB,,,,,,,
3/20/20,Barbados,North America,BRB,,,,,,,
3/21/20,Barbados,North America,BRB,,,,,,,
3/22/20,Barbados,North America,BRB,,,,,,,
3/23/20,Barbados,North America,BRB,,,,,,,
3/24/20,Barbados,North America,BRB,,,,,,,
3/25/20,Barbados,North America,BRB,,,,,,,
3/26/20,Barbados,North America,BRB,,,,,,,
3/27/20,Barbados,North America,BRB,,,,,,,
3/28/20,Barbados,North America,BRB,,,,,,,
3/29/20,Barbados,North America,BRB,,,,,,,
3/30/20,Barbados,North America,BRB,,,,,,,
3/31/20,Barbados,North America,BRB,,,,,,,
4/1/20,Barbados,North America,BRB,,,,,,,
4/2/20,Barbados,North America,BRB,,,,,,,
4/3/20,Barbados,North America,BRB,,,,,,,
4/4/20,Barbados,North America,BRB,,,,,,,
4/5/20,Barbados,North America,BRB,,,,,,,
4/6/20,Barbados,North America,BRB,,,,,,,
4/7/20,Barbados,North America,BRB,,,,,,,
4/8/20,Barbados,North America,BRB,,,,,,,
4/9/20,Barbados,North America,BRB,,,,,,,
4/10/20,Barbados,North America,BRB,,,,,,,
4/11/20,Barbados,North America,BRB,,,,,,,
4/12/20,Barbados,North America,BRB,,,,,,,
4/13/20,Barbados,North America,BRB,,,,,,,
4/14/20,Barbados,North America,BRB,,,,,,,
4/15/20,Barbados,North America,BRB,,,,,,,
4/16/20,Barbados,North America,BRB,,,,,,,
4/17/20,Barbados,North America,BRB,,,,,,,
4/18/20,Barbados,North America,BRB,,,,,,,
4/19/20,Barbados,North America,BRB,,,,,,,
4/20/20,Barbados,North America,BRB,,,,,,,
4/21/20,Barbados,North America,BRB,,,,,,,
4/22/20,Barbados,North America,BRB,,,,,,,
4/23/20,Barbados,North America,BRB,,,,,,,
4/24/20,Barbados,North America,BRB,,,,,,,
4/25/20,Barbados,North America,BRB,,,,,,,
4/26/20,Barbados,North America,BRB,,,,,,,
4/27/20,Barbados,North America,BRB,,,,,,,
4/28/20,Barbados,North America,BRB,,,,,,,
4/29/20,Barbados,North America,BRB,,,,,,,
4/30/20,Barbados,North America,BRB,,,,,,,
5/1/20,Barbados,North America,BRB,,,,,,,
5/2/20,Barbados,North America,BRB,,,,,,,
5/3/20,Barbados,North America,BRB,,,,,,,
5/4/20,Barbados,North America,BRB,,,,,,,
5/5/20,Barbados,North America,BRB,,,,,,,
5/6/20,Barbados,North America,BRB,,,,,,,
5/7/20,Barbados,North America,BRB,,,,,,,
5/8/20,Barbados,North America,BRB,,,,,,,
5/9/20,Barbados,North America,BRB,,,,,,,
5/10/20,Barbados,North America,BRB,,,,,,,
5/11/20,Barbados,North America,BRB,,,,,,,
5/12/20,Barbados,North America,BRB,,,,,,,
5/13/20,Barbados,North America,BRB,,,,,,,
5/14/20,Barbados,North America,BRB,,,,,,,
5/15/20,Barbados,North America,BRB,,,,,,,
5/16/20,Barbados,North America,BRB,,,,,,,
5/17/20,Barbados,North America,BRB,,,,,,,
5/18/20,Barbados,North America,BRB,,,,,,,
5/19/20,Barbados,North America,BRB,,,,,,,
5/20/20,Barbados,North America,BRB,,,,,,,
5/21/20,Barbados,North America,BRB,,,,,,,
5/22/20,Barbados,North America,BRB,,,,,,,
5/23/20,Barbados,North America,BRB,,,,,,,
5/24/20,Barbados,North America,BRB,,,,,,,
5/25/20,Barbados,North America,BRB,,,,,,,
5/26/20,Barbados,North America,BRB,,,,,,,
5/27/20,Barbados,North America,BRB,,,,,,,
5/28/20,Barbados,North America,BRB,,,,,,,
5/29/20,Barbados,North America,BRB,,,,,,,
5/30/20,Barbados,North America,BRB,,,,,,,
5/31/20,Barbados,North America,BRB,,,,,,,
6/1/20,Barbados,North America,BRB,,,,,,,
6/2/20,Barbados,North America,BRB,,,,,,,
6/3/20,Barbados,North America,BRB,,,,,,,
6/4/20,Barbados,North America,BRB,,,,,,,
6/5/20,Barbados,North America,BRB,,,,,,,
6/6/20,Barbados,North America,BRB,,,,,,,
6/7/20,Barbados,North America,BRB,,,,,,,
6/8/20,Barbados,North America,BRB,,,,,,,
6/9/20,Barbados,North America,BRB,,,,,,,
6/10/20,Barbados,North America,BRB,,,,,,,
6/11/20,Barbados,North America,BRB,,,,,,,
6/12/20,Barbados,North America,BRB,,,,,,,
6/13/20,Barbados,North America,BRB,,,,,,,
6/14/20,Barbados,North America,BRB,,,,,,,
6/15/20,Barbados,North America,BRB,,,,,,,
6/16/20,Barbados,North America,BRB,,,,,,,
6/17/20,Barbados,North America,BRB,,,,,,,
6/18/20,Barbados,North America,BRB,,,,,,,
6/19/20,Barbados,North America,BRB,,,,,,,
6/20/20,Barbados,North America,BRB,,,,,,,
6/21/20,Barbados,North America,BRB,,,,,,,
6/22/20,Barbados,North America,BRB,,,,,,,
6/23/20,Barbados,North America,BRB,,,,,,,
6/24/20,Barbados,North America,BRB,,,,,,,
6/25/20,Barbados,North America,BRB,,,,,,,
6/26/20,Barbados,North America,BRB,,,,,,,
6/27/20,Barbados,North America,BRB,,,,,,,
6/28/20,Barbados,North America,BRB,,,,,,,
6/29/20,Barbados,North America,BRB,,,,,,,
6/30/20,Barbados,North America,BRB,,,,,,,
7/1/20,Barbados,North America,BRB,,,,,,,
7/2/20,Barbados,North America,BRB,,,,,,,
7/3/20,Barbados,North America,BRB,,,,,,,
7/4/20,Barbados,North America,BRB,,,,,,,
7/5/20,Barbados,North America,BRB,,,,,,,
7/6/20,Barbados,North America,BRB,,,,,,,
7/7/20,Barbados,North America,BRB,,,,,,,
7/8/20,Barbados,North America,BRB,,,,,,,
7/9/20,Barbados,North America,BRB,,,,,,,
7/10/20,Barbados,North America,BRB,,,,,,,
7/11/20,Barbados,North America,BRB,,,,,,,
7/12/20,Barbados,North America,BRB,,,,,,,
7/13/20,Barbados,North America,BRB,,,,,,,
7/14/20,Barbados,North America,BRB,,,,,,,
7/15/20,Barbados,North America,BRB,,,,,,,
7/16/20,Barbados,North America,BRB,,,,,,,
7/17/20,Barbados,North America,BRB,,,,,,,
7/18/20,Barbados,North America,BRB,,,,,,,
7/19/20,Barbados,North America,BRB,,,,,,,
7/20/20,Barbados,North America,BRB,,,,,,,
7/21/20,Barbados,North America,BRB,,,,,,,
7/22/20,Barbados,North America,BRB,,,,,,,
7/23/20,Barbados,North America,BRB,,,,,,,
7/24/20,Barbados,North America,BRB,,,,,,,
7/25/20,Barbados,North America,BRB,,,,,,,
7/26/20,Barbados,North America,BRB,,,,,,,
7/27/20,Barbados,North America,BRB,,,,,,,
7/28/20,Barbados,North America,BRB,,,,,,,
7/29/20,Barbados,North America,BRB,,,,,,,
7/30/20,Barbados,North America,BRB,,,,,,,
7/31/20,Barbados,North America,BRB,,,,,,,
8/1/20,Barbados,North America,BRB,,,,,,,
8/2/20,Barbados,North America,BRB,,,,,,,
8/3/20,Barbados,North America,BRB,,,,,,,
8/4/20,Barbados,North America,BRB,,,,,,,
8/5/20,Barbados,North America,BRB,,,,,,,
