date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-04,Belgium,Europe,BEL,,,,,,,
2020-02-05,Belgium,Europe,BEL,,,,,,,
2020-02-06,Belgium,Europe,BEL,,,,,,,
2020-02-07,Belgium,Europe,BEL,,,,,,,
2020-02-08,Belgium,Europe,BEL,,,,,,,
2020-02-09,Belgium,Europe,BEL,,,,,,,
2020-02-10,Belgium,Europe,BEL,,,,,,,
2020-02-11,Belgium,Europe,BEL,,,,,,,
2020-02-12,Belgium,Europe,BEL,,,,,,,
2020-02-13,Belgium,Europe,BEL,,,,,,,
2020-02-14,Belgium,Europe,BEL,,,,,,,
2020-02-15,Belgium,Europe,BEL,,,,,,,
2020-02-16,Belgium,Europe,BEL,,,,,,,
2020-02-17,Belgium,Europe,BEL,,,,,,,
2020-02-18,Belgium,Europe,BEL,,,,,,,
2020-02-19,Belgium,Europe,BEL,,,,,,,
2020-02-20,Belgium,Europe,BEL,,,,,,,
2020-02-21,Belgium,Europe,BEL,,,,,,,
2020-02-22,Belgium,Europe,BEL,,,,,,,
2020-02-23,Belgium,Europe,BEL,,,,,,,
2020-02-24,Belgium,Europe,BEL,,,,,,,
2020-02-25,Belgium,Europe,BEL,,,,,,,
2020-02-26,Belgium,Europe,BEL,,,,,,,
2020-02-27,Belgium,Europe,BEL,,,,,,,
2020-02-28,Belgium,Europe,BEL,,,,,,,
2020-02-29,Belgium,Europe,BEL,,,,,,,
2020-03-01,Belgium,Europe,BEL,,,,,,,
2020-03-02,Belgium,Europe,BEL,,,,,,,
2020-03-03,Belgium,Europe,BEL,,,,,,,
2020-03-04,Belgium,Europe,BEL,,,,,,,
2020-03-05,Belgium,Europe,BEL,,,,,,,
2020-03-06,Belgium,Europe,BEL,,,,,,,
2020-03-07,Belgium,Europe,BEL,,,,,,,
2020-03-08,Belgium,Europe,BEL,,,,,,,
2020-03-09,Belgium,Europe,BEL,,,,,,,
2020-03-10,Belgium,Europe,BEL,,,,,,,
2020-03-11,Belgium,Europe,BEL,,,,,,,
2020-03-12,Belgium,Europe,BEL,,,,,,,
2020-03-13,Belgium,Europe,BEL,,,,,,,
2020-03-14,Belgium,Europe,BEL,,,,,,,
2020-03-15,Belgium,Europe,BEL,,,,,,,
2020-03-16,Belgium,Europe,BEL,,,,,,,
2020-03-17,Belgium,Europe,BEL,,,,,,,
2020-03-18,Belgium,Europe,BEL,,,,,,,
2020-03-19,Belgium,Europe,BEL,,,,,,,
2020-03-20,Belgium,Europe,BEL,,,,,,,
2020-03-21,Belgium,Europe,BEL,,,,,,,
