date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/23/20,Belize,North America,BLZ,,,,,,,
3/24/20,Belize,North America,BLZ,,,,,,,
3/25/20,Belize,North America,BLZ,,,,,,,
3/26/20,Belize,North America,BLZ,,,,,,,
3/27/20,Belize,North America,BLZ,,,,,,,
3/28/20,Belize,North America,BLZ,,,,,,,
3/29/20,Belize,North America,BLZ,,,,,,,
3/30/20,Belize,North America,BLZ,,,,,,,
3/31/20,Belize,North America,BLZ,,,,,,,
4/1/20,Belize,North America,BLZ,,,,,,,
4/2/20,Belize,North America,BLZ,,,,,,,
4/3/20,Belize,North America,BLZ,,,,,,,
4/4/20,Belize,North America,BLZ,,,,,,,
4/5/20,Belize,North America,BLZ,,,,,,,
4/6/20,Belize,North America,BLZ,,,,,,,
4/7/20,Belize,North America,BLZ,,,,,,,
4/8/20,Belize,North America,BLZ,,,,,,,
4/9/20,Belize,North America,BLZ,,,,,,,
4/10/20,Belize,North America,BLZ,,,,,,,
4/11/20,Belize,North America,BLZ,,,,,,,
4/12/20,Belize,North America,BLZ,,,,,,,
4/13/20,Belize,North America,BLZ,,,,,,,
4/14/20,Belize,North America,BLZ,,,,,,,
4/15/20,Belize,North America,BLZ,,,,,,,
4/16/20,Belize,North America,BLZ,,,,,,,
4/17/20,Belize,North America,BLZ,,,,,,,
4/18/20,Belize,North America,BLZ,,,,,,,
4/19/20,Belize,North America,BLZ,,,,,,,
4/20/20,Belize,North America,BLZ,,,,,,,
4/21/20,Belize,North America,BLZ,,,,,,,
4/22/20,Belize,North America,BLZ,,,,,,,
4/23/20,Belize,North America,BLZ,,,,,,,
4/24/20,Belize,North America,BLZ,,,,,,,
4/25/20,Belize,North America,BLZ,,,,,,,
4/26/20,Belize,North America,BLZ,,,,,,,
4/27/20,Belize,North America,BLZ,,,,,,,
4/28/20,Belize,North America,BLZ,,,,,,,
4/29/20,Belize,North America,BLZ,,,,,,,
4/30/20,Belize,North America,BLZ,,,,,,,
5/1/20,Belize,North America,BLZ,,,,,,,
5/2/20,Belize,North America,BLZ,,,,,,,
5/3/20,Belize,North America,BLZ,,,,,,,
5/4/20,Belize,North America,BLZ,,,,,,,
5/5/20,Belize,North America,BLZ,,,,,,,
5/6/20,Belize,North America,BLZ,,,,,,,
5/7/20,Belize,North America,BLZ,,,,,,,
5/8/20,Belize,North America,BLZ,,,,,,,
5/9/20,Belize,North America,BLZ,,,,,,,
5/10/20,Belize,North America,BLZ,,,,,,,
5/11/20,Belize,North America,BLZ,,,,,,,
5/12/20,Belize,North America,BLZ,,,,,,,
5/13/20,Belize,North America,BLZ,,,,,,,
5/14/20,Belize,North America,BLZ,,,,,,,
5/15/20,Belize,North America,BLZ,,,,,,,
5/16/20,Belize,North America,BLZ,,,,,,,
5/17/20,Belize,North America,BLZ,,,,,,,
5/18/20,Belize,North America,BLZ,,,,,,,
5/19/20,Belize,North America,BLZ,,,,,,,
5/20/20,Belize,North America,BLZ,,,,,,,
5/21/20,Belize,North America,BLZ,,,,,,,
5/22/20,Belize,North America,BLZ,,,,,,,
5/23/20,Belize,North America,BLZ,,,,,,,
5/24/20,Belize,North America,BLZ,,,,,,,
5/25/20,Belize,North America,BLZ,,,,,,,
5/26/20,Belize,North America,BLZ,,,,,,,
5/27/20,Belize,North America,BLZ,,,,,,,
5/28/20,Belize,North America,BLZ,,,,,,,
5/29/20,Belize,North America,BLZ,,,,,,,
5/30/20,Belize,North America,BLZ,,,,,,,
5/31/20,Belize,North America,BLZ,,,,,,,
6/1/20,Belize,North America,BLZ,,,,,,,
6/2/20,Belize,North America,BLZ,,,,,,,
6/3/20,Belize,North America,BLZ,,,,,,,
6/4/20,Belize,North America,BLZ,,,,,,,
6/5/20,Belize,North America,BLZ,,,,,,,
6/6/20,Belize,North America,BLZ,,,,,,,
6/7/20,Belize,North America,BLZ,,,,,,,
6/8/20,Belize,North America,BLZ,,,,,,,
6/9/20,Belize,North America,BLZ,,,,,,,
6/10/20,Belize,North America,BLZ,,,,,,,
6/11/20,Belize,North America,BLZ,,,,,,,
6/12/20,Belize,North America,BLZ,,,,,,,
6/13/20,Belize,North America,BLZ,,,,,,,
6/14/20,Belize,North America,BLZ,,,,,,,
6/15/20,Belize,North America,BLZ,,,,,,,
6/16/20,Belize,North America,BLZ,,,,,,,
6/17/20,Belize,North America,BLZ,,,,,,,
6/18/20,Belize,North America,BLZ,,,,,,,
6/19/20,Belize,North America,BLZ,,,,,,,
6/20/20,Belize,North America,BLZ,,,,,,,
6/21/20,Belize,North America,BLZ,,,,,,,
6/22/20,Belize,North America,BLZ,,,,,,,
6/23/20,Belize,North America,BLZ,,,,,,,
6/24/20,Belize,North America,BLZ,,,,,,,
6/25/20,Belize,North America,BLZ,,,,,,,
6/26/20,Belize,North America,BLZ,,,,,,,
6/27/20,Belize,North America,BLZ,,,,,,,
6/28/20,Belize,North America,BLZ,,,,,,,
6/29/20,Belize,North America,BLZ,,,,,,,
6/30/20,Belize,North America,BLZ,,,,,,,
7/1/20,Belize,North America,BLZ,,,,,,,
7/2/20,Belize,North America,BLZ,,,,,,,
7/3/20,Belize,North America,BLZ,,,,,,,
7/4/20,Belize,North America,BLZ,,,,,,,
7/5/20,Belize,North America,BLZ,,,,,,,
7/6/20,Belize,North America,BLZ,,,,,,,
7/7/20,Belize,North America,BLZ,,,,,,,
7/8/20,Belize,North America,BLZ,,,,,,,
7/9/20,Belize,North America,BLZ,,,,,,,
7/10/20,Belize,North America,BLZ,,,,,,,
7/11/20,Belize,North America,BLZ,,,,,,,
7/12/20,Belize,North America,BLZ,,,,,,,
7/13/20,Belize,North America,BLZ,,,,,,,
7/14/20,Belize,North America,BLZ,,,,,,,
7/15/20,Belize,North America,BLZ,,,,,,,
7/16/20,Belize,North America,BLZ,,,,,,,
7/17/20,Belize,North America,BLZ,,,,,,,
7/18/20,Belize,North America,BLZ,,,,,,,
7/19/20,Belize,North America,BLZ,,,,,,,
7/20/20,Belize,North America,BLZ,,,,,,,
7/21/20,Belize,North America,BLZ,,,,,,,
7/22/20,Belize,North America,BLZ,,,,,,,
7/23/20,Belize,North America,BLZ,,,,,,,
7/24/20,Belize,North America,BLZ,,,,,,,
7/25/20,Belize,North America,BLZ,,,,,,,
7/26/20,Belize,North America,BLZ,,,,,,,
7/27/20,Belize,North America,BLZ,,,,,,,
7/28/20,Belize,North America,BLZ,,,,,,,
7/29/20,Belize,North America,BLZ,,,,,,,
7/30/20,Belize,North America,BLZ,,,,,,,
7/31/20,Belize,North America,BLZ,,,,,,,
8/1/20,Belize,North America,BLZ,,,,,,,
8/2/20,Belize,North America,BLZ,,,,,,,
8/3/20,Belize,North America,BLZ,,,,,,,
8/4/20,Belize,North America,BLZ,,,,,,,
8/5/20,Belize,North America,BLZ,,,,,,,
8/6/20,Belize,North America,BLZ,,,,,,,
8/7/20,Belize,North America,BLZ,,,,,,,
8/8/20,Belize,North America,BLZ,,,,,,,
8/9/20,Belize,North America,BLZ,,,,,,,
8/10/20,Belize,North America,BLZ,,,,,,,
8/11/20,Belize,North America,BLZ,,,,,,,
8/12/20,Belize,North America,BLZ,,,,,,,
8/13/20,Belize,North America,BLZ,,,,,,,
8/14/20,Belize,North America,BLZ,,,,,,,
8/15/20,Belize,North America,BLZ,,,,,,,
8/16/20,Belize,North America,BLZ,,,,,,,
8/17/20,Belize,North America,BLZ,,,,,,,
8/18/20,Belize,North America,BLZ,,,,,,,
8/19/20,Belize,North America,BLZ,,,,,,,
8/20/20,Belize,North America,BLZ,,,,,,,
8/21/20,Belize,North America,BLZ,,,,,,,
8/22/20,Belize,North America,BLZ,,,,,,,
8/23/20,Belize,North America,BLZ,,,,,,,
8/24/20,Belize,North America,BLZ,,,,,,,
8/25/20,Belize,North America,BLZ,,,,,,,
8/26/20,Belize,North America,BLZ,,,,,,,
8/27/20,Belize,North America,BLZ,,,,,,,
8/28/20,Belize,North America,BLZ,,,,,,,
8/29/20,Belize,North America,BLZ,,,,,,,
8/30/20,Belize,North America,BLZ,,,,,,,
8/31/20,Belize,North America,BLZ,,,,,,,
9/1/20,Belize,North America,BLZ,,,,,,,
9/2/20,Belize,North America,BLZ,,,,,,,
9/3/20,Belize,North America,BLZ,,,,,,,
9/4/20,Belize,North America,BLZ,,,,,,,
9/5/20,Belize,North America,BLZ,,,,,,,
9/6/20,Belize,North America,BLZ,,,,,,,
9/7/20,Belize,North America,BLZ,,,,,,,
9/8/20,Belize,North America,BLZ,,,,,,,
9/9/20,Belize,North America,BLZ,,,,,,,
9/10/20,Belize,North America,BLZ,,,,,,,
9/11/20,Belize,North America,BLZ,,,,,,,
9/12/20,Belize,North America,BLZ,,,,,,,
9/13/20,Belize,North America,BLZ,,,,,,,
9/14/20,Belize,North America,BLZ,,,,,,,
9/15/20,Belize,North America,BLZ,,,,,,,
9/16/20,Belize,North America,BLZ,,,,,,,
9/17/20,Belize,North America,BLZ,,,,,,,
9/18/20,Belize,North America,BLZ,,,,,,,
9/19/20,Belize,North America,BLZ,,,,,,,
