date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/16/20,Benin,Africa,BEN,,,,,,,
3/17/20,Benin,Africa,BEN,,,,,,,
3/18/20,Benin,Africa,BEN,,,,,,,
3/19/20,Benin,Africa,BEN,,,,,,,
3/20/20,Benin,Africa,BEN,,,,,,,
3/21/20,Benin,Africa,BEN,,,,,,,
3/22/20,Benin,Africa,BEN,,,,,,,
3/23/20,Benin,Africa,BEN,,,,,,,
3/24/20,Benin,Africa,BEN,,,,,,,
3/25/20,Benin,Africa,BEN,,,,,,,
3/26/20,Benin,Africa,BEN,,,,,,,
3/27/20,Benin,Africa,BEN,,,,,,,
3/28/20,Benin,Africa,BEN,,,,,,,
3/29/20,Benin,Africa,BEN,,,,,,,
3/30/20,Benin,Africa,BEN,,,,,,,
3/31/20,Benin,Africa,BEN,,,,,,,
4/1/20,Benin,Africa,BEN,,,,,,,
4/2/20,Benin,Africa,BEN,,,,,,,
4/3/20,Benin,Africa,BEN,,,,,,,
4/4/20,Benin,Africa,BEN,,,,,,,
4/5/20,Benin,Africa,BEN,,,,,,,
4/6/20,Benin,Africa,BEN,,,,,,,
4/7/20,Benin,Africa,BEN,,,,,,,
4/8/20,Benin,Africa,BEN,,,,,,,
4/9/20,Benin,Africa,BEN,,,,,,,
4/10/20,Benin,Africa,BEN,,,,,,,
4/11/20,Benin,Africa,BEN,,,,,,,
4/12/20,Benin,Africa,BEN,,,,,,,
4/13/20,Benin,Africa,BEN,,,,,,,
4/14/20,Benin,Africa,BEN,,,,,,,
4/15/20,Benin,Africa,BEN,,,,,,,
4/16/20,Benin,Africa,BEN,,,,,,,
4/17/20,Benin,Africa,BEN,,,,,,,
4/18/20,Benin,Africa,BEN,,,,,,,
4/19/20,Benin,Africa,BEN,,,,,,,
4/20/20,Benin,Africa,BEN,,,,,,,
4/21/20,Benin,Africa,BEN,,,,,,,
4/22/20,Benin,Africa,BEN,,,,,,,
4/23/20,Benin,Africa,BEN,,,,,,,
4/24/20,Benin,Africa,BEN,,,,,,,
4/25/20,Benin,Africa,BEN,,,,,,,
4/26/20,Benin,Africa,BEN,,,,,,,
4/27/20,Benin,Africa,BEN,,,,,,,
4/28/20,Benin,Africa,BEN,,,,,,,
4/29/20,Benin,Africa,BEN,,,,,,,
4/30/20,Benin,Africa,BEN,,,,,,,
5/1/20,Benin,Africa,BEN,,,,,,,
5/2/20,Benin,Africa,BEN,,,,,,,
5/3/20,Benin,Africa,BEN,,,,,,,
5/4/20,Benin,Africa,BEN,,,,,,,
5/5/20,Benin,Africa,BEN,,,,,,,
5/6/20,Benin,Africa,BEN,,,,,,,
5/7/20,Benin,Africa,BEN,,,,,,,
5/8/20,Benin,Africa,BEN,,,,,,,
5/9/20,Benin,Africa,BEN,,,,,,,
5/10/20,Benin,Africa,BEN,,,,,,,
5/11/20,Benin,Africa,BEN,,,,,,,
5/12/20,Benin,Africa,BEN,,,,,,,
5/13/20,Benin,Africa,BEN,,,,,,,
5/14/20,Benin,Africa,BEN,,,,,,,
5/15/20,Benin,Africa,BEN,,,,,,,
5/16/20,Benin,Africa,BEN,,,,,,,
5/17/20,Benin,Africa,BEN,,,,,,,
5/18/20,Benin,Africa,BEN,,,,,,,
5/19/20,Benin,Africa,BEN,,,,,,,
5/20/20,Benin,Africa,BEN,,,,,,,
5/21/20,Benin,Africa,BEN,,,,,,,
5/22/20,Benin,Africa,BEN,,,,,,,
5/23/20,Benin,Africa,BEN,,,,,,,
5/24/20,Benin,Africa,BEN,,,,,,,
5/25/20,Benin,Africa,BEN,,,,,,,
5/26/20,Benin,Africa,BEN,,,,,,,
5/27/20,Benin,Africa,BEN,,,,,,,
5/28/20,Benin,Africa,BEN,,,,,,,
5/29/20,Benin,Africa,BEN,,,,,,,
5/30/20,Benin,Africa,BEN,,,,,,,
5/31/20,Benin,Africa,BEN,,,,,,,
6/1/20,Benin,Africa,BEN,,,,,,,
6/2/20,Benin,Africa,BEN,,,,,,,
6/3/20,Benin,Africa,BEN,,,,,,,
6/4/20,Benin,Africa,BEN,,,,,,,
6/5/20,Benin,Africa,BEN,,,,,,,
6/6/20,Benin,Africa,BEN,,,,,,,
6/7/20,Benin,Africa,BEN,,,,,,,
6/8/20,Benin,Africa,BEN,,,,,,,
6/9/20,Benin,Africa,BEN,,,,,,,
6/10/20,Benin,Africa,BEN,,,,,,,
6/11/20,Benin,Africa,BEN,,,,,,,
6/12/20,Benin,Africa,BEN,,,,,,,
6/13/20,Benin,Africa,BEN,,,,,,,
6/14/20,Benin,Africa,BEN,,,,,,,
6/15/20,Benin,Africa,BEN,,,,,,,
6/16/20,Benin,Africa,BEN,,,,,,,
6/17/20,Benin,Africa,BEN,,,,,,,
6/18/20,Benin,Africa,BEN,,,,,,,
6/19/20,Benin,Africa,BEN,,,,,,,
6/20/20,Benin,Africa,BEN,,,,,,,
6/21/20,Benin,Africa,BEN,,,,,,,
6/22/20,Benin,Africa,BEN,,,,,,,
6/23/20,Benin,Africa,BEN,,,,,,,
6/24/20,Benin,Africa,BEN,,,,,,,
6/25/20,Benin,Africa,BEN,,,,,,,
6/26/20,Benin,Africa,BEN,,,,,,,
6/27/20,Benin,Africa,BEN,,,,,,,
6/28/20,Benin,Africa,BEN,,,,,,,
6/29/20,Benin,Africa,BEN,,,,,,,
6/30/20,Benin,Africa,BEN,,,,,,,
7/1/20,Benin,Africa,BEN,,,,,,,
7/2/20,Benin,Africa,BEN,,,,,,,
7/3/20,Benin,Africa,BEN,,,,,,,
7/4/20,Benin,Africa,BEN,,,,,,,
7/5/20,Benin,Africa,BEN,,,,,,,
7/6/20,Benin,Africa,BEN,,,,,,,
7/7/20,Benin,Africa,BEN,,,,,,,
7/8/20,Benin,Africa,BEN,,,,,,,
7/9/20,Benin,Africa,BEN,,,,,,,
7/10/20,Benin,Africa,BEN,,,,,,,
7/11/20,Benin,Africa,BEN,,,,,,,
7/12/20,Benin,Africa,BEN,,,,,,,
7/13/20,Benin,Africa,BEN,,,,,,,
7/14/20,Benin,Africa,BEN,,,,,,,
7/15/20,Benin,Africa,BEN,,,,,,,
7/16/20,Benin,Africa,BEN,,,,,,,
7/17/20,Benin,Africa,BEN,,,,,,,
7/18/20,Benin,Africa,BEN,,,,,,,
7/19/20,Benin,Africa,BEN,,,,,,,
7/20/20,Benin,Africa,BEN,,,,,,,
7/21/20,Benin,Africa,BEN,,,,,,,
7/22/20,Benin,Africa,BEN,,,,,,,
7/23/20,Benin,Africa,BEN,,,,,,,
7/24/20,Benin,Africa,BEN,,,,,,,
7/25/20,Benin,Africa,BEN,,,,,,,
7/26/20,Benin,Africa,BEN,,,,,,,
7/27/20,Benin,Africa,BEN,,,,,,,
7/28/20,Benin,Africa,BEN,,,,,,,
7/29/20,Benin,Africa,BEN,,,,,,,
7/30/20,Benin,Africa,BEN,,,,,,,
7/31/20,Benin,Africa,BEN,,,,,,,
8/1/20,Benin,Africa,BEN,,,,,,,
8/2/20,Benin,Africa,BEN,,,,,,,
8/3/20,Benin,Africa,BEN,,,,,,,
8/4/20,Benin,Africa,BEN,,,,,,,
8/5/20,Benin,Africa,BEN,,,,,,,
8/6/20,Benin,Africa,BEN,,,,,,,
8/7/20,Benin,Africa,BEN,,,,,,,
8/8/20,Benin,Africa,BEN,,,,,,,
8/9/20,Benin,Africa,BEN,,,,,,,
8/10/20,Benin,Africa,BEN,,,,,,,
8/11/20,Benin,Africa,BEN,,,,,,,
8/12/20,Benin,Africa,BEN,,,,,,,
8/13/20,Benin,Africa,BEN,,,,,,,
8/14/20,Benin,Africa,BEN,,,,,,,
8/15/20,Benin,Africa,BEN,,,,,,,
8/16/20,Benin,Africa,BEN,,,,,,,
8/17/20,Benin,Africa,BEN,,,,,,,
8/18/20,Benin,Africa,BEN,,,,,,,
8/19/20,Benin,Africa,BEN,,,,,,,
8/20/20,Benin,Africa,BEN,,,,,,,
8/21/20,Benin,Africa,BEN,,,,,,,
8/22/20,Benin,Africa,BEN,,,,,,,
8/23/20,Benin,Africa,BEN,,,,,,,
8/24/20,Benin,Africa,BEN,,,,,,,
8/25/20,Benin,Africa,BEN,,,,,,,
8/26/20,Benin,Africa,BEN,,,,,,,
8/27/20,Benin,Africa,BEN,,,,,,,
8/28/20,Benin,Africa,BEN,,,,,,,
8/29/20,Benin,Africa,BEN,,,,,,,
8/30/20,Benin,Africa,BEN,,,,,,,
8/31/20,Benin,Africa,BEN,,,,,,,
9/1/20,Benin,Africa,BEN,,,,,,,
9/2/20,Benin,Africa,BEN,,,,,,,
9/3/20,Benin,Africa,BEN,,,,,,,
9/4/20,Benin,Africa,BEN,,,,,,,
9/5/20,Benin,Africa,BEN,,,,,,,
9/6/20,Benin,Africa,BEN,,,,,,,
9/7/20,Benin,Africa,BEN,,,,,,,
9/8/20,Benin,Africa,BEN,,,,,,,
9/9/20,Benin,Africa,BEN,,,,,,,
9/10/20,Benin,Africa,BEN,,,,,,,
9/11/20,Benin,Africa,BEN,,,,,,,
9/12/20,Benin,Africa,BEN,,,,,,,
9/13/20,Benin,Africa,BEN,,,,,,,
9/14/20,Benin,Africa,BEN,,,,,,,
9/15/20,Benin,Africa,BEN,,,,,,,
9/16/20,Benin,Africa,BEN,,,,,,,
9/17/20,Benin,Africa,BEN,,,,,,,
9/18/20,Benin,Africa,BEN,,,,,,,
9/19/20,Benin,Africa,BEN,,,,,,,
9/20/20,Benin,Africa,BEN,,,,,,,
9/21/20,Benin,Africa,BEN,,,,,,,
9/22/20,Benin,Africa,BEN,,,,,,,
9/23/20,Benin,Africa,BEN,,,,,,,
9/24/20,Benin,Africa,BEN,,,,,,,
9/25/20,Benin,Africa,BEN,,,,,,,
9/26/20,Benin,Africa,BEN,,,,,,,
9/27/20,Benin,Africa,BEN,,,,,,,
9/28/20,Benin,Africa,BEN,,,,,,,
9/29/20,Benin,Africa,BEN,,,,,,,
9/30/20,Benin,Africa,BEN,,,,,,,
10/1/20,Benin,Africa,BEN,,,,,,,
10/2/20,Benin,Africa,BEN,,,,,,,
10/3/20,Benin,Africa,BEN,,,,,,,
10/4/20,Benin,Africa,BEN,,,,,,,
10/5/20,Benin,Africa,BEN,,,,,,,
10/6/20,Benin,Africa,BEN,,,,,,,
10/7/20,Benin,Africa,BEN,,,,,,,
10/8/20,Benin,Africa,BEN,,,,,,,
10/9/20,Benin,Africa,BEN,,,,,,,
10/10/20,Benin,Africa,BEN,,,,,,,
10/11/20,Benin,Africa,BEN,,,,,,,
10/12/20,Benin,Africa,BEN,,,,,,,
10/13/20,Benin,Africa,BEN,,,,,,,
10/14/20,Benin,Africa,BEN,,,,,,,
10/15/20,Benin,Africa,BEN,,,,,,,
10/16/20,Benin,Africa,BEN,,,,,,,
10/17/20,Benin,Africa,BEN,,,,,,,
10/18/20,Benin,Africa,BEN,,,,,,,
10/19/20,Benin,Africa,BEN,,,,,,,
10/20/20,Benin,Africa,BEN,,,,,,,
10/21/20,Benin,Africa,BEN,,,,,,,
10/22/20,Benin,Africa,BEN,,,,,,,
10/23/20,Benin,Africa,BEN,,,,,,,
10/24/20,Benin,Africa,BEN,,,,,,,
10/25/20,Benin,Africa,BEN,,,,,,,
10/26/20,Benin,Africa,BEN,,,,,,,
10/27/20,Benin,Africa,BEN,,,,,,,
10/28/20,Benin,Africa,BEN,,,,,,,
10/29/20,Benin,Africa,BEN,,,,,,,
10/30/20,Benin,Africa,BEN,,,,,,,
10/31/20,Benin,Africa,BEN,,,,,,,
11/1/20,Benin,Africa,BEN,,,,,,,
11/2/20,Benin,Africa,BEN,,,,,,,
11/3/20,Benin,Africa,BEN,,,,,,,
11/4/20,Benin,Africa,BEN,,,,,,,
11/5/20,Benin,Africa,BEN,,,,,,,
11/6/20,Benin,Africa,BEN,,,,,,,
11/7/20,Benin,Africa,BEN,,,,,,,
11/8/20,Benin,Africa,BEN,,,,,,,
11/9/20,Benin,Africa,BEN,,,,,,,
11/10/20,Benin,Africa,BEN,,,,,,,
11/11/20,Benin,Africa,BEN,,,,,,,
11/12/20,Benin,Africa,BEN,,,,,,,
11/13/20,Benin,Africa,BEN,,,,,,,
11/14/20,Benin,Africa,BEN,,,,,,,
11/15/20,Benin,Africa,BEN,,,,,,,
11/16/20,Benin,Africa,BEN,,,,,,,
11/17/20,Benin,Africa,BEN,,,,,,,
11/18/20,Benin,Africa,BEN,,,,,,,
11/19/20,Benin,Africa,BEN,,,,,,,
11/20/20,Benin,Africa,BEN,,,,,,,
11/21/20,Benin,Africa,BEN,,,,,,,
11/22/20,Benin,Africa,BEN,,,,,,,
11/23/20,Benin,Africa,BEN,,,,,,,
11/24/20,Benin,Africa,BEN,,,,,,,
11/25/20,Benin,Africa,BEN,,,,,,,
11/26/20,Benin,Africa,BEN,,,,,,,
11/27/20,Benin,Africa,BEN,,,,,,,
11/28/20,Benin,Africa,BEN,,,,,,,
11/29/20,Benin,Africa,BEN,,,,,,,
11/30/20,Benin,Africa,BEN,,,,,,,
12/1/20,Benin,Africa,BEN,,,,,,,
12/2/20,Benin,Africa,BEN,,,,,,,
12/3/20,Benin,Africa,BEN,,,,,,,
12/4/20,Benin,Africa,BEN,,,,,,,
12/5/20,Benin,Africa,BEN,,,,,,,
12/6/20,Benin,Africa,BEN,,,,,,,
12/7/20,Benin,Africa,BEN,,,,,,,
12/8/20,Benin,Africa,BEN,,,,,,,
12/9/20,Benin,Africa,BEN,,,,,,,
12/10/20,Benin,Africa,BEN,,,,,,,
12/11/20,Benin,Africa,BEN,,,,,,,
12/12/20,Benin,Africa,BEN,,,,,,,
12/13/20,Benin,Africa,BEN,,,,,,,
12/14/20,Benin,Africa,BEN,,,,,,,
12/15/20,Benin,Africa,BEN,,,,,,,
12/16/20,Benin,Africa,BEN,,,,,,,
12/17/20,Benin,Africa,BEN,,,,,,,
12/18/20,Benin,Africa,BEN,,,,,,,
12/19/20,Benin,Africa,BEN,,,,,,,
12/20/20,Benin,Africa,BEN,,,,,,,
12/21/20,Benin,Africa,BEN,,,,,,,
12/22/20,Benin,Africa,BEN,,,,,,,
12/23/20,Benin,Africa,BEN,,,,,,,
12/24/20,Benin,Africa,BEN,,,,,,,
12/25/20,Benin,Africa,BEN,,,,,,,
12/26/20,Benin,Africa,BEN,,,,,,,
12/27/20,Benin,Africa,BEN,,,,,,,
12/28/20,Benin,Africa,BEN,,,,,,,
12/29/20,Benin,Africa,BEN,,,,,,,
12/30/20,Benin,Africa,BEN,,,,,,,
12/31/20,Benin,Africa,BEN,,,,,,,
1/1/21,Benin,Africa,BEN,,,,,,,
1/2/21,Benin,Africa,BEN,,,,,,,
1/3/21,Benin,Africa,BEN,,,,,,,
1/4/21,Benin,Africa,BEN,,,,,,,
1/5/21,Benin,Africa,BEN,,,,,,,
1/6/21,Benin,Africa,BEN,,,,,,,
1/7/21,Benin,Africa,BEN,,,,,,,
1/8/21,Benin,Africa,BEN,,,,,,,
1/9/21,Benin,Africa,BEN,,,,,,,
1/10/21,Benin,Africa,BEN,,,,,,,
1/11/21,Benin,Africa,BEN,,,,,,,
1/12/21,Benin,Africa,BEN,,,,,,,
1/13/21,Benin,Africa,BEN,,,,,,,
1/14/21,Benin,Africa,BEN,,,,,,,
1/15/21,Benin,Africa,BEN,,,,,,,
1/16/21,Benin,Africa,BEN,,,,,,,
1/17/21,Benin,Africa,BEN,,,,,,,
1/18/21,Benin,Africa,BEN,,,,,,,
1/19/21,Benin,Africa,BEN,,,,,,,
1/20/21,Benin,Africa,BEN,,,,,,,
1/21/21,Benin,Africa,BEN,,,,,,,
1/22/21,Benin,Africa,BEN,,,,,,,
1/23/21,Benin,Africa,BEN,,,,,,,
1/24/21,Benin,Africa,BEN,,,,,,,
1/25/21,Benin,Africa,BEN,,,,,,,
1/26/21,Benin,Africa,BEN,,,,,,,
1/27/21,Benin,Africa,BEN,,,,,,,
1/28/21,Benin,Africa,BEN,,,,,,,
1/29/21,Benin,Africa,BEN,,,,,,,
1/30/21,Benin,Africa,BEN,,,,,,,
1/31/21,Benin,Africa,BEN,,,,,,,
2/1/21,Benin,Africa,BEN,,,,,,,
2/2/21,Benin,Africa,BEN,,,,,,,
2/3/21,Benin,Africa,BEN,,,,,,,
2/4/21,Benin,Africa,BEN,,,,,,,
2/5/21,Benin,Africa,BEN,,,,,,,
2/6/21,Benin,Africa,BEN,,,,,,,
2/7/21,Benin,Africa,BEN,,,,,,,
2/8/21,Benin,Africa,BEN,,,,,,,
2/9/21,Benin,Africa,BEN,,,,,,,
2/10/21,Benin,Africa,BEN,,,,,,,
2/11/21,Benin,Africa,BEN,,,,,,,
2/12/21,Benin,Africa,BEN,,,,,,,
2/13/21,Benin,Africa,BEN,,,,,,,
2/14/21,Benin,Africa,BEN,,,,,,,
2/15/21,Benin,Africa,BEN,,,,,,,
2/16/21,Benin,Africa,BEN,,,,,,,
2/17/21,Benin,Africa,BEN,,,,,,,
2/18/21,Benin,Africa,BEN,,,,,,,
2/19/21,Benin,Africa,BEN,,,,,,,
2/20/21,Benin,Africa,BEN,,,,,,,
2/21/21,Benin,Africa,BEN,,,,,,,
2/22/21,Benin,Africa,BEN,,,,,,,
2/23/21,Benin,Africa,BEN,,,,,,,
2/24/21,Benin,Africa,BEN,,,,,,,
2/25/21,Benin,Africa,BEN,,,,,,,
2/26/21,Benin,Africa,BEN,,,,,,,
2/27/21,Benin,Africa,BEN,,,,,,,
2/28/21,Benin,Africa,BEN,,,,,,,
3/1/21,Benin,Africa,BEN,,,,,,,
3/2/21,Benin,Africa,BEN,,,,,,,
3/3/21,Benin,Africa,BEN,,,,,,,
3/4/21,Benin,Africa,BEN,,,,,,,
3/5/21,Benin,Africa,BEN,,,,,,,
3/6/21,Benin,Africa,BEN,,,,,,,
3/7/21,Benin,Africa,BEN,,,,,,,
3/8/21,Benin,Africa,BEN,,,,,,,
3/9/21,Benin,Africa,BEN,,,,,,,
3/10/21,Benin,Africa,BEN,,,,,,,
3/11/21,Benin,Africa,BEN,,,,,,,
3/12/21,Benin,Africa,BEN,,,,,,,
3/13/21,Benin,Africa,BEN,,,,,,,
3/14/21,Benin,Africa,BEN,,,,,,,
3/15/21,Benin,Africa,BEN,,,,,,,
3/16/21,Benin,Africa,BEN,,,,,,,
3/17/21,Benin,Africa,BEN,,,,,,,
3/18/21,Benin,Africa,BEN,,,,,,,
3/19/21,Benin,Africa,BEN,,,,,,,
3/20/21,Benin,Africa,BEN,,,,,,,
3/21/21,Benin,Africa,BEN,,,,,,,
3/22/21,Benin,Africa,BEN,,,,,,,
3/23/21,Benin,Africa,BEN,,,,,,,
3/24/21,Benin,Africa,BEN,,,,,,,
3/25/21,Benin,Africa,BEN,,,,,,,
3/26/21,Benin,Africa,BEN,,,,,,,
3/27/21,Benin,Africa,BEN,,,,,,,
3/28/21,Benin,Africa,BEN,,,,,,,
3/29/21,Benin,Africa,BEN,,,,,,,
3/30/21,Benin,Africa,BEN,,,,,,,
3/31/21,Benin,Africa,BEN,,,,,,,
4/1/21,Benin,Africa,BEN,,,,,,,
4/2/21,Benin,Africa,BEN,,,,,,,
4/3/21,Benin,Africa,BEN,,,,,,,
4/4/21,Benin,Africa,BEN,,,,,,,
4/5/21,Benin,Africa,BEN,,,,,,,
4/6/21,Benin,Africa,BEN,,,,,,,
4/7/21,Benin,Africa,BEN,,,,,,,
4/8/21,Benin,Africa,BEN,,,,,,,
4/9/21,Benin,Africa,BEN,,,,,,,
4/10/21,Benin,Africa,BEN,,,,,,,
4/11/21,Benin,Africa,BEN,,,,,,,
4/12/21,Benin,Africa,BEN,,,,,,,
4/13/21,Benin,Africa,BEN,,,,,,,
4/14/21,Benin,Africa,BEN,,,,,,,
4/15/21,Benin,Africa,BEN,,,,,,,
4/16/21,Benin,Africa,BEN,,,,,,,
4/17/21,Benin,Africa,BEN,,,,,,,
4/18/21,Benin,Africa,BEN,,,,,,,
4/19/21,Benin,Africa,BEN,,,,,,,
4/20/21,Benin,Africa,BEN,,,,,,,
4/21/21,Benin,Africa,BEN,,,,,,,
4/22/21,Benin,Africa,BEN,,,,,,,
4/23/21,Benin,Africa,BEN,,,,,,,
4/24/21,Benin,Africa,BEN,,,,,,,
4/25/21,Benin,Africa,BEN,,,,,,,
4/26/21,Benin,Africa,BEN,,,,,,,
4/27/21,Benin,Africa,BEN,,,,,,,
4/28/21,Benin,Africa,BEN,,,,,,,
4/29/21,Benin,Africa,BEN,,,,,,,
4/30/21,Benin,Africa,BEN,,,,,,,
