date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
1/10/21,Bermuda,North America,BMU,0.0,0.0,,,0.0,0.0,
1/11/21,Bermuda,North America,BMU,,,,,,,
1/12/21,Bermuda,North America,BMU,,,,,,,
1/13/21,Bermuda,North America,BMU,,,,,,,
1/14/21,Bermuda,North America,BMU,,,,,,,
1/15/21,Bermuda,North America,BMU,,,,,,,
1/16/21,Bermuda,North America,BMU,1665.0,1665.0,,,2.67,2.67,
1/17/21,Bermuda,North America,BMU,,,,,,,
1/18/21,Bermuda,North America,BMU,,,,,,,
1/19/21,Bermuda,North America,BMU,,,,,,,
1/20/21,Bermuda,North America,BMU,,,,,,,
1/21/21,Bermuda,North America,BMU,,,,,,,
1/22/21,Bermuda,North America,BMU,,,,,,,
1/23/21,Bermuda,North America,BMU,2932.0,2932.0,,,4.71,4.71,
1/24/21,Bermuda,North America,BMU,,,,,,,
1/25/21,Bermuda,North America,BMU,,,,,,,
1/26/21,Bermuda,North America,BMU,,,,,,,
1/27/21,Bermuda,North America,BMU,,,,,,,
1/28/21,Bermuda,North America,BMU,,,,,,,
1/29/21,Bermuda,North America,BMU,,,,,,,
1/30/21,Bermuda,North America,BMU,4897.0,4897.0,,,7.86,7.86,
1/31/21,Bermuda,North America,BMU,,,,,,,
2/1/21,Bermuda,North America,BMU,,,,,,,
2/2/21,Bermuda,North America,BMU,,,,,,,
2/3/21,Bermuda,North America,BMU,,,,,,,
2/4/21,Bermuda,North America,BMU,,,,,,,
2/5/21,Bermuda,North America,BMU,,,,,,,
2/6/21,Bermuda,North America,BMU,9095.0,7504.0,1591.0,,14.61,12.05,2.55
2/7/21,Bermuda,North America,BMU,,,,,,,
2/8/21,Bermuda,North America,BMU,,,,,,,
2/9/21,Bermuda,North America,BMU,10000.0,8400.0,1600.0,,16.06,13.49,2.57
2/10/21,Bermuda,North America,BMU,,,,,,,
2/11/21,Bermuda,North America,BMU,,,,,,,
2/12/21,Bermuda,North America,BMU,,,,,,,
2/13/21,Bermuda,North America,BMU,,,,,,,
2/14/21,Bermuda,North America,BMU,,,,,,,
2/15/21,Bermuda,North America,BMU,13155.0,,,,21.12,,
2/16/21,Bermuda,North America,BMU,,,,,,,
2/17/21,Bermuda,North America,BMU,,,,,,,
2/18/21,Bermuda,North America,BMU,,,,,,,
2/19/21,Bermuda,North America,BMU,,,,,,,
2/20/21,Bermuda,North America,BMU,,,,,,,
2/21/21,Bermuda,North America,BMU,,,,,,,
2/22/21,Bermuda,North America,BMU,17073.0,12304.0,4769.0,,27.42,19.76,7.66
2/23/21,Bermuda,North America,BMU,,,,,,,
2/24/21,Bermuda,North America,BMU,,,,,,,
2/25/21,Bermuda,North America,BMU,,,,,,,
2/26/21,Bermuda,North America,BMU,,,,,,,
2/27/21,Bermuda,North America,BMU,20705.0,13659.0,7046.0,,33.25,21.93,11.31
2/28/21,Bermuda,North America,BMU,,,,,,,
3/1/21,Bermuda,North America,BMU,21387.0,,,,34.34,,
3/2/21,Bermuda,North America,BMU,,,,,,,
3/3/21,Bermuda,North America,BMU,23939.0,15294.0,8645.0,,38.44,24.56,13.88
3/4/21,Bermuda,North America,BMU,,,,,,,
3/5/21,Bermuda,North America,BMU,,,,,,,
3/6/21,Bermuda,North America,BMU,,,,,,,
