date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/11/20,Bolivia,South America,BOL,,,,,,,
3/12/20,Bolivia,South America,BOL,,,,,,,
3/13/20,Bolivia,South America,BOL,,,,,,,
3/14/20,Bolivia,South America,BOL,,,,,,,
3/15/20,Bolivia,South America,BOL,,,,,,,
3/16/20,Bolivia,South America,BOL,,,,,,,
3/17/20,Bolivia,South America,BOL,,,,,,,
3/18/20,Bolivia,South America,BOL,,,,,,,
3/19/20,Bolivia,South America,BOL,,,,,,,
3/20/20,Bolivia,South America,BOL,,,,,,,
3/21/20,Bolivia,South America,BOL,,,,,,,
3/22/20,Bolivia,South America,BOL,,,,,,,
3/23/20,Bolivia,South America,BOL,,,,,,,
3/24/20,Bolivia,South America,BOL,,,,,,,
3/25/20,Bolivia,South America,BOL,,,,,,,
3/26/20,Bolivia,South America,BOL,,,,,,,
3/27/20,Bolivia,South America,BOL,,,,,,,
3/28/20,Bolivia,South America,BOL,,,,,,,
3/29/20,Bolivia,South America,BOL,,,,,,,
3/30/20,Bolivia,South America,BOL,,,,,,,
3/31/20,Bolivia,South America,BOL,,,,,,,
4/1/20,Bolivia,South America,BOL,,,,,,,
4/2/20,Bolivia,South America,BOL,,,,,,,
4/3/20,Bolivia,South America,BOL,,,,,,,
4/4/20,Bolivia,South America,BOL,,,,,,,
4/5/20,Bolivia,South America,BOL,,,,,,,
4/6/20,Bolivia,South America,BOL,,,,,,,
4/7/20,Bolivia,South America,BOL,,,,,,,
4/8/20,Bolivia,South America,BOL,,,,,,,
4/9/20,Bolivia,South America,BOL,,,,,,,
4/10/20,Bolivia,South America,BOL,,,,,,,
4/11/20,Bolivia,South America,BOL,,,,,,,
4/12/20,Bolivia,South America,BOL,,,,,,,
4/13/20,Bolivia,South America,BOL,,,,,,,
4/14/20,Bolivia,South America,BOL,,,,,,,
4/15/20,Bolivia,South America,BOL,,,,,,,
4/16/20,Bolivia,South America,BOL,,,,,,,
4/17/20,Bolivia,South America,BOL,,,,,,,
