date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-05,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-06,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-07,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-08,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-09,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-10,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-11,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-12,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-13,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-14,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-15,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-16,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-17,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-18,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-19,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-20,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-21,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-22,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-23,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-24,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-25,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-26,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-27,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-28,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-29,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-30,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-03-31,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-04-01,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-04-02,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-04-03,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-04-04,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-04-05,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-04-06,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-04-07,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-04-08,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-04-09,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-04-10,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-04-11,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-04-12,Bosnia and Herzegovina,Europe,BIH,,,,,,,
2020-04-13,Bosnia and Herzegovina,Europe,BIH,,,,,,,
