date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2021-05-21,British Virgin Islands,North America,VGB,15031.0,11255.0,3776.0,,49.71,37.22,12.49
2021-05-22,British Virgin Islands,North America,VGB,,,,,,,
2021-05-23,British Virgin Islands,North America,VGB,,,,,,,
2021-05-24,British Virgin Islands,North America,VGB,,,,,,,
2021-05-25,British Virgin Islands,North America,VGB,,,,,,,
2021-05-26,British Virgin Islands,North America,VGB,,,,,,,
2021-05-27,British Virgin Islands,North America,VGB,,,,,,,
2021-05-28,British Virgin Islands,North America,VGB,16302.0,11553.0,4749.0,,53.91,38.21,15.71
2021-05-29,British Virgin Islands,North America,VGB,,,,,,,
2021-05-30,British Virgin Islands,North America,VGB,,,,,,,
2021-05-31,British Virgin Islands,North America,VGB,,,,,,,
2021-06-01,British Virgin Islands,North America,VGB,,,,,,,
2021-06-02,British Virgin Islands,North America,VGB,,,,,,,
2021-06-03,British Virgin Islands,North America,VGB,,,,,,,
2021-06-04,British Virgin Islands,North America,VGB,,,,,,,
2021-06-05,British Virgin Islands,North America,VGB,,,,,,,
2021-06-06,British Virgin Islands,North America,VGB,,,,,,,
2021-06-07,British Virgin Islands,North America,VGB,,,,,,,
2021-06-08,British Virgin Islands,North America,VGB,,,,,,,
2021-06-09,British Virgin Islands,North America,VGB,,,,,,,
2021-06-10,British Virgin Islands,North America,VGB,,,,,,,
2021-06-11,British Virgin Islands,North America,VGB,19534.0,12245.0,7289.0,,64.6,40.5,24.11
