date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-10,Burkina Faso,Africa,BFA,,,,,,,
2020-03-11,Burkina Faso,Africa,BFA,,,,,,,
2020-03-12,Burkina Faso,Africa,BFA,,,,,,,
2020-03-13,Burkina Faso,Africa,BFA,,,,,,,
2020-03-14,Burkina Faso,Africa,BFA,,,,,,,
2020-03-15,Burkina Faso,Africa,BFA,,,,,,,
2020-03-16,Burkina Faso,Africa,BFA,,,,,,,
2020-03-17,Burkina Faso,Africa,BFA,,,,,,,
2020-03-18,Burkina Faso,Africa,BFA,,,,,,,
2020-03-19,Burkina Faso,Africa,BFA,,,,,,,
2020-03-20,Burkina Faso,Africa,BFA,,,,,,,
2020-03-21,Burkina Faso,Africa,BFA,,,,,,,
2020-03-22,Burkina Faso,Africa,BFA,,,,,,,
2020-03-23,Burkina Faso,Africa,BFA,,,,,,,
2020-03-24,Burkina Faso,Africa,BFA,,,,,,,
2020-03-25,Burkina Faso,Africa,BFA,,,,,,,
2020-03-26,Burkina Faso,Africa,BFA,,,,,,,
2020-03-27,Burkina Faso,Africa,BFA,,,,,,,
2020-03-28,Burkina Faso,Africa,BFA,,,,,,,
2020-03-29,Burkina Faso,Africa,BFA,,,,,,,
2020-03-30,Burkina Faso,Africa,BFA,,,,,,,
2020-03-31,Burkina Faso,Africa,BFA,,,,,,,
2020-04-01,Burkina Faso,Africa,BFA,,,,,,,
2020-04-02,Burkina Faso,Africa,BFA,,,,,,,
2020-04-03,Burkina Faso,Africa,BFA,,,,,,,
2020-04-04,Burkina Faso,Africa,BFA,,,,,,,
2020-04-05,Burkina Faso,Africa,BFA,,,,,,,
2020-04-06,Burkina Faso,Africa,BFA,,,,,,,
2020-04-07,Burkina Faso,Africa,BFA,,,,,,,
2020-04-08,Burkina Faso,Africa,BFA,,,,,,,
2020-04-09,Burkina Faso,Africa,BFA,,,,,,,
2020-04-10,Burkina Faso,Africa,BFA,,,,,,,
2020-04-11,Burkina Faso,Africa,BFA,,,,,,,
2020-04-12,Burkina Faso,Africa,BFA,,,,,,,
2020-04-13,Burkina Faso,Africa,BFA,,,,,,,
2020-04-14,Burkina Faso,Africa,BFA,,,,,,,
2020-04-15,Burkina Faso,Africa,BFA,,,,,,,
2020-04-16,Burkina Faso,Africa,BFA,,,,,,,
2020-04-17,Burkina Faso,Africa,BFA,,,,,,,
2020-04-18,Burkina Faso,Africa,BFA,,,,,,,
2020-04-19,Burkina Faso,Africa,BFA,,,,,,,
2020-04-20,Burkina Faso,Africa,BFA,,,,,,,
2020-04-21,Burkina Faso,Africa,BFA,,,,,,,
2020-04-22,Burkina Faso,Africa,BFA,,,,,,,
2020-04-23,Burkina Faso,Africa,BFA,,,,,,,
2020-04-24,Burkina Faso,Africa,BFA,,,,,,,
2020-04-25,Burkina Faso,Africa,BFA,,,,,,,
2020-04-26,Burkina Faso,Africa,BFA,,,,,,,
2020-04-27,Burkina Faso,Africa,BFA,,,,,,,
2020-04-28,Burkina Faso,Africa,BFA,,,,,,,
2020-04-29,Burkina Faso,Africa,BFA,,,,,,,
2020-04-30,Burkina Faso,Africa,BFA,,,,,,,
2020-05-01,Burkina Faso,Africa,BFA,,,,,,,
2020-05-02,Burkina Faso,Africa,BFA,,,,,,,
2020-05-03,Burkina Faso,Africa,BFA,,,,,,,
2020-05-04,Burkina Faso,Africa,BFA,,,,,,,
2020-05-05,Burkina Faso,Africa,BFA,,,,,,,
