date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
1/27/20,Cambodia,Asia,KHM,,,,,,,
1/28/20,Cambodia,Asia,KHM,,,,,,,
1/29/20,Cambodia,Asia,KHM,,,,,,,
1/30/20,Cambodia,Asia,KHM,,,,,,,
1/31/20,Cambodia,Asia,KHM,,,,,,,
2/1/20,Cambodia,Asia,KHM,,,,,,,
2/2/20,Cambodia,Asia,KHM,,,,,,,
2/3/20,Cambodia,Asia,KHM,,,,,,,
2/4/20,Cambodia,Asia,KHM,,,,,,,
2/5/20,Cambodia,Asia,KHM,,,,,,,
2/6/20,Cambodia,Asia,KHM,,,,,,,
2/7/20,Cambodia,Asia,KHM,,,,,,,
2/8/20,Cambodia,Asia,KHM,,,,,,,
2/9/20,Cambodia,Asia,KHM,,,,,,,
2/10/20,Cambodia,Asia,KHM,,,,,,,
2/11/20,Cambodia,Asia,KHM,,,,,,,
2/12/20,Cambodia,Asia,KHM,,,,,,,
2/13/20,Cambodia,Asia,KHM,,,,,,,
2/14/20,Cambodia,Asia,KHM,,,,,,,
2/15/20,Cambodia,Asia,KHM,,,,,,,
2/16/20,Cambodia,Asia,KHM,,,,,,,
2/17/20,Cambodia,Asia,KHM,,,,,,,
2/18/20,Cambodia,Asia,KHM,,,,,,,
2/19/20,Cambodia,Asia,KHM,,,,,,,
2/20/20,Cambodia,Asia,KHM,,,,,,,
2/21/20,Cambodia,Asia,KHM,,,,,,,
2/22/20,Cambodia,Asia,KHM,,,,,,,
2/23/20,Cambodia,Asia,KHM,,,,,,,
2/24/20,Cambodia,Asia,KHM,,,,,,,
2/25/20,Cambodia,Asia,KHM,,,,,,,
2/26/20,Cambodia,Asia,KHM,,,,,,,
2/27/20,Cambodia,Asia,KHM,,,,,,,
2/28/20,Cambodia,Asia,KHM,,,,,,,
2/29/20,Cambodia,Asia,KHM,,,,,,,
3/1/20,Cambodia,Asia,KHM,,,,,,,
3/2/20,Cambodia,Asia,KHM,,,,,,,
3/3/20,Cambodia,Asia,KHM,,,,,,,
3/4/20,Cambodia,Asia,KHM,,,,,,,
3/5/20,Cambodia,Asia,KHM,,,,,,,
3/6/20,Cambodia,Asia,KHM,,,,,,,
3/7/20,Cambodia,Asia,KHM,,,,,,,
3/8/20,Cambodia,Asia,KHM,,,,,,,
3/9/20,Cambodia,Asia,KHM,,,,,,,
3/10/20,Cambodia,Asia,KHM,,,,,,,
3/11/20,Cambodia,Asia,KHM,,,,,,,
3/12/20,Cambodia,Asia,KHM,,,,,,,
3/13/20,Cambodia,Asia,KHM,,,,,,,
3/14/20,Cambodia,Asia,KHM,,,,,,,
3/15/20,Cambodia,Asia,KHM,,,,,,,
3/16/20,Cambodia,Asia,KHM,,,,,,,
3/17/20,Cambodia,Asia,KHM,,,,,,,
3/18/20,Cambodia,Asia,KHM,,,,,,,
3/19/20,Cambodia,Asia,KHM,,,,,,,
3/20/20,Cambodia,Asia,KHM,,,,,,,
3/21/20,Cambodia,Asia,KHM,,,,,,,
3/22/20,Cambodia,Asia,KHM,,,,,,,
3/23/20,Cambodia,Asia,KHM,,,,,,,
3/24/20,Cambodia,Asia,KHM,,,,,,,
3/25/20,Cambodia,Asia,KHM,,,,,,,
3/26/20,Cambodia,Asia,KHM,,,,,,,
3/27/20,Cambodia,Asia,KHM,,,,,,,
3/28/20,Cambodia,Asia,KHM,,,,,,,
3/29/20,Cambodia,Asia,KHM,,,,,,,
3/30/20,Cambodia,Asia,KHM,,,,,,,
3/31/20,Cambodia,Asia,KHM,,,,,,,
4/1/20,Cambodia,Asia,KHM,,,,,,,
4/2/20,Cambodia,Asia,KHM,,,,,,,
4/3/20,Cambodia,Asia,KHM,,,,,,,
4/4/20,Cambodia,Asia,KHM,,,,,,,
4/5/20,Cambodia,Asia,KHM,,,,,,,
4/6/20,Cambodia,Asia,KHM,,,,,,,
4/7/20,Cambodia,Asia,KHM,,,,,,,
4/8/20,Cambodia,Asia,KHM,,,,,,,
4/9/20,Cambodia,Asia,KHM,,,,,,,
4/10/20,Cambodia,Asia,KHM,,,,,,,
4/11/20,Cambodia,Asia,KHM,,,,,,,
4/12/20,Cambodia,Asia,KHM,,,,,,,
4/13/20,Cambodia,Asia,KHM,,,,,,,
4/14/20,Cambodia,Asia,KHM,,,,,,,
4/15/20,Cambodia,Asia,KHM,,,,,,,
4/16/20,Cambodia,Asia,KHM,,,,,,,
4/17/20,Cambodia,Asia,KHM,,,,,,,
4/18/20,Cambodia,Asia,KHM,,,,,,,
4/19/20,Cambodia,Asia,KHM,,,,,,,
4/20/20,Cambodia,Asia,KHM,,,,,,,
4/21/20,Cambodia,Asia,KHM,,,,,,,
4/22/20,Cambodia,Asia,KHM,,,,,,,
4/23/20,Cambodia,Asia,KHM,,,,,,,
4/24/20,Cambodia,Asia,KHM,,,,,,,
4/25/20,Cambodia,Asia,KHM,,,,,,,
4/26/20,Cambodia,Asia,KHM,,,,,,,
4/27/20,Cambodia,Asia,KHM,,,,,,,
4/28/20,Cambodia,Asia,KHM,,,,,,,
4/29/20,Cambodia,Asia,KHM,,,,,,,
4/30/20,Cambodia,Asia,KHM,,,,,,,
5/1/20,Cambodia,Asia,KHM,,,,,,,
5/2/20,Cambodia,Asia,KHM,,,,,,,
5/3/20,Cambodia,Asia,KHM,,,,,,,
5/4/20,Cambodia,Asia,KHM,,,,,,,
5/5/20,Cambodia,Asia,KHM,,,,,,,
5/6/20,Cambodia,Asia,KHM,,,,,,,
5/7/20,Cambodia,Asia,KHM,,,,,,,
5/8/20,Cambodia,Asia,KHM,,,,,,,
5/9/20,Cambodia,Asia,KHM,,,,,,,
5/10/20,Cambodia,Asia,KHM,,,,,,,
5/11/20,Cambodia,Asia,KHM,,,,,,,
5/12/20,Cambodia,Asia,KHM,,,,,,,
5/13/20,Cambodia,Asia,KHM,,,,,,,
5/14/20,Cambodia,Asia,KHM,,,,,,,
5/15/20,Cambodia,Asia,KHM,,,,,,,
5/16/20,Cambodia,Asia,KHM,,,,,,,
5/17/20,Cambodia,Asia,KHM,,,,,,,
5/18/20,Cambodia,Asia,KHM,,,,,,,
5/19/20,Cambodia,Asia,KHM,,,,,,,
5/20/20,Cambodia,Asia,KHM,,,,,,,
5/21/20,Cambodia,Asia,KHM,,,,,,,
5/22/20,Cambodia,Asia,KHM,,,,,,,
5/23/20,Cambodia,Asia,KHM,,,,,,,
5/24/20,Cambodia,Asia,KHM,,,,,,,
5/25/20,Cambodia,Asia,KHM,,,,,,,
5/26/20,Cambodia,Asia,KHM,,,,,,,
5/27/20,Cambodia,Asia,KHM,,,,,,,
5/28/20,Cambodia,Asia,KHM,,,,,,,
5/29/20,Cambodia,Asia,KHM,,,,,,,
5/30/20,Cambodia,Asia,KHM,,,,,,,
5/31/20,Cambodia,Asia,KHM,,,,,,,
