date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/20/20,Cape Verde,Africa,CPV,,,,,,,
3/21/20,Cape Verde,Africa,CPV,,,,,,,
3/22/20,Cape Verde,Africa,CPV,,,,,,,
3/23/20,Cape Verde,Africa,CPV,,,,,,,
3/24/20,Cape Verde,Africa,CPV,,,,,,,
3/25/20,Cape Verde,Africa,CPV,,,,,,,
3/26/20,Cape Verde,Africa,CPV,,,,,,,
3/27/20,Cape Verde,Africa,CPV,,,,,,,
3/28/20,Cape Verde,Africa,CPV,,,,,,,
3/29/20,Cape Verde,Africa,CPV,,,,,,,
3/30/20,Cape Verde,Africa,CPV,,,,,,,
3/31/20,Cape Verde,Africa,CPV,,,,,,,
4/1/20,Cape Verde,Africa,CPV,,,,,,,
4/2/20,Cape Verde,Africa,CPV,,,,,,,
4/3/20,Cape Verde,Africa,CPV,,,,,,,
4/4/20,Cape Verde,Africa,CPV,,,,,,,
4/5/20,Cape Verde,Africa,CPV,,,,,,,
4/6/20,Cape Verde,Africa,CPV,,,,,,,
4/7/20,Cape Verde,Africa,CPV,,,,,,,
4/8/20,Cape Verde,Africa,CPV,,,,,,,
4/9/20,Cape Verde,Africa,CPV,,,,,,,
4/10/20,Cape Verde,Africa,CPV,,,,,,,
4/11/20,Cape Verde,Africa,CPV,,,,,,,
4/12/20,Cape Verde,Africa,CPV,,,,,,,
4/13/20,Cape Verde,Africa,CPV,,,,,,,
4/14/20,Cape Verde,Africa,CPV,,,,,,,
4/15/20,Cape Verde,Africa,CPV,,,,,,,
4/16/20,Cape Verde,Africa,CPV,,,,,,,
4/17/20,Cape Verde,Africa,CPV,,,,,,,
4/18/20,Cape Verde,Africa,CPV,,,,,,,
4/19/20,Cape Verde,Africa,CPV,,,,,,,
4/20/20,Cape Verde,Africa,CPV,,,,,,,
4/21/20,Cape Verde,Africa,CPV,,,,,,,
4/22/20,Cape Verde,Africa,CPV,,,,,,,
4/23/20,Cape Verde,Africa,CPV,,,,,,,
4/24/20,Cape Verde,Africa,CPV,,,,,,,
4/25/20,Cape Verde,Africa,CPV,,,,,,,
4/26/20,Cape Verde,Africa,CPV,,,,,,,
4/27/20,Cape Verde,Africa,CPV,,,,,,,
4/28/20,Cape Verde,Africa,CPV,,,,,,,
4/29/20,Cape Verde,Africa,CPV,,,,,,,
4/30/20,Cape Verde,Africa,CPV,,,,,,,
5/1/20,Cape Verde,Africa,CPV,,,,,,,
5/2/20,Cape Verde,Africa,CPV,,,,,,,
5/3/20,Cape Verde,Africa,CPV,,,,,,,
5/4/20,Cape Verde,Africa,CPV,,,,,,,
5/5/20,Cape Verde,Africa,CPV,,,,,,,
5/6/20,Cape Verde,Africa,CPV,,,,,,,
5/7/20,Cape Verde,Africa,CPV,,,,,,,
5/8/20,Cape Verde,Africa,CPV,,,,,,,
5/9/20,Cape Verde,Africa,CPV,,,,,,,
5/10/20,Cape Verde,Africa,CPV,,,,,,,
5/11/20,Cape Verde,Africa,CPV,,,,,,,
5/12/20,Cape Verde,Africa,CPV,,,,,,,
5/13/20,Cape Verde,Africa,CPV,,,,,,,
5/14/20,Cape Verde,Africa,CPV,,,,,,,
5/15/20,Cape Verde,Africa,CPV,,,,,,,
5/16/20,Cape Verde,Africa,CPV,,,,,,,
5/17/20,Cape Verde,Africa,CPV,,,,,,,
5/18/20,Cape Verde,Africa,CPV,,,,,,,
5/19/20,Cape Verde,Africa,CPV,,,,,,,
5/20/20,Cape Verde,Africa,CPV,,,,,,,
5/21/20,Cape Verde,Africa,CPV,,,,,,,
5/22/20,Cape Verde,Africa,CPV,,,,,,,
5/23/20,Cape Verde,Africa,CPV,,,,,,,
5/24/20,Cape Verde,Africa,CPV,,,,,,,
5/25/20,Cape Verde,Africa,CPV,,,,,,,
5/26/20,Cape Verde,Africa,CPV,,,,,,,
5/27/20,Cape Verde,Africa,CPV,,,,,,,
5/28/20,Cape Verde,Africa,CPV,,,,,,,
5/29/20,Cape Verde,Africa,CPV,,,,,,,
5/30/20,Cape Verde,Africa,CPV,,,,,,,
5/31/20,Cape Verde,Africa,CPV,,,,,,,
6/1/20,Cape Verde,Africa,CPV,,,,,,,
6/2/20,Cape Verde,Africa,CPV,,,,,,,
6/3/20,Cape Verde,Africa,CPV,,,,,,,
6/4/20,Cape Verde,Africa,CPV,,,,,,,
6/5/20,Cape Verde,Africa,CPV,,,,,,,
6/6/20,Cape Verde,Africa,CPV,,,,,,,
6/7/20,Cape Verde,Africa,CPV,,,,,,,
6/8/20,Cape Verde,Africa,CPV,,,,,,,
6/9/20,Cape Verde,Africa,CPV,,,,,,,
6/10/20,Cape Verde,Africa,CPV,,,,,,,
6/11/20,Cape Verde,Africa,CPV,,,,,,,
6/12/20,Cape Verde,Africa,CPV,,,,,,,
6/13/20,Cape Verde,Africa,CPV,,,,,,,
6/14/20,Cape Verde,Africa,CPV,,,,,,,
6/15/20,Cape Verde,Africa,CPV,,,,,,,
6/16/20,Cape Verde,Africa,CPV,,,,,,,
6/17/20,Cape Verde,Africa,CPV,,,,,,,
6/18/20,Cape Verde,Africa,CPV,,,,,,,
6/19/20,Cape Verde,Africa,CPV,,,,,,,
6/20/20,Cape Verde,Africa,CPV,,,,,,,
6/21/20,Cape Verde,Africa,CPV,,,,,,,
6/22/20,Cape Verde,Africa,CPV,,,,,,,
6/23/20,Cape Verde,Africa,CPV,,,,,,,
6/24/20,Cape Verde,Africa,CPV,,,,,,,
6/25/20,Cape Verde,Africa,CPV,,,,,,,
6/26/20,Cape Verde,Africa,CPV,,,,,,,
6/27/20,Cape Verde,Africa,CPV,,,,,,,
6/28/20,Cape Verde,Africa,CPV,,,,,,,
6/29/20,Cape Verde,Africa,CPV,,,,,,,
6/30/20,Cape Verde,Africa,CPV,,,,,,,
7/1/20,Cape Verde,Africa,CPV,,,,,,,
7/2/20,Cape Verde,Africa,CPV,,,,,,,
7/3/20,Cape Verde,Africa,CPV,,,,,,,
7/4/20,Cape Verde,Africa,CPV,,,,,,,
7/5/20,Cape Verde,Africa,CPV,,,,,,,
7/6/20,Cape Verde,Africa,CPV,,,,,,,
7/7/20,Cape Verde,Africa,CPV,,,,,,,
7/8/20,Cape Verde,Africa,CPV,,,,,,,
7/9/20,Cape Verde,Africa,CPV,,,,,,,
7/10/20,Cape Verde,Africa,CPV,,,,,,,
7/11/20,Cape Verde,Africa,CPV,,,,,,,
7/12/20,Cape Verde,Africa,CPV,,,,,,,
7/13/20,Cape Verde,Africa,CPV,,,,,,,
7/14/20,Cape Verde,Africa,CPV,,,,,,,
7/15/20,Cape Verde,Africa,CPV,,,,,,,
7/16/20,Cape Verde,Africa,CPV,,,,,,,
7/17/20,Cape Verde,Africa,CPV,,,,,,,
7/18/20,Cape Verde,Africa,CPV,,,,,,,
7/19/20,Cape Verde,Africa,CPV,,,,,,,
7/20/20,Cape Verde,Africa,CPV,,,,,,,
7/21/20,Cape Verde,Africa,CPV,,,,,,,
7/22/20,Cape Verde,Africa,CPV,,,,,,,
7/23/20,Cape Verde,Africa,CPV,,,,,,,
7/24/20,Cape Verde,Africa,CPV,,,,,,,
7/25/20,Cape Verde,Africa,CPV,,,,,,,
7/26/20,Cape Verde,Africa,CPV,,,,,,,
7/27/20,Cape Verde,Africa,CPV,,,,,,,
7/28/20,Cape Verde,Africa,CPV,,,,,,,
7/29/20,Cape Verde,Africa,CPV,,,,,,,
7/30/20,Cape Verde,Africa,CPV,,,,,,,
7/31/20,Cape Verde,Africa,CPV,,,,,,,
8/1/20,Cape Verde,Africa,CPV,,,,,,,
8/2/20,Cape Verde,Africa,CPV,,,,,,,
8/3/20,Cape Verde,Africa,CPV,,,,,,,
8/4/20,Cape Verde,Africa,CPV,,,,,,,
8/5/20,Cape Verde,Africa,CPV,,,,,,,
8/6/20,Cape Verde,Africa,CPV,,,,,,,
8/7/20,Cape Verde,Africa,CPV,,,,,,,
8/8/20,Cape Verde,Africa,CPV,,,,,,,
8/9/20,Cape Verde,Africa,CPV,,,,,,,
8/10/20,Cape Verde,Africa,CPV,,,,,,,
8/11/20,Cape Verde,Africa,CPV,,,,,,,
8/12/20,Cape Verde,Africa,CPV,,,,,,,
8/13/20,Cape Verde,Africa,CPV,,,,,,,
8/14/20,Cape Verde,Africa,CPV,,,,,,,
8/15/20,Cape Verde,Africa,CPV,,,,,,,
8/16/20,Cape Verde,Africa,CPV,,,,,,,
8/17/20,Cape Verde,Africa,CPV,,,,,,,
8/18/20,Cape Verde,Africa,CPV,,,,,,,
8/19/20,Cape Verde,Africa,CPV,,,,,,,
8/20/20,Cape Verde,Africa,CPV,,,,,,,
8/21/20,Cape Verde,Africa,CPV,,,,,,,
8/22/20,Cape Verde,Africa,CPV,,,,,,,
8/23/20,Cape Verde,Africa,CPV,,,,,,,
8/24/20,Cape Verde,Africa,CPV,,,,,,,
8/25/20,Cape Verde,Africa,CPV,,,,,,,
8/26/20,Cape Verde,Africa,CPV,,,,,,,
8/27/20,Cape Verde,Africa,CPV,,,,,,,
8/28/20,Cape Verde,Africa,CPV,,,,,,,
8/29/20,Cape Verde,Africa,CPV,,,,,,,
8/30/20,Cape Verde,Africa,CPV,,,,,,,
8/31/20,Cape Verde,Africa,CPV,,,,,,,
9/1/20,Cape Verde,Africa,CPV,,,,,,,
9/2/20,Cape Verde,Africa,CPV,,,,,,,
9/3/20,Cape Verde,Africa,CPV,,,,,,,
9/4/20,Cape Verde,Africa,CPV,,,,,,,
9/5/20,Cape Verde,Africa,CPV,,,,,,,
9/6/20,Cape Verde,Africa,CPV,,,,,,,
9/7/20,Cape Verde,Africa,CPV,,,,,,,
9/8/20,Cape Verde,Africa,CPV,,,,,,,
9/9/20,Cape Verde,Africa,CPV,,,,,,,
9/10/20,Cape Verde,Africa,CPV,,,,,,,
9/11/20,Cape Verde,Africa,CPV,,,,,,,
9/12/20,Cape Verde,Africa,CPV,,,,,,,
9/13/20,Cape Verde,Africa,CPV,,,,,,,
9/14/20,Cape Verde,Africa,CPV,,,,,,,
9/15/20,Cape Verde,Africa,CPV,,,,,,,
9/16/20,Cape Verde,Africa,CPV,,,,,,,
9/17/20,Cape Verde,Africa,CPV,,,,,,,
9/18/20,Cape Verde,Africa,CPV,,,,,,,
9/19/20,Cape Verde,Africa,CPV,,,,,,,
9/20/20,Cape Verde,Africa,CPV,,,,,,,
9/21/20,Cape Verde,Africa,CPV,,,,,,,
9/22/20,Cape Verde,Africa,CPV,,,,,,,
9/23/20,Cape Verde,Africa,CPV,,,,,,,
9/24/20,Cape Verde,Africa,CPV,,,,,,,
9/25/20,Cape Verde,Africa,CPV,,,,,,,
9/26/20,Cape Verde,Africa,CPV,,,,,,,
9/27/20,Cape Verde,Africa,CPV,,,,,,,
9/28/20,Cape Verde,Africa,CPV,,,,,,,
9/29/20,Cape Verde,Africa,CPV,,,,,,,
9/30/20,Cape Verde,Africa,CPV,,,,,,,
10/1/20,Cape Verde,Africa,CPV,,,,,,,
10/2/20,Cape Verde,Africa,CPV,,,,,,,
10/3/20,Cape Verde,Africa,CPV,,,,,,,
10/4/20,Cape Verde,Africa,CPV,,,,,,,
10/5/20,Cape Verde,Africa,CPV,,,,,,,
10/6/20,Cape Verde,Africa,CPV,,,,,,,
10/7/20,Cape Verde,Africa,CPV,,,,,,,
10/8/20,Cape Verde,Africa,CPV,,,,,,,
10/9/20,Cape Verde,Africa,CPV,,,,,,,
10/10/20,Cape Verde,Africa,CPV,,,,,,,
10/11/20,Cape Verde,Africa,CPV,,,,,,,
10/12/20,Cape Verde,Africa,CPV,,,,,,,
10/13/20,Cape Verde,Africa,CPV,,,,,,,
10/14/20,Cape Verde,Africa,CPV,,,,,,,
10/15/20,Cape Verde,Africa,CPV,,,,,,,
10/16/20,Cape Verde,Africa,CPV,,,,,,,
10/17/20,Cape Verde,Africa,CPV,,,,,,,
10/18/20,Cape Verde,Africa,CPV,,,,,,,
10/19/20,Cape Verde,Africa,CPV,,,,,,,
10/20/20,Cape Verde,Africa,CPV,,,,,,,
10/21/20,Cape Verde,Africa,CPV,,,,,,,
10/22/20,Cape Verde,Africa,CPV,,,,,,,
10/23/20,Cape Verde,Africa,CPV,,,,,,,
10/24/20,Cape Verde,Africa,CPV,,,,,,,
10/25/20,Cape Verde,Africa,CPV,,,,,,,
10/26/20,Cape Verde,Africa,CPV,,,,,,,
10/27/20,Cape Verde,Africa,CPV,,,,,,,
10/28/20,Cape Verde,Africa,CPV,,,,,,,
10/29/20,Cape Verde,Africa,CPV,,,,,,,
10/30/20,Cape Verde,Africa,CPV,,,,,,,
10/31/20,Cape Verde,Africa,CPV,,,,,,,
11/1/20,Cape Verde,Africa,CPV,,,,,,,
11/2/20,Cape Verde,Africa,CPV,,,,,,,
11/3/20,Cape Verde,Africa,CPV,,,,,,,
11/4/20,Cape Verde,Africa,CPV,,,,,,,
11/5/20,Cape Verde,Africa,CPV,,,,,,,
11/6/20,Cape Verde,Africa,CPV,,,,,,,
11/7/20,Cape Verde,Africa,CPV,,,,,,,
11/8/20,Cape Verde,Africa,CPV,,,,,,,
11/9/20,Cape Verde,Africa,CPV,,,,,,,
11/10/20,Cape Verde,Africa,CPV,,,,,,,
11/11/20,Cape Verde,Africa,CPV,,,,,,,
11/12/20,Cape Verde,Africa,CPV,,,,,,,
11/13/20,Cape Verde,Africa,CPV,,,,,,,
11/14/20,Cape Verde,Africa,CPV,,,,,,,
11/15/20,Cape Verde,Africa,CPV,,,,,,,
11/16/20,Cape Verde,Africa,CPV,,,,,,,
11/17/20,Cape Verde,Africa,CPV,,,,,,,
11/18/20,Cape Verde,Africa,CPV,,,,,,,
11/19/20,Cape Verde,Africa,CPV,,,,,,,
11/20/20,Cape Verde,Africa,CPV,,,,,,,
11/21/20,Cape Verde,Africa,CPV,,,,,,,
11/22/20,Cape Verde,Africa,CPV,,,,,,,
11/23/20,Cape Verde,Africa,CPV,,,,,,,
11/24/20,Cape Verde,Africa,CPV,,,,,,,
11/25/20,Cape Verde,Africa,CPV,,,,,,,
11/26/20,Cape Verde,Africa,CPV,,,,,,,
11/27/20,Cape Verde,Africa,CPV,,,,,,,
11/28/20,Cape Verde,Africa,CPV,,,,,,,
11/29/20,Cape Verde,Africa,CPV,,,,,,,
11/30/20,Cape Verde,Africa,CPV,,,,,,,
12/1/20,Cape Verde,Africa,CPV,,,,,,,
12/2/20,Cape Verde,Africa,CPV,,,,,,,
12/3/20,Cape Verde,Africa,CPV,,,,,,,
12/4/20,Cape Verde,Africa,CPV,,,,,,,
12/5/20,Cape Verde,Africa,CPV,,,,,,,
12/6/20,Cape Verde,Africa,CPV,,,,,,,
12/7/20,Cape Verde,Africa,CPV,,,,,,,
12/8/20,Cape Verde,Africa,CPV,,,,,,,
12/9/20,Cape Verde,Africa,CPV,,,,,,,
12/10/20,Cape Verde,Africa,CPV,,,,,,,
12/11/20,Cape Verde,Africa,CPV,,,,,,,
12/12/20,Cape Verde,Africa,CPV,,,,,,,
12/13/20,Cape Verde,Africa,CPV,,,,,,,
12/14/20,Cape Verde,Africa,CPV,,,,,,,
12/15/20,Cape Verde,Africa,CPV,,,,,,,
12/16/20,Cape Verde,Africa,CPV,,,,,,,
12/17/20,Cape Verde,Africa,CPV,,,,,,,
12/18/20,Cape Verde,Africa,CPV,,,,,,,
12/19/20,Cape Verde,Africa,CPV,,,,,,,
12/20/20,Cape Verde,Africa,CPV,,,,,,,
12/21/20,Cape Verde,Africa,CPV,,,,,,,
12/22/20,Cape Verde,Africa,CPV,,,,,,,
12/23/20,Cape Verde,Africa,CPV,,,,,,,
12/24/20,Cape Verde,Africa,CPV,,,,,,,
12/25/20,Cape Verde,Africa,CPV,,,,,,,
12/26/20,Cape Verde,Africa,CPV,,,,,,,
12/27/20,Cape Verde,Africa,CPV,,,,,,,
12/28/20,Cape Verde,Africa,CPV,,,,,,,
12/29/20,Cape Verde,Africa,CPV,,,,,,,
12/30/20,Cape Verde,Africa,CPV,,,,,,,
12/31/20,Cape Verde,Africa,CPV,,,,,,,
1/1/21,Cape Verde,Africa,CPV,,,,,,,
1/2/21,Cape Verde,Africa,CPV,,,,,,,
1/3/21,Cape Verde,Africa,CPV,,,,,,,
1/4/21,Cape Verde,Africa,CPV,,,,,,,
1/5/21,Cape Verde,Africa,CPV,,,,,,,
1/6/21,Cape Verde,Africa,CPV,,,,,,,
1/7/21,Cape Verde,Africa,CPV,,,,,,,
1/8/21,Cape Verde,Africa,CPV,,,,,,,
1/9/21,Cape Verde,Africa,CPV,,,,,,,
1/10/21,Cape Verde,Africa,CPV,,,,,,,
1/11/21,Cape Verde,Africa,CPV,,,,,,,
1/12/21,Cape Verde,Africa,CPV,,,,,,,
1/13/21,Cape Verde,Africa,CPV,,,,,,,
1/14/21,Cape Verde,Africa,CPV,,,,,,,
1/15/21,Cape Verde,Africa,CPV,,,,,,,
1/16/21,Cape Verde,Africa,CPV,,,,,,,
1/17/21,Cape Verde,Africa,CPV,,,,,,,
1/18/21,Cape Verde,Africa,CPV,,,,,,,
1/19/21,Cape Verde,Africa,CPV,,,,,,,
1/20/21,Cape Verde,Africa,CPV,,,,,,,
1/21/21,Cape Verde,Africa,CPV,,,,,,,
1/22/21,Cape Verde,Africa,CPV,,,,,,,
1/23/21,Cape Verde,Africa,CPV,,,,,,,
1/24/21,Cape Verde,Africa,CPV,,,,,,,
1/25/21,Cape Verde,Africa,CPV,,,,,,,
1/26/21,Cape Verde,Africa,CPV,,,,,,,
1/27/21,Cape Verde,Africa,CPV,,,,,,,
1/28/21,Cape Verde,Africa,CPV,,,,,,,
1/29/21,Cape Verde,Africa,CPV,,,,,,,
1/30/21,Cape Verde,Africa,CPV,,,,,,,
1/31/21,Cape Verde,Africa,CPV,,,,,,,
2/1/21,Cape Verde,Africa,CPV,,,,,,,
2/2/21,Cape Verde,Africa,CPV,,,,,,,
2/3/21,Cape Verde,Africa,CPV,,,,,,,
2/4/21,Cape Verde,Africa,CPV,,,,,,,
2/5/21,Cape Verde,Africa,CPV,,,,,,,
2/6/21,Cape Verde,Africa,CPV,,,,,,,
2/7/21,Cape Verde,Africa,CPV,,,,,,,
2/8/21,Cape Verde,Africa,CPV,,,,,,,
2/9/21,Cape Verde,Africa,CPV,,,,,,,
2/10/21,Cape Verde,Africa,CPV,,,,,,,
2/11/21,Cape Verde,Africa,CPV,,,,,,,
2/12/21,Cape Verde,Africa,CPV,,,,,,,
2/13/21,Cape Verde,Africa,CPV,,,,,,,
2/14/21,Cape Verde,Africa,CPV,,,,,,,
2/15/21,Cape Verde,Africa,CPV,,,,,,,
2/16/21,Cape Verde,Africa,CPV,,,,,,,
2/17/21,Cape Verde,Africa,CPV,,,,,,,
2/18/21,Cape Verde,Africa,CPV,,,,,,,
2/19/21,Cape Verde,Africa,CPV,,,,,,,
2/20/21,Cape Verde,Africa,CPV,,,,,,,
2/21/21,Cape Verde,Africa,CPV,,,,,,,
2/22/21,Cape Verde,Africa,CPV,,,,,,,
2/23/21,Cape Verde,Africa,CPV,,,,,,,
2/24/21,Cape Verde,Africa,CPV,,,,,,,
2/25/21,Cape Verde,Africa,CPV,,,,,,,
2/26/21,Cape Verde,Africa,CPV,,,,,,,
2/27/21,Cape Verde,Africa,CPV,,,,,,,
2/28/21,Cape Verde,Africa,CPV,,,,,,,
3/1/21,Cape Verde,Africa,CPV,,,,,,,
3/2/21,Cape Verde,Africa,CPV,,,,,,,
3/3/21,Cape Verde,Africa,CPV,,,,,,,
3/4/21,Cape Verde,Africa,CPV,,,,,,,
3/5/21,Cape Verde,Africa,CPV,,,,,,,
3/6/21,Cape Verde,Africa,CPV,,,,,,,
3/7/21,Cape Verde,Africa,CPV,,,,,,,
3/8/21,Cape Verde,Africa,CPV,,,,,,,
3/9/21,Cape Verde,Africa,CPV,,,,,,,
3/10/21,Cape Verde,Africa,CPV,,,,,,,
3/11/21,Cape Verde,Africa,CPV,,,,,,,
3/12/21,Cape Verde,Africa,CPV,,,,,,,
3/13/21,Cape Verde,Africa,CPV,,,,,,,
3/14/21,Cape Verde,Africa,CPV,,,,,,,
3/15/21,Cape Verde,Africa,CPV,,,,,,,
3/16/21,Cape Verde,Africa,CPV,,,,,,,
3/17/21,Cape Verde,Africa,CPV,,,,,,,
3/18/21,Cape Verde,Africa,CPV,0.0,0.0,,,0.0,0.0,
3/19/21,Cape Verde,Africa,CPV,,,,,,,
3/20/21,Cape Verde,Africa,CPV,,,,,,,
3/21/21,Cape Verde,Africa,CPV,,,,,,,
3/22/21,Cape Verde,Africa,CPV,,,,,,,
3/23/21,Cape Verde,Africa,CPV,,,,,,,
3/24/21,Cape Verde,Africa,CPV,2184.0,2184.0,,,0.39,0.39,
3/25/21,Cape Verde,Africa,CPV,,,,,,,
3/26/21,Cape Verde,Africa,CPV,,,,,,,
3/27/21,Cape Verde,Africa,CPV,,,,,,,
3/28/21,Cape Verde,Africa,CPV,,,,,,,
3/29/21,Cape Verde,Africa,CPV,,,,,,,
3/30/21,Cape Verde,Africa,CPV,,,,,,,
3/31/21,Cape Verde,Africa,CPV,,,,,,,
4/1/21,Cape Verde,Africa,CPV,,,,,,,
4/2/21,Cape Verde,Africa,CPV,,,,,,,
4/3/21,Cape Verde,Africa,CPV,,,,,,,
4/4/21,Cape Verde,Africa,CPV,,,,,,,
4/5/21,Cape Verde,Africa,CPV,,,,,,,
4/6/21,Cape Verde,Africa,CPV,,,,,,,
4/7/21,Cape Verde,Africa,CPV,,,,,,,
4/8/21,Cape Verde,Africa,CPV,,,,,,,
4/9/21,Cape Verde,Africa,CPV,,,,,,,
4/10/21,Cape Verde,Africa,CPV,,,,,,,
4/11/21,Cape Verde,Africa,CPV,,,,,,,
4/12/21,Cape Verde,Africa,CPV,,,,,,,
4/13/21,Cape Verde,Africa,CPV,,,,,,,
4/14/21,Cape Verde,Africa,CPV,,,,,,,
4/15/21,Cape Verde,Africa,CPV,,,,,,,
