date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
12/26/20,Cayman Islands,North America,CYM,0.0,0.0,,,0.0,0.0,
12/27/20,Cayman Islands,North America,CYM,,,,,,,
12/28/20,Cayman Islands,North America,CYM,,,,,,,
12/29/20,Cayman Islands,North America,CYM,,,,,,,
12/30/20,Cayman Islands,North America,CYM,,,,,,,
12/31/20,Cayman Islands,North America,CYM,,,,,,,
1/1/21,Cayman Islands,North America,CYM,,,,,,,
1/2/21,Cayman Islands,North America,CYM,,,,,,,
1/3/21,Cayman Islands,North America,CYM,,,,,,,
1/4/21,Cayman Islands,North America,CYM,,,,,,,
1/5/21,Cayman Islands,North America,CYM,,,,,,,
1/6/21,Cayman Islands,North America,CYM,,,,,,,
1/7/21,Cayman Islands,North America,CYM,,,,,,,
1/8/21,Cayman Islands,North America,CYM,,,,,,,
1/9/21,Cayman Islands,North America,CYM,,,,,,,
1/10/21,Cayman Islands,North America,CYM,,,,,,,
1/11/21,Cayman Islands,North America,CYM,,,,,,,
1/12/21,Cayman Islands,North America,CYM,,,,,,,
1/13/21,Cayman Islands,North America,CYM,,,,,,,
1/14/21,Cayman Islands,North America,CYM,,,,,,,
1/15/21,Cayman Islands,North America,CYM,,,,,,,
1/16/21,Cayman Islands,North America,CYM,,,,,,,
1/17/21,Cayman Islands,North America,CYM,,,,,,,
1/18/21,Cayman Islands,North America,CYM,,,,,,,
1/19/21,Cayman Islands,North America,CYM,,,,,,,
1/20/21,Cayman Islands,North America,CYM,,,,,,,
1/21/21,Cayman Islands,North America,CYM,,,,,,,
1/22/21,Cayman Islands,North America,CYM,,,,,,,
1/23/21,Cayman Islands,North America,CYM,,,,,,,
1/24/21,Cayman Islands,North America,CYM,,,,,,,
1/25/21,Cayman Islands,North America,CYM,,,,,,,
1/26/21,Cayman Islands,North America,CYM,,,,,,,
1/27/21,Cayman Islands,North America,CYM,,,,,,,
1/28/21,Cayman Islands,North America,CYM,,,,,,,
1/29/21,Cayman Islands,North America,CYM,,,,,,,
1/30/21,Cayman Islands,North America,CYM,,,,,,,
1/31/21,Cayman Islands,North America,CYM,,,,,,,
2/1/21,Cayman Islands,North America,CYM,,,,,,,
2/2/21,Cayman Islands,North America,CYM,,,,,,,
2/3/21,Cayman Islands,North America,CYM,,,,,,,
2/4/21,Cayman Islands,North America,CYM,11008.0,7811.0,3197.0,,16.75,11.89,4.86
2/5/21,Cayman Islands,North America,CYM,,,,,,,
2/6/21,Cayman Islands,North America,CYM,,,,,,,
2/7/21,Cayman Islands,North America,CYM,,,,,,,
2/8/21,Cayman Islands,North America,CYM,,,,,,,
2/9/21,Cayman Islands,North America,CYM,13609.0,8839.0,4770.0,,20.71,13.45,7.26
2/10/21,Cayman Islands,North America,CYM,14086.0,8912.0,5174.0,477.0,21.43,13.56,7.87
2/11/21,Cayman Islands,North America,CYM,,,,,,,
2/12/21,Cayman Islands,North America,CYM,15543.0,9172.0,6371.0,,23.65,13.96,9.69
2/13/21,Cayman Islands,North America,CYM,,,,,,,
2/14/21,Cayman Islands,North America,CYM,,,,,,,
2/15/21,Cayman Islands,North America,CYM,,,,,,,
2/16/21,Cayman Islands,North America,CYM,,,,,,,
2/17/21,Cayman Islands,North America,CYM,16725.0,9783.0,6942.0,,25.45,14.89,10.56
2/18/21,Cayman Islands,North America,CYM,,,,,,,
2/19/21,Cayman Islands,North America,CYM,17285.0,10277.0,7008.0,,26.3,15.64,10.66
