date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/19/20,Chad,Africa,TCD,,,,,,,
3/20/20,Chad,Africa,TCD,,,,,,,
3/21/20,Chad,Africa,TCD,,,,,,,
3/22/20,Chad,Africa,TCD,,,,,,,
3/23/20,Chad,Africa,TCD,,,,,,,
3/24/20,Chad,Africa,TCD,,,,,,,
3/25/20,Chad,Africa,TCD,,,,,,,
3/26/20,Chad,Africa,TCD,,,,,,,
3/27/20,Chad,Africa,TCD,,,,,,,
3/28/20,Chad,Africa,TCD,,,,,,,
3/29/20,Chad,Africa,TCD,,,,,,,
3/30/20,Chad,Africa,TCD,,,,,,,
3/31/20,Chad,Africa,TCD,,,,,,,
4/1/20,Chad,Africa,TCD,,,,,,,
4/2/20,Chad,Africa,TCD,,,,,,,
4/3/20,Chad,Africa,TCD,,,,,,,
4/4/20,Chad,Africa,TCD,,,,,,,
4/5/20,Chad,Africa,TCD,,,,,,,
4/6/20,Chad,Africa,TCD,,,,,,,
4/7/20,Chad,Africa,TCD,,,,,,,
4/8/20,Chad,Africa,TCD,,,,,,,
4/9/20,Chad,Africa,TCD,,,,,,,
4/10/20,Chad,Africa,TCD,,,,,,,
4/11/20,Chad,Africa,TCD,,,,,,,
4/12/20,Chad,Africa,TCD,,,,,,,
4/13/20,Chad,Africa,TCD,,,,,,,
4/14/20,Chad,Africa,TCD,,,,,,,
4/15/20,Chad,Africa,TCD,,,,,,,
4/16/20,Chad,Africa,TCD,,,,,,,
4/17/20,Chad,Africa,TCD,,,,,,,
4/18/20,Chad,Africa,TCD,,,,,,,
4/19/20,Chad,Africa,TCD,,,,,,,
4/20/20,Chad,Africa,TCD,,,,,,,
4/21/20,Chad,Africa,TCD,,,,,,,
4/22/20,Chad,Africa,TCD,,,,,,,
4/23/20,Chad,Africa,TCD,,,,,,,
4/24/20,Chad,Africa,TCD,,,,,,,
4/25/20,Chad,Africa,TCD,,,,,,,
4/26/20,Chad,Africa,TCD,,,,,,,
4/27/20,Chad,Africa,TCD,,,,,,,
4/28/20,Chad,Africa,TCD,,,,,,,
4/29/20,Chad,Africa,TCD,,,,,,,
4/30/20,Chad,Africa,TCD,,,,,,,
5/1/20,Chad,Africa,TCD,,,,,,,
5/2/20,Chad,Africa,TCD,,,,,,,
5/3/20,Chad,Africa,TCD,,,,,,,
5/4/20,Chad,Africa,TCD,,,,,,,
5/5/20,Chad,Africa,TCD,,,,,,,
5/6/20,Chad,Africa,TCD,,,,,,,
5/7/20,Chad,Africa,TCD,,,,,,,
5/8/20,Chad,Africa,TCD,,,,,,,
5/9/20,Chad,Africa,TCD,,,,,,,
5/10/20,Chad,Africa,TCD,,,,,,,
5/11/20,Chad,Africa,TCD,,,,,,,
5/12/20,Chad,Africa,TCD,,,,,,,
5/13/20,Chad,Africa,TCD,,,,,,,
5/14/20,Chad,Africa,TCD,,,,,,,
5/15/20,Chad,Africa,TCD,,,,,,,
5/16/20,Chad,Africa,TCD,,,,,,,
5/17/20,Chad,Africa,TCD,,,,,,,
