date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-23,Chile,South America,CHL,,,,,,,
2020-02-24,Chile,South America,CHL,,,,,,,
2020-02-25,Chile,South America,CHL,,,,,,,
2020-02-26,Chile,South America,CHL,,,,,,,
2020-02-27,Chile,South America,CHL,,,,,,,
2020-02-28,Chile,South America,CHL,,,,,,,
2020-02-29,Chile,South America,CHL,,,,,,,
2020-03-01,Chile,South America,CHL,,,,,,,
2020-03-02,Chile,South America,CHL,,,,,,,
2020-03-03,Chile,South America,CHL,,,,,,,
2020-03-04,Chile,South America,CHL,,,,,,,
2020-03-05,Chile,South America,CHL,,,,,,,
2020-03-06,Chile,South America,CHL,,,,,,,
2020-03-07,Chile,South America,CHL,,,,,,,
2020-03-08,Chile,South America,CHL,,,,,,,
2020-03-09,Chile,South America,CHL,,,,,,,
2020-03-10,Chile,South America,CHL,,,,,,,
2020-03-11,Chile,South America,CHL,,,,,,,
2020-03-12,Chile,South America,CHL,,,,,,,
2020-03-13,Chile,South America,CHL,,,,,,,
2020-03-14,Chile,South America,CHL,,,,,,,
2020-03-15,Chile,South America,CHL,,,,,,,
2020-03-16,Chile,South America,CHL,,,,,,,
2020-03-17,Chile,South America,CHL,,,,,,,
2020-03-18,Chile,South America,CHL,,,,,,,
2020-03-19,Chile,South America,CHL,,,,,,,
2020-03-20,Chile,South America,CHL,,,,,,,
2020-03-21,Chile,South America,CHL,,,,,,,
2020-03-22,Chile,South America,CHL,,,,,,,
2020-03-23,Chile,South America,CHL,,,,,,,
2020-03-24,Chile,South America,CHL,,,,,,,
2020-03-25,Chile,South America,CHL,,,,,,,
2020-03-26,Chile,South America,CHL,,,,,,,
2020-03-27,Chile,South America,CHL,,,,,,,
2020-03-28,Chile,South America,CHL,,,,,,,
2020-03-29,Chile,South America,CHL,,,,,,,
2020-03-30,Chile,South America,CHL,,,,,,,
2020-03-31,Chile,South America,CHL,,,,,,,
2020-04-01,Chile,South America,CHL,,,,,,,
2020-04-02,Chile,South America,CHL,,,,,,,
2020-04-03,Chile,South America,CHL,,,,,,,
2020-04-04,Chile,South America,CHL,,,,,,,
2020-04-05,Chile,South America,CHL,,,,,,,
2020-04-06,Chile,South America,CHL,,,,,,,
2020-04-07,Chile,South America,CHL,,,,,,,
2020-04-08,Chile,South America,CHL,,,,,,,
2020-04-09,Chile,South America,CHL,,,,,,,
2020-04-10,Chile,South America,CHL,,,,,,,
2020-04-11,Chile,South America,CHL,,,,,,,
2020-04-12,Chile,South America,CHL,,,,,,,
2020-04-13,Chile,South America,CHL,,,,,,,
2020-04-14,Chile,South America,CHL,,,,,,,
2020-04-15,Chile,South America,CHL,,,,,,,
2020-04-16,Chile,South America,CHL,,,,,,,
2020-04-17,Chile,South America,CHL,,,,,,,
2020-04-18,Chile,South America,CHL,,,,,,,
2020-04-19,Chile,South America,CHL,,,,,,,
2020-04-20,Chile,South America,CHL,,,,,,,
2020-04-21,Chile,South America,CHL,,,,,,,
2020-04-22,Chile,South America,CHL,,,,,,,
2020-04-23,Chile,South America,CHL,,,,,,,
2020-04-24,Chile,South America,CHL,,,,,,,
2020-04-25,Chile,South America,CHL,,,,,,,
2020-04-26,Chile,South America,CHL,,,,,,,
2020-04-27,Chile,South America,CHL,,,,,,,
2020-04-28,Chile,South America,CHL,,,,,,,
2020-04-29,Chile,South America,CHL,,,,,,,
2020-04-30,Chile,South America,CHL,,,,,,,
2020-05-01,Chile,South America,CHL,,,,,,,
2020-05-02,Chile,South America,CHL,,,,,,,
2020-05-03,Chile,South America,CHL,,,,,,,
2020-05-04,Chile,South America,CHL,,,,,,,
2020-05-05,Chile,South America,CHL,,,,,,,
2020-05-06,Chile,South America,CHL,,,,,,,
2020-05-07,Chile,South America,CHL,,,,,,,
2020-05-08,Chile,South America,CHL,,,,,,,
2020-05-09,Chile,South America,CHL,,,,,,,
2020-05-10,Chile,South America,CHL,,,,,,,
2020-05-11,Chile,South America,CHL,,,,,,,
2020-05-12,Chile,South America,CHL,,,,,,,
2020-05-13,Chile,South America,CHL,,,,,,,
2020-05-14,Chile,South America,CHL,,,,,,,
2020-05-15,Chile,South America,CHL,,,,,,,
2020-05-16,Chile,South America,CHL,,,,,,,
2020-05-17,Chile,South America,CHL,,,,,,,
2020-05-18,Chile,South America,CHL,,,,,,,
2020-05-19,Chile,South America,CHL,,,,,,,
2020-05-20,Chile,South America,CHL,,,,,,,
2020-05-21,Chile,South America,CHL,,,,,,,
2020-05-22,Chile,South America,CHL,,,,,,,
2020-05-23,Chile,South America,CHL,,,,,,,
2020-05-24,Chile,South America,CHL,,,,,,,
2020-05-25,Chile,South America,CHL,,,,,,,
2020-05-26,Chile,South America,CHL,,,,,,,
2020-05-27,Chile,South America,CHL,,,,,,,
2020-05-28,Chile,South America,CHL,,,,,,,
2020-05-29,Chile,South America,CHL,,,,,,,
2020-05-30,Chile,South America,CHL,,,,,,,
2020-05-31,Chile,South America,CHL,,,,,,,
2020-06-01,Chile,South America,CHL,,,,,,,
2020-06-02,Chile,South America,CHL,,,,,,,
2020-06-03,Chile,South America,CHL,,,,,,,
2020-06-04,Chile,South America,CHL,,,,,,,
2020-06-05,Chile,South America,CHL,,,,,,,
2020-06-06,Chile,South America,CHL,,,,,,,
2020-06-07,Chile,South America,CHL,,,,,,,
2020-06-08,Chile,South America,CHL,,,,,,,
2020-06-09,Chile,South America,CHL,,,,,,,
2020-06-10,Chile,South America,CHL,,,,,,,
2020-06-11,Chile,South America,CHL,,,,,,,
2020-06-12,Chile,South America,CHL,,,,,,,
2020-06-13,Chile,South America,CHL,,,,,,,
2020-06-14,Chile,South America,CHL,,,,,,,
2020-06-15,Chile,South America,CHL,,,,,,,
2020-06-16,Chile,South America,CHL,,,,,,,
2020-06-17,Chile,South America,CHL,,,,,,,
2020-06-18,Chile,South America,CHL,,,,,,,
2020-06-19,Chile,South America,CHL,,,,,,,
2020-06-20,Chile,South America,CHL,,,,,,,
2020-06-21,Chile,South America,CHL,,,,,,,
2020-06-22,Chile,South America,CHL,,,,,,,
2020-06-23,Chile,South America,CHL,,,,,,,
2020-06-24,Chile,South America,CHL,,,,,,,
2020-06-25,Chile,South America,CHL,,,,,,,
2020-06-26,Chile,South America,CHL,,,,,,,
2020-06-27,Chile,South America,CHL,,,,,,,
2020-06-28,Chile,South America,CHL,,,,,,,
2020-06-29,Chile,South America,CHL,,,,,,,
2020-06-30,Chile,South America,CHL,,,,,,,
2020-07-01,Chile,South America,CHL,,,,,,,
2020-07-02,Chile,South America,CHL,,,,,,,
2020-07-03,Chile,South America,CHL,,,,,,,
2020-07-04,Chile,South America,CHL,,,,,,,
2020-07-05,Chile,South America,CHL,,,,,,,
2020-07-06,Chile,South America,CHL,,,,,,,
2020-07-07,Chile,South America,CHL,,,,,,,
2020-07-08,Chile,South America,CHL,,,,,,,
2020-07-09,Chile,South America,CHL,,,,,,,
2020-07-10,Chile,South America,CHL,,,,,,,
2020-07-11,Chile,South America,CHL,,,,,,,
2020-07-12,Chile,South America,CHL,,,,,,,
2020-07-13,Chile,South America,CHL,,,,,,,
2020-07-14,Chile,South America,CHL,,,,,,,
2020-07-15,Chile,South America,CHL,,,,,,,
2020-07-16,Chile,South America,CHL,,,,,,,
2020-07-17,Chile,South America,CHL,,,,,,,
2020-07-18,Chile,South America,CHL,,,,,,,
2020-07-19,Chile,South America,CHL,,,,,,,
2020-07-20,Chile,South America,CHL,,,,,,,
2020-07-21,Chile,South America,CHL,,,,,,,
2020-07-22,Chile,South America,CHL,,,,,,,
2020-07-23,Chile,South America,CHL,,,,,,,
2020-07-24,Chile,South America,CHL,,,,,,,
2020-07-25,Chile,South America,CHL,,,,,,,
2020-07-26,Chile,South America,CHL,,,,,,,
2020-07-27,Chile,South America,CHL,,,,,,,
2020-07-28,Chile,South America,CHL,,,,,,,
2020-07-29,Chile,South America,CHL,,,,,,,
2020-07-30,Chile,South America,CHL,,,,,,,
2020-07-31,Chile,South America,CHL,,,,,,,
2020-08-01,Chile,South America,CHL,,,,,,,
2020-08-02,Chile,South America,CHL,,,,,,,
2020-08-03,Chile,South America,CHL,,,,,,,
2020-08-04,Chile,South America,CHL,,,,,,,
2020-08-05,Chile,South America,CHL,,,,,,,
2020-08-06,Chile,South America,CHL,,,,,,,
2020-08-07,Chile,South America,CHL,,,,,,,
2020-08-08,Chile,South America,CHL,,,,,,,
2020-08-09,Chile,South America,CHL,,,,,,,
2020-08-10,Chile,South America,CHL,,,,,,,
2020-08-11,Chile,South America,CHL,,,,,,,
2020-08-12,Chile,South America,CHL,,,,,,,
2020-08-13,Chile,South America,CHL,,,,,,,
2020-08-14,Chile,South America,CHL,,,,,,,
2020-08-15,Chile,South America,CHL,,,,,,,
2020-08-16,Chile,South America,CHL,,,,,,,
