date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/6/20,Colombia,South America,COL,,,,,,,
3/7/20,Colombia,South America,COL,,,,,,,
3/8/20,Colombia,South America,COL,,,,,,,
3/9/20,Colombia,South America,COL,,,,,,,
3/10/20,Colombia,South America,COL,,,,,,,
3/11/20,Colombia,South America,COL,,,,,,,
3/12/20,Colombia,South America,COL,,,,,,,
3/13/20,Colombia,South America,COL,,,,,,,
3/14/20,Colombia,South America,COL,,,,,,,
3/15/20,Colombia,South America,COL,,,,,,,
3/16/20,Colombia,South America,COL,,,,,,,
3/17/20,Colombia,South America,COL,,,,,,,
3/18/20,Colombia,South America,COL,,,,,,,
3/19/20,Colombia,South America,COL,,,,,,,
3/20/20,Colombia,South America,COL,,,,,,,
3/21/20,Colombia,South America,COL,,,,,,,
3/22/20,Colombia,South America,COL,,,,,,,
3/23/20,Colombia,South America,COL,,,,,,,
3/24/20,Colombia,South America,COL,,,,,,,
3/25/20,Colombia,South America,COL,,,,,,,
3/26/20,Colombia,South America,COL,,,,,,,
3/27/20,Colombia,South America,COL,,,,,,,
3/28/20,Colombia,South America,COL,,,,,,,
3/29/20,Colombia,South America,COL,,,,,,,
3/30/20,Colombia,South America,COL,,,,,,,
3/31/20,Colombia,South America,COL,,,,,,,
4/1/20,Colombia,South America,COL,,,,,,,
4/2/20,Colombia,South America,COL,,,,,,,
4/3/20,Colombia,South America,COL,,,,,,,
4/4/20,Colombia,South America,COL,,,,,,,
4/5/20,Colombia,South America,COL,,,,,,,
4/6/20,Colombia,South America,COL,,,,,,,
4/7/20,Colombia,South America,COL,,,,,,,
4/8/20,Colombia,South America,COL,,,,,,,
4/9/20,Colombia,South America,COL,,,,,,,
4/10/20,Colombia,South America,COL,,,,,,,
4/11/20,Colombia,South America,COL,,,,,,,
4/12/20,Colombia,South America,COL,,,,,,,
4/13/20,Colombia,South America,COL,,,,,,,
4/14/20,Colombia,South America,COL,,,,,,,
4/15/20,Colombia,South America,COL,,,,,,,
4/16/20,Colombia,South America,COL,,,,,,,
4/17/20,Colombia,South America,COL,,,,,,,
4/18/20,Colombia,South America,COL,,,,,,,
4/19/20,Colombia,South America,COL,,,,,,,
4/20/20,Colombia,South America,COL,,,,,,,
4/21/20,Colombia,South America,COL,,,,,,,
4/22/20,Colombia,South America,COL,,,,,,,
4/23/20,Colombia,South America,COL,,,,,,,
4/24/20,Colombia,South America,COL,,,,,,,
4/25/20,Colombia,South America,COL,,,,,,,
4/26/20,Colombia,South America,COL,,,,,,,
4/27/20,Colombia,South America,COL,,,,,,,
4/28/20,Colombia,South America,COL,,,,,,,
4/29/20,Colombia,South America,COL,,,,,,,
4/30/20,Colombia,South America,COL,,,,,,,
5/1/20,Colombia,South America,COL,,,,,,,
5/2/20,Colombia,South America,COL,,,,,,,
5/3/20,Colombia,South America,COL,,,,,,,
5/4/20,Colombia,South America,COL,,,,,,,
5/5/20,Colombia,South America,COL,,,,,,,
5/6/20,Colombia,South America,COL,,,,,,,
5/7/20,Colombia,South America,COL,,,,,,,
5/8/20,Colombia,South America,COL,,,,,,,
5/9/20,Colombia,South America,COL,,,,,,,
5/10/20,Colombia,South America,COL,,,,,,,
5/11/20,Colombia,South America,COL,,,,,,,
5/12/20,Colombia,South America,COL,,,,,,,
5/13/20,Colombia,South America,COL,,,,,,,
5/14/20,Colombia,South America,COL,,,,,,,
5/15/20,Colombia,South America,COL,,,,,,,
5/16/20,Colombia,South America,COL,,,,,,,
5/17/20,Colombia,South America,COL,,,,,,,
5/18/20,Colombia,South America,COL,,,,,,,
5/19/20,Colombia,South America,COL,,,,,,,
5/20/20,Colombia,South America,COL,,,,,,,
5/21/20,Colombia,South America,COL,,,,,,,
5/22/20,Colombia,South America,COL,,,,,,,
5/23/20,Colombia,South America,COL,,,,,,,
5/24/20,Colombia,South America,COL,,,,,,,
5/25/20,Colombia,South America,COL,,,,,,,
5/26/20,Colombia,South America,COL,,,,,,,
5/27/20,Colombia,South America,COL,,,,,,,
5/28/20,Colombia,South America,COL,,,,,,,
5/29/20,Colombia,South America,COL,,,,,,,
5/30/20,Colombia,South America,COL,,,,,,,
5/31/20,Colombia,South America,COL,,,,,,,
6/1/20,Colombia,South America,COL,,,,,,,
6/2/20,Colombia,South America,COL,,,,,,,
6/3/20,Colombia,South America,COL,,,,,,,
6/4/20,Colombia,South America,COL,,,,,,,
6/5/20,Colombia,South America,COL,,,,,,,
6/6/20,Colombia,South America,COL,,,,,,,
6/7/20,Colombia,South America,COL,,,,,,,
6/8/20,Colombia,South America,COL,,,,,,,
6/9/20,Colombia,South America,COL,,,,,,,
6/10/20,Colombia,South America,COL,,,,,,,
6/11/20,Colombia,South America,COL,,,,,,,
6/12/20,Colombia,South America,COL,,,,,,,
6/13/20,Colombia,South America,COL,,,,,,,
6/14/20,Colombia,South America,COL,,,,,,,
6/15/20,Colombia,South America,COL,,,,,,,
6/16/20,Colombia,South America,COL,,,,,,,
6/17/20,Colombia,South America,COL,,,,,,,
6/18/20,Colombia,South America,COL,,,,,,,
6/19/20,Colombia,South America,COL,,,,,,,
6/20/20,Colombia,South America,COL,,,,,,,
6/21/20,Colombia,South America,COL,,,,,,,
6/22/20,Colombia,South America,COL,,,,,,,
6/23/20,Colombia,South America,COL,,,,,,,
6/24/20,Colombia,South America,COL,,,,,,,
6/25/20,Colombia,South America,COL,,,,,,,
