date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
4/30/20,Comoros,Africa,COM,,,,,,,
5/1/20,Comoros,Africa,COM,,,,,,,
5/2/20,Comoros,Africa,COM,,,,,,,
5/3/20,Comoros,Africa,COM,,,,,,,
5/4/20,Comoros,Africa,COM,,,,,,,
5/5/20,Comoros,Africa,COM,,,,,,,
5/6/20,Comoros,Africa,COM,,,,,,,
5/7/20,Comoros,Africa,COM,,,,,,,
5/8/20,Comoros,Africa,COM,,,,,,,
5/9/20,Comoros,Africa,COM,,,,,,,
5/10/20,Comoros,Africa,COM,,,,,,,
5/11/20,Comoros,Africa,COM,,,,,,,
5/12/20,Comoros,Africa,COM,,,,,,,
5/13/20,Comoros,Africa,COM,,,,,,,
5/14/20,Comoros,Africa,COM,,,,,,,
5/15/20,Comoros,Africa,COM,,,,,,,
5/16/20,Comoros,Africa,COM,,,,,,,
5/17/20,Comoros,Africa,COM,,,,,,,
5/18/20,Comoros,Africa,COM,,,,,,,
5/19/20,Comoros,Africa,COM,,,,,,,
5/20/20,Comoros,Africa,COM,,,,,,,
5/21/20,Comoros,Africa,COM,,,,,,,
5/22/20,Comoros,Africa,COM,,,,,,,
5/23/20,Comoros,Africa,COM,,,,,,,
5/24/20,Comoros,Africa,COM,,,,,,,
5/25/20,Comoros,Africa,COM,,,,,,,
5/26/20,Comoros,Africa,COM,,,,,,,
5/27/20,Comoros,Africa,COM,,,,,,,
5/28/20,Comoros,Africa,COM,,,,,,,
5/29/20,Comoros,Africa,COM,,,,,,,
5/30/20,Comoros,Africa,COM,,,,,,,
5/31/20,Comoros,Africa,COM,,,,,,,
6/1/20,Comoros,Africa,COM,,,,,,,
6/2/20,Comoros,Africa,COM,,,,,,,
6/3/20,Comoros,Africa,COM,,,,,,,
6/4/20,Comoros,Africa,COM,,,,,,,
6/5/20,Comoros,Africa,COM,,,,,,,
6/6/20,Comoros,Africa,COM,,,,,,,
6/7/20,Comoros,Africa,COM,,,,,,,
6/8/20,Comoros,Africa,COM,,,,,,,
6/9/20,Comoros,Africa,COM,,,,,,,
6/10/20,Comoros,Africa,COM,,,,,,,
6/11/20,Comoros,Africa,COM,,,,,,,
6/12/20,Comoros,Africa,COM,,,,,,,
6/13/20,Comoros,Africa,COM,,,,,,,
6/14/20,Comoros,Africa,COM,,,,,,,
6/15/20,Comoros,Africa,COM,,,,,,,
6/16/20,Comoros,Africa,COM,,,,,,,
6/17/20,Comoros,Africa,COM,,,,,,,
6/18/20,Comoros,Africa,COM,,,,,,,
6/19/20,Comoros,Africa,COM,,,,,,,
6/20/20,Comoros,Africa,COM,,,,,,,
6/21/20,Comoros,Africa,COM,,,,,,,
6/22/20,Comoros,Africa,COM,,,,,,,
6/23/20,Comoros,Africa,COM,,,,,,,
6/24/20,Comoros,Africa,COM,,,,,,,
6/25/20,Comoros,Africa,COM,,,,,,,
6/26/20,Comoros,Africa,COM,,,,,,,
6/27/20,Comoros,Africa,COM,,,,,,,
6/28/20,Comoros,Africa,COM,,,,,,,
6/29/20,Comoros,Africa,COM,,,,,,,
6/30/20,Comoros,Africa,COM,,,,,,,
7/1/20,Comoros,Africa,COM,,,,,,,
7/2/20,Comoros,Africa,COM,,,,,,,
7/3/20,Comoros,Africa,COM,,,,,,,
7/4/20,Comoros,Africa,COM,,,,,,,
7/5/20,Comoros,Africa,COM,,,,,,,
7/6/20,Comoros,Africa,COM,,,,,,,
7/7/20,Comoros,Africa,COM,,,,,,,
7/8/20,Comoros,Africa,COM,,,,,,,
7/9/20,Comoros,Africa,COM,,,,,,,
7/10/20,Comoros,Africa,COM,,,,,,,
7/11/20,Comoros,Africa,COM,,,,,,,
7/12/20,Comoros,Africa,COM,,,,,,,
7/13/20,Comoros,Africa,COM,,,,,,,
7/14/20,Comoros,Africa,COM,,,,,,,
7/15/20,Comoros,Africa,COM,,,,,,,
7/16/20,Comoros,Africa,COM,,,,,,,
7/17/20,Comoros,Africa,COM,,,,,,,
7/18/20,Comoros,Africa,COM,,,,,,,
7/19/20,Comoros,Africa,COM,,,,,,,
7/20/20,Comoros,Africa,COM,,,,,,,
7/21/20,Comoros,Africa,COM,,,,,,,
7/22/20,Comoros,Africa,COM,,,,,,,
7/23/20,Comoros,Africa,COM,,,,,,,
7/24/20,Comoros,Africa,COM,,,,,,,
7/25/20,Comoros,Africa,COM,,,,,,,
7/26/20,Comoros,Africa,COM,,,,,,,
7/27/20,Comoros,Africa,COM,,,,,,,
7/28/20,Comoros,Africa,COM,,,,,,,
7/29/20,Comoros,Africa,COM,,,,,,,
7/30/20,Comoros,Africa,COM,,,,,,,
7/31/20,Comoros,Africa,COM,,,,,,,
8/1/20,Comoros,Africa,COM,,,,,,,
8/2/20,Comoros,Africa,COM,,,,,,,
8/3/20,Comoros,Africa,COM,,,,,,,
