date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/15/20,Congo,Africa,COG,,,,,,,
3/16/20,Congo,Africa,COG,,,,,,,
3/17/20,Congo,Africa,COG,,,,,,,
3/18/20,Congo,Africa,COG,,,,,,,
3/19/20,Congo,Africa,COG,,,,,,,
3/20/20,Congo,Africa,COG,,,,,,,
3/21/20,Congo,Africa,COG,,,,,,,
3/22/20,Congo,Africa,COG,,,,,,,
3/23/20,Congo,Africa,COG,,,,,,,
3/24/20,Congo,Africa,COG,,,,,,,
3/25/20,Congo,Africa,COG,,,,,,,
3/26/20,Congo,Africa,COG,,,,,,,
3/27/20,Congo,Africa,COG,,,,,,,
3/28/20,Congo,Africa,COG,,,,,,,
3/29/20,Congo,Africa,COG,,,,,,,
3/30/20,Congo,Africa,COG,,,,,,,
3/31/20,Congo,Africa,COG,,,,,,,
4/1/20,Congo,Africa,COG,,,,,,,
4/2/20,Congo,Africa,COG,,,,,,,
4/3/20,Congo,Africa,COG,,,,,,,
4/4/20,Congo,Africa,COG,,,,,,,
4/5/20,Congo,Africa,COG,,,,,,,
4/6/20,Congo,Africa,COG,,,,,,,
4/7/20,Congo,Africa,COG,,,,,,,
4/8/20,Congo,Africa,COG,,,,,,,
4/9/20,Congo,Africa,COG,,,,,,,
4/10/20,Congo,Africa,COG,,,,,,,
4/11/20,Congo,Africa,COG,,,,,,,
4/12/20,Congo,Africa,COG,,,,,,,
4/13/20,Congo,Africa,COG,,,,,,,
4/14/20,Congo,Africa,COG,,,,,,,
4/15/20,Congo,Africa,COG,,,,,,,
4/16/20,Congo,Africa,COG,,,,,,,
4/17/20,Congo,Africa,COG,,,,,,,
4/18/20,Congo,Africa,COG,,,,,,,
4/19/20,Congo,Africa,COG,,,,,,,
4/20/20,Congo,Africa,COG,,,,,,,
4/21/20,Congo,Africa,COG,,,,,,,
4/22/20,Congo,Africa,COG,,,,,,,
4/23/20,Congo,Africa,COG,,,,,,,
4/24/20,Congo,Africa,COG,,,,,,,
4/25/20,Congo,Africa,COG,,,,,,,
4/26/20,Congo,Africa,COG,,,,,,,
4/27/20,Congo,Africa,COG,,,,,,,
4/28/20,Congo,Africa,COG,,,,,,,
4/29/20,Congo,Africa,COG,,,,,,,
4/30/20,Congo,Africa,COG,,,,,,,
5/1/20,Congo,Africa,COG,,,,,,,
5/2/20,Congo,Africa,COG,,,,,,,
5/3/20,Congo,Africa,COG,,,,,,,
5/4/20,Congo,Africa,COG,,,,,,,
5/5/20,Congo,Africa,COG,,,,,,,
5/6/20,Congo,Africa,COG,,,,,,,
5/7/20,Congo,Africa,COG,,,,,,,
5/8/20,Congo,Africa,COG,,,,,,,
5/9/20,Congo,Africa,COG,,,,,,,
5/10/20,Congo,Africa,COG,,,,,,,
5/11/20,Congo,Africa,COG,,,,,,,
5/12/20,Congo,Africa,COG,,,,,,,
5/13/20,Congo,Africa,COG,,,,,,,
5/14/20,Congo,Africa,COG,,,,,,,
5/15/20,Congo,Africa,COG,,,,,,,
5/16/20,Congo,Africa,COG,,,,,,,
5/17/20,Congo,Africa,COG,,,,,,,
5/18/20,Congo,Africa,COG,,,,,,,
5/19/20,Congo,Africa,COG,,,,,,,
5/20/20,Congo,Africa,COG,,,,,,,
5/21/20,Congo,Africa,COG,,,,,,,
5/22/20,Congo,Africa,COG,,,,,,,
5/23/20,Congo,Africa,COG,,,,,,,
5/24/20,Congo,Africa,COG,,,,,,,
5/25/20,Congo,Africa,COG,,,,,,,
5/26/20,Congo,Africa,COG,,,,,,,
5/27/20,Congo,Africa,COG,,,,,,,
5/28/20,Congo,Africa,COG,,,,,,,
5/29/20,Congo,Africa,COG,,,,,,,
5/30/20,Congo,Africa,COG,,,,,,,
5/31/20,Congo,Africa,COG,,,,,,,
6/1/20,Congo,Africa,COG,,,,,,,
6/2/20,Congo,Africa,COG,,,,,,,
6/3/20,Congo,Africa,COG,,,,,,,
6/4/20,Congo,Africa,COG,,,,,,,
6/5/20,Congo,Africa,COG,,,,,,,
6/6/20,Congo,Africa,COG,,,,,,,
6/7/20,Congo,Africa,COG,,,,,,,
6/8/20,Congo,Africa,COG,,,,,,,
6/9/20,Congo,Africa,COG,,,,,,,
6/10/20,Congo,Africa,COG,,,,,,,
6/11/20,Congo,Africa,COG,,,,,,,
6/12/20,Congo,Africa,COG,,,,,,,
6/13/20,Congo,Africa,COG,,,,,,,
6/14/20,Congo,Africa,COG,,,,,,,
6/15/20,Congo,Africa,COG,,,,,,,
6/16/20,Congo,Africa,COG,,,,,,,
6/17/20,Congo,Africa,COG,,,,,,,
6/18/20,Congo,Africa,COG,,,,,,,
6/19/20,Congo,Africa,COG,,,,,,,
6/20/20,Congo,Africa,COG,,,,,,,
6/21/20,Congo,Africa,COG,,,,,,,
6/22/20,Congo,Africa,COG,,,,,,,
6/23/20,Congo,Africa,COG,,,,,,,
6/24/20,Congo,Africa,COG,,,,,,,
6/25/20,Congo,Africa,COG,,,,,,,
6/26/20,Congo,Africa,COG,,,,,,,
6/27/20,Congo,Africa,COG,,,,,,,
6/28/20,Congo,Africa,COG,,,,,,,
6/29/20,Congo,Africa,COG,,,,,,,
6/30/20,Congo,Africa,COG,,,,,,,
7/1/20,Congo,Africa,COG,,,,,,,
7/2/20,Congo,Africa,COG,,,,,,,
7/3/20,Congo,Africa,COG,,,,,,,
7/4/20,Congo,Africa,COG,,,,,,,
7/5/20,Congo,Africa,COG,,,,,,,
7/6/20,Congo,Africa,COG,,,,,,,
7/7/20,Congo,Africa,COG,,,,,,,
7/8/20,Congo,Africa,COG,,,,,,,
7/9/20,Congo,Africa,COG,,,,,,,
7/10/20,Congo,Africa,COG,,,,,,,
7/11/20,Congo,Africa,COG,,,,,,,
7/12/20,Congo,Africa,COG,,,,,,,
7/13/20,Congo,Africa,COG,,,,,,,
7/14/20,Congo,Africa,COG,,,,,,,
7/15/20,Congo,Africa,COG,,,,,,,
7/16/20,Congo,Africa,COG,,,,,,,
7/17/20,Congo,Africa,COG,,,,,,,
7/18/20,Congo,Africa,COG,,,,,,,
7/19/20,Congo,Africa,COG,,,,,,,
7/20/20,Congo,Africa,COG,,,,,,,
7/21/20,Congo,Africa,COG,,,,,,,
7/22/20,Congo,Africa,COG,,,,,,,
7/23/20,Congo,Africa,COG,,,,,,,
7/24/20,Congo,Africa,COG,,,,,,,
7/25/20,Congo,Africa,COG,,,,,,,
7/26/20,Congo,Africa,COG,,,,,,,
7/27/20,Congo,Africa,COG,,,,,,,
7/28/20,Congo,Africa,COG,,,,,,,
7/29/20,Congo,Africa,COG,,,,,,,
7/30/20,Congo,Africa,COG,,,,,,,
7/31/20,Congo,Africa,COG,,,,,,,
8/1/20,Congo,Africa,COG,,,,,,,
8/2/20,Congo,Africa,COG,,,,,,,
8/3/20,Congo,Africa,COG,,,,,,,
8/4/20,Congo,Africa,COG,,,,,,,
8/5/20,Congo,Africa,COG,,,,,,,
8/6/20,Congo,Africa,COG,,,,,,,
8/7/20,Congo,Africa,COG,,,,,,,
8/8/20,Congo,Africa,COG,,,,,,,
8/9/20,Congo,Africa,COG,,,,,,,
8/10/20,Congo,Africa,COG,,,,,,,
8/11/20,Congo,Africa,COG,,,,,,,
8/12/20,Congo,Africa,COG,,,,,,,
8/13/20,Congo,Africa,COG,,,,,,,
8/14/20,Congo,Africa,COG,,,,,,,
8/15/20,Congo,Africa,COG,,,,,,,
8/16/20,Congo,Africa,COG,,,,,,,
8/17/20,Congo,Africa,COG,,,,,,,
8/18/20,Congo,Africa,COG,,,,,,,
8/19/20,Congo,Africa,COG,,,,,,,
8/20/20,Congo,Africa,COG,,,,,,,
8/21/20,Congo,Africa,COG,,,,,,,
8/22/20,Congo,Africa,COG,,,,,,,
8/23/20,Congo,Africa,COG,,,,,,,
8/24/20,Congo,Africa,COG,,,,,,,
8/25/20,Congo,Africa,COG,,,,,,,
8/26/20,Congo,Africa,COG,,,,,,,
8/27/20,Congo,Africa,COG,,,,,,,
8/28/20,Congo,Africa,COG,,,,,,,
8/29/20,Congo,Africa,COG,,,,,,,
8/30/20,Congo,Africa,COG,,,,,,,
8/31/20,Congo,Africa,COG,,,,,,,
9/1/20,Congo,Africa,COG,,,,,,,
9/2/20,Congo,Africa,COG,,,,,,,
9/3/20,Congo,Africa,COG,,,,,,,
9/4/20,Congo,Africa,COG,,,,,,,
9/5/20,Congo,Africa,COG,,,,,,,
9/6/20,Congo,Africa,COG,,,,,,,
9/7/20,Congo,Africa,COG,,,,,,,
9/8/20,Congo,Africa,COG,,,,,,,
9/9/20,Congo,Africa,COG,,,,,,,
9/10/20,Congo,Africa,COG,,,,,,,
9/11/20,Congo,Africa,COG,,,,,,,
9/12/20,Congo,Africa,COG,,,,,,,
9/13/20,Congo,Africa,COG,,,,,,,
9/14/20,Congo,Africa,COG,,,,,,,
9/15/20,Congo,Africa,COG,,,,,,,
9/16/20,Congo,Africa,COG,,,,,,,
9/17/20,Congo,Africa,COG,,,,,,,
9/18/20,Congo,Africa,COG,,,,,,,
9/19/20,Congo,Africa,COG,,,,,,,
9/20/20,Congo,Africa,COG,,,,,,,
9/21/20,Congo,Africa,COG,,,,,,,
9/22/20,Congo,Africa,COG,,,,,,,
9/23/20,Congo,Africa,COG,,,,,,,
9/24/20,Congo,Africa,COG,,,,,,,
9/25/20,Congo,Africa,COG,,,,,,,
9/26/20,Congo,Africa,COG,,,,,,,
9/27/20,Congo,Africa,COG,,,,,,,
9/28/20,Congo,Africa,COG,,,,,,,
9/29/20,Congo,Africa,COG,,,,,,,
9/30/20,Congo,Africa,COG,,,,,,,
10/1/20,Congo,Africa,COG,,,,,,,
10/2/20,Congo,Africa,COG,,,,,,,
10/3/20,Congo,Africa,COG,,,,,,,
10/4/20,Congo,Africa,COG,,,,,,,
10/5/20,Congo,Africa,COG,,,,,,,
10/6/20,Congo,Africa,COG,,,,,,,
10/7/20,Congo,Africa,COG,,,,,,,
10/8/20,Congo,Africa,COG,,,,,,,
10/9/20,Congo,Africa,COG,,,,,,,
10/10/20,Congo,Africa,COG,,,,,,,
10/11/20,Congo,Africa,COG,,,,,,,
10/12/20,Congo,Africa,COG,,,,,,,
10/13/20,Congo,Africa,COG,,,,,,,
10/14/20,Congo,Africa,COG,,,,,,,
10/15/20,Congo,Africa,COG,,,,,,,
10/16/20,Congo,Africa,COG,,,,,,,
10/17/20,Congo,Africa,COG,,,,,,,
10/18/20,Congo,Africa,COG,,,,,,,
10/19/20,Congo,Africa,COG,,,,,,,
10/20/20,Congo,Africa,COG,,,,,,,
10/21/20,Congo,Africa,COG,,,,,,,
10/22/20,Congo,Africa,COG,,,,,,,
10/23/20,Congo,Africa,COG,,,,,,,
10/24/20,Congo,Africa,COG,,,,,,,
10/25/20,Congo,Africa,COG,,,,,,,
10/26/20,Congo,Africa,COG,,,,,,,
10/27/20,Congo,Africa,COG,,,,,,,
10/28/20,Congo,Africa,COG,,,,,,,
10/29/20,Congo,Africa,COG,,,,,,,
10/30/20,Congo,Africa,COG,,,,,,,
10/31/20,Congo,Africa,COG,,,,,,,
11/1/20,Congo,Africa,COG,,,,,,,
11/2/20,Congo,Africa,COG,,,,,,,
11/3/20,Congo,Africa,COG,,,,,,,
11/4/20,Congo,Africa,COG,,,,,,,
11/5/20,Congo,Africa,COG,,,,,,,
11/6/20,Congo,Africa,COG,,,,,,,
11/7/20,Congo,Africa,COG,,,,,,,
11/8/20,Congo,Africa,COG,,,,,,,
11/9/20,Congo,Africa,COG,,,,,,,
11/10/20,Congo,Africa,COG,,,,,,,
11/11/20,Congo,Africa,COG,,,,,,,
11/12/20,Congo,Africa,COG,,,,,,,
11/13/20,Congo,Africa,COG,,,,,,,
11/14/20,Congo,Africa,COG,,,,,,,
11/15/20,Congo,Africa,COG,,,,,,,
11/16/20,Congo,Africa,COG,,,,,,,
11/17/20,Congo,Africa,COG,,,,,,,
11/18/20,Congo,Africa,COG,,,,,,,
11/19/20,Congo,Africa,COG,,,,,,,
11/20/20,Congo,Africa,COG,,,,,,,
11/21/20,Congo,Africa,COG,,,,,,,
11/22/20,Congo,Africa,COG,,,,,,,
11/23/20,Congo,Africa,COG,,,,,,,
11/24/20,Congo,Africa,COG,,,,,,,
11/25/20,Congo,Africa,COG,,,,,,,
11/26/20,Congo,Africa,COG,,,,,,,
11/27/20,Congo,Africa,COG,,,,,,,
11/28/20,Congo,Africa,COG,,,,,,,
11/29/20,Congo,Africa,COG,,,,,,,
11/30/20,Congo,Africa,COG,,,,,,,
12/1/20,Congo,Africa,COG,,,,,,,
12/2/20,Congo,Africa,COG,,,,,,,
12/3/20,Congo,Africa,COG,,,,,,,
12/4/20,Congo,Africa,COG,,,,,,,
12/5/20,Congo,Africa,COG,,,,,,,
12/6/20,Congo,Africa,COG,,,,,,,
12/7/20,Congo,Africa,COG,,,,,,,
12/8/20,Congo,Africa,COG,,,,,,,
12/9/20,Congo,Africa,COG,,,,,,,
12/10/20,Congo,Africa,COG,,,,,,,
12/11/20,Congo,Africa,COG,,,,,,,
12/12/20,Congo,Africa,COG,,,,,,,
12/13/20,Congo,Africa,COG,,,,,,,
12/14/20,Congo,Africa,COG,,,,,,,
12/15/20,Congo,Africa,COG,,,,,,,
12/16/20,Congo,Africa,COG,,,,,,,
12/17/20,Congo,Africa,COG,,,,,,,
12/18/20,Congo,Africa,COG,,,,,,,
12/19/20,Congo,Africa,COG,,,,,,,
12/20/20,Congo,Africa,COG,,,,,,,
12/21/20,Congo,Africa,COG,,,,,,,
12/22/20,Congo,Africa,COG,,,,,,,
12/23/20,Congo,Africa,COG,,,,,,,
12/24/20,Congo,Africa,COG,,,,,,,
12/25/20,Congo,Africa,COG,,,,,,,
12/26/20,Congo,Africa,COG,,,,,,,
12/27/20,Congo,Africa,COG,,,,,,,
12/28/20,Congo,Africa,COG,,,,,,,
12/29/20,Congo,Africa,COG,,,,,,,
12/30/20,Congo,Africa,COG,,,,,,,
12/31/20,Congo,Africa,COG,,,,,,,
1/1/21,Congo,Africa,COG,,,,,,,
1/2/21,Congo,Africa,COG,,,,,,,
1/3/21,Congo,Africa,COG,,,,,,,
1/4/21,Congo,Africa,COG,,,,,,,
1/5/21,Congo,Africa,COG,,,,,,,
1/6/21,Congo,Africa,COG,,,,,,,
1/7/21,Congo,Africa,COG,,,,,,,
1/8/21,Congo,Africa,COG,,,,,,,
1/9/21,Congo,Africa,COG,,,,,,,
1/10/21,Congo,Africa,COG,,,,,,,
1/11/21,Congo,Africa,COG,,,,,,,
1/12/21,Congo,Africa,COG,,,,,,,
1/13/21,Congo,Africa,COG,,,,,,,
1/14/21,Congo,Africa,COG,,,,,,,
1/15/21,Congo,Africa,COG,,,,,,,
1/16/21,Congo,Africa,COG,,,,,,,
1/17/21,Congo,Africa,COG,,,,,,,
1/18/21,Congo,Africa,COG,,,,,,,
1/19/21,Congo,Africa,COG,,,,,,,
1/20/21,Congo,Africa,COG,,,,,,,
1/21/21,Congo,Africa,COG,,,,,,,
1/22/21,Congo,Africa,COG,,,,,,,
1/23/21,Congo,Africa,COG,,,,,,,
1/24/21,Congo,Africa,COG,,,,,,,
1/25/21,Congo,Africa,COG,,,,,,,
1/26/21,Congo,Africa,COG,,,,,,,
1/27/21,Congo,Africa,COG,,,,,,,
1/28/21,Congo,Africa,COG,,,,,,,
1/29/21,Congo,Africa,COG,,,,,,,
1/30/21,Congo,Africa,COG,,,,,,,
1/31/21,Congo,Africa,COG,,,,,,,
2/1/21,Congo,Africa,COG,,,,,,,
2/2/21,Congo,Africa,COG,,,,,,,
2/3/21,Congo,Africa,COG,,,,,,,
2/4/21,Congo,Africa,COG,,,,,,,
2/5/21,Congo,Africa,COG,,,,,,,
2/6/21,Congo,Africa,COG,,,,,,,
2/7/21,Congo,Africa,COG,,,,,,,
2/8/21,Congo,Africa,COG,,,,,,,
2/9/21,Congo,Africa,COG,,,,,,,
2/10/21,Congo,Africa,COG,,,,,,,
2/11/21,Congo,Africa,COG,,,,,,,
2/12/21,Congo,Africa,COG,,,,,,,
2/13/21,Congo,Africa,COG,,,,,,,
2/14/21,Congo,Africa,COG,,,,,,,
2/15/21,Congo,Africa,COG,,,,,,,
2/16/21,Congo,Africa,COG,,,,,,,
2/17/21,Congo,Africa,COG,,,,,,,
2/18/21,Congo,Africa,COG,,,,,,,
2/19/21,Congo,Africa,COG,,,,,,,
2/20/21,Congo,Africa,COG,,,,,,,
2/21/21,Congo,Africa,COG,,,,,,,
2/22/21,Congo,Africa,COG,,,,,,,
2/23/21,Congo,Africa,COG,,,,,,,
2/24/21,Congo,Africa,COG,,,,,,,
2/25/21,Congo,Africa,COG,,,,,,,
2/26/21,Congo,Africa,COG,,,,,,,
2/27/21,Congo,Africa,COG,,,,,,,
2/28/21,Congo,Africa,COG,,,,,,,
3/1/21,Congo,Africa,COG,,,,,,,
3/2/21,Congo,Africa,COG,,,,,,,
3/3/21,Congo,Africa,COG,,,,,,,
3/4/21,Congo,Africa,COG,,,,,,,
3/5/21,Congo,Africa,COG,,,,,,,
3/6/21,Congo,Africa,COG,,,,,,,
3/7/21,Congo,Africa,COG,,,,,,,
3/8/21,Congo,Africa,COG,,,,,,,
3/9/21,Congo,Africa,COG,,,,,,,
3/10/21,Congo,Africa,COG,,,,,,,
3/11/21,Congo,Africa,COG,,,,,,,
3/12/21,Congo,Africa,COG,,,,,,,
3/13/21,Congo,Africa,COG,,,,,,,
3/14/21,Congo,Africa,COG,,,,,,,
3/15/21,Congo,Africa,COG,,,,,,,
3/16/21,Congo,Africa,COG,,,,,,,
3/17/21,Congo,Africa,COG,,,,,,,
3/18/21,Congo,Africa,COG,,,,,,,
3/19/21,Congo,Africa,COG,,,,,,,
3/20/21,Congo,Africa,COG,,,,,,,
3/21/21,Congo,Africa,COG,,,,,,,
3/22/21,Congo,Africa,COG,,,,,,,
3/23/21,Congo,Africa,COG,,,,,,,
3/24/21,Congo,Africa,COG,,,,,,,
3/25/21,Congo,Africa,COG,,,,,,,
3/26/21,Congo,Africa,COG,,,,,,,
3/27/21,Congo,Africa,COG,,,,,,,
3/28/21,Congo,Africa,COG,,,,,,,
3/29/21,Congo,Africa,COG,,,,,,,
3/30/21,Congo,Africa,COG,,,,,,,
3/31/21,Congo,Africa,COG,,,,,,,
4/1/21,Congo,Africa,COG,,,,,,,
4/2/21,Congo,Africa,COG,,,,,,,
4/3/21,Congo,Africa,COG,,,,,,,
4/4/21,Congo,Africa,COG,,,,,,,
4/5/21,Congo,Africa,COG,,,,,,,
4/6/21,Congo,Africa,COG,,,,,,,
4/7/21,Congo,Africa,COG,,,,,,,
4/8/21,Congo,Africa,COG,,,,,,,
4/9/21,Congo,Africa,COG,,,,,,,
4/10/21,Congo,Africa,COG,,,,,,,
4/11/21,Congo,Africa,COG,,,,,,,
4/12/21,Congo,Africa,COG,,,,,,,
4/13/21,Congo,Africa,COG,,,,,,,
4/14/21,Congo,Africa,COG,14297.0,14297.0,,,0.26,0.26,
4/15/21,Congo,Africa,COG,,,,,,,
4/16/21,Congo,Africa,COG,,,,,,,
4/17/21,Congo,Africa,COG,,,,,,,
4/18/21,Congo,Africa,COG,,,,,,,
4/19/21,Congo,Africa,COG,,,,,,,
4/20/21,Congo,Africa,COG,,,,,,,
4/21/21,Congo,Africa,COG,,,,,,,
4/22/21,Congo,Africa,COG,,,,,,,
4/23/21,Congo,Africa,COG,,,,,,,
4/24/21,Congo,Africa,COG,,,,,,,
4/25/21,Congo,Africa,COG,,,,,,,
4/26/21,Congo,Africa,COG,,,,,,,
4/27/21,Congo,Africa,COG,,,,,,,
4/28/21,Congo,Africa,COG,,,,,,,
4/29/21,Congo,Africa,COG,,,,,,,
4/30/21,Congo,Africa,COG,,,,,,,
5/1/21,Congo,Africa,COG,,,,,,,
5/2/21,Congo,Africa,COG,,,,,,,
5/3/21,Congo,Africa,COG,,,,,,,
5/4/21,Congo,Africa,COG,,,,,,,
5/5/21,Congo,Africa,COG,,,,,,,
5/6/21,Congo,Africa,COG,,,,,,,
5/7/21,Congo,Africa,COG,,,,,,,
5/8/21,Congo,Africa,COG,,,,,,,
5/9/21,Congo,Africa,COG,,,,,,,
5/10/21,Congo,Africa,COG,,,,,,,
5/11/21,Congo,Africa,COG,,,,,,,
5/12/21,Congo,Africa,COG,38151.0,22531.0,15620.0,,0.69,0.41,0.28
5/13/21,Congo,Africa,COG,,,,,,,
5/14/21,Congo,Africa,COG,,,,,,,
5/15/21,Congo,Africa,COG,,,,,,,
5/16/21,Congo,Africa,COG,,,,,,,
5/17/21,Congo,Africa,COG,,,,,,,
5/18/21,Congo,Africa,COG,38268.0,22623.0,15645.0,,0.69,0.41,0.28
5/19/21,Congo,Africa,COG,,,,,,,
5/20/21,Congo,Africa,COG,,,,,,,
5/21/21,Congo,Africa,COG,,,,,,,
5/22/21,Congo,Africa,COG,,,,,,,
5/23/21,Congo,Africa,COG,,,,,,,
5/24/21,Congo,Africa,COG,,,,,,,
5/25/21,Congo,Africa,COG,,,,,,,
5/26/21,Congo,Africa,COG,,,,,,,
5/27/21,Congo,Africa,COG,,,,,,,
5/28/21,Congo,Africa,COG,,,,,,,
5/29/21,Congo,Africa,COG,,,,,,,
5/30/21,Congo,Africa,COG,,,,,,,
5/31/21,Congo,Africa,COG,,,,,,,
6/1/21,Congo,Africa,COG,,,,,,,
6/2/21,Congo,Africa,COG,,,,,,,
6/3/21,Congo,Africa,COG,,,,,,,
