date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/6/20,Costa Rica,North America,CRI,,,,,,,
3/7/20,Costa Rica,North America,CRI,,,,,,,
3/8/20,Costa Rica,North America,CRI,,,,,,,
3/9/20,Costa Rica,North America,CRI,,,,,,,
3/10/20,Costa Rica,North America,CRI,,,,,,,
3/11/20,Costa Rica,North America,CRI,,,,,,,
3/12/20,Costa Rica,North America,CRI,,,,,,,
3/13/20,Costa Rica,North America,CRI,,,,,,,
3/14/20,Costa Rica,North America,CRI,,,,,,,
3/15/20,Costa Rica,North America,CRI,,,,,,,
3/16/20,Costa Rica,North America,CRI,,,,,,,
3/17/20,Costa Rica,North America,CRI,,,,,,,
3/18/20,Costa Rica,North America,CRI,,,,,,,
3/19/20,Costa Rica,North America,CRI,,,,,,,
3/20/20,Costa Rica,North America,CRI,,,,,,,
3/21/20,Costa Rica,North America,CRI,,,,,,,
3/22/20,Costa Rica,North America,CRI,,,,,,,
3/23/20,Costa Rica,North America,CRI,,,,,,,
3/24/20,Costa Rica,North America,CRI,,,,,,,
3/25/20,Costa Rica,North America,CRI,,,,,,,
3/26/20,Costa Rica,North America,CRI,,,,,,,
3/27/20,Costa Rica,North America,CRI,,,,,,,
3/28/20,Costa Rica,North America,CRI,,,,,,,
3/29/20,Costa Rica,North America,CRI,,,,,,,
3/30/20,Costa Rica,North America,CRI,,,,,,,
3/31/20,Costa Rica,North America,CRI,,,,,,,
4/1/20,Costa Rica,North America,CRI,,,,,,,
4/2/20,Costa Rica,North America,CRI,,,,,,,
4/3/20,Costa Rica,North America,CRI,,,,,,,
4/4/20,Costa Rica,North America,CRI,,,,,,,
4/5/20,Costa Rica,North America,CRI,,,,,,,
4/6/20,Costa Rica,North America,CRI,,,,,,,
4/7/20,Costa Rica,North America,CRI,,,,,,,
4/8/20,Costa Rica,North America,CRI,,,,,,,
4/9/20,Costa Rica,North America,CRI,,,,,,,
4/10/20,Costa Rica,North America,CRI,,,,,,,
4/11/20,Costa Rica,North America,CRI,,,,,,,
4/12/20,Costa Rica,North America,CRI,,,,,,,
4/13/20,Costa Rica,North America,CRI,,,,,,,
4/14/20,Costa Rica,North America,CRI,,,,,,,
4/15/20,Costa Rica,North America,CRI,,,,,,,
4/16/20,Costa Rica,North America,CRI,,,,,,,
4/17/20,Costa Rica,North America,CRI,,,,,,,
4/18/20,Costa Rica,North America,CRI,,,,,,,
4/19/20,Costa Rica,North America,CRI,,,,,,,
4/20/20,Costa Rica,North America,CRI,,,,,,,
4/21/20,Costa Rica,North America,CRI,,,,,,,
4/22/20,Costa Rica,North America,CRI,,,,,,,
4/23/20,Costa Rica,North America,CRI,,,,,,,
4/24/20,Costa Rica,North America,CRI,,,,,,,
4/25/20,Costa Rica,North America,CRI,,,,,,,
4/26/20,Costa Rica,North America,CRI,,,,,,,
4/27/20,Costa Rica,North America,CRI,,,,,,,
4/28/20,Costa Rica,North America,CRI,,,,,,,
4/29/20,Costa Rica,North America,CRI,,,,,,,
4/30/20,Costa Rica,North America,CRI,,,,,,,
5/1/20,Costa Rica,North America,CRI,,,,,,,
5/2/20,Costa Rica,North America,CRI,,,,,,,
5/3/20,Costa Rica,North America,CRI,,,,,,,
5/4/20,Costa Rica,North America,CRI,,,,,,,
5/5/20,Costa Rica,North America,CRI,,,,,,,
5/6/20,Costa Rica,North America,CRI,,,,,,,
5/7/20,Costa Rica,North America,CRI,,,,,,,
5/8/20,Costa Rica,North America,CRI,,,,,,,
5/9/20,Costa Rica,North America,CRI,,,,,,,
5/10/20,Costa Rica,North America,CRI,,,,,,,
5/11/20,Costa Rica,North America,CRI,,,,,,,
5/12/20,Costa Rica,North America,CRI,,,,,,,
5/13/20,Costa Rica,North America,CRI,,,,,,,
5/14/20,Costa Rica,North America,CRI,,,,,,,
5/15/20,Costa Rica,North America,CRI,,,,,,,
5/16/20,Costa Rica,North America,CRI,,,,,,,
5/17/20,Costa Rica,North America,CRI,,,,,,,
5/18/20,Costa Rica,North America,CRI,,,,,,,
5/19/20,Costa Rica,North America,CRI,,,,,,,
5/20/20,Costa Rica,North America,CRI,,,,,,,
5/21/20,Costa Rica,North America,CRI,,,,,,,
5/22/20,Costa Rica,North America,CRI,,,,,,,
5/23/20,Costa Rica,North America,CRI,,,,,,,
5/24/20,Costa Rica,North America,CRI,,,,,,,
5/25/20,Costa Rica,North America,CRI,,,,,,,
5/26/20,Costa Rica,North America,CRI,,,,,,,
5/27/20,Costa Rica,North America,CRI,,,,,,,
5/28/20,Costa Rica,North America,CRI,,,,,,,
5/29/20,Costa Rica,North America,CRI,,,,,,,
5/30/20,Costa Rica,North America,CRI,,,,,,,
5/31/20,Costa Rica,North America,CRI,,,,,,,
6/1/20,Costa Rica,North America,CRI,,,,,,,
6/2/20,Costa Rica,North America,CRI,,,,,,,
6/3/20,Costa Rica,North America,CRI,,,,,,,
6/4/20,Costa Rica,North America,CRI,,,,,,,
6/5/20,Costa Rica,North America,CRI,,,,,,,
6/6/20,Costa Rica,North America,CRI,,,,,,,
6/7/20,Costa Rica,North America,CRI,,,,,,,
6/8/20,Costa Rica,North America,CRI,,,,,,,
6/9/20,Costa Rica,North America,CRI,,,,,,,
6/10/20,Costa Rica,North America,CRI,,,,,,,
6/11/20,Costa Rica,North America,CRI,,,,,,,
6/12/20,Costa Rica,North America,CRI,,,,,,,
6/13/20,Costa Rica,North America,CRI,,,,,,,
6/14/20,Costa Rica,North America,CRI,,,,,,,
6/15/20,Costa Rica,North America,CRI,,,,,,,
6/16/20,Costa Rica,North America,CRI,,,,,,,
6/17/20,Costa Rica,North America,CRI,,,,,,,
6/18/20,Costa Rica,North America,CRI,,,,,,,
6/19/20,Costa Rica,North America,CRI,,,,,,,
6/20/20,Costa Rica,North America,CRI,,,,,,,
6/21/20,Costa Rica,North America,CRI,,,,,,,
6/22/20,Costa Rica,North America,CRI,,,,,,,
6/23/20,Costa Rica,North America,CRI,,,,,,,
6/24/20,Costa Rica,North America,CRI,,,,,,,
6/25/20,Costa Rica,North America,CRI,,,,,,,
6/26/20,Costa Rica,North America,CRI,,,,,,,
6/27/20,Costa Rica,North America,CRI,,,,,,,
6/28/20,Costa Rica,North America,CRI,,,,,,,
6/29/20,Costa Rica,North America,CRI,,,,,,,
6/30/20,Costa Rica,North America,CRI,,,,,,,
7/1/20,Costa Rica,North America,CRI,,,,,,,
7/2/20,Costa Rica,North America,CRI,,,,,,,
7/3/20,Costa Rica,North America,CRI,,,,,,,
7/4/20,Costa Rica,North America,CRI,,,,,,,
7/5/20,Costa Rica,North America,CRI,,,,,,,
7/6/20,Costa Rica,North America,CRI,,,,,,,
7/7/20,Costa Rica,North America,CRI,,,,,,,
7/8/20,Costa Rica,North America,CRI,,,,,,,
7/9/20,Costa Rica,North America,CRI,,,,,,,
7/10/20,Costa Rica,North America,CRI,,,,,,,
7/11/20,Costa Rica,North America,CRI,,,,,,,
7/12/20,Costa Rica,North America,CRI,,,,,,,
7/13/20,Costa Rica,North America,CRI,,,,,,,
7/14/20,Costa Rica,North America,CRI,,,,,,,
7/15/20,Costa Rica,North America,CRI,,,,,,,
7/16/20,Costa Rica,North America,CRI,,,,,,,
7/17/20,Costa Rica,North America,CRI,,,,,,,
7/18/20,Costa Rica,North America,CRI,,,,,,,
7/19/20,Costa Rica,North America,CRI,,,,,,,
7/20/20,Costa Rica,North America,CRI,,,,,,,
7/21/20,Costa Rica,North America,CRI,,,,,,,
7/22/20,Costa Rica,North America,CRI,,,,,,,
7/23/20,Costa Rica,North America,CRI,,,,,,,
7/24/20,Costa Rica,North America,CRI,,,,,,,
7/25/20,Costa Rica,North America,CRI,,,,,,,
7/26/20,Costa Rica,North America,CRI,,,,,,,
7/27/20,Costa Rica,North America,CRI,,,,,,,
7/28/20,Costa Rica,North America,CRI,,,,,,,
7/29/20,Costa Rica,North America,CRI,,,,,,,
7/30/20,Costa Rica,North America,CRI,,,,,,,
7/31/20,Costa Rica,North America,CRI,,,,,,,
8/1/20,Costa Rica,North America,CRI,,,,,,,
8/2/20,Costa Rica,North America,CRI,,,,,,,
8/3/20,Costa Rica,North America,CRI,,,,,,,
8/4/20,Costa Rica,North America,CRI,,,,,,,
8/5/20,Costa Rica,North America,CRI,,,,,,,
8/6/20,Costa Rica,North America,CRI,,,,,,,
8/7/20,Costa Rica,North America,CRI,,,,,,,
8/8/20,Costa Rica,North America,CRI,,,,,,,
8/9/20,Costa Rica,North America,CRI,,,,,,,
8/10/20,Costa Rica,North America,CRI,,,,,,,
8/11/20,Costa Rica,North America,CRI,,,,,,,
