date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-11,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-12,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-13,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-14,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-15,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-16,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-17,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-18,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-19,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-20,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-21,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-22,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-23,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-24,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-25,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-26,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-27,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-28,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-29,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-30,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-03-31,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-01,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-02,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-03,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-04,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-05,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-06,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-07,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-08,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-09,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-10,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-11,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-12,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-13,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-14,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-15,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-16,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-17,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-18,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-19,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-20,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-21,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-22,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-23,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-24,Cote d'Ivoire,Africa,CIV,,,,,,,
2020-04-25,Cote d'Ivoire,Africa,CIV,,,,,,,
