date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-25,Croatia,Europe,HRV,,,,,,,
2020-02-26,Croatia,Europe,HRV,,,,,,,
2020-02-27,Croatia,Europe,HRV,,,,,,,
2020-02-28,Croatia,Europe,HRV,,,,,,,
2020-02-29,Croatia,Europe,HRV,,,,,,,
2020-03-01,Croatia,Europe,HRV,,,,,,,
2020-03-02,Croatia,Europe,HRV,,,,,,,
2020-03-03,Croatia,Europe,HRV,,,,,,,
2020-03-04,Croatia,Europe,HRV,,,,,,,
2020-03-05,Croatia,Europe,HRV,,,,,,,
2020-03-06,Croatia,Europe,HRV,,,,,,,
2020-03-07,Croatia,Europe,HRV,,,,,,,
2020-03-08,Croatia,Europe,HRV,,,,,,,
2020-03-09,Croatia,Europe,HRV,,,,,,,
2020-03-10,Croatia,Europe,HRV,,,,,,,
2020-03-11,Croatia,Europe,HRV,,,,,,,
2020-03-12,Croatia,Europe,HRV,,,,,,,
2020-03-13,Croatia,Europe,HRV,,,,,,,
2020-03-14,Croatia,Europe,HRV,,,,,,,
2020-03-15,Croatia,Europe,HRV,,,,,,,
2020-03-16,Croatia,Europe,HRV,,,,,,,
2020-03-17,Croatia,Europe,HRV,,,,,,,
2020-03-18,Croatia,Europe,HRV,,,,,,,
2020-03-19,Croatia,Europe,HRV,,,,,,,
2020-03-20,Croatia,Europe,HRV,,,,,,,
2020-03-21,Croatia,Europe,HRV,,,,,,,
2020-03-22,Croatia,Europe,HRV,,,,,,,
2020-03-23,Croatia,Europe,HRV,,,,,,,
2020-03-24,Croatia,Europe,HRV,,,,,,,
2020-03-25,Croatia,Europe,HRV,,,,,,,
2020-03-26,Croatia,Europe,HRV,,,,,,,
2020-03-27,Croatia,Europe,HRV,,,,,,,
2020-03-28,Croatia,Europe,HRV,,,,,,,
2020-03-29,Croatia,Europe,HRV,,,,,,,
2020-03-30,Croatia,Europe,HRV,,,,,,,
2020-03-31,Croatia,Europe,HRV,,,,,,,
2020-04-01,Croatia,Europe,HRV,,,,,,,
2020-04-02,Croatia,Europe,HRV,,,,,,,
2020-04-03,Croatia,Europe,HRV,,,,,,,
2020-04-04,Croatia,Europe,HRV,,,,,,,
2020-04-05,Croatia,Europe,HRV,,,,,,,
2020-04-06,Croatia,Europe,HRV,,,,,,,
2020-04-07,Croatia,Europe,HRV,,,,,,,
2020-04-08,Croatia,Europe,HRV,,,,,,,
2020-04-09,Croatia,Europe,HRV,,,,,,,
2020-04-10,Croatia,Europe,HRV,,,,,,,
2020-04-11,Croatia,Europe,HRV,,,,,,,
2020-04-12,Croatia,Europe,HRV,,,,,,,
2020-04-13,Croatia,Europe,HRV,,,,,,,
2020-04-14,Croatia,Europe,HRV,,,,,,,
2020-04-15,Croatia,Europe,HRV,,,,,,,
2020-04-16,Croatia,Europe,HRV,,,,,,,
2020-04-17,Croatia,Europe,HRV,,,,,,,
2020-04-18,Croatia,Europe,HRV,,,,,,,
2020-04-19,Croatia,Europe,HRV,,,,,,,
2020-04-20,Croatia,Europe,HRV,,,,,,,
2020-04-21,Croatia,Europe,HRV,,,,,,,
2020-04-22,Croatia,Europe,HRV,,,,,,,
2020-04-23,Croatia,Europe,HRV,,,,,,,
2020-04-24,Croatia,Europe,HRV,,,,,,,
2020-04-25,Croatia,Europe,HRV,,,,,,,
2020-04-26,Croatia,Europe,HRV,,,,,,,
2020-04-27,Croatia,Europe,HRV,,,,,,,
2020-04-28,Croatia,Europe,HRV,,,,,,,
2020-04-29,Croatia,Europe,HRV,,,,,,,
2020-04-30,Croatia,Europe,HRV,,,,,,,
2020-05-01,Croatia,Europe,HRV,,,,,,,
2020-05-02,Croatia,Europe,HRV,,,,,,,
2020-05-03,Croatia,Europe,HRV,,,,,,,
2020-05-04,Croatia,Europe,HRV,,,,,,,
2020-05-05,Croatia,Europe,HRV,,,,,,,
2020-05-06,Croatia,Europe,HRV,,,,,,,
2020-05-07,Croatia,Europe,HRV,,,,,,,
2020-05-08,Croatia,Europe,HRV,,,,,,,
2020-05-09,Croatia,Europe,HRV,,,,,,,
2020-05-10,Croatia,Europe,HRV,,,,,,,
2020-05-11,Croatia,Europe,HRV,,,,,,,
2020-05-12,Croatia,Europe,HRV,,,,,,,
2020-05-13,Croatia,Europe,HRV,,,,,,,
2020-05-14,Croatia,Europe,HRV,,,,,,,
2020-05-15,Croatia,Europe,HRV,,,,,,,
2020-05-16,Croatia,Europe,HRV,,,,,,,
2020-05-17,Croatia,Europe,HRV,,,,,,,
2020-05-18,Croatia,Europe,HRV,,,,,,,
2020-05-19,Croatia,Europe,HRV,,,,,,,
2020-05-20,Croatia,Europe,HRV,,,,,,,
2020-05-21,Croatia,Europe,HRV,,,,,,,
2020-05-22,Croatia,Europe,HRV,,,,,,,
2020-05-23,Croatia,Europe,HRV,,,,,,,
2020-05-24,Croatia,Europe,HRV,,,,,,,
2020-05-25,Croatia,Europe,HRV,,,,,,,
2020-05-26,Croatia,Europe,HRV,,,,,,,
2020-05-27,Croatia,Europe,HRV,,,,,,,
2020-05-28,Croatia,Europe,HRV,,,,,,,
2020-05-29,Croatia,Europe,HRV,,,,,,,
2020-05-30,Croatia,Europe,HRV,,,,,,,
2020-05-31,Croatia,Europe,HRV,,,,,,,
2020-06-01,Croatia,Europe,HRV,,,,,,,
2020-06-02,Croatia,Europe,HRV,,,,,,,
2020-06-03,Croatia,Europe,HRV,,,,,,,
2020-06-04,Croatia,Europe,HRV,,,,,,,
2020-06-05,Croatia,Europe,HRV,,,,,,,
2020-06-06,Croatia,Europe,HRV,,,,,,,
2020-06-07,Croatia,Europe,HRV,,,,,,,
2020-06-08,Croatia,Europe,HRV,,,,,,,
2020-06-09,Croatia,Europe,HRV,,,,,,,
2020-06-10,Croatia,Europe,HRV,,,,,,,
2020-06-11,Croatia,Europe,HRV,,,,,,,
2020-06-12,Croatia,Europe,HRV,,,,,,,
2020-06-13,Croatia,Europe,HRV,,,,,,,
2020-06-14,Croatia,Europe,HRV,,,,,,,
2020-06-15,Croatia,Europe,HRV,,,,,,,
2020-06-16,Croatia,Europe,HRV,,,,,,,
2020-06-17,Croatia,Europe,HRV,,,,,,,
2020-06-18,Croatia,Europe,HRV,,,,,,,
2020-06-19,Croatia,Europe,HRV,,,,,,,
2020-06-20,Croatia,Europe,HRV,,,,,,,
2020-06-21,Croatia,Europe,HRV,,,,,,,
2020-06-22,Croatia,Europe,HRV,,,,,,,
2020-06-23,Croatia,Europe,HRV,,,,,,,
2020-06-24,Croatia,Europe,HRV,,,,,,,
2020-06-25,Croatia,Europe,HRV,,,,,,,
2020-06-26,Croatia,Europe,HRV,,,,,,,
2020-06-27,Croatia,Europe,HRV,,,,,,,
2020-06-28,Croatia,Europe,HRV,,,,,,,
2020-06-29,Croatia,Europe,HRV,,,,,,,
2020-06-30,Croatia,Europe,HRV,,,,,,,
2020-07-01,Croatia,Europe,HRV,,,,,,,
2020-07-02,Croatia,Europe,HRV,,,,,,,
2020-07-03,Croatia,Europe,HRV,,,,,,,
2020-07-04,Croatia,Europe,HRV,,,,,,,
2020-07-05,Croatia,Europe,HRV,,,,,,,
2020-07-06,Croatia,Europe,HRV,,,,,,,
2020-07-07,Croatia,Europe,HRV,,,,,,,
2020-07-08,Croatia,Europe,HRV,,,,,,,
