date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-12,Cuba,North America,CUB,,,,,,,
2020-03-13,Cuba,North America,CUB,,,,,,,
2020-03-14,Cuba,North America,CUB,,,,,,,
2020-03-15,Cuba,North America,CUB,,,,,,,
2020-03-16,Cuba,North America,CUB,,,,,,,
2020-03-17,Cuba,North America,CUB,,,,,,,
2020-03-18,Cuba,North America,CUB,,,,,,,
2020-03-19,Cuba,North America,CUB,,,,,,,
2020-03-20,Cuba,North America,CUB,,,,,,,
2020-03-21,Cuba,North America,CUB,,,,,,,
2020-03-22,Cuba,North America,CUB,,,,,,,
2020-03-23,Cuba,North America,CUB,,,,,,,
2020-03-24,Cuba,North America,CUB,,,,,,,
2020-03-25,Cuba,North America,CUB,,,,,,,
2020-03-26,Cuba,North America,CUB,,,,,,,
2020-03-27,Cuba,North America,CUB,,,,,,,
2020-03-28,Cuba,North America,CUB,,,,,,,
2020-03-29,Cuba,North America,CUB,,,,,,,
2020-03-30,Cuba,North America,CUB,,,,,,,
2020-03-31,Cuba,North America,CUB,,,,,,,
2020-04-01,Cuba,North America,CUB,,,,,,,
2020-04-02,Cuba,North America,CUB,,,,,,,
2020-04-03,Cuba,North America,CUB,,,,,,,
2020-04-04,Cuba,North America,CUB,,,,,,,
2020-04-05,Cuba,North America,CUB,,,,,,,
2020-04-06,Cuba,North America,CUB,,,,,,,
2020-04-07,Cuba,North America,CUB,,,,,,,
2020-04-08,Cuba,North America,CUB,,,,,,,
2020-04-09,Cuba,North America,CUB,,,,,,,
2020-04-10,Cuba,North America,CUB,,,,,,,
2020-04-11,Cuba,North America,CUB,,,,,,,
2020-04-12,Cuba,North America,CUB,,,,,,,
2020-04-13,Cuba,North America,CUB,,,,,,,
2020-04-14,Cuba,North America,CUB,,,,,,,
2020-04-15,Cuba,North America,CUB,,,,,,,
2020-04-16,Cuba,North America,CUB,,,,,,,
2020-04-17,Cuba,North America,CUB,,,,,,,
2020-04-18,Cuba,North America,CUB,,,,,,,
2020-04-19,Cuba,North America,CUB,,,,,,,
2020-04-20,Cuba,North America,CUB,,,,,,,
2020-04-21,Cuba,North America,CUB,,,,,,,
2020-04-22,Cuba,North America,CUB,,,,,,,
2020-04-23,Cuba,North America,CUB,,,,,,,
2020-04-24,Cuba,North America,CUB,,,,,,,
2020-04-25,Cuba,North America,CUB,,,,,,,
2020-04-26,Cuba,North America,CUB,,,,,,,
2020-04-27,Cuba,North America,CUB,,,,,,,
2020-04-28,Cuba,North America,CUB,,,,,,,
2020-04-29,Cuba,North America,CUB,,,,,,,
2020-04-30,Cuba,North America,CUB,,,,,,,
2020-05-01,Cuba,North America,CUB,,,,,,,
2020-05-02,Cuba,North America,CUB,,,,,,,
2020-05-03,Cuba,North America,CUB,,,,,,,
2020-05-04,Cuba,North America,CUB,,,,,,,
2020-05-05,Cuba,North America,CUB,,,,,,,
2020-05-06,Cuba,North America,CUB,,,,,,,
2020-05-07,Cuba,North America,CUB,,,,,,,
2020-05-08,Cuba,North America,CUB,,,,,,,
2020-05-09,Cuba,North America,CUB,,,,,,,
2020-05-10,Cuba,North America,CUB,,,,,,,
2020-05-11,Cuba,North America,CUB,,,,,,,
2020-05-12,Cuba,North America,CUB,,,,,,,
2020-05-13,Cuba,North America,CUB,,,,,,,
2020-05-14,Cuba,North America,CUB,,,,,,,
2020-05-15,Cuba,North America,CUB,,,,,,,
2020-05-16,Cuba,North America,CUB,,,,,,,
2020-05-17,Cuba,North America,CUB,,,,,,,
2020-05-18,Cuba,North America,CUB,,,,,,,
2020-05-19,Cuba,North America,CUB,,,,,,,
2020-05-20,Cuba,North America,CUB,,,,,,,
2020-05-21,Cuba,North America,CUB,,,,,,,
2020-05-22,Cuba,North America,CUB,,,,,,,
2020-05-23,Cuba,North America,CUB,,,,,,,
2020-05-24,Cuba,North America,CUB,,,,,,,
2020-05-25,Cuba,North America,CUB,,,,,,,
2020-05-26,Cuba,North America,CUB,,,,,,,
2020-05-27,Cuba,North America,CUB,,,,,,,
2020-05-28,Cuba,North America,CUB,,,,,,,
2020-05-29,Cuba,North America,CUB,,,,,,,
2020-05-30,Cuba,North America,CUB,,,,,,,
2020-05-31,Cuba,North America,CUB,,,,,,,
2020-06-01,Cuba,North America,CUB,,,,,,,
2020-06-02,Cuba,North America,CUB,,,,,,,
