date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-02,Cyprus,Europe,CYP,,,,,,,
2020-03-08,Cyprus,Europe,CYP,,,,,,,
2020-03-09,Cyprus,Europe,CYP,,,,,,,
2020-03-10,Cyprus,Europe,CYP,,,,,,,
2020-03-11,Cyprus,Europe,CYP,,,,,,,
2020-03-12,Cyprus,Europe,CYP,,,,,,,
2020-03-13,Cyprus,Europe,CYP,,,,,,,
2020-03-14,Cyprus,Europe,CYP,,,,,,,
2020-03-15,Cyprus,Europe,CYP,,,,,,,
2020-03-16,Cyprus,Europe,CYP,,,,,,,
2020-03-17,Cyprus,Europe,CYP,,,,,,,
2020-03-18,Cyprus,Europe,CYP,,,,,,,
2020-03-19,Cyprus,Europe,CYP,,,,,,,
2020-03-20,Cyprus,Europe,CYP,,,,,,,
2020-03-21,Cyprus,Europe,CYP,,,,,,,
2020-03-22,Cyprus,Europe,CYP,,,,,,,
2020-03-23,Cyprus,Europe,CYP,,,,,,,
2020-03-24,Cyprus,Europe,CYP,,,,,,,
2020-03-25,Cyprus,Europe,CYP,,,,,,,
2020-03-26,Cyprus,Europe,CYP,,,,,,,
2020-03-27,Cyprus,Europe,CYP,,,,,,,
2020-03-28,Cyprus,Europe,CYP,,,,,,,
2020-03-29,Cyprus,Europe,CYP,,,,,,,
2020-03-30,Cyprus,Europe,CYP,,,,,,,
2020-03-31,Cyprus,Europe,CYP,,,,,,,
2020-04-01,Cyprus,Europe,CYP,,,,,,,
2020-04-02,Cyprus,Europe,CYP,,,,,,,
2020-04-03,Cyprus,Europe,CYP,,,,,,,
2020-04-04,Cyprus,Europe,CYP,,,,,,,
2020-04-05,Cyprus,Europe,CYP,,,,,,,
2020-04-06,Cyprus,Europe,CYP,,,,,,,
2020-04-07,Cyprus,Europe,CYP,,,,,,,
2020-04-08,Cyprus,Europe,CYP,,,,,,,
2020-04-09,Cyprus,Europe,CYP,,,,,,,
2020-04-10,Cyprus,Europe,CYP,,,,,,,
2020-04-11,Cyprus,Europe,CYP,,,,,,,
2020-04-12,Cyprus,Europe,CYP,,,,,,,
2020-04-13,Cyprus,Europe,CYP,,,,,,,
2020-04-14,Cyprus,Europe,CYP,,,,,,,
2020-04-15,Cyprus,Europe,CYP,,,,,,,
2020-04-16,Cyprus,Europe,CYP,,,,,,,
2020-04-17,Cyprus,Europe,CYP,,,,,,,
2020-04-18,Cyprus,Europe,CYP,,,,,,,
2020-04-19,Cyprus,Europe,CYP,,,,,,,
2020-04-20,Cyprus,Europe,CYP,,,,,,,
2020-04-21,Cyprus,Europe,CYP,,,,,,,
2020-04-22,Cyprus,Europe,CYP,,,,,,,
2020-04-23,Cyprus,Europe,CYP,,,,,,,
2020-04-24,Cyprus,Europe,CYP,,,,,,,
2020-04-25,Cyprus,Europe,CYP,,,,,,,
2020-04-26,Cyprus,Europe,CYP,,,,,,,
2020-04-27,Cyprus,Europe,CYP,,,,,,,
2020-04-28,Cyprus,Europe,CYP,,,,,,,
2020-04-29,Cyprus,Europe,CYP,,,,,,,
2020-04-30,Cyprus,Europe,CYP,,,,,,,
2020-05-01,Cyprus,Europe,CYP,,,,,,,
2020-05-02,Cyprus,Europe,CYP,,,,,,,
2020-05-03,Cyprus,Europe,CYP,,,,,,,
2020-05-04,Cyprus,Europe,CYP,,,,,,,
2020-05-05,Cyprus,Europe,CYP,,,,,,,
2020-05-06,Cyprus,Europe,CYP,,,,,,,
2020-05-07,Cyprus,Europe,CYP,,,,,,,
2020-05-08,Cyprus,Europe,CYP,,,,,,,
2020-05-09,Cyprus,Europe,CYP,,,,,,,
2020-05-10,Cyprus,Europe,CYP,,,,,,,
2020-05-11,Cyprus,Europe,CYP,,,,,,,
2020-05-12,Cyprus,Europe,CYP,,,,,,,
2020-05-13,Cyprus,Europe,CYP,,,,,,,
2020-05-14,Cyprus,Europe,CYP,,,,,,,
2020-05-15,Cyprus,Europe,CYP,,,,,,,
2020-05-16,Cyprus,Europe,CYP,,,,,,,
2020-05-17,Cyprus,Europe,CYP,,,,,,,
2020-05-18,Cyprus,Europe,CYP,,,,,,,
2020-05-19,Cyprus,Europe,CYP,,,,,,,
2020-05-20,Cyprus,Europe,CYP,,,,,,,
2020-05-21,Cyprus,Europe,CYP,,,,,,,
2020-05-22,Cyprus,Europe,CYP,,,,,,,
2020-05-23,Cyprus,Europe,CYP,,,,,,,
2020-05-24,Cyprus,Europe,CYP,,,,,,,
2020-05-25,Cyprus,Europe,CYP,,,,,,,
2020-05-26,Cyprus,Europe,CYP,,,,,,,
2020-05-27,Cyprus,Europe,CYP,,,,,,,
2020-05-28,Cyprus,Europe,CYP,,,,,,,
2020-05-29,Cyprus,Europe,CYP,,,,,,,
2020-05-30,Cyprus,Europe,CYP,,,,,,,
2020-05-31,Cyprus,Europe,CYP,,,,,,,
2020-06-01,Cyprus,Europe,CYP,,,,,,,
2020-06-02,Cyprus,Europe,CYP,,,,,,,
2020-06-03,Cyprus,Europe,CYP,,,,,,,
2020-06-04,Cyprus,Europe,CYP,,,,,,,
2020-06-05,Cyprus,Europe,CYP,,,,,,,
2020-06-06,Cyprus,Europe,CYP,,,,,,,
2020-06-07,Cyprus,Europe,CYP,,,,,,,
2020-06-08,Cyprus,Europe,CYP,,,,,,,
2020-06-09,Cyprus,Europe,CYP,,,,,,,
2020-06-10,Cyprus,Europe,CYP,,,,,,,
2020-06-11,Cyprus,Europe,CYP,,,,,,,
2020-06-12,Cyprus,Europe,CYP,,,,,,,
2020-06-13,Cyprus,Europe,CYP,,,,,,,
2020-06-14,Cyprus,Europe,CYP,,,,,,,
2020-06-15,Cyprus,Europe,CYP,,,,,,,
2020-06-16,Cyprus,Europe,CYP,,,,,,,
2020-06-17,Cyprus,Europe,CYP,,,,,,,
2020-06-18,Cyprus,Europe,CYP,,,,,,,
2020-06-19,Cyprus,Europe,CYP,,,,,,,
2020-06-20,Cyprus,Europe,CYP,,,,,,,
2020-06-21,Cyprus,Europe,CYP,,,,,,,
2020-06-22,Cyprus,Europe,CYP,,,,,,,
2020-06-23,Cyprus,Europe,CYP,,,,,,,
2020-06-24,Cyprus,Europe,CYP,,,,,,,
2020-06-25,Cyprus,Europe,CYP,,,,,,,
2020-06-26,Cyprus,Europe,CYP,,,,,,,
2020-06-27,Cyprus,Europe,CYP,,,,,,,
2020-06-28,Cyprus,Europe,CYP,,,,,,,
2020-06-29,Cyprus,Europe,CYP,,,,,,,
2020-06-30,Cyprus,Europe,CYP,,,,,,,
2020-07-01,Cyprus,Europe,CYP,,,,,,,
2020-07-02,Cyprus,Europe,CYP,,,,,,,
2020-07-03,Cyprus,Europe,CYP,,,,,,,
2020-07-04,Cyprus,Europe,CYP,,,,,,,
2020-07-05,Cyprus,Europe,CYP,,,,,,,
2020-07-06,Cyprus,Europe,CYP,,,,,,,
2020-07-07,Cyprus,Europe,CYP,,,,,,,
2020-07-08,Cyprus,Europe,CYP,,,,,,,
2020-07-09,Cyprus,Europe,CYP,,,,,,,
2020-07-10,Cyprus,Europe,CYP,,,,,,,
2020-07-11,Cyprus,Europe,CYP,,,,,,,
2020-07-12,Cyprus,Europe,CYP,,,,,,,
2020-07-13,Cyprus,Europe,CYP,,,,,,,
2020-07-14,Cyprus,Europe,CYP,,,,,,,
2020-07-15,Cyprus,Europe,CYP,,,,,,,
2020-07-16,Cyprus,Europe,CYP,,,,,,,
2020-07-17,Cyprus,Europe,CYP,,,,,,,
2020-07-18,Cyprus,Europe,CYP,,,,,,,
2020-07-19,Cyprus,Europe,CYP,,,,,,,
2020-07-20,Cyprus,Europe,CYP,,,,,,,
2020-07-21,Cyprus,Europe,CYP,,,,,,,
2020-07-22,Cyprus,Europe,CYP,,,,,,,
2020-07-23,Cyprus,Europe,CYP,,,,,,,
2020-07-24,Cyprus,Europe,CYP,,,,,,,
2020-07-25,Cyprus,Europe,CYP,,,,,,,
2020-07-26,Cyprus,Europe,CYP,,,,,,,
2020-07-27,Cyprus,Europe,CYP,,,,,,,
2020-07-28,Cyprus,Europe,CYP,,,,,,,
2020-07-29,Cyprus,Europe,CYP,,,,,,,
2020-07-30,Cyprus,Europe,CYP,,,,,,,
2020-07-31,Cyprus,Europe,CYP,,,,,,,
2020-08-01,Cyprus,Europe,CYP,,,,,,,
2020-08-02,Cyprus,Europe,CYP,,,,,,,
2020-08-03,Cyprus,Europe,CYP,,,,,,,
2020-08-04,Cyprus,Europe,CYP,,,,,,,
2020-08-05,Cyprus,Europe,CYP,,,,,,,
2020-08-06,Cyprus,Europe,CYP,,,,,,,
2020-08-07,Cyprus,Europe,CYP,,,,,,,
2020-08-08,Cyprus,Europe,CYP,,,,,,,
2020-08-09,Cyprus,Europe,CYP,,,,,,,
2020-08-10,Cyprus,Europe,CYP,,,,,,,
2020-08-11,Cyprus,Europe,CYP,,,,,,,
2020-08-12,Cyprus,Europe,CYP,,,,,,,
2020-08-13,Cyprus,Europe,CYP,,,,,,,
2020-08-14,Cyprus,Europe,CYP,,,,,,,
2020-08-15,Cyprus,Europe,CYP,,,,,,,
2020-08-16,Cyprus,Europe,CYP,,,,,,,
2020-08-17,Cyprus,Europe,CYP,,,,,,,
2020-08-18,Cyprus,Europe,CYP,,,,,,,
2020-08-19,Cyprus,Europe,CYP,,,,,,,
2020-08-20,Cyprus,Europe,CYP,,,,,,,
2020-08-21,Cyprus,Europe,CYP,,,,,,,
2020-08-22,Cyprus,Europe,CYP,,,,,,,
2020-08-23,Cyprus,Europe,CYP,,,,,,,
2020-08-24,Cyprus,Europe,CYP,,,,,,,
2020-08-25,Cyprus,Europe,CYP,,,,,,,
2020-08-26,Cyprus,Europe,CYP,,,,,,,
2020-08-27,Cyprus,Europe,CYP,,,,,,,
2020-08-28,Cyprus,Europe,CYP,,,,,,,
2020-08-29,Cyprus,Europe,CYP,,,,,,,
2020-08-30,Cyprus,Europe,CYP,,,,,,,
2020-08-31,Cyprus,Europe,CYP,,,,,,,
2020-09-01,Cyprus,Europe,CYP,,,,,,,
2020-09-02,Cyprus,Europe,CYP,,,,,,,
2020-09-03,Cyprus,Europe,CYP,,,,,,,
2020-09-04,Cyprus,Europe,CYP,,,,,,,
2020-09-05,Cyprus,Europe,CYP,,,,,,,
2020-09-06,Cyprus,Europe,CYP,,,,,,,
2020-09-07,Cyprus,Europe,CYP,,,,,,,
2020-09-08,Cyprus,Europe,CYP,,,,,,,
2020-09-09,Cyprus,Europe,CYP,,,,,,,
2020-09-10,Cyprus,Europe,CYP,,,,,,,
2020-09-11,Cyprus,Europe,CYP,,,,,,,
2020-09-12,Cyprus,Europe,CYP,,,,,,,
2020-09-13,Cyprus,Europe,CYP,,,,,,,
2020-09-14,Cyprus,Europe,CYP,,,,,,,
2020-09-15,Cyprus,Europe,CYP,,,,,,,
2020-09-16,Cyprus,Europe,CYP,,,,,,,
2020-09-17,Cyprus,Europe,CYP,,,,,,,
2020-09-18,Cyprus,Europe,CYP,,,,,,,
2020-09-19,Cyprus,Europe,CYP,,,,,,,
2020-09-20,Cyprus,Europe,CYP,,,,,,,
2020-09-21,Cyprus,Europe,CYP,,,,,,,
2020-09-22,Cyprus,Europe,CYP,,,,,,,
2020-09-23,Cyprus,Europe,CYP,,,,,,,
2020-09-24,Cyprus,Europe,CYP,,,,,,,
2020-09-25,Cyprus,Europe,CYP,,,,,,,
2020-09-26,Cyprus,Europe,CYP,,,,,,,
2020-09-27,Cyprus,Europe,CYP,,,,,,,
2020-09-28,Cyprus,Europe,CYP,,,,,,,
2020-09-29,Cyprus,Europe,CYP,,,,,,,
2020-09-30,Cyprus,Europe,CYP,,,,,,,
2020-10-01,Cyprus,Europe,CYP,,,,,,,
2020-10-02,Cyprus,Europe,CYP,,,,,,,
2020-10-03,Cyprus,Europe,CYP,,,,,,,
2020-10-04,Cyprus,Europe,CYP,,,,,,,
2020-10-05,Cyprus,Europe,CYP,,,,,,,
2020-10-06,Cyprus,Europe,CYP,,,,,,,
2020-10-07,Cyprus,Europe,CYP,,,,,,,
2020-10-08,Cyprus,Europe,CYP,,,,,,,
2020-10-09,Cyprus,Europe,CYP,,,,,,,
2020-10-10,Cyprus,Europe,CYP,,,,,,,
2020-10-11,Cyprus,Europe,CYP,,,,,,,
2020-10-12,Cyprus,Europe,CYP,,,,,,,
2020-10-13,Cyprus,Europe,CYP,,,,,,,
2020-10-14,Cyprus,Europe,CYP,,,,,,,
2020-10-15,Cyprus,Europe,CYP,,,,,,,
2020-10-16,Cyprus,Europe,CYP,,,,,,,
2020-10-17,Cyprus,Europe,CYP,,,,,,,
2020-10-18,Cyprus,Europe,CYP,,,,,,,
2020-10-19,Cyprus,Europe,CYP,,,,,,,
2020-10-20,Cyprus,Europe,CYP,,,,,,,
2020-10-21,Cyprus,Europe,CYP,,,,,,,
2020-10-22,Cyprus,Europe,CYP,,,,,,,
2020-10-23,Cyprus,Europe,CYP,,,,,,,
2020-10-24,Cyprus,Europe,CYP,,,,,,,
2020-10-25,Cyprus,Europe,CYP,,,,,,,
2020-10-26,Cyprus,Europe,CYP,,,,,,,
2020-10-27,Cyprus,Europe,CYP,,,,,,,
2020-10-28,Cyprus,Europe,CYP,,,,,,,
2020-10-29,Cyprus,Europe,CYP,,,,,,,
2020-10-30,Cyprus,Europe,CYP,,,,,,,
2020-10-31,Cyprus,Europe,CYP,,,,,,,
2020-11-01,Cyprus,Europe,CYP,,,,,,,
2020-11-02,Cyprus,Europe,CYP,,,,,,,
2020-11-03,Cyprus,Europe,CYP,,,,,,,
2020-11-04,Cyprus,Europe,CYP,,,,,,,
2020-11-05,Cyprus,Europe,CYP,,,,,,,
2020-11-06,Cyprus,Europe,CYP,,,,,,,
2020-11-07,Cyprus,Europe,CYP,,,,,,,
2020-11-08,Cyprus,Europe,CYP,,,,,,,
2020-11-09,Cyprus,Europe,CYP,,,,,,,
2020-11-10,Cyprus,Europe,CYP,,,,,,,
2020-11-11,Cyprus,Europe,CYP,,,,,,,
2020-11-12,Cyprus,Europe,CYP,,,,,,,
2020-11-13,Cyprus,Europe,CYP,,,,,,,
2020-11-14,Cyprus,Europe,CYP,,,,,,,
2020-11-15,Cyprus,Europe,CYP,,,,,,,
2020-11-16,Cyprus,Europe,CYP,,,,,,,
2020-11-17,Cyprus,Europe,CYP,,,,,,,
2020-11-18,Cyprus,Europe,CYP,,,,,,,
2020-11-19,Cyprus,Europe,CYP,,,,,,,
2020-11-20,Cyprus,Europe,CYP,,,,,,,
2020-11-21,Cyprus,Europe,CYP,,,,,,,
2020-11-22,Cyprus,Europe,CYP,,,,,,,
2020-11-23,Cyprus,Europe,CYP,,,,,,,
2020-11-24,Cyprus,Europe,CYP,,,,,,,
2020-11-25,Cyprus,Europe,CYP,,,,,,,
2020-11-26,Cyprus,Europe,CYP,,,,,,,
2020-11-27,Cyprus,Europe,CYP,,,,,,,
2020-11-28,Cyprus,Europe,CYP,,,,,,,
2020-11-29,Cyprus,Europe,CYP,,,,,,,
2020-11-30,Cyprus,Europe,CYP,,,,,,,
2020-12-01,Cyprus,Europe,CYP,,,,,,,
2020-12-02,Cyprus,Europe,CYP,,,,,,,
2020-12-03,Cyprus,Europe,CYP,,,,,,,
2020-12-04,Cyprus,Europe,CYP,,,,,,,
2020-12-05,Cyprus,Europe,CYP,,,,,,,
2020-12-06,Cyprus,Europe,CYP,,,,,,,
2020-12-07,Cyprus,Europe,CYP,,,,,,,
2020-12-08,Cyprus,Europe,CYP,,,,,,,
2020-12-09,Cyprus,Europe,CYP,,,,,,,
2020-12-10,Cyprus,Europe,CYP,,,,,,,
2020-12-11,Cyprus,Europe,CYP,,,,,,,
