date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-01,Czechia,Europe,CZE,,,,,,,
2020-03-02,Czechia,Europe,CZE,,,,,,,
2020-03-03,Czechia,Europe,CZE,,,,,,,
2020-03-04,Czechia,Europe,CZE,,,,,,,
2020-03-05,Czechia,Europe,CZE,,,,,,,
2020-03-06,Czechia,Europe,CZE,,,,,,,
2020-03-07,Czechia,Europe,CZE,,,,,,,
2020-03-08,Czechia,Europe,CZE,,,,,,,
2020-03-09,Czechia,Europe,CZE,,,,,,,
2020-03-10,Czechia,Europe,CZE,,,,,,,
2020-03-11,Czechia,Europe,CZE,,,,,,,
2020-03-12,Czechia,Europe,CZE,,,,,,,
2020-03-13,Czechia,Europe,CZE,,,,,,,
2020-03-14,Czechia,Europe,CZE,,,,,,,
2020-03-15,Czechia,Europe,CZE,,,,,,,
2020-03-16,Czechia,Europe,CZE,,,,,,,
2020-03-17,Czechia,Europe,CZE,,,,,,,
2020-03-18,Czechia,Europe,CZE,,,,,,,
2020-03-19,Czechia,Europe,CZE,,,,,,,
2020-03-20,Czechia,Europe,CZE,,,,,,,
2020-03-21,Czechia,Europe,CZE,,,,,,,
2020-03-22,Czechia,Europe,CZE,,,,,,,
2020-03-23,Czechia,Europe,CZE,,,,,,,
2020-03-24,Czechia,Europe,CZE,,,,,,,
2020-03-25,Czechia,Europe,CZE,,,,,,,
2020-03-26,Czechia,Europe,CZE,,,,,,,
2020-03-27,Czechia,Europe,CZE,,,,,,,
2020-03-28,Czechia,Europe,CZE,,,,,,,
2020-03-29,Czechia,Europe,CZE,,,,,,,
2020-03-30,Czechia,Europe,CZE,,,,,,,
2020-03-31,Czechia,Europe,CZE,,,,,,,
2020-04-01,Czechia,Europe,CZE,,,,,,,
2020-04-02,Czechia,Europe,CZE,,,,,,,
2020-04-03,Czechia,Europe,CZE,,,,,,,
2020-04-04,Czechia,Europe,CZE,,,,,,,
2020-04-05,Czechia,Europe,CZE,,,,,,,
2020-04-06,Czechia,Europe,CZE,,,,,,,
2020-04-07,Czechia,Europe,CZE,,,,,,,
2020-04-08,Czechia,Europe,CZE,,,,,,,
2020-04-09,Czechia,Europe,CZE,,,,,,,
2020-04-10,Czechia,Europe,CZE,,,,,,,
2020-04-11,Czechia,Europe,CZE,,,,,,,
2020-04-12,Czechia,Europe,CZE,,,,,,,
2020-04-13,Czechia,Europe,CZE,,,,,,,
2020-04-14,Czechia,Europe,CZE,,,,,,,
2020-04-15,Czechia,Europe,CZE,,,,,,,
2020-04-16,Czechia,Europe,CZE,,,,,,,
2020-04-17,Czechia,Europe,CZE,,,,,,,
2020-04-18,Czechia,Europe,CZE,,,,,,,
2020-04-19,Czechia,Europe,CZE,,,,,,,
2020-04-20,Czechia,Europe,CZE,,,,,,,
2020-04-21,Czechia,Europe,CZE,,,,,,,
2020-04-22,Czechia,Europe,CZE,,,,,,,
2020-04-23,Czechia,Europe,CZE,,,,,,,
2020-04-24,Czechia,Europe,CZE,,,,,,,
2020-04-25,Czechia,Europe,CZE,,,,,,,
2020-04-26,Czechia,Europe,CZE,,,,,,,
2020-04-27,Czechia,Europe,CZE,,,,,,,
2020-04-28,Czechia,Europe,CZE,,,,,,,
2020-04-29,Czechia,Europe,CZE,,,,,,,
2020-04-30,Czechia,Europe,CZE,,,,,,,
2020-05-01,Czechia,Europe,CZE,,,,,,,
2020-05-02,Czechia,Europe,CZE,,,,,,,
2020-05-03,Czechia,Europe,CZE,,,,,,,
2020-05-04,Czechia,Europe,CZE,,,,,,,
2020-05-05,Czechia,Europe,CZE,,,,,,,
2020-05-06,Czechia,Europe,CZE,,,,,,,
2020-05-07,Czechia,Europe,CZE,,,,,,,
2020-05-08,Czechia,Europe,CZE,,,,,,,
2020-05-09,Czechia,Europe,CZE,,,,,,,
2020-05-10,Czechia,Europe,CZE,,,,,,,
2020-05-11,Czechia,Europe,CZE,,,,,,,
2020-05-12,Czechia,Europe,CZE,,,,,,,
2020-05-13,Czechia,Europe,CZE,,,,,,,
2020-05-14,Czechia,Europe,CZE,,,,,,,
2020-05-15,Czechia,Europe,CZE,,,,,,,
2020-05-16,Czechia,Europe,CZE,,,,,,,
2020-05-17,Czechia,Europe,CZE,,,,,,,
2020-05-18,Czechia,Europe,CZE,,,,,,,
2020-05-19,Czechia,Europe,CZE,,,,,,,
2020-05-20,Czechia,Europe,CZE,,,,,,,
2020-05-21,Czechia,Europe,CZE,,,,,,,
2020-05-22,Czechia,Europe,CZE,,,,,,,
2020-05-23,Czechia,Europe,CZE,,,,,,,
2020-05-24,Czechia,Europe,CZE,,,,,,,
2020-05-25,Czechia,Europe,CZE,,,,,,,
2020-05-26,Czechia,Europe,CZE,,,,,,,
2020-05-27,Czechia,Europe,CZE,,,,,,,
2020-05-28,Czechia,Europe,CZE,,,,,,,
2020-05-29,Czechia,Europe,CZE,,,,,,,
2020-05-30,Czechia,Europe,CZE,,,,,,,
2020-05-31,Czechia,Europe,CZE,,,,,,,
2020-06-01,Czechia,Europe,CZE,,,,,,,
2020-06-02,Czechia,Europe,CZE,,,,,,,
2020-06-03,Czechia,Europe,CZE,,,,,,,
2020-06-04,Czechia,Europe,CZE,,,,,,,
