date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-18,Djibouti,Africa,DJI,,,,,,,
2020-03-19,Djibouti,Africa,DJI,,,,,,,
2020-03-20,Djibouti,Africa,DJI,,,,,,,
2020-03-21,Djibouti,Africa,DJI,,,,,,,
2020-03-22,Djibouti,Africa,DJI,,,,,,,
2020-03-23,Djibouti,Africa,DJI,,,,,,,
2020-03-24,Djibouti,Africa,DJI,,,,,,,
2020-03-25,Djibouti,Africa,DJI,,,,,,,
2020-03-26,Djibouti,Africa,DJI,,,,,,,
2020-03-27,Djibouti,Africa,DJI,,,,,,,
2020-03-28,Djibouti,Africa,DJI,,,,,,,
2020-03-29,Djibouti,Africa,DJI,,,,,,,
2020-03-30,Djibouti,Africa,DJI,,,,,,,
2020-03-31,Djibouti,Africa,DJI,,,,,,,
2020-04-01,Djibouti,Africa,DJI,,,,,,,
2020-04-02,Djibouti,Africa,DJI,,,,,,,
2020-04-03,Djibouti,Africa,DJI,,,,,,,
2020-04-04,Djibouti,Africa,DJI,,,,,,,
2020-04-05,Djibouti,Africa,DJI,,,,,,,
2020-04-06,Djibouti,Africa,DJI,,,,,,,
2020-04-07,Djibouti,Africa,DJI,,,,,,,
2020-04-08,Djibouti,Africa,DJI,,,,,,,
2020-04-09,Djibouti,Africa,DJI,,,,,,,
2020-04-10,Djibouti,Africa,DJI,,,,,,,
2020-04-11,Djibouti,Africa,DJI,,,,,,,
2020-04-12,Djibouti,Africa,DJI,,,,,,,
2020-04-13,Djibouti,Africa,DJI,,,,,,,
2020-04-14,Djibouti,Africa,DJI,,,,,,,
2020-04-15,Djibouti,Africa,DJI,,,,,,,
2020-04-16,Djibouti,Africa,DJI,,,,,,,
2020-04-17,Djibouti,Africa,DJI,,,,,,,
2020-04-18,Djibouti,Africa,DJI,,,,,,,
2020-04-19,Djibouti,Africa,DJI,,,,,,,
2020-04-20,Djibouti,Africa,DJI,,,,,,,
2020-04-21,Djibouti,Africa,DJI,,,,,,,
2020-04-22,Djibouti,Africa,DJI,,,,,,,
2020-04-23,Djibouti,Africa,DJI,,,,,,,
2020-04-24,Djibouti,Africa,DJI,,,,,,,
2020-04-25,Djibouti,Africa,DJI,,,,,,,
2020-04-26,Djibouti,Africa,DJI,,,,,,,
2020-04-27,Djibouti,Africa,DJI,,,,,,,
2020-04-28,Djibouti,Africa,DJI,,,,,,,
2020-04-29,Djibouti,Africa,DJI,,,,,,,
2020-04-30,Djibouti,Africa,DJI,,,,,,,
2020-05-01,Djibouti,Africa,DJI,,,,,,,
2020-05-02,Djibouti,Africa,DJI,,,,,,,
2020-05-03,Djibouti,Africa,DJI,,,,,,,
2020-05-04,Djibouti,Africa,DJI,,,,,,,
2020-05-05,Djibouti,Africa,DJI,,,,,,,
2020-05-06,Djibouti,Africa,DJI,,,,,,,
2020-05-07,Djibouti,Africa,DJI,,,,,,,
2020-05-08,Djibouti,Africa,DJI,,,,,,,
2020-05-09,Djibouti,Africa,DJI,,,,,,,
2020-05-10,Djibouti,Africa,DJI,,,,,,,
2020-05-11,Djibouti,Africa,DJI,,,,,,,
2020-05-12,Djibouti,Africa,DJI,,,,,,,
2020-05-13,Djibouti,Africa,DJI,,,,,,,
2020-05-14,Djibouti,Africa,DJI,,,,,,,
2020-05-15,Djibouti,Africa,DJI,,,,,,,
2020-05-16,Djibouti,Africa,DJI,,,,,,,
2020-05-17,Djibouti,Africa,DJI,,,,,,,
2020-05-18,Djibouti,Africa,DJI,,,,,,,
