date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/22/20,Dominica,North America,DMA,,,,,,,
3/23/20,Dominica,North America,DMA,,,,,,,
3/24/20,Dominica,North America,DMA,,,,,,,
3/25/20,Dominica,North America,DMA,,,,,,,
3/26/20,Dominica,North America,DMA,,,,,,,
3/27/20,Dominica,North America,DMA,,,,,,,
3/28/20,Dominica,North America,DMA,,,,,,,
3/29/20,Dominica,North America,DMA,,,,,,,
3/30/20,Dominica,North America,DMA,,,,,,,
3/31/20,Dominica,North America,DMA,,,,,,,
4/1/20,Dominica,North America,DMA,,,,,,,
4/2/20,Dominica,North America,DMA,,,,,,,
4/3/20,Dominica,North America,DMA,,,,,,,
4/4/20,Dominica,North America,DMA,,,,,,,
4/5/20,Dominica,North America,DMA,,,,,,,
4/6/20,Dominica,North America,DMA,,,,,,,
4/7/20,Dominica,North America,DMA,,,,,,,
4/8/20,Dominica,North America,DMA,,,,,,,
4/9/20,Dominica,North America,DMA,,,,,,,
4/10/20,Dominica,North America,DMA,,,,,,,
4/11/20,Dominica,North America,DMA,,,,,,,
4/12/20,Dominica,North America,DMA,,,,,,,
4/13/20,Dominica,North America,DMA,,,,,,,
4/14/20,Dominica,North America,DMA,,,,,,,
4/15/20,Dominica,North America,DMA,,,,,,,
4/16/20,Dominica,North America,DMA,,,,,,,
4/17/20,Dominica,North America,DMA,,,,,,,
4/18/20,Dominica,North America,DMA,,,,,,,
4/19/20,Dominica,North America,DMA,,,,,,,
4/20/20,Dominica,North America,DMA,,,,,,,
4/21/20,Dominica,North America,DMA,,,,,,,
4/22/20,Dominica,North America,DMA,,,,,,,
4/23/20,Dominica,North America,DMA,,,,,,,
4/24/20,Dominica,North America,DMA,,,,,,,
4/25/20,Dominica,North America,DMA,,,,,,,
4/26/20,Dominica,North America,DMA,,,,,,,
4/27/20,Dominica,North America,DMA,,,,,,,
4/28/20,Dominica,North America,DMA,,,,,,,
4/29/20,Dominica,North America,DMA,,,,,,,
4/30/20,Dominica,North America,DMA,,,,,,,
5/1/20,Dominica,North America,DMA,,,,,,,
5/2/20,Dominica,North America,DMA,,,,,,,
5/3/20,Dominica,North America,DMA,,,,,,,
5/4/20,Dominica,North America,DMA,,,,,,,
5/5/20,Dominica,North America,DMA,,,,,,,
5/6/20,Dominica,North America,DMA,,,,,,,
5/7/20,Dominica,North America,DMA,,,,,,,
5/8/20,Dominica,North America,DMA,,,,,,,
5/9/20,Dominica,North America,DMA,,,,,,,
5/10/20,Dominica,North America,DMA,,,,,,,
5/11/20,Dominica,North America,DMA,,,,,,,
5/12/20,Dominica,North America,DMA,,,,,,,
5/13/20,Dominica,North America,DMA,,,,,,,
5/14/20,Dominica,North America,DMA,,,,,,,
5/15/20,Dominica,North America,DMA,,,,,,,
5/16/20,Dominica,North America,DMA,,,,,,,
5/17/20,Dominica,North America,DMA,,,,,,,
5/18/20,Dominica,North America,DMA,,,,,,,
5/19/20,Dominica,North America,DMA,,,,,,,
5/20/20,Dominica,North America,DMA,,,,,,,
5/21/20,Dominica,North America,DMA,,,,,,,
5/22/20,Dominica,North America,DMA,,,,,,,
5/23/20,Dominica,North America,DMA,,,,,,,
5/24/20,Dominica,North America,DMA,,,,,,,
5/25/20,Dominica,North America,DMA,,,,,,,
5/26/20,Dominica,North America,DMA,,,,,,,
5/27/20,Dominica,North America,DMA,,,,,,,
5/28/20,Dominica,North America,DMA,,,,,,,
5/29/20,Dominica,North America,DMA,,,,,,,
5/30/20,Dominica,North America,DMA,,,,,,,
5/31/20,Dominica,North America,DMA,,,,,,,
6/1/20,Dominica,North America,DMA,,,,,,,
6/2/20,Dominica,North America,DMA,,,,,,,
6/3/20,Dominica,North America,DMA,,,,,,,
6/4/20,Dominica,North America,DMA,,,,,,,
6/5/20,Dominica,North America,DMA,,,,,,,
6/6/20,Dominica,North America,DMA,,,,,,,
6/7/20,Dominica,North America,DMA,,,,,,,
6/8/20,Dominica,North America,DMA,,,,,,,
6/9/20,Dominica,North America,DMA,,,,,,,
6/10/20,Dominica,North America,DMA,,,,,,,
6/11/20,Dominica,North America,DMA,,,,,,,
6/12/20,Dominica,North America,DMA,,,,,,,
6/13/20,Dominica,North America,DMA,,,,,,,
6/14/20,Dominica,North America,DMA,,,,,,,
6/15/20,Dominica,North America,DMA,,,,,,,
6/16/20,Dominica,North America,DMA,,,,,,,
6/17/20,Dominica,North America,DMA,,,,,,,
6/18/20,Dominica,North America,DMA,,,,,,,
6/19/20,Dominica,North America,DMA,,,,,,,
6/20/20,Dominica,North America,DMA,,,,,,,
6/21/20,Dominica,North America,DMA,,,,,,,
6/22/20,Dominica,North America,DMA,,,,,,,
6/23/20,Dominica,North America,DMA,,,,,,,
6/24/20,Dominica,North America,DMA,,,,,,,
6/25/20,Dominica,North America,DMA,,,,,,,
6/26/20,Dominica,North America,DMA,,,,,,,
6/27/20,Dominica,North America,DMA,,,,,,,
6/28/20,Dominica,North America,DMA,,,,,,,
6/29/20,Dominica,North America,DMA,,,,,,,
6/30/20,Dominica,North America,DMA,,,,,,,
7/1/20,Dominica,North America,DMA,,,,,,,
7/2/20,Dominica,North America,DMA,,,,,,,
7/3/20,Dominica,North America,DMA,,,,,,,
7/4/20,Dominica,North America,DMA,,,,,,,
7/5/20,Dominica,North America,DMA,,,,,,,
7/6/20,Dominica,North America,DMA,,,,,,,
7/7/20,Dominica,North America,DMA,,,,,,,
7/8/20,Dominica,North America,DMA,,,,,,,
7/9/20,Dominica,North America,DMA,,,,,,,
7/10/20,Dominica,North America,DMA,,,,,,,
7/11/20,Dominica,North America,DMA,,,,,,,
7/12/20,Dominica,North America,DMA,,,,,,,
7/13/20,Dominica,North America,DMA,,,,,,,
7/14/20,Dominica,North America,DMA,,,,,,,
7/15/20,Dominica,North America,DMA,,,,,,,
7/16/20,Dominica,North America,DMA,,,,,,,
7/17/20,Dominica,North America,DMA,,,,,,,
7/18/20,Dominica,North America,DMA,,,,,,,
7/19/20,Dominica,North America,DMA,,,,,,,
7/20/20,Dominica,North America,DMA,,,,,,,
7/21/20,Dominica,North America,DMA,,,,,,,
7/22/20,Dominica,North America,DMA,,,,,,,
7/23/20,Dominica,North America,DMA,,,,,,,
7/24/20,Dominica,North America,DMA,,,,,,,
7/25/20,Dominica,North America,DMA,,,,,,,
7/26/20,Dominica,North America,DMA,,,,,,,
7/27/20,Dominica,North America,DMA,,,,,,,
7/28/20,Dominica,North America,DMA,,,,,,,
7/29/20,Dominica,North America,DMA,,,,,,,
7/30/20,Dominica,North America,DMA,,,,,,,
7/31/20,Dominica,North America,DMA,,,,,,,
8/1/20,Dominica,North America,DMA,,,,,,,
8/2/20,Dominica,North America,DMA,,,,,,,
8/3/20,Dominica,North America,DMA,,,,,,,
8/4/20,Dominica,North America,DMA,,,,,,,
8/5/20,Dominica,North America,DMA,,,,,,,
8/6/20,Dominica,North America,DMA,,,,,,,
8/7/20,Dominica,North America,DMA,,,,,,,
8/8/20,Dominica,North America,DMA,,,,,,,
8/9/20,Dominica,North America,DMA,,,,,,,
8/10/20,Dominica,North America,DMA,,,,,,,
8/11/20,Dominica,North America,DMA,,,,,,,
8/12/20,Dominica,North America,DMA,,,,,,,
8/13/20,Dominica,North America,DMA,,,,,,,
8/14/20,Dominica,North America,DMA,,,,,,,
8/15/20,Dominica,North America,DMA,,,,,,,
8/16/20,Dominica,North America,DMA,,,,,,,
8/17/20,Dominica,North America,DMA,,,,,,,
8/18/20,Dominica,North America,DMA,,,,,,,
8/19/20,Dominica,North America,DMA,,,,,,,
8/20/20,Dominica,North America,DMA,,,,,,,
8/21/20,Dominica,North America,DMA,,,,,,,
8/22/20,Dominica,North America,DMA,,,,,,,
8/23/20,Dominica,North America,DMA,,,,,,,
8/24/20,Dominica,North America,DMA,,,,,,,
8/25/20,Dominica,North America,DMA,,,,,,,
8/26/20,Dominica,North America,DMA,,,,,,,
8/27/20,Dominica,North America,DMA,,,,,,,
8/28/20,Dominica,North America,DMA,,,,,,,
8/29/20,Dominica,North America,DMA,,,,,,,
8/30/20,Dominica,North America,DMA,,,,,,,
8/31/20,Dominica,North America,DMA,,,,,,,
9/1/20,Dominica,North America,DMA,,,,,,,
9/2/20,Dominica,North America,DMA,,,,,,,
9/3/20,Dominica,North America,DMA,,,,,,,
9/4/20,Dominica,North America,DMA,,,,,,,
9/5/20,Dominica,North America,DMA,,,,,,,
9/6/20,Dominica,North America,DMA,,,,,,,
9/7/20,Dominica,North America,DMA,,,,,,,
9/8/20,Dominica,North America,DMA,,,,,,,
9/9/20,Dominica,North America,DMA,,,,,,,
9/10/20,Dominica,North America,DMA,,,,,,,
9/11/20,Dominica,North America,DMA,,,,,,,
9/12/20,Dominica,North America,DMA,,,,,,,
9/13/20,Dominica,North America,DMA,,,,,,,
9/14/20,Dominica,North America,DMA,,,,,,,
9/15/20,Dominica,North America,DMA,,,,,,,
9/16/20,Dominica,North America,DMA,,,,,,,
9/17/20,Dominica,North America,DMA,,,,,,,
9/18/20,Dominica,North America,DMA,,,,,,,
9/19/20,Dominica,North America,DMA,,,,,,,
9/20/20,Dominica,North America,DMA,,,,,,,
9/21/20,Dominica,North America,DMA,,,,,,,
9/22/20,Dominica,North America,DMA,,,,,,,
9/23/20,Dominica,North America,DMA,,,,,,,
9/24/20,Dominica,North America,DMA,,,,,,,
9/25/20,Dominica,North America,DMA,,,,,,,
9/26/20,Dominica,North America,DMA,,,,,,,
9/27/20,Dominica,North America,DMA,,,,,,,
9/28/20,Dominica,North America,DMA,,,,,,,
9/29/20,Dominica,North America,DMA,,,,,,,
9/30/20,Dominica,North America,DMA,,,,,,,
10/1/20,Dominica,North America,DMA,,,,,,,
10/2/20,Dominica,North America,DMA,,,,,,,
10/3/20,Dominica,North America,DMA,,,,,,,
10/4/20,Dominica,North America,DMA,,,,,,,
10/5/20,Dominica,North America,DMA,,,,,,,
10/6/20,Dominica,North America,DMA,,,,,,,
10/7/20,Dominica,North America,DMA,,,,,,,
10/8/20,Dominica,North America,DMA,,,,,,,
10/9/20,Dominica,North America,DMA,,,,,,,
10/10/20,Dominica,North America,DMA,,,,,,,
10/11/20,Dominica,North America,DMA,,,,,,,
10/12/20,Dominica,North America,DMA,,,,,,,
10/13/20,Dominica,North America,DMA,,,,,,,
10/14/20,Dominica,North America,DMA,,,,,,,
10/15/20,Dominica,North America,DMA,,,,,,,
10/16/20,Dominica,North America,DMA,,,,,,,
10/17/20,Dominica,North America,DMA,,,,,,,
10/18/20,Dominica,North America,DMA,,,,,,,
10/19/20,Dominica,North America,DMA,,,,,,,
10/20/20,Dominica,North America,DMA,,,,,,,
10/21/20,Dominica,North America,DMA,,,,,,,
10/22/20,Dominica,North America,DMA,,,,,,,
10/23/20,Dominica,North America,DMA,,,,,,,
10/24/20,Dominica,North America,DMA,,,,,,,
10/25/20,Dominica,North America,DMA,,,,,,,
10/26/20,Dominica,North America,DMA,,,,,,,
10/27/20,Dominica,North America,DMA,,,,,,,
10/28/20,Dominica,North America,DMA,,,,,,,
10/29/20,Dominica,North America,DMA,,,,,,,
10/30/20,Dominica,North America,DMA,,,,,,,
10/31/20,Dominica,North America,DMA,,,,,,,
11/1/20,Dominica,North America,DMA,,,,,,,
11/2/20,Dominica,North America,DMA,,,,,,,
11/3/20,Dominica,North America,DMA,,,,,,,
11/4/20,Dominica,North America,DMA,,,,,,,
11/5/20,Dominica,North America,DMA,,,,,,,
11/6/20,Dominica,North America,DMA,,,,,,,
11/7/20,Dominica,North America,DMA,,,,,,,
11/8/20,Dominica,North America,DMA,,,,,,,
11/9/20,Dominica,North America,DMA,,,,,,,
11/10/20,Dominica,North America,DMA,,,,,,,
11/11/20,Dominica,North America,DMA,,,,,,,
11/12/20,Dominica,North America,DMA,,,,,,,
11/13/20,Dominica,North America,DMA,,,,,,,
11/14/20,Dominica,North America,DMA,,,,,,,
11/15/20,Dominica,North America,DMA,,,,,,,
11/16/20,Dominica,North America,DMA,,,,,,,
11/17/20,Dominica,North America,DMA,,,,,,,
11/18/20,Dominica,North America,DMA,,,,,,,
11/19/20,Dominica,North America,DMA,,,,,,,
11/20/20,Dominica,North America,DMA,,,,,,,
11/21/20,Dominica,North America,DMA,,,,,,,
11/22/20,Dominica,North America,DMA,,,,,,,
11/23/20,Dominica,North America,DMA,,,,,,,
11/24/20,Dominica,North America,DMA,,,,,,,
11/25/20,Dominica,North America,DMA,,,,,,,
11/26/20,Dominica,North America,DMA,,,,,,,
11/27/20,Dominica,North America,DMA,,,,,,,
11/28/20,Dominica,North America,DMA,,,,,,,
11/29/20,Dominica,North America,DMA,,,,,,,
11/30/20,Dominica,North America,DMA,,,,,,,
12/1/20,Dominica,North America,DMA,,,,,,,
12/2/20,Dominica,North America,DMA,,,,,,,
12/3/20,Dominica,North America,DMA,,,,,,,
12/4/20,Dominica,North America,DMA,,,,,,,
12/5/20,Dominica,North America,DMA,,,,,,,
12/6/20,Dominica,North America,DMA,,,,,,,
12/7/20,Dominica,North America,DMA,,,,,,,
12/8/20,Dominica,North America,DMA,,,,,,,
12/9/20,Dominica,North America,DMA,,,,,,,
12/10/20,Dominica,North America,DMA,,,,,,,
12/11/20,Dominica,North America,DMA,,,,,,,
12/12/20,Dominica,North America,DMA,,,,,,,
12/13/20,Dominica,North America,DMA,,,,,,,
12/14/20,Dominica,North America,DMA,,,,,,,
12/15/20,Dominica,North America,DMA,,,,,,,
12/16/20,Dominica,North America,DMA,,,,,,,
12/17/20,Dominica,North America,DMA,,,,,,,
12/18/20,Dominica,North America,DMA,,,,,,,
12/19/20,Dominica,North America,DMA,,,,,,,
12/20/20,Dominica,North America,DMA,,,,,,,
12/21/20,Dominica,North America,DMA,,,,,,,
12/22/20,Dominica,North America,DMA,,,,,,,
12/23/20,Dominica,North America,DMA,,,,,,,
12/24/20,Dominica,North America,DMA,,,,,,,
12/25/20,Dominica,North America,DMA,,,,,,,
12/26/20,Dominica,North America,DMA,,,,,,,
12/27/20,Dominica,North America,DMA,,,,,,,
12/28/20,Dominica,North America,DMA,,,,,,,
12/29/20,Dominica,North America,DMA,,,,,,,
12/30/20,Dominica,North America,DMA,,,,,,,
12/31/20,Dominica,North America,DMA,,,,,,,
1/1/21,Dominica,North America,DMA,,,,,,,
1/2/21,Dominica,North America,DMA,,,,,,,
1/3/21,Dominica,North America,DMA,,,,,,,
1/4/21,Dominica,North America,DMA,,,,,,,
1/5/21,Dominica,North America,DMA,,,,,,,
1/6/21,Dominica,North America,DMA,,,,,,,
1/7/21,Dominica,North America,DMA,,,,,,,
1/8/21,Dominica,North America,DMA,,,,,,,
1/9/21,Dominica,North America,DMA,,,,,,,
1/10/21,Dominica,North America,DMA,,,,,,,
1/11/21,Dominica,North America,DMA,,,,,,,
1/12/21,Dominica,North America,DMA,,,,,,,
1/13/21,Dominica,North America,DMA,,,,,,,
1/14/21,Dominica,North America,DMA,,,,,,,
1/15/21,Dominica,North America,DMA,,,,,,,
1/16/21,Dominica,North America,DMA,,,,,,,
1/17/21,Dominica,North America,DMA,,,,,,,
1/18/21,Dominica,North America,DMA,,,,,,,
1/19/21,Dominica,North America,DMA,,,,,,,
1/20/21,Dominica,North America,DMA,,,,,,,
1/21/21,Dominica,North America,DMA,,,,,,,
1/22/21,Dominica,North America,DMA,,,,,,,
1/23/21,Dominica,North America,DMA,,,,,,,
1/24/21,Dominica,North America,DMA,,,,,,,
1/25/21,Dominica,North America,DMA,,,,,,,
1/26/21,Dominica,North America,DMA,,,,,,,
1/27/21,Dominica,North America,DMA,,,,,,,
1/28/21,Dominica,North America,DMA,,,,,,,
1/29/21,Dominica,North America,DMA,,,,,,,
1/30/21,Dominica,North America,DMA,,,,,,,
1/31/21,Dominica,North America,DMA,,,,,,,
2/1/21,Dominica,North America,DMA,,,,,,,
2/2/21,Dominica,North America,DMA,,,,,,,
2/3/21,Dominica,North America,DMA,,,,,,,
2/4/21,Dominica,North America,DMA,,,,,,,
2/5/21,Dominica,North America,DMA,,,,,,,
2/6/21,Dominica,North America,DMA,,,,,,,
2/7/21,Dominica,North America,DMA,,,,,,,
2/8/21,Dominica,North America,DMA,,,,,,,
2/9/21,Dominica,North America,DMA,,,,,,,
2/10/21,Dominica,North America,DMA,,,,,,,
2/11/21,Dominica,North America,DMA,0.0,0.0,,,0.0,0.0,
2/12/21,Dominica,North America,DMA,,,,,,,
2/13/21,Dominica,North America,DMA,,,,,,,
2/14/21,Dominica,North America,DMA,,,,,,,
2/15/21,Dominica,North America,DMA,,,,,,,
2/16/21,Dominica,North America,DMA,,,,,,,
2/17/21,Dominica,North America,DMA,,,,,,,
2/18/21,Dominica,North America,DMA,,,,,,,
2/19/21,Dominica,North America,DMA,,,,,,,
2/20/21,Dominica,North America,DMA,,,,,,,
2/21/21,Dominica,North America,DMA,,,,,,,
2/22/21,Dominica,North America,DMA,,,,,,,
2/23/21,Dominica,North America,DMA,2465.0,2465.0,,,3.42,3.42,
2/24/21,Dominica,North America,DMA,,,,,,,
2/25/21,Dominica,North America,DMA,4811.0,4811.0,,,6.68,6.68,
2/26/21,Dominica,North America,DMA,5924.0,5924.0,,1113.0,8.23,8.23,
2/27/21,Dominica,North America,DMA,,,,,,,
2/28/21,Dominica,North America,DMA,,,,,,,
3/1/21,Dominica,North America,DMA,7202.0,7202.0,,,10.0,10.0,
3/2/21,Dominica,North America,DMA,8238.0,8238.0,,1036.0,11.44,11.44,
3/3/21,Dominica,North America,DMA,9464.0,9464.0,,1226.0,13.15,13.15,
3/4/21,Dominica,North America,DMA,10476.0,10476.0,,1012.0,14.55,14.55,
3/5/21,Dominica,North America,DMA,11368.0,11368.0,,892.0,15.79,15.79,
3/6/21,Dominica,North America,DMA,,,,,,,
3/7/21,Dominica,North America,DMA,,,,,,,
3/8/21,Dominica,North America,DMA,12275.0,12275.0,,,17.05,17.05,
3/9/21,Dominica,North America,DMA,,,,,,,
3/10/21,Dominica,North America,DMA,13135.0,13135.0,,,18.25,18.25,
3/11/21,Dominica,North America,DMA,13565.0,13565.0,,430.0,18.84,18.84,
3/12/21,Dominica,North America,DMA,,,,,,,
3/13/21,Dominica,North America,DMA,,,,,,,
3/14/21,Dominica,North America,DMA,,,,,,,
3/15/21,Dominica,North America,DMA,,,,,,,
3/16/21,Dominica,North America,DMA,,,,,,,
3/17/21,Dominica,North America,DMA,,,,,,,
3/18/21,Dominica,North America,DMA,,,,,,,
3/19/21,Dominica,North America,DMA,,,,,,,
3/20/21,Dominica,North America,DMA,,,,,,,
3/21/21,Dominica,North America,DMA,,,,,,,
3/22/21,Dominica,North America,DMA,15304.0,15304.0,,,21.26,21.26,
3/23/21,Dominica,North America,DMA,,,,,,,
3/24/21,Dominica,North America,DMA,,,,,,,
3/25/21,Dominica,North America,DMA,16058.0,16058.0,,,22.31,22.31,
3/26/21,Dominica,North America,DMA,,,,,,,
3/27/21,Dominica,North America,DMA,,,,,,,
3/28/21,Dominica,North America,DMA,,,,,,,
3/29/21,Dominica,North America,DMA,,,,,,,
3/30/21,Dominica,North America,DMA,,,,,,,
3/31/21,Dominica,North America,DMA,17674.0,17674.0,,,24.55,24.55,
4/1/21,Dominica,North America,DMA,18112.0,17775.0,337.0,438.0,25.16,24.69,0.47
4/2/21,Dominica,North America,DMA,,,,,,,
4/3/21,Dominica,North America,DMA,,,,,,,
4/4/21,Dominica,North America,DMA,,,,,,,
4/5/21,Dominica,North America,DMA,,,,,,,
4/6/21,Dominica,North America,DMA,,,,,,,
4/7/21,Dominica,North America,DMA,,,,,,,
4/8/21,Dominica,North America,DMA,,,,,,,
4/9/21,Dominica,North America,DMA,,,,,,,
4/10/21,Dominica,North America,DMA,,,,,,,
4/11/21,Dominica,North America,DMA,,,,,,,
4/12/21,Dominica,North America,DMA,18423.0,17948.0,475.0,,25.59,24.93,0.66
4/13/21,Dominica,North America,DMA,,,,,,,
4/14/21,Dominica,North America,DMA,,,,,,,
4/15/21,Dominica,North America,DMA,,,,,,,
4/16/21,Dominica,North America,DMA,,,,,,,
4/17/21,Dominica,North America,DMA,,,,,,,
4/18/21,Dominica,North America,DMA,,,,,,,
4/19/21,Dominica,North America,DMA,,,,,,,
4/20/21,Dominica,North America,DMA,20721.0,18173.0,2548.0,,28.78,25.24,3.54
4/21/21,Dominica,North America,DMA,,,,,,,
4/22/21,Dominica,North America,DMA,23055.0,18237.0,4818.0,,32.02,25.33,6.69
4/23/21,Dominica,North America,DMA,,,,,,,
4/24/21,Dominica,North America,DMA,,,,,,,
4/25/21,Dominica,North America,DMA,,,,,,,
4/26/21,Dominica,North America,DMA,,,,,,,
4/27/21,Dominica,North America,DMA,,,,,,,
4/28/21,Dominica,North America,DMA,27821.0,18498.0,9323.0,,38.65,25.69,12.95
4/29/21,Dominica,North America,DMA,,,,,,,
4/30/21,Dominica,North America,DMA,,,,,,,
5/1/21,Dominica,North America,DMA,,,,,,,
5/2/21,Dominica,North America,DMA,,,,,,,
5/3/21,Dominica,North America,DMA,,,,,,,
5/4/21,Dominica,North America,DMA,,,,,,,
5/5/21,Dominica,North America,DMA,,,,,,,
5/6/21,Dominica,North America,DMA,,,,,,,
5/7/21,Dominica,North America,DMA,32008.0,18864.0,13144.0,,44.46,26.2,18.26
5/8/21,Dominica,North America,DMA,,,,,,,
5/9/21,Dominica,North America,DMA,,,,,,,
5/10/21,Dominica,North America,DMA,,,,,,,
5/11/21,Dominica,North America,DMA,,,,,,,
5/12/21,Dominica,North America,DMA,33037.0,19099.0,13938.0,,45.89,26.53,19.36
5/13/21,Dominica,North America,DMA,,,,,,,
5/14/21,Dominica,North America,DMA,,,,,,,
5/15/21,Dominica,North America,DMA,,,,,,,
5/16/21,Dominica,North America,DMA,,,,,,,
5/17/21,Dominica,North America,DMA,33949.0,19271.0,14678.0,,47.16,26.77,20.39
5/18/21,Dominica,North America,DMA,34219.0,19360.0,14859.0,270.0,47.53,26.89,20.64
5/19/21,Dominica,North America,DMA,,,,,,,
5/20/21,Dominica,North America,DMA,,,,,,,
5/21/21,Dominica,North America,DMA,,,,,,,
5/22/21,Dominica,North America,DMA,,,,,,,
5/23/21,Dominica,North America,DMA,,,,,,,
5/24/21,Dominica,North America,DMA,,,,,,,
5/25/21,Dominica,North America,DMA,,,,,,,
5/26/21,Dominica,North America,DMA,36449.0,19634.0,16815.0,,50.63,27.27,23.36
5/27/21,Dominica,North America,DMA,,,,,,,
5/28/21,Dominica,North America,DMA,36934.0,19733.0,17201.0,,51.3,27.41,23.89
5/29/21,Dominica,North America,DMA,,,,,,,
5/30/21,Dominica,North America,DMA,,,,,,,
5/31/21,Dominica,North America,DMA,37080.0,19809.0,17271.0,,51.51,27.52,23.99
6/1/21,Dominica,North America,DMA,,,,,,,
6/2/21,Dominica,North America,DMA,37126.0,19830.0,17296.0,,51.57,27.55,24.03
6/3/21,Dominica,North America,DMA,,,,,,,
