date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/19/20,El Salvador,North America,SLV,,,,,,,
3/20/20,El Salvador,North America,SLV,,,,,,,
3/21/20,El Salvador,North America,SLV,,,,,,,
3/22/20,El Salvador,North America,SLV,,,,,,,
3/23/20,El Salvador,North America,SLV,,,,,,,
3/24/20,El Salvador,North America,SLV,,,,,,,
3/25/20,El Salvador,North America,SLV,,,,,,,
3/26/20,El Salvador,North America,SLV,,,,,,,
3/27/20,El Salvador,North America,SLV,,,,,,,
3/28/20,El Salvador,North America,SLV,,,,,,,
3/29/20,El Salvador,North America,SLV,,,,,,,
3/30/20,El Salvador,North America,SLV,,,,,,,
3/31/20,El Salvador,North America,SLV,,,,,,,
4/1/20,El Salvador,North America,SLV,,,,,,,
4/2/20,El Salvador,North America,SLV,,,,,,,
4/3/20,El Salvador,North America,SLV,,,,,,,
4/4/20,El Salvador,North America,SLV,,,,,,,
4/5/20,El Salvador,North America,SLV,,,,,,,
4/6/20,El Salvador,North America,SLV,,,,,,,
4/7/20,El Salvador,North America,SLV,,,,,,,
4/8/20,El Salvador,North America,SLV,,,,,,,
4/9/20,El Salvador,North America,SLV,,,,,,,
4/10/20,El Salvador,North America,SLV,,,,,,,
4/11/20,El Salvador,North America,SLV,,,,,,,
4/12/20,El Salvador,North America,SLV,,,,,,,
4/13/20,El Salvador,North America,SLV,,,,,,,
4/14/20,El Salvador,North America,SLV,,,,,,,
4/15/20,El Salvador,North America,SLV,,,,,,,
4/16/20,El Salvador,North America,SLV,,,,,,,
4/17/20,El Salvador,North America,SLV,,,,,,,
4/18/20,El Salvador,North America,SLV,,,,,,,
4/19/20,El Salvador,North America,SLV,,,,,,,
4/20/20,El Salvador,North America,SLV,,,,,,,
4/21/20,El Salvador,North America,SLV,,,,,,,
4/22/20,El Salvador,North America,SLV,,,,,,,
4/23/20,El Salvador,North America,SLV,,,,,,,
4/24/20,El Salvador,North America,SLV,,,,,,,
4/25/20,El Salvador,North America,SLV,,,,,,,
4/26/20,El Salvador,North America,SLV,,,,,,,
4/27/20,El Salvador,North America,SLV,,,,,,,
4/28/20,El Salvador,North America,SLV,,,,,,,
4/29/20,El Salvador,North America,SLV,,,,,,,
4/30/20,El Salvador,North America,SLV,,,,,,,
5/1/20,El Salvador,North America,SLV,,,,,,,
5/2/20,El Salvador,North America,SLV,,,,,,,
5/3/20,El Salvador,North America,SLV,,,,,,,
5/4/20,El Salvador,North America,SLV,,,,,,,
5/5/20,El Salvador,North America,SLV,,,,,,,
5/6/20,El Salvador,North America,SLV,,,,,,,
5/7/20,El Salvador,North America,SLV,,,,,,,
5/8/20,El Salvador,North America,SLV,,,,,,,
5/9/20,El Salvador,North America,SLV,,,,,,,
5/10/20,El Salvador,North America,SLV,,,,,,,
5/11/20,El Salvador,North America,SLV,,,,,,,
5/12/20,El Salvador,North America,SLV,,,,,,,
5/13/20,El Salvador,North America,SLV,,,,,,,
5/14/20,El Salvador,North America,SLV,,,,,,,
5/15/20,El Salvador,North America,SLV,,,,,,,
5/16/20,El Salvador,North America,SLV,,,,,,,
5/17/20,El Salvador,North America,SLV,,,,,,,
5/18/20,El Salvador,North America,SLV,,,,,,,
5/19/20,El Salvador,North America,SLV,,,,,,,
5/20/20,El Salvador,North America,SLV,,,,,,,
5/21/20,El Salvador,North America,SLV,,,,,,,
5/22/20,El Salvador,North America,SLV,,,,,,,
5/23/20,El Salvador,North America,SLV,,,,,,,
5/24/20,El Salvador,North America,SLV,,,,,,,
5/25/20,El Salvador,North America,SLV,,,,,,,
5/26/20,El Salvador,North America,SLV,,,,,,,
5/27/20,El Salvador,North America,SLV,,,,,,,
5/28/20,El Salvador,North America,SLV,,,,,,,
5/29/20,El Salvador,North America,SLV,,,,,,,
5/30/20,El Salvador,North America,SLV,,,,,,,
5/31/20,El Salvador,North America,SLV,,,,,,,
6/1/20,El Salvador,North America,SLV,,,,,,,
6/2/20,El Salvador,North America,SLV,,,,,,,
6/3/20,El Salvador,North America,SLV,,,,,,,
6/4/20,El Salvador,North America,SLV,,,,,,,
6/5/20,El Salvador,North America,SLV,,,,,,,
6/6/20,El Salvador,North America,SLV,,,,,,,
6/7/20,El Salvador,North America,SLV,,,,,,,
6/8/20,El Salvador,North America,SLV,,,,,,,
6/9/20,El Salvador,North America,SLV,,,,,,,
6/10/20,El Salvador,North America,SLV,,,,,,,
6/11/20,El Salvador,North America,SLV,,,,,,,
6/12/20,El Salvador,North America,SLV,,,,,,,
6/13/20,El Salvador,North America,SLV,,,,,,,
6/14/20,El Salvador,North America,SLV,,,,,,,
6/15/20,El Salvador,North America,SLV,,,,,,,
6/16/20,El Salvador,North America,SLV,,,,,,,
6/17/20,El Salvador,North America,SLV,,,,,,,
6/18/20,El Salvador,North America,SLV,,,,,,,
6/19/20,El Salvador,North America,SLV,,,,,,,
6/20/20,El Salvador,North America,SLV,,,,,,,
6/21/20,El Salvador,North America,SLV,,,,,,,
6/22/20,El Salvador,North America,SLV,,,,,,,
6/23/20,El Salvador,North America,SLV,,,,,,,
6/24/20,El Salvador,North America,SLV,,,,,,,
6/25/20,El Salvador,North America,SLV,,,,,,,
6/26/20,El Salvador,North America,SLV,,,,,,,
6/27/20,El Salvador,North America,SLV,,,,,,,
6/28/20,El Salvador,North America,SLV,,,,,,,
6/29/20,El Salvador,North America,SLV,,,,,,,
6/30/20,El Salvador,North America,SLV,,,,,,,
7/1/20,El Salvador,North America,SLV,,,,,,,
7/2/20,El Salvador,North America,SLV,,,,,,,
7/3/20,El Salvador,North America,SLV,,,,,,,
7/4/20,El Salvador,North America,SLV,,,,,,,
7/5/20,El Salvador,North America,SLV,,,,,,,
7/6/20,El Salvador,North America,SLV,,,,,,,
7/7/20,El Salvador,North America,SLV,,,,,,,
7/8/20,El Salvador,North America,SLV,,,,,,,
7/9/20,El Salvador,North America,SLV,,,,,,,
7/10/20,El Salvador,North America,SLV,,,,,,,
7/11/20,El Salvador,North America,SLV,,,,,,,
7/12/20,El Salvador,North America,SLV,,,,,,,
7/13/20,El Salvador,North America,SLV,,,,,,,
7/14/20,El Salvador,North America,SLV,,,,,,,
7/15/20,El Salvador,North America,SLV,,,,,,,
7/16/20,El Salvador,North America,SLV,,,,,,,
7/17/20,El Salvador,North America,SLV,,,,,,,
7/18/20,El Salvador,North America,SLV,,,,,,,
7/19/20,El Salvador,North America,SLV,,,,,,,
7/20/20,El Salvador,North America,SLV,,,,,,,
7/21/20,El Salvador,North America,SLV,,,,,,,
7/22/20,El Salvador,North America,SLV,,,,,,,
7/23/20,El Salvador,North America,SLV,,,,,,,
7/24/20,El Salvador,North America,SLV,,,,,,,
7/25/20,El Salvador,North America,SLV,,,,,,,
7/26/20,El Salvador,North America,SLV,,,,,,,
7/27/20,El Salvador,North America,SLV,,,,,,,
7/28/20,El Salvador,North America,SLV,,,,,,,
7/29/20,El Salvador,North America,SLV,,,,,,,
7/30/20,El Salvador,North America,SLV,,,,,,,
7/31/20,El Salvador,North America,SLV,,,,,,,
8/1/20,El Salvador,North America,SLV,,,,,,,
8/2/20,El Salvador,North America,SLV,,,,,,,
8/3/20,El Salvador,North America,SLV,,,,,,,
8/4/20,El Salvador,North America,SLV,,,,,,,
8/5/20,El Salvador,North America,SLV,,,,,,,
8/6/20,El Salvador,North America,SLV,,,,,,,
8/7/20,El Salvador,North America,SLV,,,,,,,
8/8/20,El Salvador,North America,SLV,,,,,,,
8/9/20,El Salvador,North America,SLV,,,,,,,
8/10/20,El Salvador,North America,SLV,,,,,,,
8/11/20,El Salvador,North America,SLV,,,,,,,
8/12/20,El Salvador,North America,SLV,,,,,,,
8/13/20,El Salvador,North America,SLV,,,,,,,
8/14/20,El Salvador,North America,SLV,,,,,,,
8/15/20,El Salvador,North America,SLV,,,,,,,
8/16/20,El Salvador,North America,SLV,,,,,,,
8/17/20,El Salvador,North America,SLV,,,,,,,
8/18/20,El Salvador,North America,SLV,,,,,,,
8/19/20,El Salvador,North America,SLV,,,,,,,
8/20/20,El Salvador,North America,SLV,,,,,,,
8/21/20,El Salvador,North America,SLV,,,,,,,
8/22/20,El Salvador,North America,SLV,,,,,,,
8/23/20,El Salvador,North America,SLV,,,,,,,
8/24/20,El Salvador,North America,SLV,,,,,,,
8/25/20,El Salvador,North America,SLV,,,,,,,
8/26/20,El Salvador,North America,SLV,,,,,,,
8/27/20,El Salvador,North America,SLV,,,,,,,
8/28/20,El Salvador,North America,SLV,,,,,,,
8/29/20,El Salvador,North America,SLV,,,,,,,
8/30/20,El Salvador,North America,SLV,,,,,,,
8/31/20,El Salvador,North America,SLV,,,,,,,
9/1/20,El Salvador,North America,SLV,,,,,,,
9/2/20,El Salvador,North America,SLV,,,,,,,
