date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-01-23,European Union,,OWID_EUN,,,,,,,
2020-01-24,European Union,,OWID_EUN,,,,,,,
2020-01-25,European Union,,OWID_EUN,,,,,,,
2020-01-26,European Union,,OWID_EUN,,,,,,,
2020-01-27,European Union,,OWID_EUN,,,,,,,
2020-01-28,European Union,,OWID_EUN,,,,,,,
2020-01-29,European Union,,OWID_EUN,,,,,,,
2020-01-30,European Union,,OWID_EUN,,,,,,,
2020-01-31,European Union,,OWID_EUN,,,,,,,
2020-02-01,European Union,,OWID_EUN,,,,,,,
2020-02-02,European Union,,OWID_EUN,,,,,,,
2020-02-03,European Union,,OWID_EUN,,,,,,,
2020-02-04,European Union,,OWID_EUN,,,,,,,
2020-02-05,European Union,,OWID_EUN,,,,,,,
2020-02-06,European Union,,OWID_EUN,,,,,,,
2020-02-07,European Union,,OWID_EUN,,,,,,,
2020-02-08,European Union,,OWID_EUN,,,,,,,
2020-02-09,European Union,,OWID_EUN,,,,,,,
2020-02-10,European Union,,OWID_EUN,,,,,,,
2020-02-11,European Union,,OWID_EUN,,,,,,,
2020-02-12,European Union,,OWID_EUN,,,,,,,
2020-02-13,European Union,,OWID_EUN,,,,,,,
2020-02-14,European Union,,OWID_EUN,,,,,,,
2020-02-15,European Union,,OWID_EUN,,,,,,,
2020-02-16,European Union,,OWID_EUN,,,,,,,
2020-02-17,European Union,,OWID_EUN,,,,,,,
2020-02-18,European Union,,OWID_EUN,,,,,,,
2020-02-19,European Union,,OWID_EUN,,,,,,,
2020-02-20,European Union,,OWID_EUN,,,,,,,
2020-02-21,European Union,,OWID_EUN,,,,,,,
2020-02-22,European Union,,OWID_EUN,,,,,,,
2020-02-23,European Union,,OWID_EUN,,,,,,,
2020-02-24,European Union,,OWID_EUN,,,,,,,
2020-02-25,European Union,,OWID_EUN,,,,,,,
2020-02-26,European Union,,OWID_EUN,,,,,,,
2020-02-27,European Union,,OWID_EUN,,,,,,,
2020-02-28,European Union,,OWID_EUN,,,,,,,
2020-02-29,European Union,,OWID_EUN,,,,,,,
2020-03-01,European Union,,OWID_EUN,,,,,,,
2020-03-02,European Union,,OWID_EUN,,,,,,,
2020-03-03,European Union,,OWID_EUN,,,,,,,
2020-03-04,European Union,,OWID_EUN,,,,,,,
2020-03-05,European Union,,OWID_EUN,,,,,,,
2020-03-06,European Union,,OWID_EUN,,,,,,,
2020-03-07,European Union,,OWID_EUN,,,,,,,
2020-03-08,European Union,,OWID_EUN,,,,,,,
2020-03-09,European Union,,OWID_EUN,,,,,,,
2020-03-10,European Union,,OWID_EUN,,,,,,,
2020-03-11,European Union,,OWID_EUN,,,,,,,
2020-03-12,European Union,,OWID_EUN,,,,,,,
2020-03-13,European Union,,OWID_EUN,,,,,,,
2020-03-14,European Union,,OWID_EUN,,,,,,,
2020-03-15,European Union,,OWID_EUN,,,,,,,
