date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
1/24/20,France,Europe,FRA,,,,,,,
1/25/20,France,Europe,FRA,,,,,,,
1/26/20,France,Europe,FRA,,,,,,,
1/27/20,France,Europe,FRA,,,,,,,
1/28/20,France,Europe,FRA,,,,,,,
1/29/20,France,Europe,FRA,,,,,,,
1/30/20,France,Europe,FRA,,,,,,,
1/31/20,France,Europe,FRA,,,,,,,
2/1/20,France,Europe,FRA,,,,,,,
2/2/20,France,Europe,FRA,,,,,,,
2/3/20,France,Europe,FRA,,,,,,,
2/4/20,France,Europe,FRA,,,,,,,
2/5/20,France,Europe,FRA,,,,,,,
2/6/20,France,Europe,FRA,,,,,,,
2/7/20,France,Europe,FRA,,,,,,,
2/8/20,France,Europe,FRA,,,,,,,
2/9/20,France,Europe,FRA,,,,,,,
2/10/20,France,Europe,FRA,,,,,,,
2/11/20,France,Europe,FRA,,,,,,,
2/12/20,France,Europe,FRA,,,,,,,
2/13/20,France,Europe,FRA,,,,,,,
2/14/20,France,Europe,FRA,,,,,,,
2/15/20,France,Europe,FRA,,,,,,,
2/16/20,France,Europe,FRA,,,,,,,
2/17/20,France,Europe,FRA,,,,,,,
2/18/20,France,Europe,FRA,,,,,,,
2/19/20,France,Europe,FRA,,,,,,,
2/20/20,France,Europe,FRA,,,,,,,
2/21/20,France,Europe,FRA,,,,,,,
2/22/20,France,Europe,FRA,,,,,,,
2/23/20,France,Europe,FRA,,,,,,,
2/24/20,France,Europe,FRA,,,,,,,
2/25/20,France,Europe,FRA,,,,,,,
2/26/20,France,Europe,FRA,,,,,,,
2/27/20,France,Europe,FRA,,,,,,,
2/28/20,France,Europe,FRA,,,,,,,
2/29/20,France,Europe,FRA,,,,,,,
3/1/20,France,Europe,FRA,,,,,,,
3/2/20,France,Europe,FRA,,,,,,,
3/3/20,France,Europe,FRA,,,,,,,
3/4/20,France,Europe,FRA,,,,,,,
3/5/20,France,Europe,FRA,,,,,,,
3/6/20,France,Europe,FRA,,,,,,,
3/7/20,France,Europe,FRA,,,,,,,
3/8/20,France,Europe,FRA,,,,,,,
3/9/20,France,Europe,FRA,,,,,,,
3/10/20,France,Europe,FRA,,,,,,,
3/11/20,France,Europe,FRA,,,,,,,
3/12/20,France,Europe,FRA,,,,,,,
3/13/20,France,Europe,FRA,,,,,,,
3/14/20,France,Europe,FRA,,,,,,,
3/15/20,France,Europe,FRA,,,,,,,
3/16/20,France,Europe,FRA,,,,,,,
3/17/20,France,Europe,FRA,,,,,,,
3/18/20,France,Europe,FRA,,,,,,,
3/19/20,France,Europe,FRA,,,,,,,
3/20/20,France,Europe,FRA,,,,,,,
3/21/20,France,Europe,FRA,,,,,,,
3/22/20,France,Europe,FRA,,,,,,,
3/23/20,France,Europe,FRA,,,,,,,
3/24/20,France,Europe,FRA,,,,,,,
3/25/20,France,Europe,FRA,,,,,,,
3/26/20,France,Europe,FRA,,,,,,,
3/27/20,France,Europe,FRA,,,,,,,
3/28/20,France,Europe,FRA,,,,,,,
3/29/20,France,Europe,FRA,,,,,,,
3/30/20,France,Europe,FRA,,,,,,,
3/31/20,France,Europe,FRA,,,,,,,
4/1/20,France,Europe,FRA,,,,,,,
4/2/20,France,Europe,FRA,,,,,,,
