date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-17,Gambia,Africa,GMB,,,,,,,
2020-03-18,Gambia,Africa,GMB,,,,,,,
2020-03-19,Gambia,Africa,GMB,,,,,,,
2020-03-20,Gambia,Africa,GMB,,,,,,,
2020-03-21,Gambia,Africa,GMB,,,,,,,
2020-03-22,Gambia,Africa,GMB,,,,,,,
2020-03-23,Gambia,Africa,GMB,,,,,,,
2020-03-24,Gambia,Africa,GMB,,,,,,,
2020-03-25,Gambia,Africa,GMB,,,,,,,
2020-03-26,Gambia,Africa,GMB,,,,,,,
2020-03-27,Gambia,Africa,GMB,,,,,,,
2020-03-28,Gambia,Africa,GMB,,,,,,,
2020-03-29,Gambia,Africa,GMB,,,,,,,
2020-03-30,Gambia,Africa,GMB,,,,,,,
2020-03-31,Gambia,Africa,GMB,,,,,,,
2020-04-01,Gambia,Africa,GMB,,,,,,,
2020-04-02,Gambia,Africa,GMB,,,,,,,
2020-04-03,Gambia,Africa,GMB,,,,,,,
2020-04-04,Gambia,Africa,GMB,,,,,,,
2020-04-05,Gambia,Africa,GMB,,,,,,,
2020-04-06,Gambia,Africa,GMB,,,,,,,
2020-04-07,Gambia,Africa,GMB,,,,,,,
2020-04-08,Gambia,Africa,GMB,,,,,,,
2020-04-09,Gambia,Africa,GMB,,,,,,,
2020-04-10,Gambia,Africa,GMB,,,,,,,
2020-04-11,Gambia,Africa,GMB,,,,,,,
2020-04-12,Gambia,Africa,GMB,,,,,,,
2020-04-13,Gambia,Africa,GMB,,,,,,,
2020-04-14,Gambia,Africa,GMB,,,,,,,
2020-04-15,Gambia,Africa,GMB,,,,,,,
2020-04-16,Gambia,Africa,GMB,,,,,,,
2020-04-17,Gambia,Africa,GMB,,,,,,,
2020-04-18,Gambia,Africa,GMB,,,,,,,
2020-04-19,Gambia,Africa,GMB,,,,,,,
2020-04-20,Gambia,Africa,GMB,,,,,,,
2020-04-21,Gambia,Africa,GMB,,,,,,,
2020-04-22,Gambia,Africa,GMB,,,,,,,
2020-04-23,Gambia,Africa,GMB,,,,,,,
2020-04-24,Gambia,Africa,GMB,,,,,,,
2020-04-25,Gambia,Africa,GMB,,,,,,,
2020-04-26,Gambia,Africa,GMB,,,,,,,
2020-04-27,Gambia,Africa,GMB,,,,,,,
2020-04-28,Gambia,Africa,GMB,,,,,,,
2020-04-29,Gambia,Africa,GMB,,,,,,,
2020-04-30,Gambia,Africa,GMB,,,,,,,
2020-05-01,Gambia,Africa,GMB,,,,,,,
2020-05-02,Gambia,Africa,GMB,,,,,,,
2020-05-03,Gambia,Africa,GMB,,,,,,,
2020-05-04,Gambia,Africa,GMB,,,,,,,
2020-05-05,Gambia,Africa,GMB,,,,,,,
2020-05-06,Gambia,Africa,GMB,,,,,,,
2020-05-07,Gambia,Africa,GMB,,,,,,,
2020-05-08,Gambia,Africa,GMB,,,,,,,
2020-05-09,Gambia,Africa,GMB,,,,,,,
2020-05-10,Gambia,Africa,GMB,,,,,,,
2020-05-11,Gambia,Africa,GMB,,,,,,,
2020-05-12,Gambia,Africa,GMB,,,,,,,
2020-05-13,Gambia,Africa,GMB,,,,,,,
2020-05-14,Gambia,Africa,GMB,,,,,,,
2020-05-15,Gambia,Africa,GMB,,,,,,,
2020-05-16,Gambia,Africa,GMB,,,,,,,
2020-05-17,Gambia,Africa,GMB,,,,,,,
2020-05-18,Gambia,Africa,GMB,,,,,,,
2020-05-19,Gambia,Africa,GMB,,,,,,,
2020-05-20,Gambia,Africa,GMB,,,,,,,
2020-05-21,Gambia,Africa,GMB,,,,,,,
2020-05-22,Gambia,Africa,GMB,,,,,,,
2020-05-23,Gambia,Africa,GMB,,,,,,,
2020-05-24,Gambia,Africa,GMB,,,,,,,
2020-05-25,Gambia,Africa,GMB,,,,,,,
2020-05-26,Gambia,Africa,GMB,,,,,,,
2020-05-27,Gambia,Africa,GMB,,,,,,,
2020-05-28,Gambia,Africa,GMB,,,,,,,
2020-05-29,Gambia,Africa,GMB,,,,,,,
2020-05-30,Gambia,Africa,GMB,,,,,,,
2020-05-31,Gambia,Africa,GMB,,,,,,,
2020-06-01,Gambia,Africa,GMB,,,,,,,
2020-06-02,Gambia,Africa,GMB,,,,,,,
2020-06-03,Gambia,Africa,GMB,,,,,,,
2020-06-04,Gambia,Africa,GMB,,,,,,,
2020-06-05,Gambia,Africa,GMB,,,,,,,
2020-06-06,Gambia,Africa,GMB,,,,,,,
2020-06-07,Gambia,Africa,GMB,,,,,,,
2020-06-08,Gambia,Africa,GMB,,,,,,,
2020-06-09,Gambia,Africa,GMB,,,,,,,
2020-06-10,Gambia,Africa,GMB,,,,,,,
2020-06-11,Gambia,Africa,GMB,,,,,,,
2020-06-12,Gambia,Africa,GMB,,,,,,,
2020-06-13,Gambia,Africa,GMB,,,,,,,
2020-06-14,Gambia,Africa,GMB,,,,,,,
2020-06-15,Gambia,Africa,GMB,,,,,,,
2020-06-16,Gambia,Africa,GMB,,,,,,,
2020-06-17,Gambia,Africa,GMB,,,,,,,
2020-06-18,Gambia,Africa,GMB,,,,,,,
2020-06-19,Gambia,Africa,GMB,,,,,,,
2020-06-20,Gambia,Africa,GMB,,,,,,,
2020-06-21,Gambia,Africa,GMB,,,,,,,
2020-06-22,Gambia,Africa,GMB,,,,,,,
2020-06-23,Gambia,Africa,GMB,,,,,,,
2020-06-24,Gambia,Africa,GMB,,,,,,,
2020-06-25,Gambia,Africa,GMB,,,,,,,
2020-06-26,Gambia,Africa,GMB,,,,,,,
2020-06-27,Gambia,Africa,GMB,,,,,,,
2020-06-28,Gambia,Africa,GMB,,,,,,,
2020-06-29,Gambia,Africa,GMB,,,,,,,
2020-06-30,Gambia,Africa,GMB,,,,,,,
2020-07-01,Gambia,Africa,GMB,,,,,,,
2020-07-02,Gambia,Africa,GMB,,,,,,,
2020-07-03,Gambia,Africa,GMB,,,,,,,
2020-07-04,Gambia,Africa,GMB,,,,,,,
2020-07-05,Gambia,Africa,GMB,,,,,,,
2020-07-06,Gambia,Africa,GMB,,,,,,,
2020-07-07,Gambia,Africa,GMB,,,,,,,
2020-07-08,Gambia,Africa,GMB,,,,,,,
2020-07-09,Gambia,Africa,GMB,,,,,,,
2020-07-10,Gambia,Africa,GMB,,,,,,,
2020-07-11,Gambia,Africa,GMB,,,,,,,
2020-07-12,Gambia,Africa,GMB,,,,,,,
2020-07-13,Gambia,Africa,GMB,,,,,,,
2020-07-14,Gambia,Africa,GMB,,,,,,,
2020-07-15,Gambia,Africa,GMB,,,,,,,
2020-07-16,Gambia,Africa,GMB,,,,,,,
2020-07-17,Gambia,Africa,GMB,,,,,,,
2020-07-18,Gambia,Africa,GMB,,,,,,,
2020-07-19,Gambia,Africa,GMB,,,,,,,
2020-07-20,Gambia,Africa,GMB,,,,,,,
2020-07-21,Gambia,Africa,GMB,,,,,,,
2020-07-22,Gambia,Africa,GMB,,,,,,,
2020-07-23,Gambia,Africa,GMB,,,,,,,
2020-07-24,Gambia,Africa,GMB,,,,,,,
2020-07-25,Gambia,Africa,GMB,,,,,,,
2020-07-26,Gambia,Africa,GMB,,,,,,,
2020-07-27,Gambia,Africa,GMB,,,,,,,
2020-07-28,Gambia,Africa,GMB,,,,,,,
2020-07-29,Gambia,Africa,GMB,,,,,,,
2020-07-30,Gambia,Africa,GMB,,,,,,,
2020-07-31,Gambia,Africa,GMB,,,,,,,
2020-08-01,Gambia,Africa,GMB,,,,,,,
2020-08-02,Gambia,Africa,GMB,,,,,,,
2020-08-03,Gambia,Africa,GMB,,,,,,,
2020-08-04,Gambia,Africa,GMB,,,,,,,
2020-08-05,Gambia,Africa,GMB,,,,,,,
2020-08-06,Gambia,Africa,GMB,,,,,,,
2020-08-07,Gambia,Africa,GMB,,,,,,,
2020-08-08,Gambia,Africa,GMB,,,,,,,
2020-08-09,Gambia,Africa,GMB,,,,,,,
2020-08-10,Gambia,Africa,GMB,,,,,,,
2020-08-11,Gambia,Africa,GMB,,,,,,,
2020-08-12,Gambia,Africa,GMB,,,,,,,
2020-08-13,Gambia,Africa,GMB,,,,,,,
2020-08-14,Gambia,Africa,GMB,,,,,,,
2020-08-15,Gambia,Africa,GMB,,,,,,,
2020-08-16,Gambia,Africa,GMB,,,,,,,
