date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-26,Georgia,Asia,GEO,,,,,,,
2020-02-27,Georgia,Asia,GEO,,,,,,,
2020-02-28,Georgia,Asia,GEO,,,,,,,
2020-02-29,Georgia,Asia,GEO,,,,,,,
2020-03-01,Georgia,Asia,GEO,,,,,,,
2020-03-02,Georgia,Asia,GEO,,,,,,,
2020-03-03,Georgia,Asia,GEO,,,,,,,
2020-03-04,Georgia,Asia,GEO,,,,,,,
2020-03-05,Georgia,Asia,GEO,,,,,,,
2020-03-06,Georgia,Asia,GEO,,,,,,,
2020-03-07,Georgia,Asia,GEO,,,,,,,
2020-03-08,Georgia,Asia,GEO,,,,,,,
2020-03-09,Georgia,Asia,GEO,,,,,,,
2020-03-10,Georgia,Asia,GEO,,,,,,,
2020-03-11,Georgia,Asia,GEO,,,,,,,
2020-03-12,Georgia,Asia,GEO,,,,,,,
2020-03-13,Georgia,Asia,GEO,,,,,,,
2020-03-14,Georgia,Asia,GEO,,,,,,,
2020-03-15,Georgia,Asia,GEO,,,,,,,
2020-03-16,Georgia,Asia,GEO,,,,,,,
2020-03-17,Georgia,Asia,GEO,,,,,,,
2020-03-18,Georgia,Asia,GEO,,,,,,,
2020-03-19,Georgia,Asia,GEO,,,,,,,
2020-03-20,Georgia,Asia,GEO,,,,,,,
2020-03-21,Georgia,Asia,GEO,,,,,,,
2020-03-22,Georgia,Asia,GEO,,,,,,,
2020-03-23,Georgia,Asia,GEO,,,,,,,
2020-03-24,Georgia,Asia,GEO,,,,,,,
2020-03-25,Georgia,Asia,GEO,,,,,,,
2020-03-26,Georgia,Asia,GEO,,,,,,,
2020-03-27,Georgia,Asia,GEO,,,,,,,
2020-03-28,Georgia,Asia,GEO,,,,,,,
2020-03-29,Georgia,Asia,GEO,,,,,,,
2020-03-30,Georgia,Asia,GEO,,,,,,,
2020-03-31,Georgia,Asia,GEO,,,,,,,
2020-04-01,Georgia,Asia,GEO,,,,,,,
2020-04-02,Georgia,Asia,GEO,,,,,,,
2020-04-03,Georgia,Asia,GEO,,,,,,,
2020-04-04,Georgia,Asia,GEO,,,,,,,
2020-04-05,Georgia,Asia,GEO,,,,,,,
2020-04-06,Georgia,Asia,GEO,,,,,,,
2020-04-07,Georgia,Asia,GEO,,,,,,,
2020-04-08,Georgia,Asia,GEO,,,,,,,
2020-04-09,Georgia,Asia,GEO,,,,,,,
2020-04-10,Georgia,Asia,GEO,,,,,,,
2020-04-11,Georgia,Asia,GEO,,,,,,,
2020-04-12,Georgia,Asia,GEO,,,,,,,
2020-04-13,Georgia,Asia,GEO,,,,,,,
2020-04-14,Georgia,Asia,GEO,,,,,,,
2020-04-15,Georgia,Asia,GEO,,,,,,,
2020-04-16,Georgia,Asia,GEO,,,,,,,
2020-04-17,Georgia,Asia,GEO,,,,,,,
2020-04-18,Georgia,Asia,GEO,,,,,,,
2020-04-19,Georgia,Asia,GEO,,,,,,,
2020-04-20,Georgia,Asia,GEO,,,,,,,
2020-04-21,Georgia,Asia,GEO,,,,,,,
2020-04-22,Georgia,Asia,GEO,,,,,,,
2020-04-23,Georgia,Asia,GEO,,,,,,,
2020-04-24,Georgia,Asia,GEO,,,,,,,
2020-04-25,Georgia,Asia,GEO,,,,,,,
2020-04-26,Georgia,Asia,GEO,,,,,,,
2020-04-27,Georgia,Asia,GEO,,,,,,,
2020-04-28,Georgia,Asia,GEO,,,,,,,
2020-04-29,Georgia,Asia,GEO,,,,,,,
2020-04-30,Georgia,Asia,GEO,,,,,,,
2020-05-01,Georgia,Asia,GEO,,,,,,,
2020-05-02,Georgia,Asia,GEO,,,,,,,
2020-05-03,Georgia,Asia,GEO,,,,,,,
2020-05-04,Georgia,Asia,GEO,,,,,,,
2020-05-05,Georgia,Asia,GEO,,,,,,,
2020-05-06,Georgia,Asia,GEO,,,,,,,
2020-05-07,Georgia,Asia,GEO,,,,,,,
2020-05-08,Georgia,Asia,GEO,,,,,,,
2020-05-09,Georgia,Asia,GEO,,,,,,,
2020-05-10,Georgia,Asia,GEO,,,,,,,
2020-05-11,Georgia,Asia,GEO,,,,,,,
2020-05-12,Georgia,Asia,GEO,,,,,,,
2020-05-13,Georgia,Asia,GEO,,,,,,,
2020-05-14,Georgia,Asia,GEO,,,,,,,
2020-05-15,Georgia,Asia,GEO,,,,,,,
2020-05-16,Georgia,Asia,GEO,,,,,,,
2020-05-17,Georgia,Asia,GEO,,,,,,,
2020-05-18,Georgia,Asia,GEO,,,,,,,
2020-05-19,Georgia,Asia,GEO,,,,,,,
2020-05-20,Georgia,Asia,GEO,,,,,,,
2020-05-21,Georgia,Asia,GEO,,,,,,,
2020-05-22,Georgia,Asia,GEO,,,,,,,
2020-05-23,Georgia,Asia,GEO,,,,,,,
2020-05-24,Georgia,Asia,GEO,,,,,,,
2020-05-25,Georgia,Asia,GEO,,,,,,,
2020-05-26,Georgia,Asia,GEO,,,,,,,
