date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-01-06,Germany,Europe,DEU,,,,,,,
2020-01-18,Germany,Europe,DEU,,,,,,,
2020-01-24,Germany,Europe,DEU,,,,,,,
2020-01-27,Germany,Europe,DEU,,,,,,,
2020-01-28,Germany,Europe,DEU,,,,,,,
2020-01-29,Germany,Europe,DEU,,,,,,,
2020-01-30,Germany,Europe,DEU,,,,,,,
2020-01-31,Germany,Europe,DEU,,,,,,,
2020-02-01,Germany,Europe,DEU,,,,,,,
2020-02-02,Germany,Europe,DEU,,,,,,,
2020-02-03,Germany,Europe,DEU,,,,,,,
2020-02-04,Germany,Europe,DEU,,,,,,,
2020-02-05,Germany,Europe,DEU,,,,,,,
2020-02-06,Germany,Europe,DEU,,,,,,,
2020-02-07,Germany,Europe,DEU,,,,,,,
2020-02-08,Germany,Europe,DEU,,,,,,,
2020-02-09,Germany,Europe,DEU,,,,,,,
2020-02-10,Germany,Europe,DEU,,,,,,,
2020-02-11,Germany,Europe,DEU,,,,,,,
2020-02-12,Germany,Europe,DEU,,,,,,,
2020-02-13,Germany,Europe,DEU,,,,,,,
2020-02-14,Germany,Europe,DEU,,,,,,,
2020-02-15,Germany,Europe,DEU,,,,,,,
2020-02-16,Germany,Europe,DEU,,,,,,,
2020-02-17,Germany,Europe,DEU,,,,,,,
2020-02-18,Germany,Europe,DEU,,,,,,,
2020-02-19,Germany,Europe,DEU,,,,,,,
2020-02-20,Germany,Europe,DEU,,,,,,,
2020-02-21,Germany,Europe,DEU,,,,,,,
2020-02-22,Germany,Europe,DEU,,,,,,,
2020-02-23,Germany,Europe,DEU,,,,,,,
2020-02-24,Germany,Europe,DEU,,,,,,,
2020-02-25,Germany,Europe,DEU,,,,,,,
2020-02-26,Germany,Europe,DEU,,,,,,,
2020-02-27,Germany,Europe,DEU,,,,,,,
2020-02-28,Germany,Europe,DEU,,,,,,,
2020-02-29,Germany,Europe,DEU,,,,,,,
2020-03-01,Germany,Europe,DEU,,,,,,,
2020-03-02,Germany,Europe,DEU,,,,,,,
2020-03-03,Germany,Europe,DEU,,,,,,,
2020-03-04,Germany,Europe,DEU,,,,,,,
2020-03-05,Germany,Europe,DEU,,,,,,,
2020-03-06,Germany,Europe,DEU,,,,,,,
2020-03-07,Germany,Europe,DEU,,,,,,,
2020-03-08,Germany,Europe,DEU,,,,,,,
2020-03-09,Germany,Europe,DEU,,,,,,,
2020-03-10,Germany,Europe,DEU,,,,,,,
2020-03-11,Germany,Europe,DEU,,,,,,,
2020-03-12,Germany,Europe,DEU,,,,,,,
2020-03-13,Germany,Europe,DEU,,,,,,,
2020-03-14,Germany,Europe,DEU,,,,,,,
2020-03-15,Germany,Europe,DEU,,,,,,,
2020-03-16,Germany,Europe,DEU,,,,,,,
2020-03-17,Germany,Europe,DEU,,,,,,,
2020-03-18,Germany,Europe,DEU,,,,,,,
2020-03-19,Germany,Europe,DEU,,,,,,,
2020-03-20,Germany,Europe,DEU,,,,,,,
