date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2021-01-10,Gibraltar,Europe,GIB,420.0,420.0,,,1.25,1.25,
2021-01-11,Gibraltar,Europe,GIB,1445.0,1445.0,,1025.0,4.29,4.29,
2021-01-12,Gibraltar,Europe,GIB,2501.0,2501.0,,1056.0,7.42,7.42,
2021-01-13,Gibraltar,Europe,GIB,,,,,,,
2021-01-14,Gibraltar,Europe,GIB,,,,,,,
2021-01-15,Gibraltar,Europe,GIB,5135.0,5135.0,,,15.24,15.24,
2021-01-16,Gibraltar,Europe,GIB,5847.0,5847.0,,712.0,17.35,17.35,
2021-01-17,Gibraltar,Europe,GIB,5847.0,5847.0,,0.0,17.35,17.35,
2021-01-18,Gibraltar,Europe,GIB,6435.0,6435.0,,588.0,19.1,19.1,
2021-01-19,Gibraltar,Europe,GIB,7017.0,7017.0,,582.0,20.83,20.83,
2021-01-20,Gibraltar,Europe,GIB,7017.0,7017.0,,0.0,20.83,20.83,
2021-01-21,Gibraltar,Europe,GIB,7947.0,7947.0,,930.0,23.59,23.59,
2021-01-22,Gibraltar,Europe,GIB,8877.0,8877.0,,930.0,26.35,26.35,
2021-01-23,Gibraltar,Europe,GIB,9807.0,9807.0,,930.0,29.11,29.11,
2021-01-24,Gibraltar,Europe,GIB,10341.0,10341.0,,534.0,30.69,30.69,
2021-01-25,Gibraltar,Europe,GIB,10539.0,10539.0,,198.0,31.28,31.28,
2021-01-26,Gibraltar,Europe,GIB,11073.0,11073.0,,534.0,32.87,32.87,
2021-01-27,Gibraltar,Europe,GIB,11607.0,11073.0,,534.0,34.45,32.87,
2021-01-28,Gibraltar,Europe,GIB,12332.0,12332.0,,725.0,36.6,36.6,
2021-01-29,Gibraltar,Europe,GIB,12866.0,12866.0,,534.0,38.19,38.19,
2021-01-30,Gibraltar,Europe,GIB,12866.0,12866.0,,0.0,38.19,38.19,
2021-01-31,Gibraltar,Europe,GIB,13286.0,12886.0,400.0,420.0,39.43,38.25,1.19
2021-02-01,Gibraltar,Europe,GIB,14299.0,12974.0,1325.0,1013.0,42.44,38.51,3.93
2021-02-02,Gibraltar,Europe,GIB,15391.0,13071.0,2320.0,1092.0,45.68,38.8,6.89
2021-02-03,Gibraltar,Europe,GIB,16177.0,13166.0,3011.0,786.0,48.02,39.08,8.94
2021-02-04,Gibraltar,Europe,GIB,17189.0,13246.0,3943.0,1012.0,51.02,39.32,11.7
2021-02-05,Gibraltar,Europe,GIB,18274.0,13398.0,4876.0,1085.0,54.24,39.77,14.47
2021-02-06,Gibraltar,Europe,GIB,19072.0,13499.0,5573.0,798.0,56.61,40.07,16.54
2021-02-07,Gibraltar,Europe,GIB,19072.0,13499.0,5573.0,0.0,56.61,40.07,16.54
2021-02-08,Gibraltar,Europe,GIB,20044.0,13904.0,6140.0,972.0,59.49,41.27,18.22
2021-02-09,Gibraltar,Europe,GIB,21021.0,14302.0,6719.0,977.0,62.39,42.45,19.94
2021-02-10,Gibraltar,Europe,GIB,21999.0,15262.0,6737.0,978.0,65.3,45.3,20.0
2021-02-11,Gibraltar,Europe,GIB,23103.0,15436.0,7667.0,1104.0,68.57,45.82,22.76
2021-02-12,Gibraltar,Europe,GIB,24195.0,15600.0,8595.0,1092.0,71.81,46.3,25.51
2021-02-13,Gibraltar,Europe,GIB,25287.0,15765.0,9522.0,1092.0,75.06,46.79,28.26
2021-02-14,Gibraltar,Europe,GIB,25941.0,15888.0,10053.0,654.0,77.0,47.16,29.84
