date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2/26/20,Greece,Europe,GRC,,,,,,,
2/27/20,Greece,Europe,GRC,,,,,,,
2/28/20,Greece,Europe,GRC,,,,,,,
2/29/20,Greece,Europe,GRC,,,,,,,
3/1/20,Greece,Europe,GRC,,,,,,,
3/2/20,Greece,Europe,GRC,,,,,,,
3/3/20,Greece,Europe,GRC,,,,,,,
3/4/20,Greece,Europe,GRC,,,,,,,
3/5/20,Greece,Europe,GRC,,,,,,,
3/6/20,Greece,Europe,GRC,,,,,,,
3/7/20,Greece,Europe,GRC,,,,,,,
3/8/20,Greece,Europe,GRC,,,,,,,
3/9/20,Greece,Europe,GRC,,,,,,,
3/10/20,Greece,Europe,GRC,,,,,,,
3/11/20,Greece,Europe,GRC,,,,,,,
3/12/20,Greece,Europe,GRC,,,,,,,
3/13/20,Greece,Europe,GRC,,,,,,,
3/14/20,Greece,Europe,GRC,,,,,,,
3/15/20,Greece,Europe,GRC,,,,,,,
3/16/20,Greece,Europe,GRC,,,,,,,
3/17/20,Greece,Europe,GRC,,,,,,,
3/18/20,Greece,Europe,GRC,,,,,,,
3/19/20,Greece,Europe,GRC,,,,,,,
3/20/20,Greece,Europe,GRC,,,,,,,
3/21/20,Greece,Europe,GRC,,,,,,,
3/22/20,Greece,Europe,GRC,,,,,,,
3/23/20,Greece,Europe,GRC,,,,,,,
3/24/20,Greece,Europe,GRC,,,,,,,
3/25/20,Greece,Europe,GRC,,,,,,,
3/26/20,Greece,Europe,GRC,,,,,,,
3/27/20,Greece,Europe,GRC,,,,,,,
3/28/20,Greece,Europe,GRC,,,,,,,
3/29/20,Greece,Europe,GRC,,,,,,,
3/30/20,Greece,Europe,GRC,,,,,,,
3/31/20,Greece,Europe,GRC,,,,,,,
4/1/20,Greece,Europe,GRC,,,,,,,
4/2/20,Greece,Europe,GRC,,,,,,,
4/3/20,Greece,Europe,GRC,,,,,,,
4/4/20,Greece,Europe,GRC,,,,,,,
4/5/20,Greece,Europe,GRC,,,,,,,
4/6/20,Greece,Europe,GRC,,,,,,,
4/7/20,Greece,Europe,GRC,,,,,,,
4/8/20,Greece,Europe,GRC,,,,,,,
4/9/20,Greece,Europe,GRC,,,,,,,
4/10/20,Greece,Europe,GRC,,,,,,,
4/11/20,Greece,Europe,GRC,,,,,,,
4/12/20,Greece,Europe,GRC,,,,,,,
4/13/20,Greece,Europe,GRC,,,,,,,
4/14/20,Greece,Europe,GRC,,,,,,,
4/15/20,Greece,Europe,GRC,,,,,,,
4/16/20,Greece,Europe,GRC,,,,,,,
4/17/20,Greece,Europe,GRC,,,,,,,
4/18/20,Greece,Europe,GRC,,,,,,,
4/19/20,Greece,Europe,GRC,,,,,,,
4/20/20,Greece,Europe,GRC,,,,,,,
4/21/20,Greece,Europe,GRC,,,,,,,
4/22/20,Greece,Europe,GRC,,,,,,,
4/23/20,Greece,Europe,GRC,,,,,,,
4/24/20,Greece,Europe,GRC,,,,,,,
4/25/20,Greece,Europe,GRC,,,,,,,
4/26/20,Greece,Europe,GRC,,,,,,,
4/27/20,Greece,Europe,GRC,,,,,,,
4/28/20,Greece,Europe,GRC,,,,,,,
4/29/20,Greece,Europe,GRC,,,,,,,
4/30/20,Greece,Europe,GRC,,,,,,,
5/1/20,Greece,Europe,GRC,,,,,,,
5/2/20,Greece,Europe,GRC,,,,,,,
5/3/20,Greece,Europe,GRC,,,,,,,
5/4/20,Greece,Europe,GRC,,,,,,,
5/5/20,Greece,Europe,GRC,,,,,,,
5/6/20,Greece,Europe,GRC,,,,,,,
5/7/20,Greece,Europe,GRC,,,,,,,
5/8/20,Greece,Europe,GRC,,,,,,,
5/9/20,Greece,Europe,GRC,,,,,,,
5/10/20,Greece,Europe,GRC,,,,,,,
5/11/20,Greece,Europe,GRC,,,,,,,
5/12/20,Greece,Europe,GRC,,,,,,,
5/13/20,Greece,Europe,GRC,,,,,,,
5/14/20,Greece,Europe,GRC,,,,,,,
5/15/20,Greece,Europe,GRC,,,,,,,
5/16/20,Greece,Europe,GRC,,,,,,,
5/17/20,Greece,Europe,GRC,,,,,,,
5/18/20,Greece,Europe,GRC,,,,,,,
5/19/20,Greece,Europe,GRC,,,,,,,
5/20/20,Greece,Europe,GRC,,,,,,,
5/21/20,Greece,Europe,GRC,,,,,,,
5/22/20,Greece,Europe,GRC,,,,,,,
5/23/20,Greece,Europe,GRC,,,,,,,
5/24/20,Greece,Europe,GRC,,,,,,,
5/25/20,Greece,Europe,GRC,,,,,,,
5/26/20,Greece,Europe,GRC,,,,,,,
5/27/20,Greece,Europe,GRC,,,,,,,
5/28/20,Greece,Europe,GRC,,,,,,,
5/29/20,Greece,Europe,GRC,,,,,,,
5/30/20,Greece,Europe,GRC,,,,,,,
5/31/20,Greece,Europe,GRC,,,,,,,
6/1/20,Greece,Europe,GRC,,,,,,,
6/2/20,Greece,Europe,GRC,,,,,,,
6/3/20,Greece,Europe,GRC,,,,,,,
6/4/20,Greece,Europe,GRC,,,,,,,
6/5/20,Greece,Europe,GRC,,,,,,,
6/6/20,Greece,Europe,GRC,,,,,,,
6/7/20,Greece,Europe,GRC,,,,,,,
6/8/20,Greece,Europe,GRC,,,,,,,
6/9/20,Greece,Europe,GRC,,,,,,,
6/10/20,Greece,Europe,GRC,,,,,,,
6/11/20,Greece,Europe,GRC,,,,,,,
6/12/20,Greece,Europe,GRC,,,,,,,
6/13/20,Greece,Europe,GRC,,,,,,,
6/14/20,Greece,Europe,GRC,,,,,,,
6/15/20,Greece,Europe,GRC,,,,,,,
6/16/20,Greece,Europe,GRC,,,,,,,
6/17/20,Greece,Europe,GRC,,,,,,,
6/18/20,Greece,Europe,GRC,,,,,,,
6/19/20,Greece,Europe,GRC,,,,,,,
6/20/20,Greece,Europe,GRC,,,,,,,
6/21/20,Greece,Europe,GRC,,,,,,,
6/22/20,Greece,Europe,GRC,,,,,,,
6/23/20,Greece,Europe,GRC,,,,,,,
6/24/20,Greece,Europe,GRC,,,,,,,
6/25/20,Greece,Europe,GRC,,,,,,,
6/26/20,Greece,Europe,GRC,,,,,,,
6/27/20,Greece,Europe,GRC,,,,,,,
6/28/20,Greece,Europe,GRC,,,,,,,
6/29/20,Greece,Europe,GRC,,,,,,,
6/30/20,Greece,Europe,GRC,,,,,,,
7/1/20,Greece,Europe,GRC,,,,,,,
7/2/20,Greece,Europe,GRC,,,,,,,
7/3/20,Greece,Europe,GRC,,,,,,,
7/4/20,Greece,Europe,GRC,,,,,,,
7/5/20,Greece,Europe,GRC,,,,,,,
7/6/20,Greece,Europe,GRC,,,,,,,
7/7/20,Greece,Europe,GRC,,,,,,,
7/8/20,Greece,Europe,GRC,,,,,,,
7/9/20,Greece,Europe,GRC,,,,,,,
7/10/20,Greece,Europe,GRC,,,,,,,
7/11/20,Greece,Europe,GRC,,,,,,,
7/12/20,Greece,Europe,GRC,,,,,,,
7/13/20,Greece,Europe,GRC,,,,,,,
7/14/20,Greece,Europe,GRC,,,,,,,
7/15/20,Greece,Europe,GRC,,,,,,,
7/16/20,Greece,Europe,GRC,,,,,,,
7/17/20,Greece,Europe,GRC,,,,,,,
7/18/20,Greece,Europe,GRC,,,,,,,
7/19/20,Greece,Europe,GRC,,,,,,,
7/20/20,Greece,Europe,GRC,,,,,,,
7/21/20,Greece,Europe,GRC,,,,,,,
7/22/20,Greece,Europe,GRC,,,,,,,
7/23/20,Greece,Europe,GRC,,,,,,,
7/24/20,Greece,Europe,GRC,,,,,,,
7/25/20,Greece,Europe,GRC,,,,,,,
7/26/20,Greece,Europe,GRC,,,,,,,
7/27/20,Greece,Europe,GRC,,,,,,,
7/28/20,Greece,Europe,GRC,,,,,,,
7/29/20,Greece,Europe,GRC,,,,,,,
7/30/20,Greece,Europe,GRC,,,,,,,
7/31/20,Greece,Europe,GRC,,,,,,,
8/1/20,Greece,Europe,GRC,,,,,,,
8/2/20,Greece,Europe,GRC,,,,,,,
8/3/20,Greece,Europe,GRC,,,,,,,
8/4/20,Greece,Europe,GRC,,,,,,,
8/5/20,Greece,Europe,GRC,,,,,,,
8/6/20,Greece,Europe,GRC,,,,,,,
8/7/20,Greece,Europe,GRC,,,,,,,
8/8/20,Greece,Europe,GRC,,,,,,,
8/9/20,Greece,Europe,GRC,,,,,,,
