date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2021-01-27,Greenland,North America,GRL,2584.0,2584.0,,,4.55,4.55,
2021-01-28,Greenland,North America,GRL,,,,,,,
2021-01-29,Greenland,North America,GRL,,,,,,,
2021-01-30,Greenland,North America,GRL,,,,,,,
2021-01-31,Greenland,North America,GRL,,,,,,,
2021-02-01,Greenland,North America,GRL,,,,,,,
2021-02-02,Greenland,North America,GRL,,,,,,,
2021-02-03,Greenland,North America,GRL,,,,,,,
2021-02-04,Greenland,North America,GRL,,,,,,,
2021-02-05,Greenland,North America,GRL,,,,,,,
2021-02-06,Greenland,North America,GRL,,,,,,,
2021-02-07,Greenland,North America,GRL,,,,,,,
2021-02-08,Greenland,North America,GRL,,,,,,,
2021-02-09,Greenland,North America,GRL,,,,,,,
2021-02-10,Greenland,North America,GRL,,,,,,,
2021-02-11,Greenland,North America,GRL,,,,,,,
2021-02-12,Greenland,North America,GRL,,,,,,,
2021-02-13,Greenland,North America,GRL,,,,,,,
2021-02-14,Greenland,North America,GRL,,,,,,,
2021-02-15,Greenland,North America,GRL,,,,,,,
2021-02-16,Greenland,North America,GRL,,,,,,,
2021-02-17,Greenland,North America,GRL,,,,,,,
2021-02-18,Greenland,North America,GRL,,,,,,,
2021-02-19,Greenland,North America,GRL,,,,,,,
2021-02-20,Greenland,North America,GRL,,,,,,,
2021-02-21,Greenland,North America,GRL,,,,,,,
2021-02-22,Greenland,North America,GRL,,,,,,,
2021-02-23,Greenland,North America,GRL,,,,,,,
2021-02-24,Greenland,North America,GRL,,,,,,,
2021-02-25,Greenland,North America,GRL,,,,,,,
2021-02-26,Greenland,North America,GRL,,,,,,,
2021-02-27,Greenland,North America,GRL,,,,,,,
2021-02-28,Greenland,North America,GRL,,,,,,,
2021-03-01,Greenland,North America,GRL,5130.0,3927.0,1203.0,,9.04,6.92,2.12
2021-03-02,Greenland,North America,GRL,,,,,,,
2021-03-03,Greenland,North America,GRL,,,,,,,
2021-03-04,Greenland,North America,GRL,,,,,,,
2021-03-05,Greenland,North America,GRL,,,,,,,
2021-03-06,Greenland,North America,GRL,,,,,,,
2021-03-07,Greenland,North America,GRL,,,,,,,
2021-03-08,Greenland,North America,GRL,,,,,,,
2021-03-09,Greenland,North America,GRL,,,,,,,
2021-03-10,Greenland,North America,GRL,,,,,,,
2021-03-11,Greenland,North America,GRL,,,,,,,
2021-03-12,Greenland,North America,GRL,,,,,,,
2021-03-13,Greenland,North America,GRL,,,,,,,
2021-03-14,Greenland,North America,GRL,,,,,,,
2021-03-15,Greenland,North America,GRL,,,,,,,
2021-03-16,Greenland,North America,GRL,,,,,,,
2021-03-17,Greenland,North America,GRL,,,,,,,
2021-03-18,Greenland,North America,GRL,,,,,,,
2021-03-19,Greenland,North America,GRL,,,,,,,
2021-03-20,Greenland,North America,GRL,,,,,,,
2021-03-21,Greenland,North America,GRL,,,,,,,
2021-03-22,Greenland,North America,GRL,,,,,,,
2021-03-23,Greenland,North America,GRL,,,,,,,
2021-03-24,Greenland,North America,GRL,,,,,,,
2021-03-25,Greenland,North America,GRL,,,,,,,
2021-03-26,Greenland,North America,GRL,,,,,,,
2021-03-27,Greenland,North America,GRL,,,,,,,
2021-03-28,Greenland,North America,GRL,,,,,,,
2021-03-29,Greenland,North America,GRL,,,,,,,
2021-03-30,Greenland,North America,GRL,,,,,,,
2021-03-31,Greenland,North America,GRL,,,,,,,
2021-04-01,Greenland,North America,GRL,,,,,,,
2021-04-02,Greenland,North America,GRL,,,,,,,
2021-04-03,Greenland,North America,GRL,,,,,,,
2021-04-04,Greenland,North America,GRL,,,,,,,
2021-04-05,Greenland,North America,GRL,,,,,,,
2021-04-06,Greenland,North America,GRL,,,,,,,
2021-04-07,Greenland,North America,GRL,,,,,,,
2021-04-08,Greenland,North America,GRL,,,,,,,
2021-04-09,Greenland,North America,GRL,9555.0,5296.0,4259.0,,16.83,9.33,7.5
2021-04-10,Greenland,North America,GRL,,,,,,,
2021-04-11,Greenland,North America,GRL,,,,,,,
2021-04-12,Greenland,North America,GRL,9808.0,5531.0,4277.0,,17.28,9.74,7.53
2021-04-13,Greenland,North America,GRL,9996.0,5700.0,4296.0,188.0,17.61,10.04,7.57
2021-04-14,Greenland,North America,GRL,10142.0,5845.0,4297.0,146.0,17.86,10.3,7.57
2021-04-15,Greenland,North America,GRL,10232.0,5935.0,4297.0,90.0,18.02,10.45,7.57
2021-04-16,Greenland,North America,GRL,10567.0,6270.0,4297.0,335.0,18.61,11.04,7.57
2021-04-17,Greenland,North America,GRL,,,,,,,
2021-04-18,Greenland,North America,GRL,,,,,,,
2021-04-19,Greenland,North America,GRL,10974.0,6677.0,4297.0,,19.33,11.76,7.57
2021-04-20,Greenland,North America,GRL,11508.0,7210.0,4298.0,534.0,20.27,12.7,7.57
2021-04-21,Greenland,North America,GRL,12233.0,7935.0,4298.0,725.0,21.55,13.98,7.57
2021-04-22,Greenland,North America,GRL,12434.0,8136.0,4298.0,201.0,21.9,14.33,7.57
2021-04-23,Greenland,North America,GRL,12859.0,8561.0,4298.0,425.0,22.65,15.08,7.57
2021-04-24,Greenland,North America,GRL,,,,,,,
2021-04-25,Greenland,North America,GRL,,,,,,,
2021-04-26,Greenland,North America,GRL,13108.0,8810.0,4298.0,,23.09,15.52,7.57
2021-04-27,Greenland,North America,GRL,13214.0,8835.0,4379.0,106.0,23.28,15.56,7.71
2021-04-28,Greenland,North America,GRL,13847.0,8858.0,4989.0,633.0,24.39,15.6,8.79
2021-04-29,Greenland,North America,GRL,14139.0,8867.0,5272.0,292.0,24.9,15.62,9.29
2021-04-30,Greenland,North America,GRL,,,,,,,
2021-05-01,Greenland,North America,GRL,,,,,,,
2021-05-02,Greenland,North America,GRL,,,,,,,
2021-05-03,Greenland,North America,GRL,14176.0,8900.0,5276.0,,24.97,15.68,9.29
2021-05-04,Greenland,North America,GRL,14177.0,8900.0,5277.0,1.0,24.97,15.68,9.3
2021-05-05,Greenland,North America,GRL,,,,,,,
