date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2021-01-24,Guernsey,Europe,GGY,6673.0,6151.0,522.0,,9.95,9.17,0.78
2021-01-25,Guernsey,Europe,GGY,,,,,,,
2021-01-26,Guernsey,Europe,GGY,,,,,,,
2021-01-27,Guernsey,Europe,GGY,,,,,,,
2021-01-28,Guernsey,Europe,GGY,,,,,,,
2021-01-29,Guernsey,Europe,GGY,,,,,,,
2021-01-30,Guernsey,Europe,GGY,,,,,,,
2021-01-31,Guernsey,Europe,GGY,,,,,,,
2021-02-01,Guernsey,Europe,GGY,,,,,,,
2021-02-02,Guernsey,Europe,GGY,,,,,,,
2021-02-03,Guernsey,Europe,GGY,,,,,,,
2021-02-04,Guernsey,Europe,GGY,,,,,,,
2021-02-05,Guernsey,Europe,GGY,,,,,,,
2021-02-06,Guernsey,Europe,GGY,,,,,,,
2021-02-07,Guernsey,Europe,GGY,15135.0,12045.0,3090.0,,22.57,17.96,4.61
2021-02-08,Guernsey,Europe,GGY,,,,,,,
2021-02-09,Guernsey,Europe,GGY,,,,,,,
2021-02-10,Guernsey,Europe,GGY,,,,,,,
2021-02-11,Guernsey,Europe,GGY,,,,,,,
2021-02-12,Guernsey,Europe,GGY,,,,,,,
2021-02-13,Guernsey,Europe,GGY,,,,,,,
2021-02-14,Guernsey,Europe,GGY,19284.0,13950.0,5334.0,,28.76,20.8,7.96
2021-02-15,Guernsey,Europe,GGY,,,,,,,
2021-02-16,Guernsey,Europe,GGY,,,,,,,
2021-02-17,Guernsey,Europe,GGY,,,,,,,
2021-02-18,Guernsey,Europe,GGY,,,,,,,
2021-02-19,Guernsey,Europe,GGY,,,,,,,
2021-02-20,Guernsey,Europe,GGY,,,,,,,
2021-02-21,Guernsey,Europe,GGY,,,,,,,
2021-02-22,Guernsey,Europe,GGY,,,,,,,
2021-02-23,Guernsey,Europe,GGY,20047.0,,,,29.9,,
2021-02-24,Guernsey,Europe,GGY,,,,,,,
2021-02-25,Guernsey,Europe,GGY,,,,,,,
2021-02-26,Guernsey,Europe,GGY,,,,,,,
2021-02-27,Guernsey,Europe,GGY,,,,,,,
2021-02-28,Guernsey,Europe,GGY,,,,,,,
2021-03-01,Guernsey,Europe,GGY,,,,,,,
2021-03-02,Guernsey,Europe,GGY,22040.0,,,,32.87,,
2021-03-03,Guernsey,Europe,GGY,,,,,,,
2021-03-04,Guernsey,Europe,GGY,,,,,,,
2021-03-05,Guernsey,Europe,GGY,,,,,,,
2021-03-06,Guernsey,Europe,GGY,,,,,,,
2021-03-07,Guernsey,Europe,GGY,,,,,,,
2021-03-08,Guernsey,Europe,GGY,,,,,,,
2021-03-09,Guernsey,Europe,GGY,,,,,,,
2021-03-10,Guernsey,Europe,GGY,,,,,,,
2021-03-11,Guernsey,Europe,GGY,,,,,,,
2021-03-12,Guernsey,Europe,GGY,29383.0,21500.0,7883.0,,43.82,32.06,11.76
2021-03-13,Guernsey,Europe,GGY,,,,,,,
2021-03-14,Guernsey,Europe,GGY,,,,,,,
2021-03-15,Guernsey,Europe,GGY,,,,,,,
2021-03-16,Guernsey,Europe,GGY,,,,,,,
2021-03-17,Guernsey,Europe,GGY,,,,,,,
2021-03-18,Guernsey,Europe,GGY,,,,,,,
2021-03-19,Guernsey,Europe,GGY,,,,,,,
2021-03-20,Guernsey,Europe,GGY,,,,,,,
2021-03-21,Guernsey,Europe,GGY,,,,,,,
2021-03-22,Guernsey,Europe,GGY,,,,,,,
2021-03-23,Guernsey,Europe,GGY,,,,,,,
2021-03-24,Guernsey,Europe,GGY,,,,,,,
2021-03-25,Guernsey,Europe,GGY,,,,,,,
2021-03-26,Guernsey,Europe,GGY,,,,,,,
2021-03-27,Guernsey,Europe,GGY,,,,,,,
2021-03-28,Guernsey,Europe,GGY,,,,,,,
