date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-13,Guinea,Africa,GIN,,,,,,,
2020-03-14,Guinea,Africa,GIN,,,,,,,
2020-03-15,Guinea,Africa,GIN,,,,,,,
2020-03-16,Guinea,Africa,GIN,,,,,,,
2020-03-17,Guinea,Africa,GIN,,,,,,,
2020-03-18,Guinea,Africa,GIN,,,,,,,
2020-03-19,Guinea,Africa,GIN,,,,,,,
2020-03-20,Guinea,Africa,GIN,,,,,,,
2020-03-21,Guinea,Africa,GIN,,,,,,,
2020-03-22,Guinea,Africa,GIN,,,,,,,
2020-03-23,Guinea,Africa,GIN,,,,,,,
2020-03-24,Guinea,Africa,GIN,,,,,,,
2020-03-25,Guinea,Africa,GIN,,,,,,,
2020-03-26,Guinea,Africa,GIN,,,,,,,
2020-03-27,Guinea,Africa,GIN,,,,,,,
2020-03-28,Guinea,Africa,GIN,,,,,,,
2020-03-29,Guinea,Africa,GIN,,,,,,,
2020-03-30,Guinea,Africa,GIN,,,,,,,
2020-03-31,Guinea,Africa,GIN,,,,,,,
2020-04-01,Guinea,Africa,GIN,,,,,,,
2020-04-02,Guinea,Africa,GIN,,,,,,,
2020-04-03,Guinea,Africa,GIN,,,,,,,
2020-04-04,Guinea,Africa,GIN,,,,,,,
2020-04-05,Guinea,Africa,GIN,,,,,,,
2020-04-06,Guinea,Africa,GIN,,,,,,,
2020-04-07,Guinea,Africa,GIN,,,,,,,
2020-04-08,Guinea,Africa,GIN,,,,,,,
2020-04-09,Guinea,Africa,GIN,,,,,,,
2020-04-10,Guinea,Africa,GIN,,,,,,,
2020-04-11,Guinea,Africa,GIN,,,,,,,
2020-04-12,Guinea,Africa,GIN,,,,,,,
2020-04-13,Guinea,Africa,GIN,,,,,,,
2020-04-14,Guinea,Africa,GIN,,,,,,,
2020-04-15,Guinea,Africa,GIN,,,,,,,
2020-04-16,Guinea,Africa,GIN,,,,,,,
2020-04-17,Guinea,Africa,GIN,,,,,,,
2020-04-18,Guinea,Africa,GIN,,,,,,,
2020-04-19,Guinea,Africa,GIN,,,,,,,
2020-04-20,Guinea,Africa,GIN,,,,,,,
2020-04-21,Guinea,Africa,GIN,,,,,,,
2020-04-22,Guinea,Africa,GIN,,,,,,,
2020-04-23,Guinea,Africa,GIN,,,,,,,
2020-04-24,Guinea,Africa,GIN,,,,,,,
2020-04-25,Guinea,Africa,GIN,,,,,,,
2020-04-26,Guinea,Africa,GIN,,,,,,,
2020-04-27,Guinea,Africa,GIN,,,,,,,
2020-04-28,Guinea,Africa,GIN,,,,,,,
2020-04-29,Guinea,Africa,GIN,,,,,,,
2020-04-30,Guinea,Africa,GIN,,,,,,,
2020-05-01,Guinea,Africa,GIN,,,,,,,
2020-05-02,Guinea,Africa,GIN,,,,,,,
2020-05-03,Guinea,Africa,GIN,,,,,,,
2020-05-04,Guinea,Africa,GIN,,,,,,,
2020-05-05,Guinea,Africa,GIN,,,,,,,
2020-05-06,Guinea,Africa,GIN,,,,,,,
2020-05-07,Guinea,Africa,GIN,,,,,,,
2020-05-08,Guinea,Africa,GIN,,,,,,,
2020-05-09,Guinea,Africa,GIN,,,,,,,
2020-05-10,Guinea,Africa,GIN,,,,,,,
2020-05-11,Guinea,Africa,GIN,,,,,,,
2020-05-12,Guinea,Africa,GIN,,,,,,,
2020-05-13,Guinea,Africa,GIN,,,,,,,
2020-05-14,Guinea,Africa,GIN,,,,,,,
2020-05-15,Guinea,Africa,GIN,,,,,,,
2020-05-16,Guinea,Africa,GIN,,,,,,,
2020-05-17,Guinea,Africa,GIN,,,,,,,
2020-05-18,Guinea,Africa,GIN,,,,,,,
2020-05-19,Guinea,Africa,GIN,,,,,,,
2020-05-20,Guinea,Africa,GIN,,,,,,,
2020-05-21,Guinea,Africa,GIN,,,,,,,
2020-05-22,Guinea,Africa,GIN,,,,,,,
2020-05-23,Guinea,Africa,GIN,,,,,,,
2020-05-24,Guinea,Africa,GIN,,,,,,,
2020-05-25,Guinea,Africa,GIN,,,,,,,
2020-05-26,Guinea,Africa,GIN,,,,,,,
2020-05-27,Guinea,Africa,GIN,,,,,,,
2020-05-28,Guinea,Africa,GIN,,,,,,,
2020-05-29,Guinea,Africa,GIN,,,,,,,
2020-05-30,Guinea,Africa,GIN,,,,,,,
2020-05-31,Guinea,Africa,GIN,,,,,,,
2020-06-01,Guinea,Africa,GIN,,,,,,,
2020-06-02,Guinea,Africa,GIN,,,,,,,
2020-06-03,Guinea,Africa,GIN,,,,,,,
2020-06-04,Guinea,Africa,GIN,,,,,,,
2020-06-05,Guinea,Africa,GIN,,,,,,,
2020-06-06,Guinea,Africa,GIN,,,,,,,
2020-06-07,Guinea,Africa,GIN,,,,,,,
2020-06-08,Guinea,Africa,GIN,,,,,,,
2020-06-09,Guinea,Africa,GIN,,,,,,,
2020-06-10,Guinea,Africa,GIN,,,,,,,
2020-06-11,Guinea,Africa,GIN,,,,,,,
2020-06-12,Guinea,Africa,GIN,,,,,,,
2020-06-13,Guinea,Africa,GIN,,,,,,,
2020-06-14,Guinea,Africa,GIN,,,,,,,
2020-06-15,Guinea,Africa,GIN,,,,,,,
2020-06-16,Guinea,Africa,GIN,,,,,,,
2020-06-17,Guinea,Africa,GIN,,,,,,,
2020-06-18,Guinea,Africa,GIN,,,,,,,
2020-06-19,Guinea,Africa,GIN,,,,,,,
2020-06-20,Guinea,Africa,GIN,,,,,,,
2020-06-21,Guinea,Africa,GIN,,,,,,,
2020-06-22,Guinea,Africa,GIN,,,,,,,
2020-06-23,Guinea,Africa,GIN,,,,,,,
2020-06-24,Guinea,Africa,GIN,,,,,,,
2020-06-25,Guinea,Africa,GIN,,,,,,,
2020-06-26,Guinea,Africa,GIN,,,,,,,
2020-06-27,Guinea,Africa,GIN,,,,,,,
2020-06-28,Guinea,Africa,GIN,,,,,,,
2020-06-29,Guinea,Africa,GIN,,,,,,,
2020-06-30,Guinea,Africa,GIN,,,,,,,
2020-07-01,Guinea,Africa,GIN,,,,,,,
2020-07-02,Guinea,Africa,GIN,,,,,,,
2020-07-03,Guinea,Africa,GIN,,,,,,,
2020-07-04,Guinea,Africa,GIN,,,,,,,
2020-07-05,Guinea,Africa,GIN,,,,,,,
2020-07-06,Guinea,Africa,GIN,,,,,,,
2020-07-07,Guinea,Africa,GIN,,,,,,,
2020-07-08,Guinea,Africa,GIN,,,,,,,
2020-07-09,Guinea,Africa,GIN,,,,,,,
2020-07-10,Guinea,Africa,GIN,,,,,,,
2020-07-11,Guinea,Africa,GIN,,,,,,,
2020-07-12,Guinea,Africa,GIN,,,,,,,
2020-07-13,Guinea,Africa,GIN,,,,,,,
2020-07-14,Guinea,Africa,GIN,,,,,,,
2020-07-15,Guinea,Africa,GIN,,,,,,,
2020-07-16,Guinea,Africa,GIN,,,,,,,
2020-07-17,Guinea,Africa,GIN,,,,,,,
2020-07-18,Guinea,Africa,GIN,,,,,,,
2020-07-19,Guinea,Africa,GIN,,,,,,,
2020-07-20,Guinea,Africa,GIN,,,,,,,
2020-07-21,Guinea,Africa,GIN,,,,,,,
2020-07-22,Guinea,Africa,GIN,,,,,,,
2020-07-23,Guinea,Africa,GIN,,,,,,,
2020-07-24,Guinea,Africa,GIN,,,,,,,
2020-07-25,Guinea,Africa,GIN,,,,,,,
2020-07-26,Guinea,Africa,GIN,,,,,,,
2020-07-27,Guinea,Africa,GIN,,,,,,,
2020-07-28,Guinea,Africa,GIN,,,,,,,
2020-07-29,Guinea,Africa,GIN,,,,,,,
2020-07-30,Guinea,Africa,GIN,,,,,,,
2020-07-31,Guinea,Africa,GIN,,,,,,,
2020-08-01,Guinea,Africa,GIN,,,,,,,
2020-08-02,Guinea,Africa,GIN,,,,,,,
2020-08-03,Guinea,Africa,GIN,,,,,,,
2020-08-04,Guinea,Africa,GIN,,,,,,,
2020-08-05,Guinea,Africa,GIN,,,,,,,
2020-08-06,Guinea,Africa,GIN,,,,,,,
2020-08-07,Guinea,Africa,GIN,,,,,,,
2020-08-08,Guinea,Africa,GIN,,,,,,,
2020-08-09,Guinea,Africa,GIN,,,,,,,
2020-08-10,Guinea,Africa,GIN,,,,,,,
2020-08-11,Guinea,Africa,GIN,,,,,,,
2020-08-12,Guinea,Africa,GIN,,,,,,,
2020-08-13,Guinea,Africa,GIN,,,,,,,
2020-08-14,Guinea,Africa,GIN,,,,,,,
2020-08-15,Guinea,Africa,GIN,,,,,,,
2020-08-16,Guinea,Africa,GIN,,,,,,,
2020-08-17,Guinea,Africa,GIN,,,,,,,
2020-08-18,Guinea,Africa,GIN,,,,,,,
2020-08-19,Guinea,Africa,GIN,,,,,,,
2020-08-20,Guinea,Africa,GIN,,,,,,,
2020-08-21,Guinea,Africa,GIN,,,,,,,
2020-08-22,Guinea,Africa,GIN,,,,,,,
2020-08-23,Guinea,Africa,GIN,,,,,,,
2020-08-24,Guinea,Africa,GIN,,,,,,,
2020-08-25,Guinea,Africa,GIN,,,,,,,
2020-08-26,Guinea,Africa,GIN,,,,,,,
2020-08-27,Guinea,Africa,GIN,,,,,,,
2020-08-28,Guinea,Africa,GIN,,,,,,,
2020-08-29,Guinea,Africa,GIN,,,,,,,
2020-08-30,Guinea,Africa,GIN,,,,,,,
2020-08-31,Guinea,Africa,GIN,,,,,,,
2020-09-01,Guinea,Africa,GIN,,,,,,,
2020-09-02,Guinea,Africa,GIN,,,,,,,
2020-09-03,Guinea,Africa,GIN,,,,,,,
2020-09-04,Guinea,Africa,GIN,,,,,,,
2020-09-05,Guinea,Africa,GIN,,,,,,,
2020-09-06,Guinea,Africa,GIN,,,,,,,
2020-09-07,Guinea,Africa,GIN,,,,,,,
2020-09-08,Guinea,Africa,GIN,,,,,,,
2020-09-09,Guinea,Africa,GIN,,,,,,,
2020-09-10,Guinea,Africa,GIN,,,,,,,
2020-09-11,Guinea,Africa,GIN,,,,,,,
2020-09-12,Guinea,Africa,GIN,,,,,,,
2020-09-13,Guinea,Africa,GIN,,,,,,,
2020-09-14,Guinea,Africa,GIN,,,,,,,
2020-09-15,Guinea,Africa,GIN,,,,,,,
2020-09-16,Guinea,Africa,GIN,,,,,,,
2020-09-17,Guinea,Africa,GIN,,,,,,,
2020-09-18,Guinea,Africa,GIN,,,,,,,
2020-09-19,Guinea,Africa,GIN,,,,,,,
2020-09-20,Guinea,Africa,GIN,,,,,,,
2020-09-21,Guinea,Africa,GIN,,,,,,,
2020-09-22,Guinea,Africa,GIN,,,,,,,
2020-09-23,Guinea,Africa,GIN,,,,,,,
2020-09-24,Guinea,Africa,GIN,,,,,,,
2020-09-25,Guinea,Africa,GIN,,,,,,,
2020-09-26,Guinea,Africa,GIN,,,,,,,
2020-09-27,Guinea,Africa,GIN,,,,,,,
2020-09-28,Guinea,Africa,GIN,,,,,,,
2020-09-29,Guinea,Africa,GIN,,,,,,,
2020-09-30,Guinea,Africa,GIN,,,,,,,
2020-10-01,Guinea,Africa,GIN,,,,,,,
2020-10-02,Guinea,Africa,GIN,,,,,,,
2020-10-03,Guinea,Africa,GIN,,,,,,,
2020-10-04,Guinea,Africa,GIN,,,,,,,
2020-10-05,Guinea,Africa,GIN,,,,,,,
2020-10-06,Guinea,Africa,GIN,,,,,,,
2020-10-07,Guinea,Africa,GIN,,,,,,,
2020-10-08,Guinea,Africa,GIN,,,,,,,
2020-10-09,Guinea,Africa,GIN,,,,,,,
2020-10-10,Guinea,Africa,GIN,,,,,,,
2020-10-11,Guinea,Africa,GIN,,,,,,,
2020-10-12,Guinea,Africa,GIN,,,,,,,
2020-10-13,Guinea,Africa,GIN,,,,,,,
2020-10-14,Guinea,Africa,GIN,,,,,,,
2020-10-15,Guinea,Africa,GIN,,,,,,,
2020-10-16,Guinea,Africa,GIN,,,,,,,
2020-10-17,Guinea,Africa,GIN,,,,,,,
2020-10-18,Guinea,Africa,GIN,,,,,,,
2020-10-19,Guinea,Africa,GIN,,,,,,,
2020-10-20,Guinea,Africa,GIN,,,,,,,
2020-10-21,Guinea,Africa,GIN,,,,,,,
2020-10-22,Guinea,Africa,GIN,,,,,,,
2020-10-23,Guinea,Africa,GIN,,,,,,,
2020-10-24,Guinea,Africa,GIN,,,,,,,
2020-10-25,Guinea,Africa,GIN,,,,,,,
2020-10-26,Guinea,Africa,GIN,,,,,,,
2020-10-27,Guinea,Africa,GIN,,,,,,,
2020-10-28,Guinea,Africa,GIN,,,,,,,
2020-10-29,Guinea,Africa,GIN,,,,,,,
2020-10-30,Guinea,Africa,GIN,,,,,,,
2020-10-31,Guinea,Africa,GIN,,,,,,,
2020-11-01,Guinea,Africa,GIN,,,,,,,
2020-11-02,Guinea,Africa,GIN,,,,,,,
2020-11-03,Guinea,Africa,GIN,,,,,,,
2020-11-04,Guinea,Africa,GIN,,,,,,,
2020-11-05,Guinea,Africa,GIN,,,,,,,
2020-11-06,Guinea,Africa,GIN,,,,,,,
2020-11-07,Guinea,Africa,GIN,,,,,,,
