date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
1/23/20,Hong Kong,Asia,HKG,,,,,,,
1/24/20,Hong Kong,Asia,HKG,,,,,,,
1/25/20,Hong Kong,Asia,HKG,,,,,,,
1/26/20,Hong Kong,Asia,HKG,,,,,,,
1/27/20,Hong Kong,Asia,HKG,,,,,,,
1/28/20,Hong Kong,Asia,HKG,,,,,,,
1/29/20,Hong Kong,Asia,HKG,,,,,,,
1/30/20,Hong Kong,Asia,HKG,,,,,,,
1/31/20,Hong Kong,Asia,HKG,,,,,,,
2/1/20,Hong Kong,Asia,HKG,,,,,,,
2/2/20,Hong Kong,Asia,HKG,,,,,,,
2/3/20,Hong Kong,Asia,HKG,,,,,,,
2/4/20,Hong Kong,Asia,HKG,,,,,,,
2/5/20,Hong Kong,Asia,HKG,,,,,,,
2/6/20,Hong Kong,Asia,HKG,,,,,,,
2/7/20,Hong Kong,Asia,HKG,,,,,,,
2/8/20,Hong Kong,Asia,HKG,,,,,,,
2/9/20,Hong Kong,Asia,HKG,,,,,,,
2/10/20,Hong Kong,Asia,HKG,,,,,,,
2/11/20,Hong Kong,Asia,HKG,,,,,,,
2/12/20,Hong Kong,Asia,HKG,,,,,,,
2/13/20,Hong Kong,Asia,HKG,,,,,,,
2/14/20,Hong Kong,Asia,HKG,,,,,,,
2/15/20,Hong Kong,Asia,HKG,,,,,,,
2/16/20,Hong Kong,Asia,HKG,,,,,,,
2/17/20,Hong Kong,Asia,HKG,,,,,,,
2/18/20,Hong Kong,Asia,HKG,,,,,,,
2/19/20,Hong Kong,Asia,HKG,,,,,,,
2/20/20,Hong Kong,Asia,HKG,,,,,,,
2/21/20,Hong Kong,Asia,HKG,,,,,,,
2/22/20,Hong Kong,Asia,HKG,,,,,,,
2/23/20,Hong Kong,Asia,HKG,,,,,,,
2/24/20,Hong Kong,Asia,HKG,,,,,,,
2/25/20,Hong Kong,Asia,HKG,,,,,,,
2/26/20,Hong Kong,Asia,HKG,,,,,,,
2/27/20,Hong Kong,Asia,HKG,,,,,,,
2/28/20,Hong Kong,Asia,HKG,,,,,,,
2/29/20,Hong Kong,Asia,HKG,,,,,,,
3/1/20,Hong Kong,Asia,HKG,,,,,,,
3/2/20,Hong Kong,Asia,HKG,,,,,,,
3/3/20,Hong Kong,Asia,HKG,,,,,,,
3/4/20,Hong Kong,Asia,HKG,,,,,,,
3/5/20,Hong Kong,Asia,HKG,,,,,,,
3/6/20,Hong Kong,Asia,HKG,,,,,,,
3/7/20,Hong Kong,Asia,HKG,,,,,,,
3/8/20,Hong Kong,Asia,HKG,,,,,,,
3/9/20,Hong Kong,Asia,HKG,,,,,,,
3/10/20,Hong Kong,Asia,HKG,,,,,,,
3/11/20,Hong Kong,Asia,HKG,,,,,,,
3/12/20,Hong Kong,Asia,HKG,,,,,,,
3/13/20,Hong Kong,Asia,HKG,,,,,,,
3/14/20,Hong Kong,Asia,HKG,,,,,,,
3/15/20,Hong Kong,Asia,HKG,,,,,,,
3/16/20,Hong Kong,Asia,HKG,,,,,,,
3/17/20,Hong Kong,Asia,HKG,,,,,,,
3/18/20,Hong Kong,Asia,HKG,,,,,,,
3/19/20,Hong Kong,Asia,HKG,,,,,,,
3/20/20,Hong Kong,Asia,HKG,,,,,,,
3/21/20,Hong Kong,Asia,HKG,,,,,,,
3/22/20,Hong Kong,Asia,HKG,,,,,,,
3/23/20,Hong Kong,Asia,HKG,,,,,,,
3/24/20,Hong Kong,Asia,HKG,,,,,,,
3/25/20,Hong Kong,Asia,HKG,,,,,,,
3/26/20,Hong Kong,Asia,HKG,,,,,,,
3/27/20,Hong Kong,Asia,HKG,,,,,,,
3/28/20,Hong Kong,Asia,HKG,,,,,,,
3/29/20,Hong Kong,Asia,HKG,,,,,,,
3/30/20,Hong Kong,Asia,HKG,,,,,,,
3/31/20,Hong Kong,Asia,HKG,,,,,,,
4/1/20,Hong Kong,Asia,HKG,,,,,,,
4/2/20,Hong Kong,Asia,HKG,,,,,,,
4/3/20,Hong Kong,Asia,HKG,,,,,,,
4/4/20,Hong Kong,Asia,HKG,,,,,,,
4/5/20,Hong Kong,Asia,HKG,,,,,,,
4/6/20,Hong Kong,Asia,HKG,,,,,,,
4/7/20,Hong Kong,Asia,HKG,,,,,,,
4/8/20,Hong Kong,Asia,HKG,,,,,,,
4/9/20,Hong Kong,Asia,HKG,,,,,,,
4/10/20,Hong Kong,Asia,HKG,,,,,,,
4/11/20,Hong Kong,Asia,HKG,,,,,,,
4/12/20,Hong Kong,Asia,HKG,,,,,,,
4/13/20,Hong Kong,Asia,HKG,,,,,,,
4/14/20,Hong Kong,Asia,HKG,,,,,,,
4/15/20,Hong Kong,Asia,HKG,,,,,,,
4/16/20,Hong Kong,Asia,HKG,,,,,,,
4/17/20,Hong Kong,Asia,HKG,,,,,,,
4/18/20,Hong Kong,Asia,HKG,,,,,,,
4/19/20,Hong Kong,Asia,HKG,,,,,,,
4/20/20,Hong Kong,Asia,HKG,,,,,,,
4/21/20,Hong Kong,Asia,HKG,,,,,,,
4/22/20,Hong Kong,Asia,HKG,,,,,,,
4/23/20,Hong Kong,Asia,HKG,,,,,,,
4/24/20,Hong Kong,Asia,HKG,,,,,,,
4/25/20,Hong Kong,Asia,HKG,,,,,,,
4/26/20,Hong Kong,Asia,HKG,,,,,,,
4/27/20,Hong Kong,Asia,HKG,,,,,,,
4/28/20,Hong Kong,Asia,HKG,,,,,,,
4/29/20,Hong Kong,Asia,HKG,,,,,,,
4/30/20,Hong Kong,Asia,HKG,,,,,,,
5/1/20,Hong Kong,Asia,HKG,,,,,,,
5/2/20,Hong Kong,Asia,HKG,,,,,,,
5/3/20,Hong Kong,Asia,HKG,,,,,,,
5/4/20,Hong Kong,Asia,HKG,,,,,,,
5/5/20,Hong Kong,Asia,HKG,,,,,,,
5/6/20,Hong Kong,Asia,HKG,,,,,,,
5/7/20,Hong Kong,Asia,HKG,,,,,,,
5/8/20,Hong Kong,Asia,HKG,,,,,,,
5/9/20,Hong Kong,Asia,HKG,,,,,,,
5/10/20,Hong Kong,Asia,HKG,,,,,,,
5/11/20,Hong Kong,Asia,HKG,,,,,,,
5/12/20,Hong Kong,Asia,HKG,,,,,,,
5/13/20,Hong Kong,Asia,HKG,,,,,,,
5/14/20,Hong Kong,Asia,HKG,,,,,,,
5/15/20,Hong Kong,Asia,HKG,,,,,,,
5/16/20,Hong Kong,Asia,HKG,,,,,,,
