date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-03,Hungary,Europe,HUN,,,,,,,
2020-03-04,Hungary,Europe,HUN,,,,,,,
2020-03-05,Hungary,Europe,HUN,,,,,,,
2020-03-06,Hungary,Europe,HUN,,,,,,,
2020-03-07,Hungary,Europe,HUN,,,,,,,
2020-03-08,Hungary,Europe,HUN,,,,,,,
2020-03-09,Hungary,Europe,HUN,,,,,,,
2020-03-10,Hungary,Europe,HUN,,,,,,,
2020-03-11,Hungary,Europe,HUN,,,,,,,
2020-03-12,Hungary,Europe,HUN,,,,,,,
2020-03-13,Hungary,Europe,HUN,,,,,,,
2020-03-14,Hungary,Europe,HUN,,,,,,,
2020-03-15,Hungary,Europe,HUN,,,,,,,
2020-03-16,Hungary,Europe,HUN,,,,,,,
2020-03-17,Hungary,Europe,HUN,,,,,,,
2020-03-18,Hungary,Europe,HUN,,,,,,,
2020-03-19,Hungary,Europe,HUN,,,,,,,
2020-03-20,Hungary,Europe,HUN,,,,,,,
2020-03-21,Hungary,Europe,HUN,,,,,,,
2020-03-22,Hungary,Europe,HUN,,,,,,,
2020-03-23,Hungary,Europe,HUN,,,,,,,
2020-03-24,Hungary,Europe,HUN,,,,,,,
2020-03-25,Hungary,Europe,HUN,,,,,,,
2020-03-26,Hungary,Europe,HUN,,,,,,,
2020-03-27,Hungary,Europe,HUN,,,,,,,
2020-03-28,Hungary,Europe,HUN,,,,,,,
2020-03-29,Hungary,Europe,HUN,,,,,,,
2020-03-30,Hungary,Europe,HUN,,,,,,,
2020-03-31,Hungary,Europe,HUN,,,,,,,
2020-04-01,Hungary,Europe,HUN,,,,,,,
2020-04-02,Hungary,Europe,HUN,,,,,,,
2020-04-03,Hungary,Europe,HUN,,,,,,,
2020-04-04,Hungary,Europe,HUN,,,,,,,
2020-04-05,Hungary,Europe,HUN,,,,,,,
2020-04-06,Hungary,Europe,HUN,,,,,,,
2020-04-07,Hungary,Europe,HUN,,,,,,,
2020-04-08,Hungary,Europe,HUN,,,,,,,
2020-04-09,Hungary,Europe,HUN,,,,,,,
2020-04-10,Hungary,Europe,HUN,,,,,,,
2020-04-11,Hungary,Europe,HUN,,,,,,,
2020-04-12,Hungary,Europe,HUN,,,,,,,
2020-04-13,Hungary,Europe,HUN,,,,,,,
2020-04-14,Hungary,Europe,HUN,,,,,,,
2020-04-15,Hungary,Europe,HUN,,,,,,,
2020-04-16,Hungary,Europe,HUN,,,,,,,
2020-04-17,Hungary,Europe,HUN,,,,,,,
2020-04-18,Hungary,Europe,HUN,,,,,,,
2020-04-19,Hungary,Europe,HUN,,,,,,,
2020-04-20,Hungary,Europe,HUN,,,,,,,
2020-04-21,Hungary,Europe,HUN,,,,,,,
2020-04-22,Hungary,Europe,HUN,,,,,,,
2020-04-23,Hungary,Europe,HUN,,,,,,,
2020-04-24,Hungary,Europe,HUN,,,,,,,
2020-04-25,Hungary,Europe,HUN,,,,,,,
2020-04-26,Hungary,Europe,HUN,,,,,,,
2020-04-27,Hungary,Europe,HUN,,,,,,,
2020-04-28,Hungary,Europe,HUN,,,,,,,
2020-04-29,Hungary,Europe,HUN,,,,,,,
2020-04-30,Hungary,Europe,HUN,,,,,,,
2020-05-01,Hungary,Europe,HUN,,,,,,,
2020-05-02,Hungary,Europe,HUN,,,,,,,
2020-05-03,Hungary,Europe,HUN,,,,,,,
2020-05-04,Hungary,Europe,HUN,,,,,,,
2020-05-05,Hungary,Europe,HUN,,,,,,,
2020-05-06,Hungary,Europe,HUN,,,,,,,
2020-05-07,Hungary,Europe,HUN,,,,,,,
2020-05-08,Hungary,Europe,HUN,,,,,,,
2020-05-09,Hungary,Europe,HUN,,,,,,,
2020-05-10,Hungary,Europe,HUN,,,,,,,
2020-05-11,Hungary,Europe,HUN,,,,,,,
2020-05-12,Hungary,Europe,HUN,,,,,,,
2020-05-13,Hungary,Europe,HUN,,,,,,,
2020-05-14,Hungary,Europe,HUN,,,,,,,
2020-05-15,Hungary,Europe,HUN,,,,,,,
2020-05-16,Hungary,Europe,HUN,,,,,,,
2020-05-17,Hungary,Europe,HUN,,,,,,,
2020-05-18,Hungary,Europe,HUN,,,,,,,
2020-05-19,Hungary,Europe,HUN,,,,,,,
2020-05-20,Hungary,Europe,HUN,,,,,,,
2020-05-21,Hungary,Europe,HUN,,,,,,,
2020-05-22,Hungary,Europe,HUN,,,,,,,
2020-05-23,Hungary,Europe,HUN,,,,,,,
2020-05-24,Hungary,Europe,HUN,,,,,,,
2020-05-25,Hungary,Europe,HUN,,,,,,,
2020-05-26,Hungary,Europe,HUN,,,,,,,
2020-05-27,Hungary,Europe,HUN,,,,,,,
2020-05-28,Hungary,Europe,HUN,,,,,,,
2020-05-29,Hungary,Europe,HUN,,,,,,,
2020-05-30,Hungary,Europe,HUN,,,,,,,
2020-05-31,Hungary,Europe,HUN,,,,,,,
2020-06-01,Hungary,Europe,HUN,,,,,,,
2020-06-02,Hungary,Europe,HUN,,,,,,,
2020-06-03,Hungary,Europe,HUN,,,,,,,
