date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2/27/20,Iceland,Europe,ISL,,,,,,,
2/28/20,Iceland,Europe,ISL,,,,,,,
2/29/20,Iceland,Europe,ISL,,,,,,,
3/1/20,Iceland,Europe,ISL,,,,,,,
3/2/20,Iceland,Europe,ISL,,,,,,,
3/3/20,Iceland,Europe,ISL,,,,,,,
3/4/20,Iceland,Europe,ISL,,,,,,,
3/5/20,Iceland,Europe,ISL,,,,,,,
3/6/20,Iceland,Europe,ISL,,,,,,,
3/7/20,Iceland,Europe,ISL,,,,,,,
3/8/20,Iceland,Europe,ISL,,,,,,,
3/9/20,Iceland,Europe,ISL,,,,,,,
3/10/20,Iceland,Europe,ISL,,,,,,,
3/11/20,Iceland,Europe,ISL,,,,,,,
3/12/20,Iceland,Europe,ISL,,,,,,,
3/13/20,Iceland,Europe,ISL,,,,,,,
3/14/20,Iceland,Europe,ISL,,,,,,,
3/15/20,Iceland,Europe,ISL,,,,,,,
3/16/20,Iceland,Europe,ISL,,,,,,,
3/17/20,Iceland,Europe,ISL,,,,,,,
3/18/20,Iceland,Europe,ISL,,,,,,,
3/19/20,Iceland,Europe,ISL,,,,,,,
3/20/20,Iceland,Europe,ISL,,,,,,,
3/21/20,Iceland,Europe,ISL,,,,,,,
3/22/20,Iceland,Europe,ISL,,,,,,,
3/23/20,Iceland,Europe,ISL,,,,,,,
3/24/20,Iceland,Europe,ISL,,,,,,,
3/25/20,Iceland,Europe,ISL,,,,,,,
3/26/20,Iceland,Europe,ISL,,,,,,,
3/27/20,Iceland,Europe,ISL,,,,,,,
3/28/20,Iceland,Europe,ISL,,,,,,,
3/29/20,Iceland,Europe,ISL,,,,,,,
3/30/20,Iceland,Europe,ISL,,,,,,,
3/31/20,Iceland,Europe,ISL,,,,,,,
4/1/20,Iceland,Europe,ISL,,,,,,,
4/2/20,Iceland,Europe,ISL,,,,,,,
4/3/20,Iceland,Europe,ISL,,,,,,,
4/4/20,Iceland,Europe,ISL,,,,,,,
4/5/20,Iceland,Europe,ISL,,,,,,,
4/6/20,Iceland,Europe,ISL,,,,,,,
4/7/20,Iceland,Europe,ISL,,,,,,,
4/8/20,Iceland,Europe,ISL,,,,,,,
4/9/20,Iceland,Europe,ISL,,,,,,,
4/10/20,Iceland,Europe,ISL,,,,,,,
4/11/20,Iceland,Europe,ISL,,,,,,,
4/12/20,Iceland,Europe,ISL,,,,,,,
4/13/20,Iceland,Europe,ISL,,,,,,,
4/14/20,Iceland,Europe,ISL,,,,,,,
