date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-02,Indonesia,Asia,IDN,,,,,,,
2020-03-03,Indonesia,Asia,IDN,,,,,,,
2020-03-04,Indonesia,Asia,IDN,,,,,,,
2020-03-05,Indonesia,Asia,IDN,,,,,,,
2020-03-06,Indonesia,Asia,IDN,,,,,,,
2020-03-07,Indonesia,Asia,IDN,,,,,,,
2020-03-08,Indonesia,Asia,IDN,,,,,,,
2020-03-09,Indonesia,Asia,IDN,,,,,,,
2020-03-10,Indonesia,Asia,IDN,,,,,,,
2020-03-11,Indonesia,Asia,IDN,,,,,,,
2020-03-12,Indonesia,Asia,IDN,,,,,,,
2020-03-13,Indonesia,Asia,IDN,,,,,,,
2020-03-14,Indonesia,Asia,IDN,,,,,,,
2020-03-15,Indonesia,Asia,IDN,,,,,,,
2020-03-16,Indonesia,Asia,IDN,,,,,,,
2020-03-17,Indonesia,Asia,IDN,,,,,,,
2020-03-18,Indonesia,Asia,IDN,,,,,,,
2020-03-19,Indonesia,Asia,IDN,,,,,,,
2020-03-20,Indonesia,Asia,IDN,,,,,,,
2020-03-21,Indonesia,Asia,IDN,,,,,,,
2020-03-22,Indonesia,Asia,IDN,,,,,,,
2020-03-23,Indonesia,Asia,IDN,,,,,,,
2020-03-24,Indonesia,Asia,IDN,,,,,,,
2020-03-25,Indonesia,Asia,IDN,,,,,,,
2020-03-26,Indonesia,Asia,IDN,,,,,,,
2020-03-27,Indonesia,Asia,IDN,,,,,,,
2020-03-28,Indonesia,Asia,IDN,,,,,,,
2020-03-29,Indonesia,Asia,IDN,,,,,,,
2020-03-30,Indonesia,Asia,IDN,,,,,,,
2020-03-31,Indonesia,Asia,IDN,,,,,,,
2020-04-01,Indonesia,Asia,IDN,,,,,,,
2020-04-02,Indonesia,Asia,IDN,,,,,,,
2020-04-03,Indonesia,Asia,IDN,,,,,,,
2020-04-04,Indonesia,Asia,IDN,,,,,,,
2020-04-05,Indonesia,Asia,IDN,,,,,,,
2020-04-06,Indonesia,Asia,IDN,,,,,,,
2020-04-07,Indonesia,Asia,IDN,,,,,,,
2020-04-08,Indonesia,Asia,IDN,,,,,,,
2020-04-09,Indonesia,Asia,IDN,,,,,,,
2020-04-10,Indonesia,Asia,IDN,,,,,,,
2020-04-11,Indonesia,Asia,IDN,,,,,,,
2020-04-12,Indonesia,Asia,IDN,,,,,,,
2020-04-13,Indonesia,Asia,IDN,,,,,,,
2020-04-14,Indonesia,Asia,IDN,,,,,,,
2020-04-15,Indonesia,Asia,IDN,,,,,,,
2020-04-16,Indonesia,Asia,IDN,,,,,,,
2020-04-17,Indonesia,Asia,IDN,,,,,,,
2020-04-18,Indonesia,Asia,IDN,,,,,,,
2020-04-19,Indonesia,Asia,IDN,,,,,,,
2020-04-20,Indonesia,Asia,IDN,,,,,,,
2020-04-21,Indonesia,Asia,IDN,,,,,,,
2020-04-22,Indonesia,Asia,IDN,,,,,,,
2020-04-23,Indonesia,Asia,IDN,,,,,,,
2020-04-24,Indonesia,Asia,IDN,,,,,,,
2020-04-25,Indonesia,Asia,IDN,,,,,,,
2020-04-26,Indonesia,Asia,IDN,,,,,,,
2020-04-27,Indonesia,Asia,IDN,,,,,,,
2020-04-28,Indonesia,Asia,IDN,,,,,,,
2020-04-29,Indonesia,Asia,IDN,,,,,,,
2020-04-30,Indonesia,Asia,IDN,,,,,,,
2020-05-01,Indonesia,Asia,IDN,,,,,,,
2020-05-02,Indonesia,Asia,IDN,,,,,,,
2020-05-03,Indonesia,Asia,IDN,,,,,,,
2020-05-04,Indonesia,Asia,IDN,,,,,,,
2020-05-05,Indonesia,Asia,IDN,,,,,,,
2020-05-06,Indonesia,Asia,IDN,,,,,,,
2020-05-07,Indonesia,Asia,IDN,,,,,,,
2020-05-08,Indonesia,Asia,IDN,,,,,,,
2020-05-09,Indonesia,Asia,IDN,,,,,,,
2020-05-10,Indonesia,Asia,IDN,,,,,,,
2020-05-11,Indonesia,Asia,IDN,,,,,,,
2020-05-12,Indonesia,Asia,IDN,,,,,,,
2020-05-13,Indonesia,Asia,IDN,,,,,,,
2020-05-14,Indonesia,Asia,IDN,,,,,,,
2020-05-15,Indonesia,Asia,IDN,,,,,,,
2020-05-16,Indonesia,Asia,IDN,,,,,,,
2020-05-17,Indonesia,Asia,IDN,,,,,,,
2020-05-18,Indonesia,Asia,IDN,,,,,,,
2020-05-19,Indonesia,Asia,IDN,,,,,,,
2020-05-20,Indonesia,Asia,IDN,,,,,,,
2020-05-21,Indonesia,Asia,IDN,,,,,,,
2020-05-22,Indonesia,Asia,IDN,,,,,,,
2020-05-23,Indonesia,Asia,IDN,,,,,,,
2020-05-24,Indonesia,Asia,IDN,,,,,,,
2020-05-25,Indonesia,Asia,IDN,,,,,,,
2020-05-26,Indonesia,Asia,IDN,,,,,,,
2020-05-27,Indonesia,Asia,IDN,,,,,,,
2020-05-28,Indonesia,Asia,IDN,,,,,,,
2020-05-29,Indonesia,Asia,IDN,,,,,,,
2020-05-30,Indonesia,Asia,IDN,,,,,,,
2020-05-31,Indonesia,Asia,IDN,,,,,,,
2020-06-01,Indonesia,Asia,IDN,,,,,,,
2020-06-02,Indonesia,Asia,IDN,,,,,,,
2020-06-03,Indonesia,Asia,IDN,,,,,,,
2020-06-04,Indonesia,Asia,IDN,,,,,,,
2020-06-05,Indonesia,Asia,IDN,,,,,,,
2020-06-06,Indonesia,Asia,IDN,,,,,,,
2020-06-07,Indonesia,Asia,IDN,,,,,,,
2020-06-08,Indonesia,Asia,IDN,,,,,,,
2020-06-09,Indonesia,Asia,IDN,,,,,,,
2020-06-10,Indonesia,Asia,IDN,,,,,,,
2020-06-11,Indonesia,Asia,IDN,,,,,,,
2020-06-12,Indonesia,Asia,IDN,,,,,,,
2020-06-13,Indonesia,Asia,IDN,,,,,,,
2020-06-14,Indonesia,Asia,IDN,,,,,,,
2020-06-15,Indonesia,Asia,IDN,,,,,,,
2020-06-16,Indonesia,Asia,IDN,,,,,,,
2020-06-17,Indonesia,Asia,IDN,,,,,,,
2020-06-18,Indonesia,Asia,IDN,,,,,,,
2020-06-19,Indonesia,Asia,IDN,,,,,,,
2020-06-20,Indonesia,Asia,IDN,,,,,,,
2020-06-21,Indonesia,Asia,IDN,,,,,,,
2020-06-22,Indonesia,Asia,IDN,,,,,,,
2020-06-23,Indonesia,Asia,IDN,,,,,,,
2020-06-24,Indonesia,Asia,IDN,,,,,,,
2020-06-25,Indonesia,Asia,IDN,,,,,,,
2020-06-26,Indonesia,Asia,IDN,,,,,,,
2020-06-27,Indonesia,Asia,IDN,,,,,,,
2020-06-28,Indonesia,Asia,IDN,,,,,,,
2020-06-29,Indonesia,Asia,IDN,,,,,,,
2020-06-30,Indonesia,Asia,IDN,,,,,,,
2020-07-01,Indonesia,Asia,IDN,,,,,,,
2020-07-02,Indonesia,Asia,IDN,,,,,,,
2020-07-03,Indonesia,Asia,IDN,,,,,,,
2020-07-04,Indonesia,Asia,IDN,,,,,,,
2020-07-05,Indonesia,Asia,IDN,,,,,,,
2020-07-06,Indonesia,Asia,IDN,,,,,,,
2020-07-07,Indonesia,Asia,IDN,,,,,,,
2020-07-08,Indonesia,Asia,IDN,,,,,,,
2020-07-09,Indonesia,Asia,IDN,,,,,,,
2020-07-10,Indonesia,Asia,IDN,,,,,,,
2020-07-11,Indonesia,Asia,IDN,,,,,,,
2020-07-12,Indonesia,Asia,IDN,,,,,,,
2020-07-13,Indonesia,Asia,IDN,,,,,,,
2020-07-14,Indonesia,Asia,IDN,,,,,,,
2020-07-15,Indonesia,Asia,IDN,,,,,,,
2020-07-16,Indonesia,Asia,IDN,,,,,,,
2020-07-17,Indonesia,Asia,IDN,,,,,,,
2020-07-18,Indonesia,Asia,IDN,,,,,,,
2020-07-19,Indonesia,Asia,IDN,,,,,,,
2020-07-20,Indonesia,Asia,IDN,,,,,,,
2020-07-21,Indonesia,Asia,IDN,,,,,,,
2020-07-22,Indonesia,Asia,IDN,,,,,,,
2020-07-23,Indonesia,Asia,IDN,,,,,,,
2020-07-24,Indonesia,Asia,IDN,,,,,,,
2020-07-25,Indonesia,Asia,IDN,,,,,,,
2020-07-26,Indonesia,Asia,IDN,,,,,,,
2020-07-27,Indonesia,Asia,IDN,,,,,,,
2020-07-28,Indonesia,Asia,IDN,,,,,,,
2020-07-29,Indonesia,Asia,IDN,,,,,,,
2020-07-30,Indonesia,Asia,IDN,,,,,,,
2020-07-31,Indonesia,Asia,IDN,,,,,,,
2020-08-01,Indonesia,Asia,IDN,,,,,,,
2020-08-02,Indonesia,Asia,IDN,,,,,,,
2020-08-03,Indonesia,Asia,IDN,,,,,,,
2020-08-04,Indonesia,Asia,IDN,,,,,,,
2020-08-05,Indonesia,Asia,IDN,,,,,,,
2020-08-06,Indonesia,Asia,IDN,,,,,,,
2020-08-07,Indonesia,Asia,IDN,,,,,,,
2020-08-08,Indonesia,Asia,IDN,,,,,,,
2020-08-09,Indonesia,Asia,IDN,,,,,,,
2020-08-10,Indonesia,Asia,IDN,,,,,,,
2020-08-11,Indonesia,Asia,IDN,,,,,,,
2020-08-12,Indonesia,Asia,IDN,,,,,,,
2020-08-13,Indonesia,Asia,IDN,,,,,,,
2020-08-14,Indonesia,Asia,IDN,,,,,,,
2020-08-15,Indonesia,Asia,IDN,,,,,,,
2020-08-16,Indonesia,Asia,IDN,,,,,,,
2020-08-17,Indonesia,Asia,IDN,,,,,,,
2020-08-18,Indonesia,Asia,IDN,,,,,,,
2020-08-19,Indonesia,Asia,IDN,,,,,,,
2020-08-20,Indonesia,Asia,IDN,,,,,,,
2020-08-21,Indonesia,Asia,IDN,,,,,,,
2020-08-22,Indonesia,Asia,IDN,,,,,,,
2020-08-23,Indonesia,Asia,IDN,,,,,,,
2020-08-24,Indonesia,Asia,IDN,,,,,,,
2020-08-25,Indonesia,Asia,IDN,,,,,,,
2020-08-26,Indonesia,Asia,IDN,,,,,,,
2020-08-27,Indonesia,Asia,IDN,,,,,,,
2020-08-28,Indonesia,Asia,IDN,,,,,,,
2020-08-29,Indonesia,Asia,IDN,,,,,,,
2020-08-30,Indonesia,Asia,IDN,,,,,,,
2020-08-31,Indonesia,Asia,IDN,,,,,,,
2020-09-01,Indonesia,Asia,IDN,,,,,,,
2020-09-02,Indonesia,Asia,IDN,,,,,,,
2020-09-03,Indonesia,Asia,IDN,,,,,,,
2020-09-04,Indonesia,Asia,IDN,,,,,,,
2020-09-05,Indonesia,Asia,IDN,,,,,,,
2020-09-06,Indonesia,Asia,IDN,,,,,,,
2020-09-07,Indonesia,Asia,IDN,,,,,,,
2020-09-08,Indonesia,Asia,IDN,,,,,,,
2020-09-09,Indonesia,Asia,IDN,,,,,,,
2020-09-10,Indonesia,Asia,IDN,,,,,,,
2020-09-11,Indonesia,Asia,IDN,,,,,,,
2020-09-12,Indonesia,Asia,IDN,,,,,,,
2020-09-13,Indonesia,Asia,IDN,,,,,,,
2020-09-14,Indonesia,Asia,IDN,,,,,,,
2020-09-15,Indonesia,Asia,IDN,,,,,,,
2020-09-16,Indonesia,Asia,IDN,,,,,,,
2020-09-17,Indonesia,Asia,IDN,,,,,,,
2020-09-18,Indonesia,Asia,IDN,,,,,,,
2020-09-19,Indonesia,Asia,IDN,,,,,,,
2020-09-20,Indonesia,Asia,IDN,,,,,,,
2020-09-21,Indonesia,Asia,IDN,,,,,,,
2020-09-22,Indonesia,Asia,IDN,,,,,,,
2020-09-23,Indonesia,Asia,IDN,,,,,,,
2020-09-24,Indonesia,Asia,IDN,,,,,,,
2020-09-25,Indonesia,Asia,IDN,,,,,,,
2020-09-26,Indonesia,Asia,IDN,,,,,,,
2020-09-27,Indonesia,Asia,IDN,,,,,,,
2020-09-28,Indonesia,Asia,IDN,,,,,,,
2020-09-29,Indonesia,Asia,IDN,,,,,,,
2020-09-30,Indonesia,Asia,IDN,,,,,,,
2020-10-01,Indonesia,Asia,IDN,,,,,,,
2020-10-02,Indonesia,Asia,IDN,,,,,,,
2020-10-03,Indonesia,Asia,IDN,,,,,,,
2020-10-04,Indonesia,Asia,IDN,,,,,,,
2020-10-05,Indonesia,Asia,IDN,,,,,,,
2020-10-06,Indonesia,Asia,IDN,,,,,,,
2020-10-07,Indonesia,Asia,IDN,,,,,,,
2020-10-08,Indonesia,Asia,IDN,,,,,,,
2020-10-09,Indonesia,Asia,IDN,,,,,,,
2020-10-10,Indonesia,Asia,IDN,,,,,,,
2020-10-11,Indonesia,Asia,IDN,,,,,,,
2020-10-12,Indonesia,Asia,IDN,,,,,,,
2020-10-13,Indonesia,Asia,IDN,,,,,,,
2020-10-14,Indonesia,Asia,IDN,,,,,,,
2020-10-15,Indonesia,Asia,IDN,,,,,,,
2020-10-16,Indonesia,Asia,IDN,,,,,,,
2020-10-17,Indonesia,Asia,IDN,,,,,,,
2020-10-18,Indonesia,Asia,IDN,,,,,,,
2020-10-19,Indonesia,Asia,IDN,,,,,,,
2020-10-20,Indonesia,Asia,IDN,,,,,,,
2020-10-21,Indonesia,Asia,IDN,,,,,,,
2020-10-22,Indonesia,Asia,IDN,,,,,,,
2020-10-23,Indonesia,Asia,IDN,,,,,,,
2020-10-24,Indonesia,Asia,IDN,,,,,,,
2020-10-25,Indonesia,Asia,IDN,,,,,,,
2020-10-26,Indonesia,Asia,IDN,,,,,,,
2020-10-27,Indonesia,Asia,IDN,,,,,,,
2020-10-28,Indonesia,Asia,IDN,,,,,,,
2020-10-29,Indonesia,Asia,IDN,,,,,,,
2020-10-30,Indonesia,Asia,IDN,,,,,,,
2020-10-31,Indonesia,Asia,IDN,,,,,,,
2020-11-01,Indonesia,Asia,IDN,,,,,,,
2020-11-02,Indonesia,Asia,IDN,,,,,,,
2020-11-03,Indonesia,Asia,IDN,,,,,,,
2020-11-04,Indonesia,Asia,IDN,,,,,,,
2020-11-05,Indonesia,Asia,IDN,,,,,,,
2020-11-06,Indonesia,Asia,IDN,,,,,,,
2020-11-07,Indonesia,Asia,IDN,,,,,,,
2020-11-08,Indonesia,Asia,IDN,,,,,,,
2020-11-09,Indonesia,Asia,IDN,,,,,,,
2020-11-10,Indonesia,Asia,IDN,,,,,,,
2020-11-11,Indonesia,Asia,IDN,,,,,,,
2020-11-12,Indonesia,Asia,IDN,,,,,,,
2020-11-13,Indonesia,Asia,IDN,,,,,,,
2020-11-14,Indonesia,Asia,IDN,,,,,,,
2020-11-15,Indonesia,Asia,IDN,,,,,,,
2020-11-16,Indonesia,Asia,IDN,,,,,,,
2020-11-17,Indonesia,Asia,IDN,,,,,,,
2020-11-18,Indonesia,Asia,IDN,,,,,,,
2020-11-19,Indonesia,Asia,IDN,,,,,,,
2020-11-20,Indonesia,Asia,IDN,,,,,,,
2020-11-21,Indonesia,Asia,IDN,,,,,,,
2020-11-22,Indonesia,Asia,IDN,,,,,,,
2020-11-23,Indonesia,Asia,IDN,,,,,,,
2020-11-24,Indonesia,Asia,IDN,,,,,,,
2020-11-25,Indonesia,Asia,IDN,,,,,,,
2020-11-26,Indonesia,Asia,IDN,,,,,,,
2020-11-27,Indonesia,Asia,IDN,,,,,,,
2020-11-28,Indonesia,Asia,IDN,,,,,,,
2020-11-29,Indonesia,Asia,IDN,,,,,,,
2020-11-30,Indonesia,Asia,IDN,,,,,,,
2020-12-01,Indonesia,Asia,IDN,,,,,,,
2020-12-02,Indonesia,Asia,IDN,,,,,,,
2020-12-03,Indonesia,Asia,IDN,,,,,,,
2020-12-04,Indonesia,Asia,IDN,,,,,,,
2020-12-05,Indonesia,Asia,IDN,,,,,,,
2020-12-06,Indonesia,Asia,IDN,,,,,,,
2020-12-07,Indonesia,Asia,IDN,,,,,,,
2020-12-08,Indonesia,Asia,IDN,,,,,,,
2020-12-09,Indonesia,Asia,IDN,,,,,,,
2020-12-10,Indonesia,Asia,IDN,,,,,,,
2020-12-11,Indonesia,Asia,IDN,,,,,,,
2020-12-12,Indonesia,Asia,IDN,,,,,,,
2020-12-13,Indonesia,Asia,IDN,,,,,,,
2020-12-14,Indonesia,Asia,IDN,,,,,,,
2020-12-15,Indonesia,Asia,IDN,,,,,,,
2020-12-16,Indonesia,Asia,IDN,,,,,,,
2020-12-17,Indonesia,Asia,IDN,,,,,,,
2020-12-18,Indonesia,Asia,IDN,,,,,,,
2020-12-19,Indonesia,Asia,IDN,,,,,,,
2020-12-20,Indonesia,Asia,IDN,,,,,,,
2020-12-21,Indonesia,Asia,IDN,,,,,,,
2020-12-22,Indonesia,Asia,IDN,,,,,,,
2020-12-23,Indonesia,Asia,IDN,,,,,,,
2020-12-24,Indonesia,Asia,IDN,,,,,,,
2020-12-25,Indonesia,Asia,IDN,,,,,,,
2020-12-26,Indonesia,Asia,IDN,,,,,,,
2020-12-27,Indonesia,Asia,IDN,,,,,,,
2020-12-28,Indonesia,Asia,IDN,,,,,,,
2020-12-29,Indonesia,Asia,IDN,,,,,,,
2020-12-30,Indonesia,Asia,IDN,,,,,,,
2020-12-31,Indonesia,Asia,IDN,,,,,,,
2021-01-01,Indonesia,Asia,IDN,,,,,,,
2021-01-02,Indonesia,Asia,IDN,,,,,,,
2021-01-03,Indonesia,Asia,IDN,,,,,,,
2021-01-04,Indonesia,Asia,IDN,,,,,,,
2021-01-05,Indonesia,Asia,IDN,,,,,,,
2021-01-06,Indonesia,Asia,IDN,,,,,,,
2021-01-07,Indonesia,Asia,IDN,,,,,,,
2021-01-08,Indonesia,Asia,IDN,,,,,,,
2021-01-09,Indonesia,Asia,IDN,,,,,,,
2021-01-10,Indonesia,Asia,IDN,,,,,,,
2021-01-11,Indonesia,Asia,IDN,,,,,,,
2021-01-12,Indonesia,Asia,IDN,0.0,0.0,,,0.0,0.0,
2021-01-13,Indonesia,Asia,IDN,,,,,,,
2021-01-14,Indonesia,Asia,IDN,,,,,,,
2021-01-15,Indonesia,Asia,IDN,,,,,,,
2021-01-16,Indonesia,Asia,IDN,,,,,,,
2021-01-17,Indonesia,Asia,IDN,,,,,,,
2021-01-18,Indonesia,Asia,IDN,,,,,,,
2021-01-19,Indonesia,Asia,IDN,,,,,,,
2021-01-20,Indonesia,Asia,IDN,,,,,,,
2021-01-21,Indonesia,Asia,IDN,,,,,,,
2021-01-22,Indonesia,Asia,IDN,132000.0,132000.0,,,0.05,0.05,
2021-01-23,Indonesia,Asia,IDN,,,,,,,
2021-01-24,Indonesia,Asia,IDN,149242.0,149242.0,,,0.05,0.05,
2021-01-25,Indonesia,Asia,IDN,161959.0,161959.0,,12717.0,0.06,0.06,
2021-01-26,Indonesia,Asia,IDN,245685.0,245685.0,,83726.0,0.09,0.09,
2021-01-27,Indonesia,Asia,IDN,308003.0,308003.0,,62318.0,0.11,0.11,
2021-01-28,Indonesia,Asia,IDN,373786.0,368318.0,5468.0,65783.0,0.14,0.13,0.0
