date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-19,Iran,Asia,IRN,,,,,,,
2020-02-20,Iran,Asia,IRN,,,,,,,
2020-02-21,Iran,Asia,IRN,,,,,,,
2020-02-22,Iran,Asia,IRN,,,,,,,
2020-02-23,Iran,Asia,IRN,,,,,,,
2020-02-24,Iran,Asia,IRN,,,,,,,
2020-02-25,Iran,Asia,IRN,,,,,,,
2020-02-26,Iran,Asia,IRN,,,,,,,
2020-02-27,Iran,Asia,IRN,,,,,,,
2020-02-28,Iran,Asia,IRN,,,,,,,
2020-02-29,Iran,Asia,IRN,,,,,,,
2020-03-01,Iran,Asia,IRN,,,,,,,
2020-03-02,Iran,Asia,IRN,,,,,,,
2020-03-03,Iran,Asia,IRN,,,,,,,
2020-03-04,Iran,Asia,IRN,,,,,,,
2020-03-05,Iran,Asia,IRN,,,,,,,
2020-03-06,Iran,Asia,IRN,,,,,,,
2020-03-07,Iran,Asia,IRN,,,,,,,
2020-03-08,Iran,Asia,IRN,,,,,,,
2020-03-09,Iran,Asia,IRN,,,,,,,
2020-03-10,Iran,Asia,IRN,,,,,,,
2020-03-11,Iran,Asia,IRN,,,,,,,
2020-03-12,Iran,Asia,IRN,,,,,,,
2020-03-13,Iran,Asia,IRN,,,,,,,
2020-03-14,Iran,Asia,IRN,,,,,,,
2020-03-15,Iran,Asia,IRN,,,,,,,
2020-03-16,Iran,Asia,IRN,,,,,,,
2020-03-17,Iran,Asia,IRN,,,,,,,
2020-03-18,Iran,Asia,IRN,,,,,,,
2020-03-19,Iran,Asia,IRN,,,,,,,
2020-03-20,Iran,Asia,IRN,,,,,,,
2020-03-21,Iran,Asia,IRN,,,,,,,
2020-03-22,Iran,Asia,IRN,,,,,,,
2020-03-23,Iran,Asia,IRN,,,,,,,
2020-03-24,Iran,Asia,IRN,,,,,,,
2020-03-25,Iran,Asia,IRN,,,,,,,
2020-03-26,Iran,Asia,IRN,,,,,,,
2020-03-27,Iran,Asia,IRN,,,,,,,
2020-03-28,Iran,Asia,IRN,,,,,,,
2020-03-29,Iran,Asia,IRN,,,,,,,
2020-03-30,Iran,Asia,IRN,,,,,,,
2020-03-31,Iran,Asia,IRN,,,,,,,
2020-04-01,Iran,Asia,IRN,,,,,,,
2020-04-02,Iran,Asia,IRN,,,,,,,
2020-04-03,Iran,Asia,IRN,,,,,,,
2020-04-04,Iran,Asia,IRN,,,,,,,
2020-04-05,Iran,Asia,IRN,,,,,,,
2020-04-06,Iran,Asia,IRN,,,,,,,
2020-04-07,Iran,Asia,IRN,,,,,,,
2020-04-08,Iran,Asia,IRN,,,,,,,
2020-04-09,Iran,Asia,IRN,,,,,,,
2020-04-10,Iran,Asia,IRN,,,,,,,
2020-04-11,Iran,Asia,IRN,,,,,,,
2020-04-12,Iran,Asia,IRN,,,,,,,
2020-04-13,Iran,Asia,IRN,,,,,,,
2020-04-14,Iran,Asia,IRN,,,,,,,
2020-04-15,Iran,Asia,IRN,,,,,,,
2020-04-16,Iran,Asia,IRN,,,,,,,
2020-04-17,Iran,Asia,IRN,,,,,,,
2020-04-18,Iran,Asia,IRN,,,,,,,
2020-04-19,Iran,Asia,IRN,,,,,,,
2020-04-20,Iran,Asia,IRN,,,,,,,
2020-04-21,Iran,Asia,IRN,,,,,,,
2020-04-22,Iran,Asia,IRN,,,,,,,
2020-04-23,Iran,Asia,IRN,,,,,,,
2020-04-24,Iran,Asia,IRN,,,,,,,
2020-04-25,Iran,Asia,IRN,,,,,,,
2020-04-26,Iran,Asia,IRN,,,,,,,
2020-04-27,Iran,Asia,IRN,,,,,,,
2020-04-28,Iran,Asia,IRN,,,,,,,
2020-04-29,Iran,Asia,IRN,,,,,,,
2020-04-30,Iran,Asia,IRN,,,,,,,
2020-05-01,Iran,Asia,IRN,,,,,,,
2020-05-02,Iran,Asia,IRN,,,,,,,
2020-05-03,Iran,Asia,IRN,,,,,,,
2020-05-04,Iran,Asia,IRN,,,,,,,
2020-05-05,Iran,Asia,IRN,,,,,,,
2020-05-06,Iran,Asia,IRN,,,,,,,
2020-05-07,Iran,Asia,IRN,,,,,,,
2020-05-08,Iran,Asia,IRN,,,,,,,
2020-05-09,Iran,Asia,IRN,,,,,,,
2020-05-10,Iran,Asia,IRN,,,,,,,
2020-05-11,Iran,Asia,IRN,,,,,,,
2020-05-12,Iran,Asia,IRN,,,,,,,
2020-05-13,Iran,Asia,IRN,,,,,,,
2020-05-14,Iran,Asia,IRN,,,,,,,
2020-05-15,Iran,Asia,IRN,,,,,,,
2020-05-16,Iran,Asia,IRN,,,,,,,
2020-05-17,Iran,Asia,IRN,,,,,,,
