date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
1/6/20,Ireland,Europe,IRL,,,,,,,
1/18/20,Ireland,Europe,IRL,,,,,,,
1/24/20,Ireland,Europe,IRL,,,,,,,
2/2/20,Ireland,Europe,IRL,,,,,,,
2/9/20,Ireland,Europe,IRL,,,,,,,
2/15/20,Ireland,Europe,IRL,,,,,,,
2/23/20,Ireland,Europe,IRL,,,,,,,
2/29/20,Ireland,Europe,IRL,,,,,,,
3/1/20,Ireland,Europe,IRL,,,,,,,
3/2/20,Ireland,Europe,IRL,,,,,,,
3/3/20,Ireland,Europe,IRL,,,,,,,
3/4/20,Ireland,Europe,IRL,,,,,,,
3/5/20,Ireland,Europe,IRL,,,,,,,
3/6/20,Ireland,Europe,IRL,,,,,,,
3/7/20,Ireland,Europe,IRL,,,,,,,
3/8/20,Ireland,Europe,IRL,,,,,,,
3/9/20,Ireland,Europe,IRL,,,,,,,
3/10/20,Ireland,Europe,IRL,,,,,,,
3/11/20,Ireland,Europe,IRL,,,,,,,
3/12/20,Ireland,Europe,IRL,,,,,,,
3/13/20,Ireland,Europe,IRL,,,,,,,
3/14/20,Ireland,Europe,IRL,,,,,,,
3/15/20,Ireland,Europe,IRL,,,,,,,
3/16/20,Ireland,Europe,IRL,,,,,,,
3/17/20,Ireland,Europe,IRL,,,,,,,
3/18/20,Ireland,Europe,IRL,,,,,,,
3/19/20,Ireland,Europe,IRL,,,,,,,
3/20/20,Ireland,Europe,IRL,,,,,,,
3/21/20,Ireland,Europe,IRL,,,,,,,
3/22/20,Ireland,Europe,IRL,,,,,,,
3/23/20,Ireland,Europe,IRL,,,,,,,
3/24/20,Ireland,Europe,IRL,,,,,,,
3/25/20,Ireland,Europe,IRL,,,,,,,
3/26/20,Ireland,Europe,IRL,,,,,,,
3/27/20,Ireland,Europe,IRL,,,,,,,
3/28/20,Ireland,Europe,IRL,,,,,,,
3/29/20,Ireland,Europe,IRL,,,,,,,
3/30/20,Ireland,Europe,IRL,,,,,,,
3/31/20,Ireland,Europe,IRL,,,,,,,
4/1/20,Ireland,Europe,IRL,,,,,,,
4/2/20,Ireland,Europe,IRL,,,,,,,
4/3/20,Ireland,Europe,IRL,,,,,,,
4/4/20,Ireland,Europe,IRL,,,,,,,
4/5/20,Ireland,Europe,IRL,,,,,,,
4/6/20,Ireland,Europe,IRL,,,,,,,
4/7/20,Ireland,Europe,IRL,,,,,,,
4/8/20,Ireland,Europe,IRL,,,,,,,
4/9/20,Ireland,Europe,IRL,,,,,,,
4/10/20,Ireland,Europe,IRL,,,,,,,
4/11/20,Ireland,Europe,IRL,,,,,,,
4/12/20,Ireland,Europe,IRL,,,,,,,
4/13/20,Ireland,Europe,IRL,,,,,,,
4/14/20,Ireland,Europe,IRL,,,,,,,
4/15/20,Ireland,Europe,IRL,,,,,,,
4/16/20,Ireland,Europe,IRL,,,,,,,
4/17/20,Ireland,Europe,IRL,,,,,,,
4/18/20,Ireland,Europe,IRL,,,,,,,
4/19/20,Ireland,Europe,IRL,,,,,,,
4/20/20,Ireland,Europe,IRL,,,,,,,
4/21/20,Ireland,Europe,IRL,,,,,,,
4/22/20,Ireland,Europe,IRL,,,,,,,
4/23/20,Ireland,Europe,IRL,,,,,,,
4/24/20,Ireland,Europe,IRL,,,,,,,
4/25/20,Ireland,Europe,IRL,,,,,,,
4/26/20,Ireland,Europe,IRL,,,,,,,
4/27/20,Ireland,Europe,IRL,,,,,,,
4/28/20,Ireland,Europe,IRL,,,,,,,
4/29/20,Ireland,Europe,IRL,,,,,,,
4/30/20,Ireland,Europe,IRL,,,,,,,
