date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/11/20,Jamaica,North America,JAM,,,,,,,
3/12/20,Jamaica,North America,JAM,,,,,,,
3/13/20,Jamaica,North America,JAM,,,,,,,
3/14/20,Jamaica,North America,JAM,,,,,,,
3/15/20,Jamaica,North America,JAM,,,,,,,
3/16/20,Jamaica,North America,JAM,,,,,,,
3/17/20,Jamaica,North America,JAM,,,,,,,
3/18/20,Jamaica,North America,JAM,,,,,,,
3/19/20,Jamaica,North America,JAM,,,,,,,
3/20/20,Jamaica,North America,JAM,,,,,,,
3/21/20,Jamaica,North America,JAM,,,,,,,
3/22/20,Jamaica,North America,JAM,,,,,,,
3/23/20,Jamaica,North America,JAM,,,,,,,
3/24/20,Jamaica,North America,JAM,,,,,,,
3/25/20,Jamaica,North America,JAM,,,,,,,
3/26/20,Jamaica,North America,JAM,,,,,,,
3/27/20,Jamaica,North America,JAM,,,,,,,
3/28/20,Jamaica,North America,JAM,,,,,,,
3/29/20,Jamaica,North America,JAM,,,,,,,
3/30/20,Jamaica,North America,JAM,,,,,,,
3/31/20,Jamaica,North America,JAM,,,,,,,
4/1/20,Jamaica,North America,JAM,,,,,,,
4/2/20,Jamaica,North America,JAM,,,,,,,
4/3/20,Jamaica,North America,JAM,,,,,,,
4/4/20,Jamaica,North America,JAM,,,,,,,
4/5/20,Jamaica,North America,JAM,,,,,,,
4/6/20,Jamaica,North America,JAM,,,,,,,
4/7/20,Jamaica,North America,JAM,,,,,,,
4/8/20,Jamaica,North America,JAM,,,,,,,
4/9/20,Jamaica,North America,JAM,,,,,,,
4/10/20,Jamaica,North America,JAM,,,,,,,
4/11/20,Jamaica,North America,JAM,,,,,,,
4/12/20,Jamaica,North America,JAM,,,,,,,
4/13/20,Jamaica,North America,JAM,,,,,,,
4/14/20,Jamaica,North America,JAM,,,,,,,
4/15/20,Jamaica,North America,JAM,,,,,,,
4/16/20,Jamaica,North America,JAM,,,,,,,
4/17/20,Jamaica,North America,JAM,,,,,,,
4/18/20,Jamaica,North America,JAM,,,,,,,
4/19/20,Jamaica,North America,JAM,,,,,,,
4/20/20,Jamaica,North America,JAM,,,,,,,
4/21/20,Jamaica,North America,JAM,,,,,,,
4/22/20,Jamaica,North America,JAM,,,,,,,
4/23/20,Jamaica,North America,JAM,,,,,,,
4/24/20,Jamaica,North America,JAM,,,,,,,
4/25/20,Jamaica,North America,JAM,,,,,,,
4/26/20,Jamaica,North America,JAM,,,,,,,
4/27/20,Jamaica,North America,JAM,,,,,,,
4/28/20,Jamaica,North America,JAM,,,,,,,
4/29/20,Jamaica,North America,JAM,,,,,,,
4/30/20,Jamaica,North America,JAM,,,,,,,
5/1/20,Jamaica,North America,JAM,,,,,,,
5/2/20,Jamaica,North America,JAM,,,,,,,
5/3/20,Jamaica,North America,JAM,,,,,,,
5/4/20,Jamaica,North America,JAM,,,,,,,
5/5/20,Jamaica,North America,JAM,,,,,,,
5/6/20,Jamaica,North America,JAM,,,,,,,
5/7/20,Jamaica,North America,JAM,,,,,,,
5/8/20,Jamaica,North America,JAM,,,,,,,
5/9/20,Jamaica,North America,JAM,,,,,,,
5/10/20,Jamaica,North America,JAM,,,,,,,
5/11/20,Jamaica,North America,JAM,,,,,,,
5/12/20,Jamaica,North America,JAM,,,,,,,
5/13/20,Jamaica,North America,JAM,,,,,,,
5/14/20,Jamaica,North America,JAM,,,,,,,
5/15/20,Jamaica,North America,JAM,,,,,,,
5/16/20,Jamaica,North America,JAM,,,,,,,
5/17/20,Jamaica,North America,JAM,,,,,,,
5/18/20,Jamaica,North America,JAM,,,,,,,
5/19/20,Jamaica,North America,JAM,,,,,,,
5/20/20,Jamaica,North America,JAM,,,,,,,
5/21/20,Jamaica,North America,JAM,,,,,,,
5/22/20,Jamaica,North America,JAM,,,,,,,
5/23/20,Jamaica,North America,JAM,,,,,,,
5/24/20,Jamaica,North America,JAM,,,,,,,
5/25/20,Jamaica,North America,JAM,,,,,,,
5/26/20,Jamaica,North America,JAM,,,,,,,
5/27/20,Jamaica,North America,JAM,,,,,,,
5/28/20,Jamaica,North America,JAM,,,,,,,
5/29/20,Jamaica,North America,JAM,,,,,,,
5/30/20,Jamaica,North America,JAM,,,,,,,
5/31/20,Jamaica,North America,JAM,,,,,,,
6/1/20,Jamaica,North America,JAM,,,,,,,
6/2/20,Jamaica,North America,JAM,,,,,,,
6/3/20,Jamaica,North America,JAM,,,,,,,
6/4/20,Jamaica,North America,JAM,,,,,,,
6/5/20,Jamaica,North America,JAM,,,,,,,
6/6/20,Jamaica,North America,JAM,,,,,,,
6/7/20,Jamaica,North America,JAM,,,,,,,
6/8/20,Jamaica,North America,JAM,,,,,,,
6/9/20,Jamaica,North America,JAM,,,,,,,
6/10/20,Jamaica,North America,JAM,,,,,,,
6/11/20,Jamaica,North America,JAM,,,,,,,
6/12/20,Jamaica,North America,JAM,,,,,,,
6/13/20,Jamaica,North America,JAM,,,,,,,
6/14/20,Jamaica,North America,JAM,,,,,,,
6/15/20,Jamaica,North America,JAM,,,,,,,
6/16/20,Jamaica,North America,JAM,,,,,,,
6/17/20,Jamaica,North America,JAM,,,,,,,
6/18/20,Jamaica,North America,JAM,,,,,,,
6/19/20,Jamaica,North America,JAM,,,,,,,
6/20/20,Jamaica,North America,JAM,,,,,,,
6/21/20,Jamaica,North America,JAM,,,,,,,
6/22/20,Jamaica,North America,JAM,,,,,,,
6/23/20,Jamaica,North America,JAM,,,,,,,
6/24/20,Jamaica,North America,JAM,,,,,,,
6/25/20,Jamaica,North America,JAM,,,,,,,
6/26/20,Jamaica,North America,JAM,,,,,,,
6/27/20,Jamaica,North America,JAM,,,,,,,
6/28/20,Jamaica,North America,JAM,,,,,,,
6/29/20,Jamaica,North America,JAM,,,,,,,
6/30/20,Jamaica,North America,JAM,,,,,,,
7/1/20,Jamaica,North America,JAM,,,,,,,
7/2/20,Jamaica,North America,JAM,,,,,,,
7/3/20,Jamaica,North America,JAM,,,,,,,
7/4/20,Jamaica,North America,JAM,,,,,,,
7/5/20,Jamaica,North America,JAM,,,,,,,
7/6/20,Jamaica,North America,JAM,,,,,,,
7/7/20,Jamaica,North America,JAM,,,,,,,
7/8/20,Jamaica,North America,JAM,,,,,,,
7/9/20,Jamaica,North America,JAM,,,,,,,
7/10/20,Jamaica,North America,JAM,,,,,,,
7/11/20,Jamaica,North America,JAM,,,,,,,
7/12/20,Jamaica,North America,JAM,,,,,,,
7/13/20,Jamaica,North America,JAM,,,,,,,
7/14/20,Jamaica,North America,JAM,,,,,,,
7/15/20,Jamaica,North America,JAM,,,,,,,
7/16/20,Jamaica,North America,JAM,,,,,,,
7/17/20,Jamaica,North America,JAM,,,,,,,
7/18/20,Jamaica,North America,JAM,,,,,,,
7/19/20,Jamaica,North America,JAM,,,,,,,
7/20/20,Jamaica,North America,JAM,,,,,,,
7/21/20,Jamaica,North America,JAM,,,,,,,
7/22/20,Jamaica,North America,JAM,,,,,,,
7/23/20,Jamaica,North America,JAM,,,,,,,
7/24/20,Jamaica,North America,JAM,,,,,,,
7/25/20,Jamaica,North America,JAM,,,,,,,
7/26/20,Jamaica,North America,JAM,,,,,,,
7/27/20,Jamaica,North America,JAM,,,,,,,
7/28/20,Jamaica,North America,JAM,,,,,,,
7/29/20,Jamaica,North America,JAM,,,,,,,
7/30/20,Jamaica,North America,JAM,,,,,,,
7/31/20,Jamaica,North America,JAM,,,,,,,
8/1/20,Jamaica,North America,JAM,,,,,,,
8/2/20,Jamaica,North America,JAM,,,,,,,
8/3/20,Jamaica,North America,JAM,,,,,,,
8/4/20,Jamaica,North America,JAM,,,,,,,
8/5/20,Jamaica,North America,JAM,,,,,,,
8/6/20,Jamaica,North America,JAM,,,,,,,
8/7/20,Jamaica,North America,JAM,,,,,,,
8/8/20,Jamaica,North America,JAM,,,,,,,
8/9/20,Jamaica,North America,JAM,,,,,,,
8/10/20,Jamaica,North America,JAM,,,,,,,
8/11/20,Jamaica,North America,JAM,,,,,,,
8/12/20,Jamaica,North America,JAM,,,,,,,
8/13/20,Jamaica,North America,JAM,,,,,,,
8/14/20,Jamaica,North America,JAM,,,,,,,
8/15/20,Jamaica,North America,JAM,,,,,,,
8/16/20,Jamaica,North America,JAM,,,,,,,
8/17/20,Jamaica,North America,JAM,,,,,,,
8/18/20,Jamaica,North America,JAM,,,,,,,
8/19/20,Jamaica,North America,JAM,,,,,,,
8/20/20,Jamaica,North America,JAM,,,,,,,
8/21/20,Jamaica,North America,JAM,,,,,,,
8/22/20,Jamaica,North America,JAM,,,,,,,
8/23/20,Jamaica,North America,JAM,,,,,,,
8/24/20,Jamaica,North America,JAM,,,,,,,
8/25/20,Jamaica,North America,JAM,,,,,,,
8/26/20,Jamaica,North America,JAM,,,,,,,
8/27/20,Jamaica,North America,JAM,,,,,,,
8/28/20,Jamaica,North America,JAM,,,,,,,
8/29/20,Jamaica,North America,JAM,,,,,,,
8/30/20,Jamaica,North America,JAM,,,,,,,
8/31/20,Jamaica,North America,JAM,,,,,,,
