date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
1/22/20,Japan,Asia,JPN,,,,,,,
1/23/20,Japan,Asia,JPN,,,,,,,
1/24/20,Japan,Asia,JPN,,,,,,,
1/25/20,Japan,Asia,JPN,,,,,,,
1/26/20,Japan,Asia,JPN,,,,,,,
1/27/20,Japan,Asia,JPN,,,,,,,
1/28/20,Japan,Asia,JPN,,,,,,,
1/29/20,Japan,Asia,JPN,,,,,,,
1/30/20,Japan,Asia,JPN,,,,,,,
1/31/20,Japan,Asia,JPN,,,,,,,
2/1/20,Japan,Asia,JPN,,,,,,,
2/2/20,Japan,Asia,JPN,,,,,,,
2/3/20,Japan,Asia,JPN,,,,,,,
2/4/20,Japan,Asia,JPN,,,,,,,
2/5/20,Japan,Asia,JPN,,,,,,,
2/6/20,Japan,Asia,JPN,,,,,,,
2/7/20,Japan,Asia,JPN,,,,,,,
2/8/20,Japan,Asia,JPN,,,,,,,
2/9/20,Japan,Asia,JPN,,,,,,,
2/10/20,Japan,Asia,JPN,,,,,,,
2/11/20,Japan,Asia,JPN,,,,,,,
2/12/20,Japan,Asia,JPN,,,,,,,
2/13/20,Japan,Asia,JPN,,,,,,,
2/14/20,Japan,Asia,JPN,,,,,,,
2/15/20,Japan,Asia,JPN,,,,,,,
2/16/20,Japan,Asia,JPN,,,,,,,
2/17/20,Japan,Asia,JPN,,,,,,,
2/18/20,Japan,Asia,JPN,,,,,,,
2/19/20,Japan,Asia,JPN,,,,,,,
2/20/20,Japan,Asia,JPN,,,,,,,
2/21/20,Japan,Asia,JPN,,,,,,,
2/22/20,Japan,Asia,JPN,,,,,,,
2/23/20,Japan,Asia,JPN,,,,,,,
2/24/20,Japan,Asia,JPN,,,,,,,
2/25/20,Japan,Asia,JPN,,,,,,,
2/26/20,Japan,Asia,JPN,,,,,,,
2/27/20,Japan,Asia,JPN,,,,,,,
2/28/20,Japan,Asia,JPN,,,,,,,
2/29/20,Japan,Asia,JPN,,,,,,,
3/1/20,Japan,Asia,JPN,,,,,,,
3/2/20,Japan,Asia,JPN,,,,,,,
3/3/20,Japan,Asia,JPN,,,,,,,
3/4/20,Japan,Asia,JPN,,,,,,,
3/5/20,Japan,Asia,JPN,,,,,,,
3/6/20,Japan,Asia,JPN,,,,,,,
3/7/20,Japan,Asia,JPN,,,,,,,
3/8/20,Japan,Asia,JPN,,,,,,,
3/9/20,Japan,Asia,JPN,,,,,,,
3/10/20,Japan,Asia,JPN,,,,,,,
3/11/20,Japan,Asia,JPN,,,,,,,
3/12/20,Japan,Asia,JPN,,,,,,,
3/13/20,Japan,Asia,JPN,,,,,,,
3/14/20,Japan,Asia,JPN,,,,,,,
3/15/20,Japan,Asia,JPN,,,,,,,
3/16/20,Japan,Asia,JPN,,,,,,,
3/17/20,Japan,Asia,JPN,,,,,,,
3/18/20,Japan,Asia,JPN,,,,,,,
3/19/20,Japan,Asia,JPN,,,,,,,
3/20/20,Japan,Asia,JPN,,,,,,,
