date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/14/21,Jersey,Europe,JEY,45758.0,40137.0,5621.0,,45.27,39.71,5.56
3/15/21,Jersey,Europe,JEY,,,,,,,
3/16/21,Jersey,Europe,JEY,,,,,,,
3/17/21,Jersey,Europe,JEY,,,,,,,
3/18/21,Jersey,Europe,JEY,,,,,,,
3/19/21,Jersey,Europe,JEY,,,,,,,
3/20/21,Jersey,Europe,JEY,,,,,,,
3/21/21,Jersey,Europe,JEY,52265.0,43136.0,9129.0,,51.71,42.68,9.03
3/22/21,Jersey,Europe,JEY,,,,,,,
3/23/21,Jersey,Europe,JEY,,,,,,,
3/24/21,Jersey,Europe,JEY,,,,,,,
3/25/21,Jersey,Europe,JEY,,,,,,,
3/26/21,Jersey,Europe,JEY,,,,,,,
3/27/21,Jersey,Europe,JEY,,,,,,,
3/28/21,Jersey,Europe,JEY,59132.0,44318.0,14814.0,,58.5,43.85,14.66
3/29/21,Jersey,Europe,JEY,,,,,,,
3/30/21,Jersey,Europe,JEY,,,,,,,
3/31/21,Jersey,Europe,JEY,,,,,,,
4/1/21,Jersey,Europe,JEY,,,,,,,
4/2/21,Jersey,Europe,JEY,,,,,,,
4/3/21,Jersey,Europe,JEY,,,,,,,
4/4/21,Jersey,Europe,JEY,67760.0,44981.0,22779.0,,67.04,44.5,22.54
4/5/21,Jersey,Europe,JEY,,,,,,,
4/6/21,Jersey,Europe,JEY,,,,,,,
4/7/21,Jersey,Europe,JEY,,,,,,,
4/8/21,Jersey,Europe,JEY,,,,,,,
4/9/21,Jersey,Europe,JEY,,,,,,,
4/10/21,Jersey,Europe,JEY,,,,,,,
4/11/21,Jersey,Europe,JEY,70859.0,45585.0,25274.0,,70.11,45.1,25.01
4/12/21,Jersey,Europe,JEY,,,,,,,
4/13/21,Jersey,Europe,JEY,,,,,,,
4/14/21,Jersey,Europe,JEY,,,,,,,
4/15/21,Jersey,Europe,JEY,,,,,,,
4/16/21,Jersey,Europe,JEY,,,,,,,
4/17/21,Jersey,Europe,JEY,,,,,,,
4/18/21,Jersey,Europe,JEY,77185.0,49413.0,27772.0,,76.37,48.89,27.48
4/19/21,Jersey,Europe,JEY,,,,,,,
4/20/21,Jersey,Europe,JEY,,,,,,,
4/21/21,Jersey,Europe,JEY,,,,,,,
4/22/21,Jersey,Europe,JEY,,,,,,,
4/23/21,Jersey,Europe,JEY,,,,,,,
4/24/21,Jersey,Europe,JEY,,,,,,,
4/25/21,Jersey,Europe,JEY,82738.0,52405.0,30333.0,,81.86,51.85,30.01
4/26/21,Jersey,Europe,JEY,,,,,,,
4/27/21,Jersey,Europe,JEY,,,,,,,
4/28/21,Jersey,Europe,JEY,,,,,,,
4/29/21,Jersey,Europe,JEY,,,,,,,
4/30/21,Jersey,Europe,JEY,,,,,,,
5/1/21,Jersey,Europe,JEY,,,,,,,
5/2/21,Jersey,Europe,JEY,88404.0,52891.0,35513.0,,87.47,52.33,35.14
5/3/21,Jersey,Europe,JEY,,,,,,,
5/4/21,Jersey,Europe,JEY,,,,,,,
5/5/21,Jersey,Europe,JEY,,,,,,,
5/6/21,Jersey,Europe,JEY,,,,,,,
5/7/21,Jersey,Europe,JEY,,,,,,,
5/8/21,Jersey,Europe,JEY,,,,,,,
5/9/21,Jersey,Europe,JEY,,,,,,,
5/10/21,Jersey,Europe,JEY,,,,,,,
5/11/21,Jersey,Europe,JEY,,,,,,,
5/12/21,Jersey,Europe,JEY,94574.0,55684.0,38890.0,,93.57,55.09,38.48
5/13/21,Jersey,Europe,JEY,,,,,,,
5/14/21,Jersey,Europe,JEY,,,,,,,
5/15/21,Jersey,Europe,JEY,,,,,,,
5/16/21,Jersey,Europe,JEY,97366.0,57124.0,40242.0,,96.33,56.52,39.81
5/17/21,Jersey,Europe,JEY,,,,,,,
5/18/21,Jersey,Europe,JEY,,,,,,,
5/19/21,Jersey,Europe,JEY,99736.0,59281.0,40455.0,,98.68,58.65,40.03
5/20/21,Jersey,Europe,JEY,,,,,,,
5/21/21,Jersey,Europe,JEY,,,,,,,
5/22/21,Jersey,Europe,JEY,,,,,,,
5/23/21,Jersey,Europe,JEY,103044.0,59388.0,43656.0,,101.95,58.76,43.19
5/24/21,Jersey,Europe,JEY,,,,,,,
5/25/21,Jersey,Europe,JEY,,,,,,,
5/26/21,Jersey,Europe,JEY,105714.0,60116.0,45598.0,,104.59,59.48,45.11
5/27/21,Jersey,Europe,JEY,,,,,,,
5/28/21,Jersey,Europe,JEY,,,,,,,
5/29/21,Jersey,Europe,JEY,,,,,,,
5/30/21,Jersey,Europe,JEY,108577.0,60961.0,47616.0,,107.42,60.31,47.11
