date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-03,Jordan,Asia,JOR,,,,,,,
2020-03-04,Jordan,Asia,JOR,,,,,,,
2020-03-05,Jordan,Asia,JOR,,,,,,,
2020-03-06,Jordan,Asia,JOR,,,,,,,
2020-03-07,Jordan,Asia,JOR,,,,,,,
2020-03-08,Jordan,Asia,JOR,,,,,,,
2020-03-09,Jordan,Asia,JOR,,,,,,,
2020-03-10,Jordan,Asia,JOR,,,,,,,
2020-03-11,Jordan,Asia,JOR,,,,,,,
2020-03-12,Jordan,Asia,JOR,,,,,,,
2020-03-13,Jordan,Asia,JOR,,,,,,,
2020-03-14,Jordan,Asia,JOR,,,,,,,
2020-03-15,Jordan,Asia,JOR,,,,,,,
2020-03-16,Jordan,Asia,JOR,,,,,,,
2020-03-17,Jordan,Asia,JOR,,,,,,,
2020-03-18,Jordan,Asia,JOR,,,,,,,
2020-03-19,Jordan,Asia,JOR,,,,,,,
2020-03-20,Jordan,Asia,JOR,,,,,,,
2020-03-21,Jordan,Asia,JOR,,,,,,,
2020-03-22,Jordan,Asia,JOR,,,,,,,
2020-03-23,Jordan,Asia,JOR,,,,,,,
2020-03-24,Jordan,Asia,JOR,,,,,,,
2020-03-25,Jordan,Asia,JOR,,,,,,,
2020-03-26,Jordan,Asia,JOR,,,,,,,
2020-03-27,Jordan,Asia,JOR,,,,,,,
2020-03-28,Jordan,Asia,JOR,,,,,,,
2020-03-29,Jordan,Asia,JOR,,,,,,,
2020-03-30,Jordan,Asia,JOR,,,,,,,
2020-03-31,Jordan,Asia,JOR,,,,,,,
2020-04-01,Jordan,Asia,JOR,,,,,,,
2020-04-02,Jordan,Asia,JOR,,,,,,,
2020-04-03,Jordan,Asia,JOR,,,,,,,
2020-04-04,Jordan,Asia,JOR,,,,,,,
2020-04-05,Jordan,Asia,JOR,,,,,,,
2020-04-06,Jordan,Asia,JOR,,,,,,,
2020-04-07,Jordan,Asia,JOR,,,,,,,
2020-04-08,Jordan,Asia,JOR,,,,,,,
2020-04-09,Jordan,Asia,JOR,,,,,,,
2020-04-10,Jordan,Asia,JOR,,,,,,,
2020-04-11,Jordan,Asia,JOR,,,,,,,
2020-04-12,Jordan,Asia,JOR,,,,,,,
2020-04-13,Jordan,Asia,JOR,,,,,,,
2020-04-14,Jordan,Asia,JOR,,,,,,,
2020-04-15,Jordan,Asia,JOR,,,,,,,
2020-04-16,Jordan,Asia,JOR,,,,,,,
2020-04-17,Jordan,Asia,JOR,,,,,,,
2020-04-18,Jordan,Asia,JOR,,,,,,,
2020-04-19,Jordan,Asia,JOR,,,,,,,
2020-04-20,Jordan,Asia,JOR,,,,,,,
2020-04-21,Jordan,Asia,JOR,,,,,,,
2020-04-22,Jordan,Asia,JOR,,,,,,,
2020-04-23,Jordan,Asia,JOR,,,,,,,
2020-04-24,Jordan,Asia,JOR,,,,,,,
2020-04-25,Jordan,Asia,JOR,,,,,,,
2020-04-26,Jordan,Asia,JOR,,,,,,,
2020-04-27,Jordan,Asia,JOR,,,,,,,
2020-04-28,Jordan,Asia,JOR,,,,,,,
2020-04-29,Jordan,Asia,JOR,,,,,,,
2020-04-30,Jordan,Asia,JOR,,,,,,,
2020-05-01,Jordan,Asia,JOR,,,,,,,
2020-05-02,Jordan,Asia,JOR,,,,,,,
2020-05-03,Jordan,Asia,JOR,,,,,,,
2020-05-04,Jordan,Asia,JOR,,,,,,,
2020-05-05,Jordan,Asia,JOR,,,,,,,
2020-05-06,Jordan,Asia,JOR,,,,,,,
2020-05-07,Jordan,Asia,JOR,,,,,,,
2020-05-08,Jordan,Asia,JOR,,,,,,,
2020-05-09,Jordan,Asia,JOR,,,,,,,
2020-05-10,Jordan,Asia,JOR,,,,,,,
2020-05-11,Jordan,Asia,JOR,,,,,,,
2020-05-12,Jordan,Asia,JOR,,,,,,,
2020-05-13,Jordan,Asia,JOR,,,,,,,
2020-05-14,Jordan,Asia,JOR,,,,,,,
2020-05-15,Jordan,Asia,JOR,,,,,,,
2020-05-16,Jordan,Asia,JOR,,,,,,,
2020-05-17,Jordan,Asia,JOR,,,,,,,
2020-05-18,Jordan,Asia,JOR,,,,,,,
2020-05-19,Jordan,Asia,JOR,,,,,,,
2020-05-20,Jordan,Asia,JOR,,,,,,,
2020-05-21,Jordan,Asia,JOR,,,,,,,
2020-05-22,Jordan,Asia,JOR,,,,,,,
2020-05-23,Jordan,Asia,JOR,,,,,,,
2020-05-24,Jordan,Asia,JOR,,,,,,,
2020-05-25,Jordan,Asia,JOR,,,,,,,
2020-05-26,Jordan,Asia,JOR,,,,,,,
2020-05-27,Jordan,Asia,JOR,,,,,,,
2020-05-28,Jordan,Asia,JOR,,,,,,,
2020-05-29,Jordan,Asia,JOR,,,,,,,
2020-05-30,Jordan,Asia,JOR,,,,,,,
2020-05-31,Jordan,Asia,JOR,,,,,,,
2020-06-01,Jordan,Asia,JOR,,,,,,,
2020-06-02,Jordan,Asia,JOR,,,,,,,
2020-06-03,Jordan,Asia,JOR,,,,,,,
2020-06-04,Jordan,Asia,JOR,,,,,,,
2020-06-05,Jordan,Asia,JOR,,,,,,,
2020-06-06,Jordan,Asia,JOR,,,,,,,
