date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-13,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-14,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-15,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-16,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-17,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-18,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-19,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-20,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-21,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-22,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-23,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-24,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-25,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-26,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-27,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-28,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-29,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-30,Kazakhstan,Asia,KAZ,,,,,,,
2020-03-31,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-01,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-02,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-03,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-04,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-05,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-06,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-07,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-08,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-09,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-10,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-11,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-12,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-13,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-14,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-15,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-16,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-17,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-18,Kazakhstan,Asia,KAZ,,,,,,,
2020-04-19,Kazakhstan,Asia,KAZ,,,,,,,
