date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-18,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-03-19,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-03-20,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-03-21,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-03-22,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-03-23,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-03-24,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-03-25,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-03-26,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-03-27,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-03-28,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-03-29,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-03-30,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-03-31,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-01,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-02,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-03,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-04,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-05,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-06,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-07,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-08,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-09,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-10,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-11,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-12,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-13,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-14,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-15,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-16,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-17,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-18,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-19,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-20,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-21,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-22,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-23,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-24,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-25,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-26,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-27,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-28,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-29,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-04-30,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-01,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-02,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-03,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-04,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-05,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-06,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-07,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-08,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-09,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-10,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-11,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-12,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-13,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-14,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-15,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-16,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-17,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-18,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-19,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-20,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-21,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-22,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-23,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-24,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-25,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-26,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-27,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-28,Kyrgyzstan,Asia,KGZ,,,,,,,
2020-05-29,Kyrgyzstan,Asia,KGZ,,,,,,,
