date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2/21/20,Lebanon,Asia,LBN,,,,,,,
2/22/20,Lebanon,Asia,LBN,,,,,,,
2/23/20,Lebanon,Asia,LBN,,,,,,,
2/24/20,Lebanon,Asia,LBN,,,,,,,
2/25/20,Lebanon,Asia,LBN,,,,,,,
2/26/20,Lebanon,Asia,LBN,,,,,,,
2/27/20,Lebanon,Asia,LBN,,,,,,,
2/28/20,Lebanon,Asia,LBN,,,,,,,
2/29/20,Lebanon,Asia,LBN,,,,,,,
3/1/20,Lebanon,Asia,LBN,,,,,,,
3/2/20,Lebanon,Asia,LBN,,,,,,,
3/3/20,Lebanon,Asia,LBN,,,,,,,
3/4/20,Lebanon,Asia,LBN,,,,,,,
3/5/20,Lebanon,Asia,LBN,,,,,,,
3/6/20,Lebanon,Asia,LBN,,,,,,,
3/7/20,Lebanon,Asia,LBN,,,,,,,
3/8/20,Lebanon,Asia,LBN,,,,,,,
3/9/20,Lebanon,Asia,LBN,,,,,,,
3/10/20,Lebanon,Asia,LBN,,,,,,,
3/11/20,Lebanon,Asia,LBN,,,,,,,
3/12/20,Lebanon,Asia,LBN,,,,,,,
3/13/20,Lebanon,Asia,LBN,,,,,,,
3/14/20,Lebanon,Asia,LBN,,,,,,,
3/15/20,Lebanon,Asia,LBN,,,,,,,
3/16/20,Lebanon,Asia,LBN,,,,,,,
3/17/20,Lebanon,Asia,LBN,,,,,,,
3/18/20,Lebanon,Asia,LBN,,,,,,,
3/19/20,Lebanon,Asia,LBN,,,,,,,
3/20/20,Lebanon,Asia,LBN,,,,,,,
3/21/20,Lebanon,Asia,LBN,,,,,,,
3/22/20,Lebanon,Asia,LBN,,,,,,,
3/23/20,Lebanon,Asia,LBN,,,,,,,
3/24/20,Lebanon,Asia,LBN,,,,,,,
3/25/20,Lebanon,Asia,LBN,,,,,,,
3/26/20,Lebanon,Asia,LBN,,,,,,,
3/27/20,Lebanon,Asia,LBN,,,,,,,
3/28/20,Lebanon,Asia,LBN,,,,,,,
3/29/20,Lebanon,Asia,LBN,,,,,,,
3/30/20,Lebanon,Asia,LBN,,,,,,,
3/31/20,Lebanon,Asia,LBN,,,,,,,
4/1/20,Lebanon,Asia,LBN,,,,,,,
4/2/20,Lebanon,Asia,LBN,,,,,,,
4/3/20,Lebanon,Asia,LBN,,,,,,,
4/4/20,Lebanon,Asia,LBN,,,,,,,
4/5/20,Lebanon,Asia,LBN,,,,,,,
4/6/20,Lebanon,Asia,LBN,,,,,,,
4/7/20,Lebanon,Asia,LBN,,,,,,,
4/8/20,Lebanon,Asia,LBN,,,,,,,
4/9/20,Lebanon,Asia,LBN,,,,,,,
4/10/20,Lebanon,Asia,LBN,,,,,,,
4/11/20,Lebanon,Asia,LBN,,,,,,,
4/12/20,Lebanon,Asia,LBN,,,,,,,
4/13/20,Lebanon,Asia,LBN,,,,,,,
4/14/20,Lebanon,Asia,LBN,,,,,,,
4/15/20,Lebanon,Asia,LBN,,,,,,,
4/16/20,Lebanon,Asia,LBN,,,,,,,
4/17/20,Lebanon,Asia,LBN,,,,,,,
4/18/20,Lebanon,Asia,LBN,,,,,,,
4/19/20,Lebanon,Asia,LBN,,,,,,,
4/20/20,Lebanon,Asia,LBN,,,,,,,
4/21/20,Lebanon,Asia,LBN,,,,,,,
4/22/20,Lebanon,Asia,LBN,,,,,,,
4/23/20,Lebanon,Asia,LBN,,,,,,,
4/24/20,Lebanon,Asia,LBN,,,,,,,
4/25/20,Lebanon,Asia,LBN,,,,,,,
4/26/20,Lebanon,Asia,LBN,,,,,,,
4/27/20,Lebanon,Asia,LBN,,,,,,,
4/28/20,Lebanon,Asia,LBN,,,,,,,
4/29/20,Lebanon,Asia,LBN,,,,,,,
4/30/20,Lebanon,Asia,LBN,,,,,,,
5/1/20,Lebanon,Asia,LBN,,,,,,,
5/2/20,Lebanon,Asia,LBN,,,,,,,
5/3/20,Lebanon,Asia,LBN,,,,,,,
5/4/20,Lebanon,Asia,LBN,,,,,,,
5/5/20,Lebanon,Asia,LBN,,,,,,,
5/6/20,Lebanon,Asia,LBN,,,,,,,
5/7/20,Lebanon,Asia,LBN,,,,,,,
5/8/20,Lebanon,Asia,LBN,,,,,,,
5/9/20,Lebanon,Asia,LBN,,,,,,,
5/10/20,Lebanon,Asia,LBN,,,,,,,
5/11/20,Lebanon,Asia,LBN,,,,,,,
5/12/20,Lebanon,Asia,LBN,,,,,,,
5/13/20,Lebanon,Asia,LBN,,,,,,,
5/14/20,Lebanon,Asia,LBN,,,,,,,
5/15/20,Lebanon,Asia,LBN,,,,,,,
5/16/20,Lebanon,Asia,LBN,,,,,,,
5/17/20,Lebanon,Asia,LBN,,,,,,,
5/18/20,Lebanon,Asia,LBN,,,,,,,
5/19/20,Lebanon,Asia,LBN,,,,,,,
5/20/20,Lebanon,Asia,LBN,,,,,,,
5/21/20,Lebanon,Asia,LBN,,,,,,,
5/22/20,Lebanon,Asia,LBN,,,,,,,
5/23/20,Lebanon,Asia,LBN,,,,,,,
5/24/20,Lebanon,Asia,LBN,,,,,,,
5/25/20,Lebanon,Asia,LBN,,,,,,,
5/26/20,Lebanon,Asia,LBN,,,,,,,
5/27/20,Lebanon,Asia,LBN,,,,,,,
5/28/20,Lebanon,Asia,LBN,,,,,,,
5/29/20,Lebanon,Asia,LBN,,,,,,,
5/30/20,Lebanon,Asia,LBN,,,,,,,
5/31/20,Lebanon,Asia,LBN,,,,,,,
6/1/20,Lebanon,Asia,LBN,,,,,,,
6/2/20,Lebanon,Asia,LBN,,,,,,,
6/3/20,Lebanon,Asia,LBN,,,,,,,
6/4/20,Lebanon,Asia,LBN,,,,,,,
6/5/20,Lebanon,Asia,LBN,,,,,,,
6/6/20,Lebanon,Asia,LBN,,,,,,,
6/7/20,Lebanon,Asia,LBN,,,,,,,
6/8/20,Lebanon,Asia,LBN,,,,,,,
6/9/20,Lebanon,Asia,LBN,,,,,,,
6/10/20,Lebanon,Asia,LBN,,,,,,,
6/11/20,Lebanon,Asia,LBN,,,,,,,
6/12/20,Lebanon,Asia,LBN,,,,,,,
6/13/20,Lebanon,Asia,LBN,,,,,,,
6/14/20,Lebanon,Asia,LBN,,,,,,,
6/15/20,Lebanon,Asia,LBN,,,,,,,
6/16/20,Lebanon,Asia,LBN,,,,,,,
6/17/20,Lebanon,Asia,LBN,,,,,,,
6/18/20,Lebanon,Asia,LBN,,,,,,,
6/19/20,Lebanon,Asia,LBN,,,,,,,
6/20/20,Lebanon,Asia,LBN,,,,,,,
6/21/20,Lebanon,Asia,LBN,,,,,,,
6/22/20,Lebanon,Asia,LBN,,,,,,,
6/23/20,Lebanon,Asia,LBN,,,,,,,
6/24/20,Lebanon,Asia,LBN,,,,,,,
6/25/20,Lebanon,Asia,LBN,,,,,,,
6/26/20,Lebanon,Asia,LBN,,,,,,,
6/27/20,Lebanon,Asia,LBN,,,,,,,
6/28/20,Lebanon,Asia,LBN,,,,,,,
6/29/20,Lebanon,Asia,LBN,,,,,,,
6/30/20,Lebanon,Asia,LBN,,,,,,,
7/1/20,Lebanon,Asia,LBN,,,,,,,
7/2/20,Lebanon,Asia,LBN,,,,,,,
7/3/20,Lebanon,Asia,LBN,,,,,,,
7/4/20,Lebanon,Asia,LBN,,,,,,,
7/5/20,Lebanon,Asia,LBN,,,,,,,
7/6/20,Lebanon,Asia,LBN,,,,,,,
7/7/20,Lebanon,Asia,LBN,,,,,,,
7/8/20,Lebanon,Asia,LBN,,,,,,,
7/9/20,Lebanon,Asia,LBN,,,,,,,
7/10/20,Lebanon,Asia,LBN,,,,,,,
7/11/20,Lebanon,Asia,LBN,,,,,,,
7/12/20,Lebanon,Asia,LBN,,,,,,,
7/13/20,Lebanon,Asia,LBN,,,,,,,
7/14/20,Lebanon,Asia,LBN,,,,,,,
7/15/20,Lebanon,Asia,LBN,,,,,,,
7/16/20,Lebanon,Asia,LBN,,,,,,,
7/17/20,Lebanon,Asia,LBN,,,,,,,
7/18/20,Lebanon,Asia,LBN,,,,,,,
7/19/20,Lebanon,Asia,LBN,,,,,,,
7/20/20,Lebanon,Asia,LBN,,,,,,,
7/21/20,Lebanon,Asia,LBN,,,,,,,
7/22/20,Lebanon,Asia,LBN,,,,,,,
7/23/20,Lebanon,Asia,LBN,,,,,,,
7/24/20,Lebanon,Asia,LBN,,,,,,,
7/25/20,Lebanon,Asia,LBN,,,,,,,
7/26/20,Lebanon,Asia,LBN,,,,,,,
7/27/20,Lebanon,Asia,LBN,,,,,,,
7/28/20,Lebanon,Asia,LBN,,,,,,,
7/29/20,Lebanon,Asia,LBN,,,,,,,
7/30/20,Lebanon,Asia,LBN,,,,,,,
7/31/20,Lebanon,Asia,LBN,,,,,,,
8/1/20,Lebanon,Asia,LBN,,,,,,,
8/2/20,Lebanon,Asia,LBN,,,,,,,
8/3/20,Lebanon,Asia,LBN,,,,,,,
8/4/20,Lebanon,Asia,LBN,,,,,,,
8/5/20,Lebanon,Asia,LBN,,,,,,,
8/6/20,Lebanon,Asia,LBN,,,,,,,
8/7/20,Lebanon,Asia,LBN,,,,,,,
8/8/20,Lebanon,Asia,LBN,,,,,,,
8/9/20,Lebanon,Asia,LBN,,,,,,,
8/10/20,Lebanon,Asia,LBN,,,,,,,
8/11/20,Lebanon,Asia,LBN,,,,,,,
8/12/20,Lebanon,Asia,LBN,,,,,,,
8/13/20,Lebanon,Asia,LBN,,,,,,,
8/14/20,Lebanon,Asia,LBN,,,,,,,
8/15/20,Lebanon,Asia,LBN,,,,,,,
8/16/20,Lebanon,Asia,LBN,,,,,,,
8/17/20,Lebanon,Asia,LBN,,,,,,,
8/18/20,Lebanon,Asia,LBN,,,,,,,
8/19/20,Lebanon,Asia,LBN,,,,,,,
8/20/20,Lebanon,Asia,LBN,,,,,,,
8/21/20,Lebanon,Asia,LBN,,,,,,,
8/22/20,Lebanon,Asia,LBN,,,,,,,
8/23/20,Lebanon,Asia,LBN,,,,,,,
8/24/20,Lebanon,Asia,LBN,,,,,,,
8/25/20,Lebanon,Asia,LBN,,,,,,,
8/26/20,Lebanon,Asia,LBN,,,,,,,
8/27/20,Lebanon,Asia,LBN,,,,,,,
8/28/20,Lebanon,Asia,LBN,,,,,,,
8/29/20,Lebanon,Asia,LBN,,,,,,,
8/30/20,Lebanon,Asia,LBN,,,,,,,
8/31/20,Lebanon,Asia,LBN,,,,,,,
9/1/20,Lebanon,Asia,LBN,,,,,,,
9/2/20,Lebanon,Asia,LBN,,,,,,,
9/3/20,Lebanon,Asia,LBN,,,,,,,
9/4/20,Lebanon,Asia,LBN,,,,,,,
9/5/20,Lebanon,Asia,LBN,,,,,,,
9/6/20,Lebanon,Asia,LBN,,,,,,,
9/7/20,Lebanon,Asia,LBN,,,,,,,
9/8/20,Lebanon,Asia,LBN,,,,,,,
9/9/20,Lebanon,Asia,LBN,,,,,,,
9/10/20,Lebanon,Asia,LBN,,,,,,,
9/11/20,Lebanon,Asia,LBN,,,,,,,
9/12/20,Lebanon,Asia,LBN,,,,,,,
9/13/20,Lebanon,Asia,LBN,,,,,,,
9/14/20,Lebanon,Asia,LBN,,,,,,,
9/15/20,Lebanon,Asia,LBN,,,,,,,
9/16/20,Lebanon,Asia,LBN,,,,,,,
9/17/20,Lebanon,Asia,LBN,,,,,,,
9/18/20,Lebanon,Asia,LBN,,,,,,,
9/19/20,Lebanon,Asia,LBN,,,,,,,
9/20/20,Lebanon,Asia,LBN,,,,,,,
9/21/20,Lebanon,Asia,LBN,,,,,,,
9/22/20,Lebanon,Asia,LBN,,,,,,,
9/23/20,Lebanon,Asia,LBN,,,,,,,
9/24/20,Lebanon,Asia,LBN,,,,,,,
9/25/20,Lebanon,Asia,LBN,,,,,,,
9/26/20,Lebanon,Asia,LBN,,,,,,,
9/27/20,Lebanon,Asia,LBN,,,,,,,
9/28/20,Lebanon,Asia,LBN,,,,,,,
9/29/20,Lebanon,Asia,LBN,,,,,,,
9/30/20,Lebanon,Asia,LBN,,,,,,,
10/1/20,Lebanon,Asia,LBN,,,,,,,
10/2/20,Lebanon,Asia,LBN,,,,,,,
10/3/20,Lebanon,Asia,LBN,,,,,,,
10/4/20,Lebanon,Asia,LBN,,,,,,,
10/5/20,Lebanon,Asia,LBN,,,,,,,
10/6/20,Lebanon,Asia,LBN,,,,,,,
10/7/20,Lebanon,Asia,LBN,,,,,,,
10/8/20,Lebanon,Asia,LBN,,,,,,,
10/9/20,Lebanon,Asia,LBN,,,,,,,
10/10/20,Lebanon,Asia,LBN,,,,,,,
10/11/20,Lebanon,Asia,LBN,,,,,,,
10/12/20,Lebanon,Asia,LBN,,,,,,,
10/13/20,Lebanon,Asia,LBN,,,,,,,
10/14/20,Lebanon,Asia,LBN,,,,,,,
10/15/20,Lebanon,Asia,LBN,,,,,,,
10/16/20,Lebanon,Asia,LBN,,,,,,,
10/17/20,Lebanon,Asia,LBN,,,,,,,
10/18/20,Lebanon,Asia,LBN,,,,,,,
10/19/20,Lebanon,Asia,LBN,,,,,,,
10/20/20,Lebanon,Asia,LBN,,,,,,,
10/21/20,Lebanon,Asia,LBN,,,,,,,
10/22/20,Lebanon,Asia,LBN,,,,,,,
10/23/20,Lebanon,Asia,LBN,,,,,,,
10/24/20,Lebanon,Asia,LBN,,,,,,,
10/25/20,Lebanon,Asia,LBN,,,,,,,
10/26/20,Lebanon,Asia,LBN,,,,,,,
10/27/20,Lebanon,Asia,LBN,,,,,,,
10/28/20,Lebanon,Asia,LBN,,,,,,,
10/29/20,Lebanon,Asia,LBN,,,,,,,
10/30/20,Lebanon,Asia,LBN,,,,,,,
