date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/4/20,Liechtenstein,Europe,LIE,,,,,,,
3/5/20,Liechtenstein,Europe,LIE,,,,,,,
3/6/20,Liechtenstein,Europe,LIE,,,,,,,
3/7/20,Liechtenstein,Europe,LIE,,,,,,,
3/8/20,Liechtenstein,Europe,LIE,,,,,,,
3/9/20,Liechtenstein,Europe,LIE,,,,,,,
3/10/20,Liechtenstein,Europe,LIE,,,,,,,
3/11/20,Liechtenstein,Europe,LIE,,,,,,,
3/12/20,Liechtenstein,Europe,LIE,,,,,,,
3/13/20,Liechtenstein,Europe,LIE,,,,,,,
3/14/20,Liechtenstein,Europe,LIE,,,,,,,
3/15/20,Liechtenstein,Europe,LIE,,,,,,,
3/16/20,Liechtenstein,Europe,LIE,,,,,,,
3/17/20,Liechtenstein,Europe,LIE,,,,,,,
3/18/20,Liechtenstein,Europe,LIE,,,,,,,
3/19/20,Liechtenstein,Europe,LIE,,,,,,,
3/20/20,Liechtenstein,Europe,LIE,,,,,,,
3/21/20,Liechtenstein,Europe,LIE,,,,,,,
3/22/20,Liechtenstein,Europe,LIE,,,,,,,
3/23/20,Liechtenstein,Europe,LIE,,,,,,,
3/24/20,Liechtenstein,Europe,LIE,,,,,,,
3/25/20,Liechtenstein,Europe,LIE,,,,,,,
3/26/20,Liechtenstein,Europe,LIE,,,,,,,
3/27/20,Liechtenstein,Europe,LIE,,,,,,,
3/28/20,Liechtenstein,Europe,LIE,,,,,,,
3/29/20,Liechtenstein,Europe,LIE,,,,,,,
3/30/20,Liechtenstein,Europe,LIE,,,,,,,
3/31/20,Liechtenstein,Europe,LIE,,,,,,,
4/1/20,Liechtenstein,Europe,LIE,,,,,,,
4/2/20,Liechtenstein,Europe,LIE,,,,,,,
4/3/20,Liechtenstein,Europe,LIE,,,,,,,
4/4/20,Liechtenstein,Europe,LIE,,,,,,,
4/5/20,Liechtenstein,Europe,LIE,,,,,,,
4/6/20,Liechtenstein,Europe,LIE,,,,,,,
4/7/20,Liechtenstein,Europe,LIE,,,,,,,
4/8/20,Liechtenstein,Europe,LIE,,,,,,,
4/9/20,Liechtenstein,Europe,LIE,,,,,,,
4/10/20,Liechtenstein,Europe,LIE,,,,,,,
4/11/20,Liechtenstein,Europe,LIE,,,,,,,
4/12/20,Liechtenstein,Europe,LIE,,,,,,,
4/13/20,Liechtenstein,Europe,LIE,,,,,,,
4/14/20,Liechtenstein,Europe,LIE,,,,,,,
4/15/20,Liechtenstein,Europe,LIE,,,,,,,
4/16/20,Liechtenstein,Europe,LIE,,,,,,,
4/17/20,Liechtenstein,Europe,LIE,,,,,,,
4/18/20,Liechtenstein,Europe,LIE,,,,,,,
4/19/20,Liechtenstein,Europe,LIE,,,,,,,
4/20/20,Liechtenstein,Europe,LIE,,,,,,,
4/21/20,Liechtenstein,Europe,LIE,,,,,,,
4/22/20,Liechtenstein,Europe,LIE,,,,,,,
4/23/20,Liechtenstein,Europe,LIE,,,,,,,
4/24/20,Liechtenstein,Europe,LIE,,,,,,,
4/25/20,Liechtenstein,Europe,LIE,,,,,,,
4/26/20,Liechtenstein,Europe,LIE,,,,,,,
4/27/20,Liechtenstein,Europe,LIE,,,,,,,
4/28/20,Liechtenstein,Europe,LIE,,,,,,,
4/29/20,Liechtenstein,Europe,LIE,,,,,,,
4/30/20,Liechtenstein,Europe,LIE,,,,,,,
5/1/20,Liechtenstein,Europe,LIE,,,,,,,
5/2/20,Liechtenstein,Europe,LIE,,,,,,,
5/3/20,Liechtenstein,Europe,LIE,,,,,,,
5/4/20,Liechtenstein,Europe,LIE,,,,,,,
5/5/20,Liechtenstein,Europe,LIE,,,,,,,
5/6/20,Liechtenstein,Europe,LIE,,,,,,,
5/7/20,Liechtenstein,Europe,LIE,,,,,,,
5/8/20,Liechtenstein,Europe,LIE,,,,,,,
5/9/20,Liechtenstein,Europe,LIE,,,,,,,
5/10/20,Liechtenstein,Europe,LIE,,,,,,,
5/11/20,Liechtenstein,Europe,LIE,,,,,,,
5/12/20,Liechtenstein,Europe,LIE,,,,,,,
5/13/20,Liechtenstein,Europe,LIE,,,,,,,
5/14/20,Liechtenstein,Europe,LIE,,,,,,,
5/15/20,Liechtenstein,Europe,LIE,,,,,,,
5/16/20,Liechtenstein,Europe,LIE,,,,,,,
5/17/20,Liechtenstein,Europe,LIE,,,,,,,
5/18/20,Liechtenstein,Europe,LIE,,,,,,,
5/19/20,Liechtenstein,Europe,LIE,,,,,,,
5/20/20,Liechtenstein,Europe,LIE,,,,,,,
5/21/20,Liechtenstein,Europe,LIE,,,,,,,
5/22/20,Liechtenstein,Europe,LIE,,,,,,,
5/23/20,Liechtenstein,Europe,LIE,,,,,,,
5/24/20,Liechtenstein,Europe,LIE,,,,,,,
5/25/20,Liechtenstein,Europe,LIE,,,,,,,
5/26/20,Liechtenstein,Europe,LIE,,,,,,,
5/27/20,Liechtenstein,Europe,LIE,,,,,,,
5/28/20,Liechtenstein,Europe,LIE,,,,,,,
5/29/20,Liechtenstein,Europe,LIE,,,,,,,
5/30/20,Liechtenstein,Europe,LIE,,,,,,,
5/31/20,Liechtenstein,Europe,LIE,,,,,,,
6/1/20,Liechtenstein,Europe,LIE,,,,,,,
6/2/20,Liechtenstein,Europe,LIE,,,,,,,
6/3/20,Liechtenstein,Europe,LIE,,,,,,,
6/4/20,Liechtenstein,Europe,LIE,,,,,,,
6/5/20,Liechtenstein,Europe,LIE,,,,,,,
