date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-24,Luxembourg,Europe,LUX,,,,,,,
2020-02-25,Luxembourg,Europe,LUX,,,,,,,
2020-02-26,Luxembourg,Europe,LUX,,,,,,,
2020-02-27,Luxembourg,Europe,LUX,,,,,,,
2020-02-28,Luxembourg,Europe,LUX,,,,,,,
2020-02-29,Luxembourg,Europe,LUX,,,,,,,
2020-03-01,Luxembourg,Europe,LUX,,,,,,,
2020-03-02,Luxembourg,Europe,LUX,,,,,,,
2020-03-03,Luxembourg,Europe,LUX,,,,,,,
2020-03-04,Luxembourg,Europe,LUX,,,,,,,
2020-03-05,Luxembourg,Europe,LUX,,,,,,,
2020-03-06,Luxembourg,Europe,LUX,,,,,,,
2020-03-07,Luxembourg,Europe,LUX,,,,,,,
2020-03-08,Luxembourg,Europe,LUX,,,,,,,
2020-03-09,Luxembourg,Europe,LUX,,,,,,,
2020-03-10,Luxembourg,Europe,LUX,,,,,,,
2020-03-11,Luxembourg,Europe,LUX,,,,,,,
2020-03-12,Luxembourg,Europe,LUX,,,,,,,
2020-03-13,Luxembourg,Europe,LUX,,,,,,,
2020-03-14,Luxembourg,Europe,LUX,,,,,,,
2020-03-15,Luxembourg,Europe,LUX,,,,,,,
2020-03-16,Luxembourg,Europe,LUX,,,,,,,
2020-03-17,Luxembourg,Europe,LUX,,,,,,,
2020-03-18,Luxembourg,Europe,LUX,,,,,,,
2020-03-19,Luxembourg,Europe,LUX,,,,,,,
2020-03-20,Luxembourg,Europe,LUX,,,,,,,
2020-03-21,Luxembourg,Europe,LUX,,,,,,,
2020-03-22,Luxembourg,Europe,LUX,,,,,,,
2020-03-23,Luxembourg,Europe,LUX,,,,,,,
2020-03-24,Luxembourg,Europe,LUX,,,,,,,
2020-03-25,Luxembourg,Europe,LUX,,,,,,,
2020-03-26,Luxembourg,Europe,LUX,,,,,,,
2020-03-27,Luxembourg,Europe,LUX,,,,,,,
2020-03-28,Luxembourg,Europe,LUX,,,,,,,
2020-03-29,Luxembourg,Europe,LUX,,,,,,,
2020-03-30,Luxembourg,Europe,LUX,,,,,,,
2020-03-31,Luxembourg,Europe,LUX,,,,,,,
2020-04-01,Luxembourg,Europe,LUX,,,,,,,
2020-04-02,Luxembourg,Europe,LUX,,,,,,,
2020-04-03,Luxembourg,Europe,LUX,,,,,,,
2020-04-04,Luxembourg,Europe,LUX,,,,,,,
