date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/29/20,Malawi,Africa,MWI,,,,,,,
3/30/20,Malawi,Africa,MWI,,,,,,,
3/31/20,Malawi,Africa,MWI,,,,,,,
4/1/20,Malawi,Africa,MWI,,,,,,,
4/2/20,Malawi,Africa,MWI,,,,,,,
4/3/20,Malawi,Africa,MWI,,,,,,,
4/4/20,Malawi,Africa,MWI,,,,,,,
4/5/20,Malawi,Africa,MWI,,,,,,,
4/6/20,Malawi,Africa,MWI,,,,,,,
4/7/20,Malawi,Africa,MWI,,,,,,,
4/8/20,Malawi,Africa,MWI,,,,,,,
4/9/20,Malawi,Africa,MWI,,,,,,,
4/10/20,Malawi,Africa,MWI,,,,,,,
4/11/20,Malawi,Africa,MWI,,,,,,,
4/12/20,Malawi,Africa,MWI,,,,,,,
4/13/20,Malawi,Africa,MWI,,,,,,,
4/14/20,Malawi,Africa,MWI,,,,,,,
4/15/20,Malawi,Africa,MWI,,,,,,,
4/16/20,Malawi,Africa,MWI,,,,,,,
4/17/20,Malawi,Africa,MWI,,,,,,,
4/18/20,Malawi,Africa,MWI,,,,,,,
4/19/20,Malawi,Africa,MWI,,,,,,,
4/20/20,Malawi,Africa,MWI,,,,,,,
4/21/20,Malawi,Africa,MWI,,,,,,,
4/22/20,Malawi,Africa,MWI,,,,,,,
4/23/20,Malawi,Africa,MWI,,,,,,,
4/24/20,Malawi,Africa,MWI,,,,,,,
4/25/20,Malawi,Africa,MWI,,,,,,,
4/26/20,Malawi,Africa,MWI,,,,,,,
4/27/20,Malawi,Africa,MWI,,,,,,,
4/28/20,Malawi,Africa,MWI,,,,,,,
4/29/20,Malawi,Africa,MWI,,,,,,,
4/30/20,Malawi,Africa,MWI,,,,,,,
5/1/20,Malawi,Africa,MWI,,,,,,,
5/2/20,Malawi,Africa,MWI,,,,,,,
5/3/20,Malawi,Africa,MWI,,,,,,,
5/4/20,Malawi,Africa,MWI,,,,,,,
5/5/20,Malawi,Africa,MWI,,,,,,,
5/6/20,Malawi,Africa,MWI,,,,,,,
5/7/20,Malawi,Africa,MWI,,,,,,,
5/8/20,Malawi,Africa,MWI,,,,,,,
5/9/20,Malawi,Africa,MWI,,,,,,,
5/10/20,Malawi,Africa,MWI,,,,,,,
5/11/20,Malawi,Africa,MWI,,,,,,,
5/12/20,Malawi,Africa,MWI,,,,,,,
5/13/20,Malawi,Africa,MWI,,,,,,,
5/14/20,Malawi,Africa,MWI,,,,,,,
5/15/20,Malawi,Africa,MWI,,,,,,,
5/16/20,Malawi,Africa,MWI,,,,,,,
5/17/20,Malawi,Africa,MWI,,,,,,,
5/18/20,Malawi,Africa,MWI,,,,,,,
5/19/20,Malawi,Africa,MWI,,,,,,,
5/20/20,Malawi,Africa,MWI,,,,,,,
5/21/20,Malawi,Africa,MWI,,,,,,,
5/22/20,Malawi,Africa,MWI,,,,,,,
5/23/20,Malawi,Africa,MWI,,,,,,,
5/24/20,Malawi,Africa,MWI,,,,,,,
5/25/20,Malawi,Africa,MWI,,,,,,,
5/26/20,Malawi,Africa,MWI,,,,,,,
5/27/20,Malawi,Africa,MWI,,,,,,,
5/28/20,Malawi,Africa,MWI,,,,,,,
5/29/20,Malawi,Africa,MWI,,,,,,,
5/30/20,Malawi,Africa,MWI,,,,,,,
5/31/20,Malawi,Africa,MWI,,,,,,,
6/1/20,Malawi,Africa,MWI,,,,,,,
6/2/20,Malawi,Africa,MWI,,,,,,,
6/3/20,Malawi,Africa,MWI,,,,,,,
6/4/20,Malawi,Africa,MWI,,,,,,,
6/5/20,Malawi,Africa,MWI,,,,,,,
6/6/20,Malawi,Africa,MWI,,,,,,,
6/7/20,Malawi,Africa,MWI,,,,,,,
6/8/20,Malawi,Africa,MWI,,,,,,,
6/9/20,Malawi,Africa,MWI,,,,,,,
6/10/20,Malawi,Africa,MWI,,,,,,,
6/11/20,Malawi,Africa,MWI,,,,,,,
6/12/20,Malawi,Africa,MWI,,,,,,,
6/13/20,Malawi,Africa,MWI,,,,,,,
6/14/20,Malawi,Africa,MWI,,,,,,,
6/15/20,Malawi,Africa,MWI,,,,,,,
6/16/20,Malawi,Africa,MWI,,,,,,,
6/17/20,Malawi,Africa,MWI,,,,,,,
6/18/20,Malawi,Africa,MWI,,,,,,,
6/19/20,Malawi,Africa,MWI,,,,,,,
6/20/20,Malawi,Africa,MWI,,,,,,,
6/21/20,Malawi,Africa,MWI,,,,,,,
6/22/20,Malawi,Africa,MWI,,,,,,,
6/23/20,Malawi,Africa,MWI,,,,,,,
6/24/20,Malawi,Africa,MWI,,,,,,,
6/25/20,Malawi,Africa,MWI,,,,,,,
6/26/20,Malawi,Africa,MWI,,,,,,,
6/27/20,Malawi,Africa,MWI,,,,,,,
6/28/20,Malawi,Africa,MWI,,,,,,,
6/29/20,Malawi,Africa,MWI,,,,,,,
6/30/20,Malawi,Africa,MWI,,,,,,,
7/1/20,Malawi,Africa,MWI,,,,,,,
7/2/20,Malawi,Africa,MWI,,,,,,,
7/3/20,Malawi,Africa,MWI,,,,,,,
7/4/20,Malawi,Africa,MWI,,,,,,,
7/5/20,Malawi,Africa,MWI,,,,,,,
7/6/20,Malawi,Africa,MWI,,,,,,,
7/7/20,Malawi,Africa,MWI,,,,,,,
7/8/20,Malawi,Africa,MWI,,,,,,,
7/9/20,Malawi,Africa,MWI,,,,,,,
7/10/20,Malawi,Africa,MWI,,,,,,,
7/11/20,Malawi,Africa,MWI,,,,,,,
7/12/20,Malawi,Africa,MWI,,,,,,,
7/13/20,Malawi,Africa,MWI,,,,,,,
7/14/20,Malawi,Africa,MWI,,,,,,,
7/15/20,Malawi,Africa,MWI,,,,,,,
7/16/20,Malawi,Africa,MWI,,,,,,,
7/17/20,Malawi,Africa,MWI,,,,,,,
7/18/20,Malawi,Africa,MWI,,,,,,,
7/19/20,Malawi,Africa,MWI,,,,,,,
7/20/20,Malawi,Africa,MWI,,,,,,,
7/21/20,Malawi,Africa,MWI,,,,,,,
7/22/20,Malawi,Africa,MWI,,,,,,,
7/23/20,Malawi,Africa,MWI,,,,,,,
7/24/20,Malawi,Africa,MWI,,,,,,,
7/25/20,Malawi,Africa,MWI,,,,,,,
7/26/20,Malawi,Africa,MWI,,,,,,,
7/27/20,Malawi,Africa,MWI,,,,,,,
7/28/20,Malawi,Africa,MWI,,,,,,,
7/29/20,Malawi,Africa,MWI,,,,,,,
7/30/20,Malawi,Africa,MWI,,,,,,,
7/31/20,Malawi,Africa,MWI,,,,,,,
8/1/20,Malawi,Africa,MWI,,,,,,,
8/2/20,Malawi,Africa,MWI,,,,,,,
8/3/20,Malawi,Africa,MWI,,,,,,,
8/4/20,Malawi,Africa,MWI,,,,,,,
8/5/20,Malawi,Africa,MWI,,,,,,,
8/6/20,Malawi,Africa,MWI,,,,,,,
8/7/20,Malawi,Africa,MWI,,,,,,,
8/8/20,Malawi,Africa,MWI,,,,,,,
8/9/20,Malawi,Africa,MWI,,,,,,,
8/10/20,Malawi,Africa,MWI,,,,,,,
8/11/20,Malawi,Africa,MWI,,,,,,,
8/12/20,Malawi,Africa,MWI,,,,,,,
8/13/20,Malawi,Africa,MWI,,,,,,,
8/14/20,Malawi,Africa,MWI,,,,,,,
8/15/20,Malawi,Africa,MWI,,,,,,,
8/16/20,Malawi,Africa,MWI,,,,,,,
8/17/20,Malawi,Africa,MWI,,,,,,,
8/18/20,Malawi,Africa,MWI,,,,,,,
8/19/20,Malawi,Africa,MWI,,,,,,,
8/20/20,Malawi,Africa,MWI,,,,,,,
8/21/20,Malawi,Africa,MWI,,,,,,,
8/22/20,Malawi,Africa,MWI,,,,,,,
8/23/20,Malawi,Africa,MWI,,,,,,,
8/24/20,Malawi,Africa,MWI,,,,,,,
8/25/20,Malawi,Africa,MWI,,,,,,,
8/26/20,Malawi,Africa,MWI,,,,,,,
8/27/20,Malawi,Africa,MWI,,,,,,,
8/28/20,Malawi,Africa,MWI,,,,,,,
8/29/20,Malawi,Africa,MWI,,,,,,,
8/30/20,Malawi,Africa,MWI,,,,,,,
8/31/20,Malawi,Africa,MWI,,,,,,,
9/1/20,Malawi,Africa,MWI,,,,,,,
9/2/20,Malawi,Africa,MWI,,,,,,,
9/3/20,Malawi,Africa,MWI,,,,,,,
9/4/20,Malawi,Africa,MWI,,,,,,,
9/5/20,Malawi,Africa,MWI,,,,,,,
9/6/20,Malawi,Africa,MWI,,,,,,,
9/7/20,Malawi,Africa,MWI,,,,,,,
9/8/20,Malawi,Africa,MWI,,,,,,,
9/9/20,Malawi,Africa,MWI,,,,,,,
9/10/20,Malawi,Africa,MWI,,,,,,,
9/11/20,Malawi,Africa,MWI,,,,,,,
9/12/20,Malawi,Africa,MWI,,,,,,,
9/13/20,Malawi,Africa,MWI,,,,,,,
9/14/20,Malawi,Africa,MWI,,,,,,,
9/15/20,Malawi,Africa,MWI,,,,,,,
9/16/20,Malawi,Africa,MWI,,,,,,,
9/17/20,Malawi,Africa,MWI,,,,,,,
9/18/20,Malawi,Africa,MWI,,,,,,,
9/19/20,Malawi,Africa,MWI,,,,,,,
9/20/20,Malawi,Africa,MWI,,,,,,,
9/21/20,Malawi,Africa,MWI,,,,,,,
9/22/20,Malawi,Africa,MWI,,,,,,,
9/23/20,Malawi,Africa,MWI,,,,,,,
9/24/20,Malawi,Africa,MWI,,,,,,,
9/25/20,Malawi,Africa,MWI,,,,,,,
9/26/20,Malawi,Africa,MWI,,,,,,,
9/27/20,Malawi,Africa,MWI,,,,,,,
9/28/20,Malawi,Africa,MWI,,,,,,,
9/29/20,Malawi,Africa,MWI,,,,,,,
9/30/20,Malawi,Africa,MWI,,,,,,,
10/1/20,Malawi,Africa,MWI,,,,,,,
10/2/20,Malawi,Africa,MWI,,,,,,,
10/3/20,Malawi,Africa,MWI,,,,,,,
10/4/20,Malawi,Africa,MWI,,,,,,,
10/5/20,Malawi,Africa,MWI,,,,,,,
10/6/20,Malawi,Africa,MWI,,,,,,,
10/7/20,Malawi,Africa,MWI,,,,,,,
10/8/20,Malawi,Africa,MWI,,,,,,,
10/9/20,Malawi,Africa,MWI,,,,,,,
10/10/20,Malawi,Africa,MWI,,,,,,,
10/11/20,Malawi,Africa,MWI,,,,,,,
10/12/20,Malawi,Africa,MWI,,,,,,,
10/13/20,Malawi,Africa,MWI,,,,,,,
