date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/8/20,Maldives,Asia,MDV,,,,,,,
3/9/20,Maldives,Asia,MDV,,,,,,,
3/10/20,Maldives,Asia,MDV,,,,,,,
3/11/20,Maldives,Asia,MDV,,,,,,,
3/12/20,Maldives,Asia,MDV,,,,,,,
3/13/20,Maldives,Asia,MDV,,,,,,,
3/14/20,Maldives,Asia,MDV,,,,,,,
3/15/20,Maldives,Asia,MDV,,,,,,,
3/16/20,Maldives,Asia,MDV,,,,,,,
3/17/20,Maldives,Asia,MDV,,,,,,,
3/18/20,Maldives,Asia,MDV,,,,,,,
3/19/20,Maldives,Asia,MDV,,,,,,,
3/20/20,Maldives,Asia,MDV,,,,,,,
3/21/20,Maldives,Asia,MDV,,,,,,,
3/22/20,Maldives,Asia,MDV,,,,,,,
3/23/20,Maldives,Asia,MDV,,,,,,,
3/24/20,Maldives,Asia,MDV,,,,,,,
3/25/20,Maldives,Asia,MDV,,,,,,,
3/26/20,Maldives,Asia,MDV,,,,,,,
3/27/20,Maldives,Asia,MDV,,,,,,,
3/28/20,Maldives,Asia,MDV,,,,,,,
3/29/20,Maldives,Asia,MDV,,,,,,,
3/30/20,Maldives,Asia,MDV,,,,,,,
3/31/20,Maldives,Asia,MDV,,,,,,,
4/1/20,Maldives,Asia,MDV,,,,,,,
4/2/20,Maldives,Asia,MDV,,,,,,,
4/3/20,Maldives,Asia,MDV,,,,,,,
4/4/20,Maldives,Asia,MDV,,,,,,,
4/5/20,Maldives,Asia,MDV,,,,,,,
4/6/20,Maldives,Asia,MDV,,,,,,,
4/7/20,Maldives,Asia,MDV,,,,,,,
4/8/20,Maldives,Asia,MDV,,,,,,,
4/9/20,Maldives,Asia,MDV,,,,,,,
4/10/20,Maldives,Asia,MDV,,,,,,,
4/11/20,Maldives,Asia,MDV,,,,,,,
4/12/20,Maldives,Asia,MDV,,,,,,,
4/13/20,Maldives,Asia,MDV,,,,,,,
4/14/20,Maldives,Asia,MDV,,,,,,,
4/15/20,Maldives,Asia,MDV,,,,,,,
4/16/20,Maldives,Asia,MDV,,,,,,,
4/17/20,Maldives,Asia,MDV,,,,,,,
4/18/20,Maldives,Asia,MDV,,,,,,,
4/19/20,Maldives,Asia,MDV,,,,,,,
4/20/20,Maldives,Asia,MDV,,,,,,,
4/21/20,Maldives,Asia,MDV,,,,,,,
4/22/20,Maldives,Asia,MDV,,,,,,,
4/23/20,Maldives,Asia,MDV,,,,,,,
4/24/20,Maldives,Asia,MDV,,,,,,,
4/25/20,Maldives,Asia,MDV,,,,,,,
4/26/20,Maldives,Asia,MDV,,,,,,,
4/27/20,Maldives,Asia,MDV,,,,,,,
4/28/20,Maldives,Asia,MDV,,,,,,,
4/29/20,Maldives,Asia,MDV,,,,,,,
4/30/20,Maldives,Asia,MDV,,,,,,,
5/1/20,Maldives,Asia,MDV,,,,,,,
5/2/20,Maldives,Asia,MDV,,,,,,,
5/3/20,Maldives,Asia,MDV,,,,,,,
5/4/20,Maldives,Asia,MDV,,,,,,,
5/5/20,Maldives,Asia,MDV,,,,,,,
5/6/20,Maldives,Asia,MDV,,,,,,,
5/7/20,Maldives,Asia,MDV,,,,,,,
5/8/20,Maldives,Asia,MDV,,,,,,,
5/9/20,Maldives,Asia,MDV,,,,,,,
5/10/20,Maldives,Asia,MDV,,,,,,,
5/11/20,Maldives,Asia,MDV,,,,,,,
5/12/20,Maldives,Asia,MDV,,,,,,,
5/13/20,Maldives,Asia,MDV,,,,,,,
5/14/20,Maldives,Asia,MDV,,,,,,,
5/15/20,Maldives,Asia,MDV,,,,,,,
5/16/20,Maldives,Asia,MDV,,,,,,,
5/17/20,Maldives,Asia,MDV,,,,,,,
5/18/20,Maldives,Asia,MDV,,,,,,,
5/19/20,Maldives,Asia,MDV,,,,,,,
5/20/20,Maldives,Asia,MDV,,,,,,,
