date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/18/20,Mauritius,Africa,MUS,,,,,,,
3/19/20,Mauritius,Africa,MUS,,,,,,,
3/20/20,Mauritius,Africa,MUS,,,,,,,
3/21/20,Mauritius,Africa,MUS,,,,,,,
3/22/20,Mauritius,Africa,MUS,,,,,,,
3/23/20,Mauritius,Africa,MUS,,,,,,,
3/24/20,Mauritius,Africa,MUS,,,,,,,
3/25/20,Mauritius,Africa,MUS,,,,,,,
3/26/20,Mauritius,Africa,MUS,,,,,,,
3/27/20,Mauritius,Africa,MUS,,,,,,,
3/28/20,Mauritius,Africa,MUS,,,,,,,
3/29/20,Mauritius,Africa,MUS,,,,,,,
3/30/20,Mauritius,Africa,MUS,,,,,,,
3/31/20,Mauritius,Africa,MUS,,,,,,,
4/1/20,Mauritius,Africa,MUS,,,,,,,
4/2/20,Mauritius,Africa,MUS,,,,,,,
4/3/20,Mauritius,Africa,MUS,,,,,,,
4/4/20,Mauritius,Africa,MUS,,,,,,,
4/5/20,Mauritius,Africa,MUS,,,,,,,
4/6/20,Mauritius,Africa,MUS,,,,,,,
4/7/20,Mauritius,Africa,MUS,,,,,,,
4/8/20,Mauritius,Africa,MUS,,,,,,,
4/9/20,Mauritius,Africa,MUS,,,,,,,
4/10/20,Mauritius,Africa,MUS,,,,,,,
4/11/20,Mauritius,Africa,MUS,,,,,,,
4/12/20,Mauritius,Africa,MUS,,,,,,,
4/13/20,Mauritius,Africa,MUS,,,,,,,
4/14/20,Mauritius,Africa,MUS,,,,,,,
4/15/20,Mauritius,Africa,MUS,,,,,,,
4/16/20,Mauritius,Africa,MUS,,,,,,,
4/17/20,Mauritius,Africa,MUS,,,,,,,
4/18/20,Mauritius,Africa,MUS,,,,,,,
4/19/20,Mauritius,Africa,MUS,,,,,,,
4/20/20,Mauritius,Africa,MUS,,,,,,,
4/21/20,Mauritius,Africa,MUS,,,,,,,
4/22/20,Mauritius,Africa,MUS,,,,,,,
4/23/20,Mauritius,Africa,MUS,,,,,,,
4/24/20,Mauritius,Africa,MUS,,,,,,,
4/25/20,Mauritius,Africa,MUS,,,,,,,
4/26/20,Mauritius,Africa,MUS,,,,,,,
4/27/20,Mauritius,Africa,MUS,,,,,,,
4/28/20,Mauritius,Africa,MUS,,,,,,,
4/29/20,Mauritius,Africa,MUS,,,,,,,
4/30/20,Mauritius,Africa,MUS,,,,,,,
5/1/20,Mauritius,Africa,MUS,,,,,,,
5/2/20,Mauritius,Africa,MUS,,,,,,,
5/3/20,Mauritius,Africa,MUS,,,,,,,
5/4/20,Mauritius,Africa,MUS,,,,,,,
5/5/20,Mauritius,Africa,MUS,,,,,,,
5/6/20,Mauritius,Africa,MUS,,,,,,,
5/7/20,Mauritius,Africa,MUS,,,,,,,
5/8/20,Mauritius,Africa,MUS,,,,,,,
5/9/20,Mauritius,Africa,MUS,,,,,,,
5/10/20,Mauritius,Africa,MUS,,,,,,,
5/11/20,Mauritius,Africa,MUS,,,,,,,
5/12/20,Mauritius,Africa,MUS,,,,,,,
5/13/20,Mauritius,Africa,MUS,,,,,,,
5/14/20,Mauritius,Africa,MUS,,,,,,,
5/15/20,Mauritius,Africa,MUS,,,,,,,
5/16/20,Mauritius,Africa,MUS,,,,,,,
5/17/20,Mauritius,Africa,MUS,,,,,,,
5/18/20,Mauritius,Africa,MUS,,,,,,,
5/19/20,Mauritius,Africa,MUS,,,,,,,
5/20/20,Mauritius,Africa,MUS,,,,,,,
5/21/20,Mauritius,Africa,MUS,,,,,,,
5/22/20,Mauritius,Africa,MUS,,,,,,,
5/23/20,Mauritius,Africa,MUS,,,,,,,
5/24/20,Mauritius,Africa,MUS,,,,,,,
5/25/20,Mauritius,Africa,MUS,,,,,,,
5/26/20,Mauritius,Africa,MUS,,,,,,,
5/27/20,Mauritius,Africa,MUS,,,,,,,
5/28/20,Mauritius,Africa,MUS,,,,,,,
5/29/20,Mauritius,Africa,MUS,,,,,,,
5/30/20,Mauritius,Africa,MUS,,,,,,,
5/31/20,Mauritius,Africa,MUS,,,,,,,
6/1/20,Mauritius,Africa,MUS,,,,,,,
6/2/20,Mauritius,Africa,MUS,,,,,,,
6/3/20,Mauritius,Africa,MUS,,,,,,,
6/4/20,Mauritius,Africa,MUS,,,,,,,
6/5/20,Mauritius,Africa,MUS,,,,,,,
6/6/20,Mauritius,Africa,MUS,,,,,,,
6/7/20,Mauritius,Africa,MUS,,,,,,,
6/8/20,Mauritius,Africa,MUS,,,,,,,
6/9/20,Mauritius,Africa,MUS,,,,,,,
6/10/20,Mauritius,Africa,MUS,,,,,,,
6/11/20,Mauritius,Africa,MUS,,,,,,,
6/12/20,Mauritius,Africa,MUS,,,,,,,
6/13/20,Mauritius,Africa,MUS,,,,,,,
6/14/20,Mauritius,Africa,MUS,,,,,,,
6/15/20,Mauritius,Africa,MUS,,,,,,,
6/16/20,Mauritius,Africa,MUS,,,,,,,
6/17/20,Mauritius,Africa,MUS,,,,,,,
6/18/20,Mauritius,Africa,MUS,,,,,,,
6/19/20,Mauritius,Africa,MUS,,,,,,,
6/20/20,Mauritius,Africa,MUS,,,,,,,
6/21/20,Mauritius,Africa,MUS,,,,,,,
6/22/20,Mauritius,Africa,MUS,,,,,,,
6/23/20,Mauritius,Africa,MUS,,,,,,,
6/24/20,Mauritius,Africa,MUS,,,,,,,
6/25/20,Mauritius,Africa,MUS,,,,,,,
6/26/20,Mauritius,Africa,MUS,,,,,,,
6/27/20,Mauritius,Africa,MUS,,,,,,,
6/28/20,Mauritius,Africa,MUS,,,,,,,
6/29/20,Mauritius,Africa,MUS,,,,,,,
6/30/20,Mauritius,Africa,MUS,,,,,,,
7/1/20,Mauritius,Africa,MUS,,,,,,,
7/2/20,Mauritius,Africa,MUS,,,,,,,
7/3/20,Mauritius,Africa,MUS,,,,,,,
7/4/20,Mauritius,Africa,MUS,,,,,,,
7/5/20,Mauritius,Africa,MUS,,,,,,,
7/6/20,Mauritius,Africa,MUS,,,,,,,
7/7/20,Mauritius,Africa,MUS,,,,,,,
7/8/20,Mauritius,Africa,MUS,,,,,,,
7/9/20,Mauritius,Africa,MUS,,,,,,,
7/10/20,Mauritius,Africa,MUS,,,,,,,
7/11/20,Mauritius,Africa,MUS,,,,,,,
7/12/20,Mauritius,Africa,MUS,,,,,,,
7/13/20,Mauritius,Africa,MUS,,,,,,,
7/14/20,Mauritius,Africa,MUS,,,,,,,
7/15/20,Mauritius,Africa,MUS,,,,,,,
7/16/20,Mauritius,Africa,MUS,,,,,,,
7/17/20,Mauritius,Africa,MUS,,,,,,,
7/18/20,Mauritius,Africa,MUS,,,,,,,
7/19/20,Mauritius,Africa,MUS,,,,,,,
7/20/20,Mauritius,Africa,MUS,,,,,,,
7/21/20,Mauritius,Africa,MUS,,,,,,,
7/22/20,Mauritius,Africa,MUS,,,,,,,
7/23/20,Mauritius,Africa,MUS,,,,,,,
7/24/20,Mauritius,Africa,MUS,,,,,,,
7/25/20,Mauritius,Africa,MUS,,,,,,,
7/26/20,Mauritius,Africa,MUS,,,,,,,
7/27/20,Mauritius,Africa,MUS,,,,,,,
7/28/20,Mauritius,Africa,MUS,,,,,,,
7/29/20,Mauritius,Africa,MUS,,,,,,,
7/30/20,Mauritius,Africa,MUS,,,,,,,
7/31/20,Mauritius,Africa,MUS,,,,,,,
8/1/20,Mauritius,Africa,MUS,,,,,,,
8/2/20,Mauritius,Africa,MUS,,,,,,,
8/3/20,Mauritius,Africa,MUS,,,,,,,
8/4/20,Mauritius,Africa,MUS,,,,,,,
8/5/20,Mauritius,Africa,MUS,,,,,,,
8/6/20,Mauritius,Africa,MUS,,,,,,,
8/7/20,Mauritius,Africa,MUS,,,,,,,
8/8/20,Mauritius,Africa,MUS,,,,,,,
8/9/20,Mauritius,Africa,MUS,,,,,,,
8/10/20,Mauritius,Africa,MUS,,,,,,,
