date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
1/21/21,Micronesia (country),Oceania,FSM,,,,,,,
1/22/21,Micronesia (country),Oceania,FSM,,,,,,,
1/23/21,Micronesia (country),Oceania,FSM,,,,,,,
1/24/21,Micronesia (country),Oceania,FSM,,,,,,,
1/25/21,Micronesia (country),Oceania,FSM,,,,,,,
1/26/21,Micronesia (country),Oceania,FSM,,,,,,,
1/27/21,Micronesia (country),Oceania,FSM,,,,,,,
1/28/21,Micronesia (country),Oceania,FSM,,,,,,,
1/29/21,Micronesia (country),Oceania,FSM,,,,,,,
1/30/21,Micronesia (country),Oceania,FSM,,,,,,,
1/31/21,Micronesia (country),Oceania,FSM,,,,,,,
2/1/21,Micronesia (country),Oceania,FSM,,,,,,,
2/2/21,Micronesia (country),Oceania,FSM,,,,,,,
2/3/21,Micronesia (country),Oceania,FSM,,,,,,,
2/4/21,Micronesia (country),Oceania,FSM,,,,,,,
2/5/21,Micronesia (country),Oceania,FSM,,,,,,,
2/6/21,Micronesia (country),Oceania,FSM,,,,,,,
2/7/21,Micronesia (country),Oceania,FSM,,,,,,,
2/8/21,Micronesia (country),Oceania,FSM,,,,,,,
2/9/21,Micronesia (country),Oceania,FSM,,,,,,,
2/10/21,Micronesia (country),Oceania,FSM,,,,,,,
2/11/21,Micronesia (country),Oceania,FSM,,,,,,,
2/12/21,Micronesia (country),Oceania,FSM,,,,,,,
2/13/21,Micronesia (country),Oceania,FSM,,,,,,,
2/14/21,Micronesia (country),Oceania,FSM,,,,,,,
2/15/21,Micronesia (country),Oceania,FSM,,,,,,,
2/16/21,Micronesia (country),Oceania,FSM,,,,,,,
2/17/21,Micronesia (country),Oceania,FSM,,,,,,,
2/18/21,Micronesia (country),Oceania,FSM,,,,,,,
2/19/21,Micronesia (country),Oceania,FSM,,,,,,,
2/20/21,Micronesia (country),Oceania,FSM,,,,,,,
2/21/21,Micronesia (country),Oceania,FSM,,,,,,,
2/22/21,Micronesia (country),Oceania,FSM,,,,,,,
2/23/21,Micronesia (country),Oceania,FSM,,,,,,,
2/24/21,Micronesia (country),Oceania,FSM,,,,,,,
2/25/21,Micronesia (country),Oceania,FSM,,,,,,,
2/26/21,Micronesia (country),Oceania,FSM,,,,,,,
2/27/21,Micronesia (country),Oceania,FSM,,,,,,,
2/28/21,Micronesia (country),Oceania,FSM,,,,,,,
3/1/21,Micronesia (country),Oceania,FSM,,,,,,,
3/2/21,Micronesia (country),Oceania,FSM,,,,,,,
3/3/21,Micronesia (country),Oceania,FSM,,,,,,,
3/4/21,Micronesia (country),Oceania,FSM,,,,,,,
3/5/21,Micronesia (country),Oceania,FSM,,,,,,,
3/6/21,Micronesia (country),Oceania,FSM,,,,,,,
3/7/21,Micronesia (country),Oceania,FSM,,,,,,,
3/8/21,Micronesia (country),Oceania,FSM,,,,,,,
