date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/8/20,Moldova,Europe,MDA,,,,,,,
3/9/20,Moldova,Europe,MDA,,,,,,,
3/10/20,Moldova,Europe,MDA,,,,,,,
3/11/20,Moldova,Europe,MDA,,,,,,,
3/12/20,Moldova,Europe,MDA,,,,,,,
3/13/20,Moldova,Europe,MDA,,,,,,,
3/14/20,Moldova,Europe,MDA,,,,,,,
3/15/20,Moldova,Europe,MDA,,,,,,,
3/16/20,Moldova,Europe,MDA,,,,,,,
3/17/20,Moldova,Europe,MDA,,,,,,,
3/18/20,Moldova,Europe,MDA,,,,,,,
3/19/20,Moldova,Europe,MDA,,,,,,,
3/20/20,Moldova,Europe,MDA,,,,,,,
3/21/20,Moldova,Europe,MDA,,,,,,,
3/22/20,Moldova,Europe,MDA,,,,,,,
3/23/20,Moldova,Europe,MDA,,,,,,,
3/24/20,Moldova,Europe,MDA,,,,,,,
3/25/20,Moldova,Europe,MDA,,,,,,,
3/26/20,Moldova,Europe,MDA,,,,,,,
3/27/20,Moldova,Europe,MDA,,,,,,,
3/28/20,Moldova,Europe,MDA,,,,,,,
3/29/20,Moldova,Europe,MDA,,,,,,,
3/30/20,Moldova,Europe,MDA,,,,,,,
3/31/20,Moldova,Europe,MDA,,,,,,,
4/1/20,Moldova,Europe,MDA,,,,,,,
4/2/20,Moldova,Europe,MDA,,,,,,,
4/3/20,Moldova,Europe,MDA,,,,,,,
4/4/20,Moldova,Europe,MDA,,,,,,,
4/5/20,Moldova,Europe,MDA,,,,,,,
4/6/20,Moldova,Europe,MDA,,,,,,,
4/7/20,Moldova,Europe,MDA,,,,,,,
4/8/20,Moldova,Europe,MDA,,,,,,,
4/9/20,Moldova,Europe,MDA,,,,,,,
4/10/20,Moldova,Europe,MDA,,,,,,,
4/11/20,Moldova,Europe,MDA,,,,,,,
4/12/20,Moldova,Europe,MDA,,,,,,,
4/13/20,Moldova,Europe,MDA,,,,,,,
4/14/20,Moldova,Europe,MDA,,,,,,,
4/15/20,Moldova,Europe,MDA,,,,,,,
4/16/20,Moldova,Europe,MDA,,,,,,,
4/17/20,Moldova,Europe,MDA,,,,,,,
4/18/20,Moldova,Europe,MDA,,,,,,,
4/19/20,Moldova,Europe,MDA,,,,,,,
4/20/20,Moldova,Europe,MDA,,,,,,,
4/21/20,Moldova,Europe,MDA,,,,,,,
4/22/20,Moldova,Europe,MDA,,,,,,,
4/23/20,Moldova,Europe,MDA,,,,,,,
4/24/20,Moldova,Europe,MDA,,,,,,,
4/25/20,Moldova,Europe,MDA,,,,,,,
4/26/20,Moldova,Europe,MDA,,,,,,,
4/27/20,Moldova,Europe,MDA,,,,,,,
4/28/20,Moldova,Europe,MDA,,,,,,,
4/29/20,Moldova,Europe,MDA,,,,,,,
4/30/20,Moldova,Europe,MDA,,,,,,,
5/1/20,Moldova,Europe,MDA,,,,,,,
5/2/20,Moldova,Europe,MDA,,,,,,,
5/3/20,Moldova,Europe,MDA,,,,,,,
5/4/20,Moldova,Europe,MDA,,,,,,,
5/5/20,Moldova,Europe,MDA,,,,,,,
5/6/20,Moldova,Europe,MDA,,,,,,,
5/7/20,Moldova,Europe,MDA,,,,,,,
5/8/20,Moldova,Europe,MDA,,,,,,,
5/9/20,Moldova,Europe,MDA,,,,,,,
5/10/20,Moldova,Europe,MDA,,,,,,,
5/11/20,Moldova,Europe,MDA,,,,,,,
5/12/20,Moldova,Europe,MDA,,,,,,,
5/13/20,Moldova,Europe,MDA,,,,,,,
5/14/20,Moldova,Europe,MDA,,,,,,,
5/15/20,Moldova,Europe,MDA,,,,,,,
5/16/20,Moldova,Europe,MDA,,,,,,,
5/17/20,Moldova,Europe,MDA,,,,,,,
5/18/20,Moldova,Europe,MDA,,,,,,,
5/19/20,Moldova,Europe,MDA,,,,,,,
5/20/20,Moldova,Europe,MDA,,,,,,,
5/21/20,Moldova,Europe,MDA,,,,,,,
5/22/20,Moldova,Europe,MDA,,,,,,,
5/23/20,Moldova,Europe,MDA,,,,,,,
5/24/20,Moldova,Europe,MDA,,,,,,,
5/25/20,Moldova,Europe,MDA,,,,,,,
5/26/20,Moldova,Europe,MDA,,,,,,,
5/27/20,Moldova,Europe,MDA,,,,,,,
5/28/20,Moldova,Europe,MDA,,,,,,,
5/29/20,Moldova,Europe,MDA,,,,,,,
5/30/20,Moldova,Europe,MDA,,,,,,,
5/31/20,Moldova,Europe,MDA,,,,,,,
6/1/20,Moldova,Europe,MDA,,,,,,,
6/2/20,Moldova,Europe,MDA,,,,,,,
6/3/20,Moldova,Europe,MDA,,,,,,,
6/4/20,Moldova,Europe,MDA,,,,,,,
6/5/20,Moldova,Europe,MDA,,,,,,,
6/6/20,Moldova,Europe,MDA,,,,,,,
6/7/20,Moldova,Europe,MDA,,,,,,,
6/8/20,Moldova,Europe,MDA,,,,,,,
6/9/20,Moldova,Europe,MDA,,,,,,,
6/10/20,Moldova,Europe,MDA,,,,,,,
6/11/20,Moldova,Europe,MDA,,,,,,,
6/12/20,Moldova,Europe,MDA,,,,,,,
6/13/20,Moldova,Europe,MDA,,,,,,,
6/14/20,Moldova,Europe,MDA,,,,,,,
6/15/20,Moldova,Europe,MDA,,,,,,,
6/16/20,Moldova,Europe,MDA,,,,,,,
6/17/20,Moldova,Europe,MDA,,,,,,,
6/18/20,Moldova,Europe,MDA,,,,,,,
6/19/20,Moldova,Europe,MDA,,,,,,,
6/20/20,Moldova,Europe,MDA,,,,,,,
6/21/20,Moldova,Europe,MDA,,,,,,,
6/22/20,Moldova,Europe,MDA,,,,,,,
6/23/20,Moldova,Europe,MDA,,,,,,,
6/24/20,Moldova,Europe,MDA,,,,,,,
6/25/20,Moldova,Europe,MDA,,,,,,,
6/26/20,Moldova,Europe,MDA,,,,,,,
6/27/20,Moldova,Europe,MDA,,,,,,,
6/28/20,Moldova,Europe,MDA,,,,,,,
6/29/20,Moldova,Europe,MDA,,,,,,,
6/30/20,Moldova,Europe,MDA,,,,,,,
7/1/20,Moldova,Europe,MDA,,,,,,,
7/2/20,Moldova,Europe,MDA,,,,,,,
7/3/20,Moldova,Europe,MDA,,,,,,,
7/4/20,Moldova,Europe,MDA,,,,,,,
7/5/20,Moldova,Europe,MDA,,,,,,,
7/6/20,Moldova,Europe,MDA,,,,,,,
7/7/20,Moldova,Europe,MDA,,,,,,,
7/8/20,Moldova,Europe,MDA,,,,,,,
7/9/20,Moldova,Europe,MDA,,,,,,,
7/10/20,Moldova,Europe,MDA,,,,,,,
7/11/20,Moldova,Europe,MDA,,,,,,,
7/12/20,Moldova,Europe,MDA,,,,,,,
7/13/20,Moldova,Europe,MDA,,,,,,,
7/14/20,Moldova,Europe,MDA,,,,,,,
7/15/20,Moldova,Europe,MDA,,,,,,,
7/16/20,Moldova,Europe,MDA,,,,,,,
7/17/20,Moldova,Europe,MDA,,,,,,,
7/18/20,Moldova,Europe,MDA,,,,,,,
7/19/20,Moldova,Europe,MDA,,,,,,,
7/20/20,Moldova,Europe,MDA,,,,,,,
7/21/20,Moldova,Europe,MDA,,,,,,,
7/22/20,Moldova,Europe,MDA,,,,,,,
7/23/20,Moldova,Europe,MDA,,,,,,,
7/24/20,Moldova,Europe,MDA,,,,,,,
7/25/20,Moldova,Europe,MDA,,,,,,,
7/26/20,Moldova,Europe,MDA,,,,,,,
7/27/20,Moldova,Europe,MDA,,,,,,,
7/28/20,Moldova,Europe,MDA,,,,,,,
7/29/20,Moldova,Europe,MDA,,,,,,,
7/30/20,Moldova,Europe,MDA,,,,,,,
7/31/20,Moldova,Europe,MDA,,,,,,,
8/1/20,Moldova,Europe,MDA,,,,,,,
8/2/20,Moldova,Europe,MDA,,,,,,,
8/3/20,Moldova,Europe,MDA,,,,,,,
8/4/20,Moldova,Europe,MDA,,,,,,,
8/5/20,Moldova,Europe,MDA,,,,,,,
8/6/20,Moldova,Europe,MDA,,,,,,,
8/7/20,Moldova,Europe,MDA,,,,,,,
8/8/20,Moldova,Europe,MDA,,,,,,,
8/9/20,Moldova,Europe,MDA,,,,,,,
8/10/20,Moldova,Europe,MDA,,,,,,,
8/11/20,Moldova,Europe,MDA,,,,,,,
8/12/20,Moldova,Europe,MDA,,,,,,,
8/13/20,Moldova,Europe,MDA,,,,,,,
8/14/20,Moldova,Europe,MDA,,,,,,,
8/15/20,Moldova,Europe,MDA,,,,,,,
8/16/20,Moldova,Europe,MDA,,,,,,,
8/17/20,Moldova,Europe,MDA,,,,,,,
8/18/20,Moldova,Europe,MDA,,,,,,,
8/19/20,Moldova,Europe,MDA,,,,,,,
8/20/20,Moldova,Europe,MDA,,,,,,,
8/21/20,Moldova,Europe,MDA,,,,,,,
8/22/20,Moldova,Europe,MDA,,,,,,,
8/23/20,Moldova,Europe,MDA,,,,,,,
8/24/20,Moldova,Europe,MDA,,,,,,,
8/25/20,Moldova,Europe,MDA,,,,,,,
8/26/20,Moldova,Europe,MDA,,,,,,,
8/27/20,Moldova,Europe,MDA,,,,,,,
8/28/20,Moldova,Europe,MDA,,,,,,,
8/29/20,Moldova,Europe,MDA,,,,,,,
8/30/20,Moldova,Europe,MDA,,,,,,,
8/31/20,Moldova,Europe,MDA,,,,,,,
9/1/20,Moldova,Europe,MDA,,,,,,,
9/2/20,Moldova,Europe,MDA,,,,,,,
9/3/20,Moldova,Europe,MDA,,,,,,,
9/4/20,Moldova,Europe,MDA,,,,,,,
9/5/20,Moldova,Europe,MDA,,,,,,,
9/6/20,Moldova,Europe,MDA,,,,,,,
9/7/20,Moldova,Europe,MDA,,,,,,,
