date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2/29/20,Monaco,Europe,MCO,,,,,,,
3/1/20,Monaco,Europe,MCO,,,,,,,
3/2/20,Monaco,Europe,MCO,,,,,,,
3/3/20,Monaco,Europe,MCO,,,,,,,
3/4/20,Monaco,Europe,MCO,,,,,,,
3/5/20,Monaco,Europe,MCO,,,,,,,
3/6/20,Monaco,Europe,MCO,,,,,,,
3/7/20,Monaco,Europe,MCO,,,,,,,
3/8/20,Monaco,Europe,MCO,,,,,,,
3/9/20,Monaco,Europe,MCO,,,,,,,
3/10/20,Monaco,Europe,MCO,,,,,,,
3/11/20,Monaco,Europe,MCO,,,,,,,
3/12/20,Monaco,Europe,MCO,,,,,,,
3/13/20,Monaco,Europe,MCO,,,,,,,
3/14/20,Monaco,Europe,MCO,,,,,,,
3/15/20,Monaco,Europe,MCO,,,,,,,
3/16/20,Monaco,Europe,MCO,,,,,,,
3/17/20,Monaco,Europe,MCO,,,,,,,
3/18/20,Monaco,Europe,MCO,,,,,,,
3/19/20,Monaco,Europe,MCO,,,,,,,
3/20/20,Monaco,Europe,MCO,,,,,,,
3/21/20,Monaco,Europe,MCO,,,,,,,
3/22/20,Monaco,Europe,MCO,,,,,,,
3/23/20,Monaco,Europe,MCO,,,,,,,
3/24/20,Monaco,Europe,MCO,,,,,,,
3/25/20,Monaco,Europe,MCO,,,,,,,
3/26/20,Monaco,Europe,MCO,,,,,,,
3/27/20,Monaco,Europe,MCO,,,,,,,
3/28/20,Monaco,Europe,MCO,,,,,,,
3/29/20,Monaco,Europe,MCO,,,,,,,
3/30/20,Monaco,Europe,MCO,,,,,,,
3/31/20,Monaco,Europe,MCO,,,,,,,
4/1/20,Monaco,Europe,MCO,,,,,,,
4/2/20,Monaco,Europe,MCO,,,,,,,
4/3/20,Monaco,Europe,MCO,,,,,,,
4/4/20,Monaco,Europe,MCO,,,,,,,
4/5/20,Monaco,Europe,MCO,,,,,,,
4/6/20,Monaco,Europe,MCO,,,,,,,
4/7/20,Monaco,Europe,MCO,,,,,,,
4/8/20,Monaco,Europe,MCO,,,,,,,
4/9/20,Monaco,Europe,MCO,,,,,,,
4/10/20,Monaco,Europe,MCO,,,,,,,
4/11/20,Monaco,Europe,MCO,,,,,,,
4/12/20,Monaco,Europe,MCO,,,,,,,
4/13/20,Monaco,Europe,MCO,,,,,,,
4/14/20,Monaco,Europe,MCO,,,,,,,
4/15/20,Monaco,Europe,MCO,,,,,,,
4/16/20,Monaco,Europe,MCO,,,,,,,
4/17/20,Monaco,Europe,MCO,,,,,,,
4/18/20,Monaco,Europe,MCO,,,,,,,
4/19/20,Monaco,Europe,MCO,,,,,,,
4/20/20,Monaco,Europe,MCO,,,,,,,
4/21/20,Monaco,Europe,MCO,,,,,,,
4/22/20,Monaco,Europe,MCO,,,,,,,
4/23/20,Monaco,Europe,MCO,,,,,,,
4/24/20,Monaco,Europe,MCO,,,,,,,
4/25/20,Monaco,Europe,MCO,,,,,,,
4/26/20,Monaco,Europe,MCO,,,,,,,
4/27/20,Monaco,Europe,MCO,,,,,,,
4/28/20,Monaco,Europe,MCO,,,,,,,
4/29/20,Monaco,Europe,MCO,,,,,,,
4/30/20,Monaco,Europe,MCO,,,,,,,
5/1/20,Monaco,Europe,MCO,,,,,,,
5/2/20,Monaco,Europe,MCO,,,,,,,
5/3/20,Monaco,Europe,MCO,,,,,,,
5/4/20,Monaco,Europe,MCO,,,,,,,
5/5/20,Monaco,Europe,MCO,,,,,,,
5/6/20,Monaco,Europe,MCO,,,,,,,
5/7/20,Monaco,Europe,MCO,,,,,,,
5/8/20,Monaco,Europe,MCO,,,,,,,
5/9/20,Monaco,Europe,MCO,,,,,,,
5/10/20,Monaco,Europe,MCO,,,,,,,
5/11/20,Monaco,Europe,MCO,,,,,,,
5/12/20,Monaco,Europe,MCO,,,,,,,
5/13/20,Monaco,Europe,MCO,,,,,,,
5/14/20,Monaco,Europe,MCO,,,,,,,
5/15/20,Monaco,Europe,MCO,,,,,,,
5/16/20,Monaco,Europe,MCO,,,,,,,
5/17/20,Monaco,Europe,MCO,,,,,,,
5/18/20,Monaco,Europe,MCO,,,,,,,
5/19/20,Monaco,Europe,MCO,,,,,,,
5/20/20,Monaco,Europe,MCO,,,,,,,
5/21/20,Monaco,Europe,MCO,,,,,,,
5/22/20,Monaco,Europe,MCO,,,,,,,
5/23/20,Monaco,Europe,MCO,,,,,,,
5/24/20,Monaco,Europe,MCO,,,,,,,
5/25/20,Monaco,Europe,MCO,,,,,,,
5/26/20,Monaco,Europe,MCO,,,,,,,
5/27/20,Monaco,Europe,MCO,,,,,,,
5/28/20,Monaco,Europe,MCO,,,,,,,
5/29/20,Monaco,Europe,MCO,,,,,,,
5/30/20,Monaco,Europe,MCO,,,,,,,
5/31/20,Monaco,Europe,MCO,,,,,,,
6/1/20,Monaco,Europe,MCO,,,,,,,
6/2/20,Monaco,Europe,MCO,,,,,,,
6/3/20,Monaco,Europe,MCO,,,,,,,
6/4/20,Monaco,Europe,MCO,,,,,,,
6/5/20,Monaco,Europe,MCO,,,,,,,
6/6/20,Monaco,Europe,MCO,,,,,,,
6/7/20,Monaco,Europe,MCO,,,,,,,
6/8/20,Monaco,Europe,MCO,,,,,,,
6/9/20,Monaco,Europe,MCO,,,,,,,
6/10/20,Monaco,Europe,MCO,,,,,,,
6/11/20,Monaco,Europe,MCO,,,,,,,
6/12/20,Monaco,Europe,MCO,,,,,,,
6/13/20,Monaco,Europe,MCO,,,,,,,
6/14/20,Monaco,Europe,MCO,,,,,,,
6/15/20,Monaco,Europe,MCO,,,,,,,
6/16/20,Monaco,Europe,MCO,,,,,,,
6/17/20,Monaco,Europe,MCO,,,,,,,
6/18/20,Monaco,Europe,MCO,,,,,,,
6/19/20,Monaco,Europe,MCO,,,,,,,
6/20/20,Monaco,Europe,MCO,,,,,,,
6/21/20,Monaco,Europe,MCO,,,,,,,
6/22/20,Monaco,Europe,MCO,,,,,,,
6/23/20,Monaco,Europe,MCO,,,,,,,
6/24/20,Monaco,Europe,MCO,,,,,,,
6/25/20,Monaco,Europe,MCO,,,,,,,
6/26/20,Monaco,Europe,MCO,,,,,,,
6/27/20,Monaco,Europe,MCO,,,,,,,
6/28/20,Monaco,Europe,MCO,,,,,,,
6/29/20,Monaco,Europe,MCO,,,,,,,
6/30/20,Monaco,Europe,MCO,,,,,,,
7/1/20,Monaco,Europe,MCO,,,,,,,
7/2/20,Monaco,Europe,MCO,,,,,,,
7/3/20,Monaco,Europe,MCO,,,,,,,
7/4/20,Monaco,Europe,MCO,,,,,,,
7/5/20,Monaco,Europe,MCO,,,,,,,
7/6/20,Monaco,Europe,MCO,,,,,,,
7/7/20,Monaco,Europe,MCO,,,,,,,
7/8/20,Monaco,Europe,MCO,,,,,,,
7/9/20,Monaco,Europe,MCO,,,,,,,
7/10/20,Monaco,Europe,MCO,,,,,,,
7/11/20,Monaco,Europe,MCO,,,,,,,
7/12/20,Monaco,Europe,MCO,,,,,,,
7/13/20,Monaco,Europe,MCO,,,,,,,
7/14/20,Monaco,Europe,MCO,,,,,,,
7/15/20,Monaco,Europe,MCO,,,,,,,
7/16/20,Monaco,Europe,MCO,,,,,,,
7/17/20,Monaco,Europe,MCO,,,,,,,
7/18/20,Monaco,Europe,MCO,,,,,,,
7/19/20,Monaco,Europe,MCO,,,,,,,
7/20/20,Monaco,Europe,MCO,,,,,,,
7/21/20,Monaco,Europe,MCO,,,,,,,
7/22/20,Monaco,Europe,MCO,,,,,,,
7/23/20,Monaco,Europe,MCO,,,,,,,
7/24/20,Monaco,Europe,MCO,,,,,,,
7/25/20,Monaco,Europe,MCO,,,,,,,
7/26/20,Monaco,Europe,MCO,,,,,,,
7/27/20,Monaco,Europe,MCO,,,,,,,
7/28/20,Monaco,Europe,MCO,,,,,,,
7/29/20,Monaco,Europe,MCO,,,,,,,
7/30/20,Monaco,Europe,MCO,,,,,,,
7/31/20,Monaco,Europe,MCO,,,,,,,
8/1/20,Monaco,Europe,MCO,,,,,,,
